,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Alabama,Huntsville,11,Facilities Manager,Apartment Maintenance Supervisor (Hampton Falls Apartments),"Sealy Management Company, Inc.",,"Brownsboro, AL",$16 - $23 an hour,Not Remote
1, Alabama,Huntsville,11,Facilities Manager,Maintenance Supervisor (Overlook Apartments),"Sealy Management Company, Inc.",,"Huntsville, AL",$16 - $23 an hour,Not Remote
2, Alabama,Huntsville,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
3, Alabama,Huntsville,11,Facilities Manager,"Manager, Facilities Operations",Blue Origin,3.2,"Huntsville, AL",Unknown,Not Remote
4, Alabama,Huntsville,11,Facilities Manager,Tenant Facilities (FBI) Support Section Supervisor,Chugach Government Solutions,3.8,"Redstone Arsenal, AL",Unknown,Not Remote
5, Alabama,Huntsville,11,Facilities Manager,Warehouse/Maintenance Manager,Redstone Pawn,,"Huntsville, AL",$14 - $17 an hour,Not Remote
6, Alabama,Huntsville,11,Facilities Manager,Lead Service Manager,"SEALY MANAGEMENT COMPANY, INC",,"Brownsboro, AL",Unknown,Not Remote
7, Alabama,Huntsville,11,Facilities Manager,Facility Maintenance Manager,Dodge's Stores | Dodges Stores,3.1,"Huntsville, AL",Unknown,Not Remote
8, Alabama,Huntsville,11,Facilities Manager,Maintenance Supervisor (Overlook Apartments),"Sealy Management Company, Inc.",,"Huntsville, AL",$16 - $23 an hour,Not Remote
9, Alabama,Huntsville,11,Facilities Manager,Apartment Maintenance Supervisor (Hampton Falls Apartments),"Sealy Management Company, Inc.",,"Brownsboro, AL",$16 - $23 an hour,Not Remote
10, Alabama,Huntsville,11,Facilities Manager,Chief Engineer,Hyatt Place | McNeill Hotels,4.1,"Huntsville, AL",Unknown,Not Remote
11, Alabama,Huntsville,11,Facilities Manager,Maintenance Supervisor,Cabana Apartments,4.3,"Huntsville, AL",$19 - $21 an hour,Not Remote
0, Alabama,Huntsville,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
0, Alabama,Huntsville,11,Manager,Automotive Service Manager,Midas Auto Service - ST,,"Huntsville, AL",Unknown,Not Remote
1, Alabama,Huntsville,11,Manager,District Supervisor,Assemblers Inc,2.7,"Huntsville, AL",Unknown,Not Remote
2, Alabama,Huntsville,11,Manager,Automotive Retail Store Manager,Midas Auto Service - ST,,"Huntsville, AL","$56,000 - $95,000 a year",Not Remote
3, Alabama,Huntsville,11,Manager,RN Case Manager,Comfort Care Hospice,3.7,"Huntsville, AL",Unknown,Not Remote
4, Alabama,Huntsville,11,Manager,DISTRICT MANAGER,Family Dollar,3.2,"Huntsville, AL",Unknown,Not Remote
5, Alabama,Huntsville,11,Manager,Information Systems Manager,US Department of the Army,4.3,"Redstone Arsenal, AL","$112,548 - $146,309 a year",Not Remote
6, Alabama,Huntsville,11,Manager,Production Team Leader,"Mazda Toyota Manufacturing, U.S.A.",4.0,"Huntsville, AL",$20.71 - $25.50 an hour,Not Remote
7, Alabama,Huntsville,11,Manager,Assembly Production Group Leader,"Mazda Toyota Manufacturing, U.S.A.",4.0,"Huntsville, AL",Unknown,Not Remote
8, Alabama,Huntsville,11,Manager,Program Manager,US Department of the Army,4.3,"Redstone Arsenal, AL","$112,548 - $146,309 a year",Not Remote
9, Alabama,Huntsville,11,Manager,Human Resources Development Assistant Manager,"Mazda Toyota Manufacturing, U.S.A.",4.0,"Huntsville, AL",Unknown,Not Remote
10, Alabama,Huntsville,11,Manager,Equipment Manager NF-03,US Department of the Army,4.3,"Redstone Arsenal, AL","$31,000 - $42,000 a year",Not Remote
11, Alabama,Huntsville,11,Manager,Recruiting Manager,Scientific Research Corporation,3.9,"Huntsville, AL",Unknown,Not Remote
12, Alabama,Huntsville,11,Manager,Team Member Labor Relations Assistant Manager,"Mazda Toyota Manufacturing, U.S.A.",4.0,"Huntsville, AL",Unknown,Not Remote
13, Alabama,Huntsville,11,Manager,Site Manager,ARD Logistics,3.2,"Huntsville, AL","From $90,000 a year",Not Remote
14, Alabama,Huntsville,11,Manager,Accounts Payable Manager,"Dalcor Management, Inc.",,"Huntsville, AL","$35,000 - $45,000 a year",Not Remote
15, Alabama,Huntsville,11,Manager,People Manager,Waste Management,3.4,"Huntsville, AL",Unknown,Not Remote
16, Alabama,Huntsville,11,Manager,Chef Manager,ChefAdvantage,3.9,"Madison, AL","$50,000 a year",Not Remote
17, Alabama,Huntsville,11,Manager,Service Manager,Smith Infiniti of Huntsville,3.2,"Huntsville, AL","From $60,000 a year",Not Remote
18, Alabama,Huntsville,11,Manager,PAYROLL MANAGER /STAFFING SPECIALIST,WISE Staffing,3.6,"Huntsville, AL",Unknown,Not Remote
19, Alabama,Huntsville,11,Manager,Project Manager II,R2C Incorporated,,"Huntsville, AL",Unknown,Not Remote
20, Alabama,Huntsville,11,Manager,Merchandise Manager,Michaels,3.6,"Huntsville, AL",Unknown,Not Remote
21, Alabama,Huntsville,11,Manager,Plant Manager,"Kennametal, Inc.",3.6,"Huntsville, AL",Unknown,Not Remote
22, Alabama,Huntsville,11,Manager,Shift Manager,ARD Logistics,3.2,"Huntsville, AL","$80,000 a year",Not Remote
23, Alabama,Huntsville,11,Manager,Director of Operations (Multi-Site Medical Practice Manager) @ Urgent Team/Huntsville Hospital Urgent Care,Urgent Team Management,,"Huntsville, AL",Unknown,Not Remote
24, Alabama,Huntsville,11,Manager,Safety and Occupational Health Manager,US Department of the Army,4.3,"Redstone Arsenal, AL","$112,548 - $172,102 a year",Not Remote
25, Alabama,Huntsville,11,Manager,"Manager, Facilities Operations",Blue Origin,3.2,"Huntsville, AL",Unknown,Not Remote
26, Alabama,Huntsville,11,Manager,Scheduling Supervisor,The Surgery Center of Huntsville,3.9,"Huntsville, AL",Unknown,Not Remote
27, Alabama,Huntsville,11,Manager,Executive Housekeeping Manager,Embassy Suites by Hilton Huntsville,,"Huntsville, AL","From $40,000 a year",Not Remote
28, Alabama,Huntsville,11,Manager,Assistant Manager,Colonial Life & Accident Insurance Company,3.6,"Huntsville, AL",Unknown,Not Remote
29, Alabama,Huntsville,11,Manager,Regional Manager,AM Hayden Properties,,"Madison, AL","$60,000 - $73,000 a year",Not Remote
30, Alabama,Huntsville,11,Manager,"Manager, Manufacturing Operations",Aerojet Rocketdyne,3.6,"Huntsville, AL",Unknown,Not Remote
31, Alabama,Huntsville,11,Manager,Account Manager,The Ward Agency,,"Huntsville, AL","$55,000 - $80,000 a year",Not Remote
32, Alabama,Huntsville,11,Manager,Assistant Product Manager,US Department of the Army,4.3,"Redstone Arsenal, AL","$112,548 - $172,102 a year",Not Remote
33, Alabama,Huntsville,11,Manager,Anthropologie Store Manager,Anthropologie,3.7,"Huntsville, AL",Unknown,Not Remote
34, Alabama,Huntsville,11,Manager,Contracts Manager,Millennium Engineering & Integration Company,3.8,"Huntsville, AL",Unknown,Not Remote
35, Alabama,Huntsville,11,Manager,Mid-Level Product Lifecycle Manager,BOEING,4.0,"Huntsville, AL",Unknown,Not Remote
36, Alabama,Huntsville,11,Manager,Program Manager (Assistant Program Manager Acquisition),US Department of the Army,4.3,"Redstone Arsenal, AL","$80,095 - $123,816 a year",Not Remote
