,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Alaska,Anchorage,11,Facilities Manager,Chief Maintenance Manager,PWSAC,,"Anchorage, AK","$75,000 - $100,000 a year",Temporarily remote
1, Alaska,Anchorage,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
2, Alaska,Anchorage,11,Facilities Manager,Chief Maintenance Manager,PWSAC,,"Anchorage, AK","$75,000 - $100,000 a year",Temporarily remote
3, Alaska,Anchorage,11,Facilities Manager,Electrical Supervisor,University of Alaska,4.1,"Anchorage, AK",Unknown,Not Remote
4, Alaska,Anchorage,11,Facilities Manager,Maintenance Controller,Grant Aviation,3.9,"Anchorage, AK",Unknown,Not Remote
0, Alaska,Anchorage,11,Funeral Home Managers,Seasonal Groundskeeper,Angelus Memorial Park Cemetery,,"Anchorage, AK",$12 - $17 an hour,Not Remote
1, Alaska,Anchorage,11,Funeral Home Managers,Medicolegal Investigator I/II (PCN 1742M),State of Alaska,3.9,"Anchorage, AK",$23.12 - $26.55 an hour,Not Remote
2, Alaska,Anchorage,11,Funeral Home Managers,Medicolegal Investigator I/II (PCN 06-1742M),State of Alaska,3.9,"Anchorage, AK",Unknown,Not Remote
0, Alaska,Anchorage,11,Manager,Human Resource Manager,St. Mary's Native Corporation,3.0,"Anchorage, AK",Unknown,Temporarily remote
1, Alaska,Anchorage,11,Manager,Commercial Account Manager,TrailerCraft/Freightliner of Alaska,,"Anchorage, AK",Unknown,Not Remote
2, Alaska,Anchorage,11,Manager,Automotive General Manager,Mercedes-Benz of Anchorage,4.0,"Anchorage, AK",Unknown,Not Remote
3, Alaska,Anchorage,11,Manager,Office Manager,Alyeska Vascular Surgery LLC,,"Anchorage, AK","$69,788 - $85,297 a year",Not Remote
4, Alaska,Anchorage,11,Manager,Case Manager,"Partners for Progress, Inc.",,"Anchorage, AK",$20 - $25 an hour,Temporarily remote
5, Alaska,Anchorage,11,Manager,Fleet Maintenance Coordinator/Asst Service Manager,All Pro Industrial Equipment,,"Anchorage, AK",$21 - $25 an hour,Not Remote
6, Alaska,Anchorage,11,Manager,Office Manager,Alyeska Vascular Surgery LLC,,"Anchorage, AK","$69,788 - $85,297 a year",Not Remote
7, Alaska,Anchorage,11,Manager,Case Manager,"Partners for Progress, Inc.",,"Anchorage, AK",$20 - $25 an hour,Temporarily remote
8, Alaska,Anchorage,11,Manager,Operations Manager,PepsiCo,3.8,"Anchorage, AK",Unknown,Not Remote
9, Alaska,Anchorage,11,Manager,General Manager,HOSPITALITY ASSOCIATES INC,,"Anchorage, AK","$54,000 - $74,000 a year",Not Remote
10, Alaska,Anchorage,11,Manager,Lab Manager,Raspberry Roots,,"Anchorage, AK","$50,000 - $72,000 a year",Not Remote
11, Alaska,Anchorage,11,Manager,Program Manager,Recover Alaska,,"Anchorage, AK","$60,000 - $72,000 a year",Remote
12, Alaska,Anchorage,11,Manager,Logistics Manager,Solution One Industries Inc.,,"Anchorage, AK","$94,000 - $103,400 a year",Not Remote
13, Alaska,Anchorage,11,Manager,Replenishment Manager,Michaels,3.6,"Anchorage, AK",Unknown,Not Remote
14, Alaska,Anchorage,11,Manager,Supervisory Human Resources Specialist (Onboarding Manager),US Department of the Interior,4.1,"Anchorage, AK","$92,143 - $119,787 a year",Not Remote
15, Alaska,Anchorage,11,Manager,General Manager Station Operations,Alaska Airlines,3.9,"Anchorage, AK",Unknown,Not Remote
16, Alaska,Anchorage,11,Manager,Office Manager-Associate Editor,Todd Communications,,"Anchorage, AK","$40,000 - $42,000 a year",Not Remote
