,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Alaska,Juneau,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
1, Alaska,Juneau,11,Facilities Manager,Mobile Maintenance Supervisor,Hecla Greens Creek Mining Company,4.3,"Juneau, AK",Unknown,Not Remote
0, Alaska,Juneau,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
0, Alaska,Juneau,11,Manager,"Clinical Manager - Ophthalmology (Anchorage, AK)",AKHIRE,,Alaska,"$70,000 - $80,000 a year",Not Remote
1, Alaska,Juneau,11,Manager,"Stockroom Manager - Port Moller, Alaska","Peter Pan Seafood Company, LLC",3.7,Alaska,Unknown,Not Remote
2, Alaska,Juneau,11,Manager,Regional Manager,UniTrust Financial Group,,United States,"$130,000 - $160,000 a year",Remote
3, Alaska,Juneau,11,Manager,Case Manager I/II in Juneau AK (2 positions),JAMHI Health & Wellness Inc.,4.3,"Juneau, AK",$21.16 - $31.77 an hour,Not Remote
4, Alaska,Juneau,11,Manager,Assistant Grocery Manager,Fred Meyer,3.4,"Juneau, AK",Unknown,Not Remote
5, Alaska,Juneau,11,Manager,"Manager, Technical Support and Services",Pearson,3.7,"Juneau, AK",Unknown,Remote
6, Alaska,Juneau,11,Manager,PROJECT MANAGER (PLANNING & DEVELOPMENT),SouthEast Alaska Regional Health Consortium,3.5,"Juneau, AK",Unknown,Not Remote
7, Alaska,Juneau,11,Manager,PHARMACY MANAGER - ELMC,SouthEast Alaska Regional Health Consortium,3.5,"Juneau, AK",Unknown,Not Remote
8, Alaska,Juneau,11,Manager,Staff Manager,REACH,,"Juneau, AK",Unknown,Not Remote
9, Alaska,Juneau,11,Manager,Public Equities Portfolio Manager,Alaska Permanent Fund Corporation,,"Juneau, AK",Unknown,Not Remote
10, Alaska,Juneau,11,Manager,Service Manager 2 - Glacier Valley,Wells Fargo,3.7,"Juneau, AK",Unknown,Not Remote
11, Alaska,Juneau,11,Manager,Marketing Program Manager,Pearson,3.7,"Juneau, AK",Unknown,Remote
12, Alaska,Juneau,11,Manager,Senior Market Manager,Holiday Stationstores,3.4,"Juneau, AK",Unknown,Not Remote
13, Alaska,Juneau,11,Manager,Youth Development Leader I,City & Borough of Juneau,,"Juneau, AK",$17.48 - $18.65 an hour,Not Remote
14, Alaska,Juneau,11,Manager,Loss Prevention Manager,Sportsman's Warehouse,3.5,"Juneau, AK",Unknown,Not Remote
15, Alaska,Juneau,11,Manager,Regional Market Manager I - Juneau Financial Center,Northrim Bank,,"Juneau, AK",Unknown,Not Remote
16, Alaska,Juneau,11,Manager,Product Marketing Manager,Pearson,3.7,"Juneau, AK",Unknown,Remote
17, Alaska,Juneau,11,Manager,Assistant Store Manager,O'Reilly Auto Parts,3.4,"Juneau, AK",Unknown,Not Remote
18, Alaska,Juneau,11,Manager,HIM OPERATIONS SUPERVISOR,SouthEast Alaska Regional Health Consortium,3.5,"Juneau, AK",Unknown,Not Remote
19, Alaska,Juneau,11,Manager,Mill Supervisor,Coeur Mining,3.9,"Juneau, AK",Unknown,Not Remote
20, Alaska,Juneau,11,Manager,Retail Supervisor,"Goldbelt, Inc.",3.2,"Juneau, AK",Unknown,Not Remote
21, Alaska,Juneau,11,Manager,Records and Licensing Supervisor (PCN 2007),State of Alaska,3.9,"Juneau, AK","$4,477 a month",Not Remote
22, Alaska,Juneau,11,Manager,ADMINISTRATIVE SUPERVISOR,SouthEast Alaska Regional Health Consortium,3.5,"Juneau, AK",Unknown,Not Remote
23, Alaska,Juneau,11,Manager,PATIENT ACCESS SUPERVISOR,SouthEast Alaska Regional Health Consortium,3.5,"Juneau, AK",Unknown,Not Remote
24, Alaska,Juneau,11,Manager,BAKERY MANAGER! Juneau #1820,Carrs,3.4,"Juneau, AK",Unknown,Not Remote
25, Alaska,Juneau,11,Manager,Underground Construction Supervisor,Coeur Mining,3.9,"Juneau, AK",Unknown,Not Remote
26, Alaska,Juneau,11,Manager,Mobile Maintenance Supervisor,Hecla Greens Creek Mining Company,4.3,"Juneau, AK",Unknown,Not Remote
27, Alaska,Juneau,11,Manager,Senior Staff Software Project Manager,Thermo Fisher Scientific,3.5,"Juneau, AK",Unknown,Not Remote
28, Alaska,Juneau,11,Manager,PROJECT MANAGER (PLANNING & DEVELOPMENT),SouthEast Alaska Regional Health Consortium,3.5,"Juneau, AK",Unknown,Not Remote
29, Alaska,Juneau,11,Manager,"Manager, Revenue Operations - Opportunity for Working Remotely Juneau, AK",VMware,4.0,"Juneau, AK",Unknown,Remote
30, Alaska,Juneau,11,Manager,HIM CODING SUPERVISOR,SouthEast Alaska Regional Health Consortium,3.5,"Juneau, AK",Unknown,Not Remote
31, Alaska,Juneau,11,Manager,Senior Data & Engineering Lead,Pearson,3.7,"Juneau, AK",Unknown,Remote
32, Alaska,Juneau,11,Manager,Records and Licensing Supervisor (PCN 08-2007),State of Alaska,3.9,"Juneau, AK",Unknown,Not Remote
