,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Alaska,Anchorage,11,Facilities Manager,Mine Maintenance Planning Superintendent - Texas,North American Construction Group Inc.,,United States,Unknown,Not Remote
1, Alaska,Anchorage,11,Facilities Manager,Facilities Manager (6003),State of Alaska,3.9,"Anchorage, AK","$7,016 a month",Not Remote
2, Alaska,Anchorage,11,Facilities Manager,Chief Engineer,Hilton Anchorage Downtown,,"Anchorage, AK",Unknown,Not Remote
3, Alaska,Anchorage,11,Facilities Manager,Building Maintenance Superintendent (PCN 5012),State of Alaska,3.9,"Anchorage, AK","$5,606 a month",Not Remote
4, Alaska,Anchorage,11,Facilities Manager,CONSTRUCTION AND MAINTENANCE SUPERVISOR,US Department of the Air Force,4.4,"Elmendorf AFB, AK","$106,875 - $124,677 a year",Not Remote
5, Alaska,Anchorage,11,Facilities Manager,Facilities Manager (41-6003),State of Alaska,3.9,"Anchorage, AK","$91,203 a year",Not Remote
0, Alaska,Anchorage,11,Manager,Program Manager,Recover Alaska,,"Anchorage, AK","$60,000 - $72,000 a year",Remote
1, Alaska,Anchorage,11,Manager,General Manager - Vendor at Anchorage International Airport,Huntleigh USA,,"Anchorage, AK","From $40,000 a year",Not Remote
2, Alaska,Anchorage,11,Manager,"EVS Manager,Fairbanks AK- Healthcare Cleaning - Executive Housekeeper",Main Building Maintenance Inc.,,Alaska,"$40,000 - $50,000 a year",Not Remote
3, Alaska,Anchorage,11,Manager,Lead and Assistant Teacher Positions,Bright Beginnings Early Learning Center,3.0,"Anchorage, AK",Unknown,Not Remote
4, Alaska,Anchorage,11,Manager,Account Manager,"Guardian Security Systems, Inc.",3.7,"Anchorage, AK","$35,000 - $75,000 a year",Not Remote
5, Alaska,Anchorage,11,Manager,IT Manager,Eastern Aleutian Tribes,3.4,"Anchorage, AK","From $70,000 a year",Not Remote
6, Alaska,Anchorage,11,Manager,Sales Leader - B2B and Retail,Renewal by Andersen,,"Anchorage, AK",Unknown,Not Remote
7, Alaska,Anchorage,11,Manager,Procurement Manager,Cook Inlet Housing Authority,,"Anchorage, AK","$76,000 - $96,000 a year",Temporarily remote
8, Alaska,Anchorage,11,Manager,Logistics Manager,Visit Healthcare,1.0,"Anchorage, AK",From $35 an hour,Not Remote
9, Alaska,Anchorage,11,Manager,Operations Manager,Bean's Cafe,,"Anchorage, AK","$65,000 a year",Not Remote
10, Alaska,Anchorage,11,Manager,Warehouse Manager,B&J Sporting Goods,,"Anchorage, AK",$17 - $20 an hour,Not Remote
11, Alaska,Anchorage,11,Manager,IT Manager,Eastern Aleutian Tribes,3.4,"Anchorage, AK","From $70,000 a year",Not Remote
12, Alaska,Anchorage,11,Manager,Social Media Manager,Artisang Agency,,"Anchorage, AK",$18 - $24 an hour,Temporarily remote
13, Alaska,Anchorage,11,Manager,Account Manager,"Guardian Security Systems, Inc.",3.7,"Anchorage, AK","$35,000 - $75,000 a year",Not Remote
14, Alaska,Anchorage,11,Manager,Restaurant Manager,Red Robin - Tikahtnu Commons & Wasilla,,"Anchorage, AK","$48,000 - $52,000 a year",Not Remote
15, Alaska,Anchorage,11,Manager,Program Manager,Recover Alaska,,"Anchorage, AK","$60,000 - $72,000 a year",Remote
16, Alaska,Anchorage,11,Manager,CUSTOMER SERVICE MANAGER,All Ways Caring HomeCare,3.3,"Anchorage, AK",Unknown,Not Remote
17, Alaska,Anchorage,11,Manager,Case Manager,"Hearts & Hands of Care, Inc",3.8,"Anchorage, AK",$16 - $22 an hour,Not Remote
18, Alaska,Anchorage,11,Manager,Procurement Manager,Cook Inlet Housing Authority,,"Anchorage, AK","$76,000 - $96,000 a year",Temporarily remote
19, Alaska,Anchorage,11,Manager,H&M Retail Department Manager,H&M,3.7,"Anchorage, AK",Unknown,Not Remote
20, Alaska,Anchorage,11,Manager,H&M Retail Department Manager,H&M,3.7,"Anchorage, AK",Unknown,Not Remote
21, Alaska,Anchorage,11,Manager,Medical Center Manager,Concentra,,"Anchorage, AK",Unknown,Not Remote
22, Alaska,Anchorage,11,Manager,UAA Onboarding Manager,University of Alaska,4.1,"Anchorage, AK",Unknown,Not Remote
23, Alaska,Anchorage,11,Manager,Front Desk Supervisor,Anchorage Marriott Downtown,,"Anchorage, AK",$15 - $16 an hour,Not Remote
24, Alaska,Anchorage,11,Manager,Finance Manager,Bean's Cafe,,"Anchorage, AK","$80,000 - $85,000 a year",Not Remote
25, Alaska,Anchorage,11,Manager,Manager Diagnostic Imaging Critical Access Hospitals,Providence,3.9,"Anchorage, AK",Unknown,Not Remote
26, Alaska,Anchorage,11,Manager,Human Resource AAP/EEO Manager,Alaska Sales and Service,3.0,"Anchorage, AK",Unknown,Not Remote
27, Alaska,Anchorage,11,Manager,General Manager - Vendor at Anchorage International Airport,Huntleigh USA,,"Anchorage, AK","From $40,000 a year",Not Remote
28, Alaska,Anchorage,11,Manager,Project Integration Manager,Oil Search (Alaska) LLC,4.2,"Anchorage, AK",Unknown,Not Remote
29, Alaska,Anchorage,11,Manager,Account Manager - Alaska,Stanley Black & Decker,3.6,"Anchorage, AK",Unknown,Not Remote
30, Alaska,Anchorage,11,Manager,"Account manager, Business to Business Sales .",Arctic Office Products,4.5,"Anchorage, AK","$60,000 - $100,000 a year",Not Remote
31, Alaska,Anchorage,11,Manager,Retail General Manager,Petro Marine Services,5.0,"Anchorage, AK",Unknown,Not Remote
32, Alaska,Anchorage,11,Manager,Full-Time Operations Manager,Buckle,3.7,"Anchorage, AK",Unknown,Not Remote
33, Alaska,Anchorage,11,Manager,Assistant FOH Manager,Pangea Restaurant & Lounge,,"Anchorage, AK",$16 - $23 an hour,Not Remote
34, Alaska,Anchorage,11,Manager,Construction Manager,MasTec Network Solutions,3.4,"Anchorage, AK",Unknown,Not Remote
35, Alaska,Anchorage,11,Manager,Merchandising Service Manager,Lowe's,3.6,"Anchorage, AK",Unknown,Not Remote
36, Alaska,Anchorage,11,Manager,U-Haul Moving Center General Manager,U-Haul,3.5,"Anchorage, AK",Unknown,Not Remote
37, Alaska,Anchorage,11,Manager,Guest Services Manager,Dimond Center Hotel,3.4,"Anchorage, AK","$45,000 - $50,000 a year",Not Remote
38, Alaska,Anchorage,11,Manager,Environmental Safety Program Manager,Providence,3.9,"Anchorage, AK",Unknown,Not Remote
39, Alaska,Anchorage,11,Manager,ALE Assistant Manager,Fred Meyer,3.4,"Anchorage, AK",Unknown,Not Remote
40, Alaska,Anchorage,11,Manager,Project Manager,Visit Healthcare,1.0,"Anchorage, AK",From $35 an hour,Not Remote
41, Alaska,Anchorage,11,Manager,"Information Technology Manager - Anchorage, Alaska - Eastern Aleutian Tribes",Alaska Native Tribal Health Consortium,3.5,"Anchorage, AK",Unknown,Not Remote
42, Alaska,Anchorage,11,Manager,Assistant Branch Manager II,Alaska USA Federal Credit Union,3.9,"Anchorage, AK",Unknown,Not Remote
43, Alaska,Anchorage,11,Manager,Landscape Manager,A-1 Lawn & Landscaping,,"Anchorage, AK",$20 - $30 an hour,Not Remote
44, Alaska,Anchorage,11,Manager,"Clarie's Part Time Manager 5th Ave 5115- Anchorage, Ak",Claire's,3.4,"Anchorage, AK",Unknown,Not Remote
45, Alaska,Anchorage,11,Manager,"Clinical Nurse Case Manager - Full Time - Ear, Nose and Throat- Closes 3/31/2021",Alaska Native Tribal Health Consortium,3.5,"Anchorage, AK",Unknown,Not Remote
46, Alaska,Anchorage,11,Manager,"Divisional Lead, Administrative and Academic Support Manager",University of Alaska,4.1,"Anchorage, AK",From $21.81 an hour,Not Remote
47, Alaska,Anchorage,11,Manager,Front Desk Manager / Sales & Marketing,Alex Hotel & Suites,,"Anchorage, AK",$13 - $15 an hour,Not Remote
48, Alaska,Anchorage,11,Manager,Resource Manager,Tyonek Native Corporation,3.5,"Anchorage, AK",Unknown,Not Remote
