,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Arizona,Tucson,11,Facilities Manager,Maintenance Supervisor,Equinox Tucson Apartments,,"Tucson, AZ",$15 - $20 an hour,Not Remote
1, Arizona,Tucson,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
2, Arizona,Tucson,11,Facilities Manager,Director of Engineering,Loews Hotels & Co.,4.0,"Tucson, AZ",Unknown,Not Remote
3, Arizona,Tucson,11,Facilities Manager,Maintenance Manager,VisionQuest Arizona,2.8,"Tucson, AZ",Unknown,Not Remote
4, Arizona,Tucson,11,Facilities Manager,Chief Engineer,Island Hospitality,2.8,"Tucson, AZ",Unknown,Not Remote
5, Arizona,Tucson,11,Facilities Manager,Maintenance Manager,VisionQuest,2.8,"Tucson, AZ",Unknown,Not Remote
6, Arizona,Tucson,11,Facilities Manager,Maintenance Supervisor,Equinox Tucson Apartments,,"Tucson, AZ",$15 - $20 an hour,Not Remote
7, Arizona,Tucson,11,Facilities Manager,Maintenance Supervisor - RendezVous - Tucson,Morrison Ekre & Bart Management Services Inc,,"Tucson, AZ",Unknown,Not Remote
8, Arizona,Tucson,11,Facilities Manager,Maintenance Supervisor,Proresidential Srvs.,,"Tucson, AZ","From $3,000 a month",Not Remote
9, Arizona,Tucson,11,Facilities Manager,Maintenance Supervisor,SCOTIA GROUP MANAGEMENT,,"Tucson, AZ",$20 - $24 an hour,Not Remote
10, Arizona,Tucson,11,Facilities Manager,Maintenance Supervisor,MEB Management Services,3.5,"Tucson, AZ",From $15.50 an hour,Not Remote
11, Arizona,Tucson,11,Facilities Manager,Maintenance Supervisor,MEB Management,3.7,"Tucson, AZ","$30,000 - $31,000 a year",Not Remote
12, Arizona,Tucson,11,Facilities Manager,Maintenance Supervisor,MEB Management Services,3.5,"Tucson, AZ",From $15.50 an hour,Not Remote
0, Arizona,Tucson,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
0, Arizona,Tucson,11,Manager,175+ BPS Loan Officer/Branch Manager,"Geneva Financial, LLC",4.2,"Tucson, AZ",Unknown,Not Remote
1, Arizona,Tucson,11,Manager,Internal Project Manager,The Countertop Factory Southwest,,"Tucson, AZ",$14 - $15 an hour,Not Remote
2, Arizona,Tucson,11,Manager,Installation Project Manager,Renewal by Andersen | Esler Companies,,"Tucson, AZ","$45,000 - $60,000 a year",Not Remote
3, Arizona,Tucson,11,Manager,Kitchen/Prep Manager,Choice Greens,,"Tucson, AZ",Unknown,Not Remote
4, Arizona,Tucson,11,Manager,Small Business Lending Manager,Community Investment Corporation,,"Tucson, AZ","$45,000 - $60,000 a year",Temporarily remote
5, Arizona,Tucson,11,Manager,Route Service Manager - UniFirst,UniFirst,3.2,"Tucson, AZ",Unknown,Not Remote
6, Arizona,Tucson,11,Manager,Bookkeeper/Administrative Manager,Confidential Property Management Company.,,"Tucson, AZ","$38,000 - $42,000 a year",Not Remote
7, Arizona,Tucson,11,Manager,SEO Manager,Pyurvana,,"Tucson, AZ","$35,000 - $50,000 a year",Not Remote
8, Arizona,Tucson,11,Manager,Workers Compensation Nurse Case Manager,Orchard Medical Consulting,,"Tucson, AZ",Unknown,Not Remote
9, Arizona,Tucson,11,Manager,Correctional Treatment Specialist (Case Manager),US Department of Justice,4.1,"Tucson, AZ","$55,805 - $84,948 a year",Not Remote
10, Arizona,Tucson,11,Manager,Manager in Training,RPL Design,,"Tucson, AZ","$41,000 - $71,000 a year",Temporarily remote
11, Arizona,Tucson,11,Manager,Physician Practice Manager,Abrazo Medical Group,3.5,"Tucson, AZ",$27 - $35 an hour,Not Remote
12, Arizona,Tucson,11,Manager,Apartment Assistant manager or Manager for Tucson Metro Area,Wilmot Vista Apartments,,"Tucson, AZ",$14 - $20 an hour,Not Remote
13, Arizona,Tucson,11,Manager,Manager In Training,Colonial Life,3.6,"Tucson, AZ",Unknown,Not Remote
14, Arizona,Tucson,11,Manager,Store Manager (AZ-Tucson),VICTRA,2.7,"Tucson, AZ",Unknown,Not Remote
15, Arizona,Tucson,11,Manager,Community Manager,SCOTIA GROUP MANAGEMENT,,"Tucson, AZ","$40,000 - $45,000 a year",Not Remote
16, Arizona,Tucson,11,Manager,Case Manager,Placita In Home Care,,"Tucson, AZ","$40,000 - $55,000 a year",Not Remote
17, Arizona,Tucson,11,Manager,Tucson Spectrum - Assistant Manager,Harkins Theatres,3.8,"Tucson, AZ",Unknown,Not Remote
18, Arizona,Tucson,11,Manager,Campus Recreation Manager I,University of Arizona,4.3,"Tucson, AZ","$37,506 a year",Not Remote
19, Arizona,Tucson,11,Manager,Resident Services Manager,Landmark Properties,3.7,"Tucson, AZ",Unknown,Not Remote
20, Arizona,Tucson,11,Manager,Leasing Manager,Greystar,3.6,"Tucson, AZ",Unknown,Not Remote
21, Arizona,Tucson,11,Manager,Events Manager,Desert Diamond Casinos & Entertainment,3.6,"Tucson, AZ",Unknown,Not Remote
22, Arizona,Tucson,11,Manager,Manager in Training Program,Bemme Design,,"Tucson, AZ","$43,000 - $85,000 a year",Temporarily remote
