,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Arizona,Phoenix,33,Miscellaneous Protective Service Workers,Customer Service Representative,Designer Cabinet Refinishing,,"Phoenix, AZ",$15 - $17 an hour,Not Remote
1, Arizona,Phoenix,33,Miscellaneous Protective Service Workers,Black Bear Diner Assistant Restaurant Manager,Black Bear Diner,3.4,"Laveen, AZ","$50,000 - $57,000 a year",Not Remote
2, Arizona,Phoenix,33,Miscellaneous Protective Service Workers,Black Bear Diner Assistant Restaurant Manager,Black Bear Diner,3.4,"Tempe, AZ","$50,000 - $57,000 a year",Not Remote
0, Arizona,Phoenix,35,Private Chef,"Chef/Sous Chef - located in Macks Inn, Idaho",Flat Rock Club,,"Phoenix, AZ","$3,000 - $3,500 a month",Not Remote
1, Arizona,Phoenix,35,Private Chef,"Chef/Sous Chef - located in Macks Inn, Idaho",Flat Rock Club,,"Phoenix, AZ","$3,000 - $3,500 a month",Not Remote
2, Arizona,Phoenix,35,Private Chef,Banquet Cook,Arizona Country Club,3.5,"Phoenix, AZ",Unknown,Not Remote
0, Arizona,Phoenix,35,Waitresses,Server,Red Robin,3.6,"Phoenix, AZ",Unknown,Not Remote
1, Arizona,Phoenix,35,Waitresses,Servers - Cashiers - Runners - Hosts - Bartenders - Line - Cooks - Prep Cooks - Expos - Bakers - Dishwashers,Hopdoddy,3.6,"Phoenix, AZ",Unknown,Not Remote
2, Arizona,Phoenix,35,Waitresses,Server - Desert Sky Chili's,Chilis,3.7,"Phoenix, AZ",Unknown,Not Remote
3, Arizona,Phoenix,35,Waitresses,looking for Part Time Waitress,International house of food,,"Phoenix, AZ","$25,000 - $47,077 a year",Not Remote
4, Arizona,Phoenix,35,Waitresses,Server/Busser/Food Runner,Johnny Rockets,3.6,"Phoenix, AZ",From $9.15 an hour,Not Remote
5, Arizona,Phoenix,35,Waitresses,Server,Red Robin,3.6,"Phoenix, AZ",Unknown,Not Remote
6, Arizona,Phoenix,35,Waitresses,OC COMPASS SERVER - RESTAURANT,Hyatt Regency Phoenix,4.1,"Phoenix, AZ",Unknown,Not Remote
7, Arizona,Phoenix,35,Waitresses,Server,TRUE FOOD KITCHEN,3.7,"Phoenix, AZ","Up to $1,000 a week",Not Remote
8, Arizona,Phoenix,35,Waitresses,Team Member,Pizza Hut,3.6,"Phoenix, AZ",Unknown,Not Remote
9, Arizona,Phoenix,35,Waitresses,Team Member,Pizza Hut,3.6,"Phoenix, AZ",Unknown,Not Remote
10, Arizona,Phoenix,35,Waitresses,Restaurant Server,Old Spaghetti Factory,3.6,"Phoenix, AZ",Unknown,Not Remote
11, Arizona,Phoenix,35,Waitresses,Server/Busser/Food Runner,Johnny Rockets,3.6,"Phoenix, AZ",From $9.15 an hour,Not Remote
