,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Arkansas,Little Rock,11,Facilities Manager,Chief Engineer,WLR Hotel,,"Little Rock, AR","Up to $50,000 a year",Not Remote
1, Arkansas,Little Rock,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
2, Arkansas,Little Rock,11,Facilities Manager,OPERATIONS & FACILITY MANAGER,Arkansas Game & Fish Commission,4.0,"Little Rock, AR","$56,039 a year",Not Remote
3, Arkansas,Little Rock,11,Facilities Manager,Building Manager - Montgomery,Crain Automotive Team,2.3,"Montgomery, AL",Unknown,Not Remote
4, Arkansas,Little Rock,11,Facilities Manager,Maintenance Supervisor,RREAF Residential,,"Little Rock, AR",$18 - $22 an hour,Not Remote
5, Arkansas,Little Rock,11,Facilities Manager,Chief Engineer,WLR Hotel,,"Little Rock, AR","Up to $50,000 a year",Not Remote
6, Arkansas,Little Rock,11,Facilities Manager,Maintenance Supervisor,Atrium Hospitality,2.9,"Little Rock, AR",Unknown,Not Remote
7, Arkansas,Little Rock,11,Facilities Manager,Maintenance Supervisor,LEDIC Realty Company,2.9,"Little Rock, AR",Unknown,Not Remote
8, Arkansas,Little Rock,11,Facilities Manager,Maintenance Supervisor,SANDHURST APARTMENT MANAGEMENT,3.7,"Little Rock, AR",Unknown,Not Remote
9, Arkansas,Little Rock,11,Facilities Manager,Maintenance Supervisor,Envolve Client Services Group LLC,,"Little Rock, AR",Unknown,Not Remote
10, Arkansas,Little Rock,11,Facilities Manager,Experienced Apartment Maintenance Supervisor,Estage Property Management,,"Little Rock, AR","$44,000 - $48,000 a year",Not Remote
0, Arkansas,Little Rock,11,Funeral Home Managers,Unit Manager,The Greenhouse Cottages of Poplar Grove,2.1,"Little Rock, AR",$25 - $30 an hour,Not Remote
1, Arkansas,Little Rock,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
2, Arkansas,Little Rock,11,Funeral Home Managers,Lead Family Resource Coordinator,ARORA,3.9,"Little Rock, AR",Unknown,Not Remote
3, Arkansas,Little Rock,11,Funeral Home Managers,Unit Manager,The Greenhouse Cottages of Poplar Grove,2.1,"Little Rock, AR",$25 - $30 an hour,Not Remote
0, Arkansas,Little Rock,11,Manager,Office Manager,Shewmake Plastic Surgery & The Skin Retreat,,"Little Rock, AR","$50,000 - $60,000 a year",Not Remote
1, Arkansas,Little Rock,11,Manager,Mall Manager,"Kohan Retail Investment Group, LLC",,"Little Rock, AR","$60,000 - $70,000 a year",Not Remote
2, Arkansas,Little Rock,11,Manager,Clinical Operations Lead,"Advanced Monitoring Services, Inc",,"Little Rock, AR","From $50,000 a year",Not Remote
3, Arkansas,Little Rock,11,Manager,Fleet Manager,TLI | Riverside Transport Inc,,"North Little Rock, AR",Unknown,Not Remote
4, Arkansas,Little Rock,11,Manager,Area Manager,Bridgestone Retail Operations LLC.||Job Posting,,"Little Rock, AR",Unknown,Not Remote
5, Arkansas,Little Rock,11,Manager,District Manager,Airgas Inc.,3.2,"Little Rock, AR",Unknown,Not Remote
6, Arkansas,Little Rock,11,Manager,Wireless District Manager,Premium Retail Services,3.3,"Little Rock, AR","$80,000 - $100,000 a year",Not Remote
7, Arkansas,Little Rock,11,Manager,Office Manager with IT Experience,Confidential,,"Little Rock, AR",$12 - $26 an hour,Not Remote
8, Arkansas,Little Rock,11,Manager,Construction Manager,Unite Private Networks,,"Little Rock, AR",Unknown,Temporarily remote
9, Arkansas,Little Rock,11,Manager,Office Manager,Shewmake Plastic Surgery & The Skin Retreat,,"Little Rock, AR","$50,000 - $60,000 a year",Not Remote
10, Arkansas,Little Rock,11,Manager,Office Manager,System Scale Corporation,3.3,"North Little Rock, AR","$37,440 a year",Not Remote
11, Arkansas,Little Rock,11,Manager,Mall Manager,"Kohan Retail Investment Group, LLC",,"Little Rock, AR","$60,000 - $70,000 a year",Not Remote
12, Arkansas,Little Rock,11,Manager,Area Manager,Bridgestone Retail Operations LLC.||Job Posting,,"Little Rock, AR",Unknown,Not Remote
