,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Arkansas,Little Rock,11,Facilities Manager,Maintenance Manager,"Plastic Executive Recruiters, LLC",,"Little Rock, AR","$85,000 - $95,000 a year",Not Remote
1, Arkansas,Little Rock,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
2, Arkansas,Little Rock,11,Facilities Manager,Maintenance Manager - Material Handling Equipment,CBRE,3.7,"Little Rock, AR",Unknown,Not Remote
3, Arkansas,Little Rock,11,Facilities Manager,Maintenance Manager,Rock Capital Fund LLC,,"Little Rock, AR","From $45,000 a year",Not Remote
4, Arkansas,Little Rock,11,Facilities Manager,Area Material Handling Maintenance Manager,CBRE,3.7,"Little Rock, AR",Unknown,Not Remote
5, Arkansas,Little Rock,11,Facilities Manager,CMMS Maintenance Planner,CBRE,3.7,"Little Rock, AR",Unknown,Not Remote
6, Arkansas,Little Rock,11,Facilities Manager,Maintenance Supervisor,Elmington,,"Little Rock, AR",Unknown,Not Remote
7, Arkansas,Little Rock,11,Facilities Manager,Maintenance Supervisor,RREAF Residential,,"Little Rock, AR",$19 - $22 an hour,Not Remote
8, Arkansas,Little Rock,11,Facilities Manager,Maintenance Supervisor,"Richardson Properties, LLC",,"North Little Rock, AR",Unknown,Not Remote
9, Arkansas,Little Rock,11,Facilities Manager,Maintenance Supervisor,"Richardson Properties, LLC",,"Little Rock, AR",Unknown,Not Remote
10, Arkansas,Little Rock,11,Facilities Manager,Maintenance Supervisor,SPM Property Management,3.1,"Little Rock, AR",Unknown,Not Remote
11, Arkansas,Little Rock,11,Facilities Manager,Maintenance Supervisor,"Southeastern Property Management, LLC",,"Little Rock, AR",Unknown,Not Remote
0, Arkansas,Little Rock,11,Funeral Home Managers,Warehouse Manager/Driver,"Thacker Caskets, Inc.",3.3,"North Little Rock, AR",$19 an hour,Not Remote
1, Arkansas,Little Rock,11,Funeral Home Managers,Marketing Director- Director of Donation Development,Arkansas Regional Organ Recovery Agency (ARORA),,"Little Rock, AR",Unknown,Not Remote
0, Arkansas,Little Rock,11,Manager,Senior Account Manager,Grace Manufacturing Inc,,"Little Rock, AR",Unknown,Not Remote
1, Arkansas,Little Rock,11,Manager,Restaurant Area Supervisor,McDonald's - Little Rock,3.5,"Little Rock, AR","$60,000 - $80,000 a year",Not Remote
2, Arkansas,Little Rock,11,Manager,Title Manager,Confidential - Insurance,,"Little Rock, AR",Unknown,Not Remote
3, Arkansas,Little Rock,11,Manager,Sales Manager,New York Life Insurance Company,,"Little Rock, AR","$105,000 - $169,533 a year",Temporarily remote
4, Arkansas,Little Rock,11,Manager,Front Office Manager,LIT Hotels,,"Little Rock, AR","$35,568 a year",Not Remote
5, Arkansas,Little Rock,11,Manager,Sales Manager,B. Barnett,,"Little Rock, AR","Up to $35,000 a year",Not Remote
6, Arkansas,Little Rock,11,Manager,Fleet Manager,Pinnacle Express,3.3,"Little Rock, AR","$40,000 - $60,000 a year",Not Remote
7, Arkansas,Little Rock,11,Manager,Office Manager,System Scale Corporation,3.3,"North Little Rock, AR","$37,440 a year",Not Remote
8, Arkansas,Little Rock,11,Manager,"Regional Operations Manager- Little Rock, AR",Henry Schein,3.7,"Little Rock, AR",Unknown,Not Remote
9, Arkansas,Little Rock,11,Manager,Regional Manager of Operations – Director,The Fresh Market Inc,3.0,"Little Rock, AR",Unknown,Not Remote
10, Arkansas,Little Rock,11,Manager,Warehouse Manager/Driver,"Thacker Caskets, Inc.",3.3,"North Little Rock, AR",$19 an hour,Not Remote
11, Arkansas,Little Rock,11,Manager,Project Manager,Arkansas Blue Cross and Blue Shield,4.0,"Little Rock, AR",Unknown,Not Remote
12, Arkansas,Little Rock,11,Manager,Regional Office Manager,ARCARE,3.3,"Little Rock, AR",Unknown,Not Remote
13, Arkansas,Little Rock,11,Manager,Manufacturing Operations Manager,Moonlight Mixes,,"Little Rock, AR",Unknown,Not Remote
14, Arkansas,Little Rock,11,Manager,General Manager,"Kohan Retail Investment Group, LLC",,"Little Rock, AR","From $61,000 a year",Not Remote
15, Arkansas,Little Rock,11,Manager,Junior Assistant Manager,Rainbow USA,3.4,"Little Rock, AR",Unknown,Not Remote
16, Arkansas,Little Rock,11,Manager,Asst. Branch Manager,Centennial Bank,,"North Little Rock, AR",Unknown,Not Remote
17, Arkansas,Little Rock,11,Manager,General Manager,Fairfield Inn & Suites by Marriott,3.5,"Little Rock, AR","$30,581 - $55,000 a year",Not Remote
18, Arkansas,Little Rock,11,Manager,Asst. Branch Manager,Centennial Bank,,"North Little Rock, AR",Unknown,Not Remote
19, Arkansas,Little Rock,11,Manager,GRC Analyst Project Manager,"Dillard's, Inc.",3.3,"Little Rock, AR",Unknown,Not Remote
20, Arkansas,Little Rock,11,Manager,Asst. Branch Manager,Centennial BANK,,"North Little Rock, AR",Unknown,Not Remote
21, Arkansas,Little Rock,11,Manager,EHS&S Manager,JM Huber Corporation,3.8,"Little Rock, AR",Unknown,Not Remote
22, Arkansas,Little Rock,11,Manager,Case Manager II,Encompass Health,3.4,"Sherwood, AR",Unknown,Not Remote
23, Arkansas,Little Rock,11,Manager,Team Member/Team Leader,Tropical Smoothie Cafe,4.4,"North Little Rock, AR",$11 - $15 an hour,Not Remote
24, Arkansas,Little Rock,11,Manager,Account Manager,Medline Industries Inc,3.4,"Little Rock, AR",Unknown,Not Remote
25, Arkansas,Little Rock,11,Manager,Retail Store Manager - Relocatable,TA Petro Stopping Centers,,"North Little Rock, AR","$55,000 - $60,000 a year",Not Remote
26, Arkansas,Little Rock,11,Manager,Senior Brand Manager,Stone Ward,,"Little Rock, AR",Unknown,Not Remote
27, Arkansas,Little Rock,11,Manager,Planning and Scheduling Manager,"Dewolff, Boberg & Associates",3.1,"Little Rock, AR","$100,000 - $116,000 a year",Not Remote
28, Arkansas,Little Rock,11,Manager,Assistant Property Manager,Wehner Multifamily,2.0,"North Little Rock, AR",Unknown,Not Remote
29, Arkansas,Little Rock,11,Manager,Guest Service Manager,"MCKIBBON HOTEL MANAGEMENT, INC.",,"Little Rock, AR",Unknown,Not Remote
30, Arkansas,Little Rock,11,Manager,Retail Store Manager,Kendra Scott,3.9,"Little Rock, AR",Unknown,Not Remote
31, Arkansas,Little Rock,11,Manager,Materials Handler Supervisor,US Department of Veterans Affairs,3.8,"Little Rock, AR",$23.52 - $27.41 an hour,Not Remote
32, Arkansas,Little Rock,11,Manager,Research Program Manager,UAMS Medical Center,4.0,"Little Rock, AR",Unknown,Not Remote
33, Arkansas,Little Rock,11,Manager,Front Office Manager,LIT Hotels,,"Little Rock, AR","$35,568 a year",Not Remote
34, Arkansas,Little Rock,11,Manager,"Now Hiring Field Manager for covid-19 testing site in Little Rock, AR",Health Care Company,,"Little Rock, AR",$12 - $18 an hour,Not Remote
35, Arkansas,Little Rock,11,Manager,Branch Manager,Anixter,3.5,"Little Rock, AR",Unknown,Not Remote
36, Arkansas,Little Rock,11,Manager,"Radiology Imaging Manager, Radiology, M-F 8a-5p, Full-Time",Arkansas Children's Hospital,4.1,"Little Rock, AR",Unknown,Not Remote
37, Arkansas,Little Rock,11,Manager,"Financial Manager - Little Rock, AR",Gainwell Technologies,3.0,"Little Rock, AR",Unknown,Not Remote
38, Arkansas,Little Rock,11,Manager,"Manager, Business Development",Core-Mark International,2.9,"Little Rock, AR",Unknown,Not Remote
39, Arkansas,Little Rock,11,Manager,Program Manager,Thermo Fisher Scientific,3.5,"Little Rock, AR",Unknown,Not Remote
40, Arkansas,Little Rock,11,Manager,Assistant Property Manager,"Wehner Multifamily, LLC",2.0,"North Little Rock, AR",Unknown,Not Remote
41, Arkansas,Little Rock,11,Manager,Project Manager,The Kleane Kare Team,,"Little Rock, AR",Unknown,Not Remote
42, Arkansas,Little Rock,11,Manager,Marketing Manager,AXPM Dental Management LLC,,"Little Rock, AR",Unknown,Not Remote
43, Arkansas,Little Rock,11,Manager,Assistant General Manager,Holiday Retirement,2.8,"Little Rock, AR",Unknown,Not Remote
44, Arkansas,Little Rock,11,Manager,WORK BASED LEARNING CASE MANAGER,Equus Workforce Solutions,3.4,"Little Rock, AR",Unknown,Not Remote
45, Arkansas,Little Rock,11,Manager,Manufacturing Production Supervisor,3M,4.0,"Little Rock, AR",Unknown,Not Remote
46, Arkansas,Little Rock,11,Manager,Shift Operations Manager,YRC Freight,3.2,"Little Rock, AR",Unknown,Not Remote
47, Arkansas,Little Rock,11,Manager,Produce Manager,Natural Grocers,3.2,"Little Rock, AR",$16 an hour,Not Remote
48, Arkansas,Little Rock,11,Manager,Corporate Listing Manager,Crye-Leike,,"Little Rock, AR",Unknown,Not Remote
49, Arkansas,Little Rock,11,Manager,Market Retail Manager,Simmons Bank,3.6,"Little Rock, AR",Unknown,Not Remote
50, Arkansas,Little Rock,11,Manager,Default Prevention Manager,Shorter College,3.8,"North Little Rock, AR",Unknown,Not Remote
51, Arkansas,Little Rock,11,Manager,Client Success Manager,Hires Now,,"Little Rock, AR","$45,000 - $50,000 a year",Not Remote
52, Arkansas,Little Rock,11,Manager,Assistant Financial Center Manager,Simmons Bank,3.6,"Little Rock, AR",Unknown,Not Remote
53, Arkansas,Little Rock,11,Manager,Store Manager,Lowe's,3.6,"Little Rock, AR",Unknown,Not Remote
54, Arkansas,Little Rock,11,Manager,Sales Manager,New York Life Insurance Company,,"Little Rock, AR","$105,000 - $169,533 a year",Temporarily remote
55, Arkansas,Little Rock,11,Manager,"Manager, Operations - Field",Shutterfly,3.7,"Little Rock, AR",Unknown,Not Remote
0, Arkansas,Little Rock,11,Personal Service Managers,HVAC SHEETMETAL FOREMAN,"A-C Specialties, Inc",2.0,"North Little Rock, AR",$18 - $25 an hour,Not Remote
1, Arkansas,Little Rock,11,Personal Service Managers,Restaurant Area Supervisor,McDonald's - Little Rock,3.5,"Little Rock, AR","$60,000 - $80,000 a year",Not Remote
2, Arkansas,Little Rock,11,Personal Service Managers,Title Manager,Confidential - Insurance,,"Little Rock, AR",Unknown,Not Remote
3, Arkansas,Little Rock,11,Personal Service Managers,Senior Account Manager,Grace Manufacturing Inc,,"Little Rock, AR",Unknown,Not Remote
4, Arkansas,Little Rock,11,Personal Service Managers,Desktop Client Technician,HMS Mfg. Co.,,"Little Rock, AR",$20 - $22 an hour,Not Remote
5, Arkansas,Little Rock,11,Personal Service Managers,Human Resources Assistant,Transportation Security Administration,3.2,"Little Rock, AR","$43,230 - $64,915 a year",Not Remote
6, Arkansas,Little Rock,11,Personal Service Managers,Logistics (Schedule) and Compliance Coordinator,Environmental Company-Confidential,,"Little Rock, AR","From $30,000 a year",Not Remote
7, Arkansas,Little Rock,11,Personal Service Managers,Carrier Sales Representative,Priority-1 Inc,,"Little Rock, AR","$40,000 a year",Not Remote
8, Arkansas,Little Rock,11,Personal Service Managers,Service Advisor,McLarty Honda,,"Little Rock, AR",$12 - $30 an hour,Not Remote
9, Arkansas,Little Rock,11,Personal Service Managers,Customer Service Support Representative,Pearson,3.7,"Little Rock, AR",Unknown,Remote
10, Arkansas,Little Rock,11,Personal Service Managers,Human Resources Assistant,Transportation Security Administration,3.2,"Little Rock, AR","$43,230 - $64,915 a year",Not Remote
11, Arkansas,Little Rock,11,Personal Service Managers,Youth Program AmeriCorps Member,Our House,3.9,"Little Rock, AR","$1,088 a month",Not Remote
12, Arkansas,Little Rock,11,Personal Service Managers,Teller,Arvest,3.7,"North Little Rock, AR",Unknown,Not Remote
13, Arkansas,Little Rock,11,Personal Service Managers,Assistant Service Advisor,Fletcher Dodge,4.1,"North Little Rock, AR",$11 - $13 an hour,Not Remote
14, Arkansas,Little Rock,11,Personal Service Managers,Team Member,Burger King | Ampler Burgers,3.4,"Little Rock, AR",Unknown,Not Remote
15, Arkansas,Little Rock,11,Personal Service Managers,Retail Sales Associate,Freiderica Pharmacy & Compounding,,"Little Rock, AR",From $13 an hour,Not Remote
16, Arkansas,Little Rock,11,Personal Service Managers,Customer Service Associate - Temporary,WALGREENS,3.6,"Little Rock, AR",Unknown,Not Remote
17, Arkansas,Little Rock,11,Personal Service Managers,Personal Assistant,21st Century Janitorial Services INC,1.0,"Little Rock, AR",Unknown,Not Remote
18, Arkansas,Little Rock,11,Personal Service Managers,Patient Care Technician Emergency Department,UAMS Medical Center,4.0,"Little Rock, AR",Unknown,Not Remote
19, Arkansas,Little Rock,11,Personal Service Managers,Materials Handler Supervisor,US Department of Veterans Affairs,3.8,"Little Rock, AR",$23.52 - $27.41 an hour,Not Remote
20, Arkansas,Little Rock,11,Personal Service Managers,Desktop Client Technician,HMS Mfg. Co.,,"Little Rock, AR",$20 - $22 an hour,Not Remote
21, Arkansas,Little Rock,11,Personal Service Managers,Instructional Support Consultant,Pearson,3.7,"Little Rock, AR","$60,000 - $65,000 a year",Not Remote
22, Arkansas,Little Rock,11,Personal Service Managers,Office Manager,System Scale Corporation,3.3,"North Little Rock, AR","$37,440 a year",Not Remote
23, Arkansas,Little Rock,11,Personal Service Managers,Fleet Manager,Pinnacle Express,3.3,"Little Rock, AR","$40,000 - $60,000 a year",Not Remote
