,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, California,Los Angeles,11,Facilities Manager,FACILITIES MAINTENANCE MANAGER,City of Burbank,4.5,"Burbank, CA",Unknown,Not Remote
1, California,Los Angeles,11,Facilities Manager,Onsite Facilities Manager,Jenkins Properties Management Company,,"Los Angeles, CA",$20 an hour,Not Remote
2, California,Los Angeles,11,Facilities Manager,Maintenance Coordinator - Entry Level!,"SoLa Rentals, Inc.",2.9,"Los Angeles, CA",From $15 an hour,Not Remote
3, California,Los Angeles,11,Facilities Manager,Facilities Coordinator Early Education Program,CALIFORNIA CHILDRENS ACADEMY,,"Los Angeles, CA",$19 - $23 an hour,Not Remote
4, California,Los Angeles,11,Facilities Manager,FACILITIES MAINTENANCE MANAGER,"City of Burbank, CA",,"Burbank, CA",Unknown,Not Remote
5, California,Los Angeles,11,Facilities Manager,Manager - Maintenance/Facilities,Cedars-Sinai,4.2,"Beverly Hills, CA",Unknown,Not Remote
6, California,Los Angeles,11,Facilities Manager,Facilities Manager Associate,Dhar Mann Studios,5.0,"Burbank, CA",$20 - $30 an hour,Not Remote
7, California,Los Angeles,11,Facilities Manager,Facilities Manager - Beverly Hills,Mandarin Oriental Hotel Group,4.1,"Beverly Hills, CA",Unknown,Not Remote
8, California,Los Angeles,11,Facilities Manager,Temple Facilities Manager E (Full-time)- Newport Temple,The Church of Jesus Christ of Latter-day Saints,4.8,"Los Angeles, CA",Unknown,Not Remote
9, California,Los Angeles,11,Facilities Manager,Facilities Manager,Barry's,3.4,"Los Angeles, CA",Unknown,Not Remote
10, California,Los Angeles,11,Facilities Manager,Onsite Facilities Manager,Jenkins Properties Management Company,,"Los Angeles, CA",$20 an hour,Not Remote
11, California,Los Angeles,11,Facilities Manager,Facilities Coordinator,California Community Foundation,4.3,"Los Angeles, CA",Unknown,Not Remote
12, California,Los Angeles,11,Facilities Manager,Maintenance - Live On Site Facilities Manager / Maintenance Manager - Eastown,Western National Group,3.3,"Los Angeles, CA",Unknown,Not Remote
13, California,Los Angeles,11,Facilities Manager,MAINTENANCE MANAGER,P&J Hospital Inc,,"Bell, CA",$24 - $30 an hour,Not Remote
14, California,Los Angeles,11,Facilities Manager,Facilities Supervisor,Shields for Familes,,"Los Angeles, CA",Unknown,Not Remote
15, California,Los Angeles,11,Facilities Manager,Facility Operations Coordinator - SoFi Stadium,Hollywood Park I SoFi Stadium I KSE Esports,,"Inglewood, CA",Unknown,Not Remote
16, California,Los Angeles,11,Facilities Manager,Facilities Supervisor,Clinica Romero,3.5,"Los Angeles, CA",Unknown,Not Remote
17, California,Los Angeles,11,Facilities Manager,Preventative Maintenance and Procurement Coordinator | 11101 G&A Facilities LA,Goodwill Southern California,3.3,"Los Angeles, CA",Unknown,Not Remote
18, California,Los Angeles,11,Facilities Manager,Maintenance - Assistant Facilities Manager/Assistant Maintenance Manager - Eastown,Western National Group,3.3,"Los Angeles, CA",Unknown,Not Remote
19, California,Los Angeles,11,Facilities Manager,Facility Manager,Schlesinger Group,3.0,"Los Angeles, CA",Unknown,Not Remote
20, California,Los Angeles,11,Facilities Manager,SERVICE MAINTENANCE MANAGER - EXEMPT,GHP Management Corporation,3.2,"Los Angeles, CA",Unknown,Not Remote
21, California,Los Angeles,11,Facilities Manager,Industrial Maintenance Manager,Chef Merito,,"Los Angeles, CA","$75,000 - $85,000 a year",Not Remote
22, California,Los Angeles,11,Facilities Manager,"Director of Facilities Management, Full Time 08:00AM - 16:30PM",Beverly Hospital,3.7,"Montebello, CA",Unknown,Not Remote
23, California,Los Angeles,11,Facilities Manager,Maintenance Coordinator - Entry Level!,"SoLa Rentals, Inc.",2.9,"Los Angeles, CA",From $15 an hour,Not Remote
24, California,Los Angeles,11,Facilities Manager,Maintenance Supervisor,Polaris Property Management,4.0,"Los Angeles, CA",$27 - $30 an hour,Not Remote
25, California,Los Angeles,11,Facilities Manager,Maintenance Supervisor - Residential,Decron Properties,3.6,"Los Angeles, CA",Unknown,Not Remote
26, California,Los Angeles,11,Facilities Manager,Facilities Coordinator Early Education Program,CALIFORNIA CHILDRENS ACADEMY,,"Los Angeles, CA",$19 - $23 an hour,Not Remote
27, California,Los Angeles,11,Facilities Manager,Chief Maintenance Engineer,Silver Cloud Hotel - Tacoma Point Ruston Waterfron...,,"Los Angeles, CA",Unknown,Not Remote
28, California,Los Angeles,11,Facilities Manager,Director of Plant Maintenance,Country Villa Wilshire,4.3,"Los Angeles, CA",Unknown,Not Remote
29, California,Los Angeles,11,Facilities Manager,Maintenance Supervisor,Cushman & Wakefield,3.8,"Los Angeles, CA",Unknown,Not Remote
30, California,Los Angeles,11,Facilities Manager,Lead Apartment Maintenance Technician,The Jacobson Company,,"Los Angeles, CA",$26 - $28 an hour,Not Remote
