,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, California,Los Angeles,11,Facilities Manager,Facilities Manager,CannabizTeam,,"Los Angeles, CA","From $80,000 a year",Not Remote
1, California,Los Angeles,11,Facilities Manager,Regional IT & Facilities Supervisor,ACCESS Specialty Animal Hospital - Los Angeles,,California,"From $60,000 a year",Not Remote
2, California,Los Angeles,11,Facilities Manager,Facilities Manager,Charles R. Drew University,2.8,"Los Angeles, CA",Unknown,Not Remote
3, California,Los Angeles,11,Facilities Manager,Assistant Facilities Planning Manager,UCLA,4.3,"Los Angeles, CA",Unknown,Not Remote
4, California,Los Angeles,11,Facilities Manager,Facilities Manager,CBRE,3.7,"Los Angeles, CA",Unknown,Not Remote
5, California,Los Angeles,11,Facilities Manager,Service Manager - Maintenance & Facilities,Align Residential,,"Los Angeles, CA",Unknown,Not Remote
6, California,Los Angeles,11,Facilities Manager,Sr. Manager of Facilities,Men's Health Foundation,4.3,"West Hollywood, CA",Unknown,Not Remote
7, California,Los Angeles,11,Facilities Manager,Office/Facilities Coordinator - TEMPORARY,The Loot Company,,"Los Angeles, CA",$15 an hour,Not Remote
8, California,Los Angeles,11,Facilities Manager,Facilities Coordinator,CBRE,3.7,"Los Angeles, CA",Unknown,Not Remote
9, California,Los Angeles,11,Facilities Manager,Maintenance - Live On Site Facilities Manager / Maintenance Manager - Eastown,Western National Properties,2.6,"Los Angeles, CA",Unknown,Not Remote
10, California,Los Angeles,11,Facilities Manager,Maintenance Manager-MPP Orora Los Angeles,Orora,3.0,"Alhambra, CA",Unknown,Not Remote
11, California,Los Angeles,11,Facilities Manager,Facilities Manager - LA,Pandemic Response Lab,,"Pasadena, CA",Unknown,Not Remote
12, California,Los Angeles,11,Facilities Manager,"Director, Asset Maintenance",Maersk,4.1,"Los Angeles, CA",Unknown,Not Remote
13, California,Los Angeles,11,Facilities Manager,Facilities Supervisor,Clinica Romero,3.5,"Los Angeles, CA",Unknown,Not Remote
14, California,Los Angeles,11,Facilities Manager,Apartment Maintenance Manager,JR&K Property Mgmt LLC,,"Los Angeles, CA",$25 - $30 an hour,Not Remote
15, California,Los Angeles,11,Facilities Manager,Maintenance Manager,BHJ USA LLC,3.0,"Vernon, CA",Unknown,Not Remote
16, California,Los Angeles,11,Facilities Manager,Sr. Electrical Facilities Engineer (SFOF Associate Manager),Emcor,3.2,"Pasadena, CA",Unknown,Not Remote
17, California,Los Angeles,11,Facilities Manager,Maintenance - Assistant Facilities Manager/Assistant Maintenance Manager - Eastown,Western National Properties,2.6,"Los Angeles, CA",Unknown,Not Remote
18, California,Los Angeles,11,Facilities Manager,Maintenance Manager,Mammoth Mountain,4.2,"Los Angeles, CA",From $20 an hour,Not Remote
19, California,Los Angeles,11,Facilities Manager,Facilities Coordinator,CBRE,3.7,"Los Angeles, CA",Unknown,Not Remote
