,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Colorado,Colorado Springs,11,Facilities Manager,Maintenance Director,Solange Assisted Living,1.7,Colorado,"From $41,021 a year",Not Remote
1, Colorado,Colorado Springs,11,Facilities Manager,EHS and Facilities Coordinator,Modern Electron,,Colorado,Unknown,Not Remote
2, Colorado,Colorado Springs,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
3, Colorado,Colorado Springs,11,Facilities Manager,Executive Director of Facilities Management and Operations,University of Colorado,4.1,"Colorado Springs, CO",Unknown,Not Remote
4, Colorado,Colorado Springs,11,Facilities Manager,Assistant Maintenance Manager,Elite Line Services,2.9,"Colorado Springs, CO",$53.44 - $55.00 an hour,Not Remote
5, Colorado,Colorado Springs,11,Facilities Manager,Regional Maintenance Manager - West Region,The Inland Group of Companies,3.4,"Colorado Springs, CO",Unknown,Not Remote
6, Colorado,Colorado Springs,11,Facilities Manager,Facilities Maintenance Coordinator - Powers Pet Emergency & Specialty,PVMG,,"Colorado Springs, CO",Unknown,Not Remote
7, Colorado,Colorado Springs,11,Facilities Manager,ELS - AMZ - Area Maintenance Manager,Daifuku,2.8,"Colorado Springs, CO",Unknown,Not Remote
8, Colorado,Colorado Springs,11,Facilities Manager,Engineering Supervisor,Doubletree Colorado Springs,,"Colorado Springs, CO",Unknown,Not Remote
9, Colorado,Colorado Springs,11,Facilities Manager,Service Manager needed at Aero Place Apartments,"Griffis Blessing, Inc.",3.9,"Colorado Springs, CO",Unknown,Not Remote
10, Colorado,Colorado Springs,11,Facilities Manager,Residential Maintenance Supervisor,Balfour Beatty Investments - North America,3.6,"Colorado Springs, CO","$55,000 - $60,000 a year",Not Remote
11, Colorado,Colorado Springs,11,Facilities Manager,Engineering Supervisor,Doubletree Colorado Springs,3.1,"Colorado Springs, CO",Unknown,Not Remote
12, Colorado,Colorado Springs,11,Facilities Manager,Maintenance Lead Technician,Blue Collar,4.0,"Colorado Springs, CO",$20 - $30 an hour,Not Remote
13, Colorado,Colorado Springs,11,Facilities Manager,Aquatics and Pool Maintenance Supervisor,City of Manitou Springs,3.6,"Manitou Springs, CO",$21.38 - $23.00 an hour,Not Remote
14, Colorado,Colorado Springs,11,Facilities Manager,Structural Maintenance Lead,Widefield School District #3,,"Colorado Springs, CO",$18 - $23 an hour,Not Remote
15, Colorado,Colorado Springs,11,Facilities Manager,Maintenance Supervisor (FT),RHP Properties,2.5,"Colorado Springs, CO",Unknown,Not Remote
16, Colorado,Colorado Springs,11,Facilities Manager,ELS - AMZ - Area Maintenance Manager,Daifuku,2.8,"Colorado Springs, CO",Unknown,Not Remote
17, Colorado,Colorado Springs,11,Facilities Manager,Maintenance Supervisor - Rockrimmon,Greystar,3.6,"Colorado Springs, CO",$23 - $25 an hour,Not Remote
18, Colorado,Colorado Springs,11,Facilities Manager,Structural Maintenance Lead,Widefield School District #3,,"Colorado Springs, CO",$18 - $23 an hour,Not Remote
0, Colorado,Colorado Springs,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
0, Colorado,Colorado Springs,11,Manager,General Manager,The Picnic Basket Family of Companies,3.5,"Colorado Springs, CO","$70,000 - $90,000 a year",Not Remote
1, Colorado,Colorado Springs,11,Manager,Project Manager/Cabinet Frame Painter,Cabinet Craft Finishes,,"Colorado Springs, CO","$30,000 - $50,000 a year",Not Remote
2, Colorado,Colorado Springs,11,Manager,Project Manager/Procurement,Landmark Alliance inc,,"Colorado Springs, CO","From $50,000 a year",Not Remote
3, Colorado,Colorado Springs,11,Manager,Controls Systems Lead,Elite Line Services,2.9,"Colorado Springs, CO",$35.93 - $37.00 an hour,Not Remote
4, Colorado,Colorado Springs,11,Manager,Lead Industrial Maintenance Mechanic,Elite Line Services,2.9,"Colorado Springs, CO",$28.45 - $29.00 an hour,Not Remote
5, Colorado,Colorado Springs,11,Manager,"Operations Manager- Colorado Springs, CO",Amazon.com Services LLC,3.6,"Colorado Springs, CO","$89,200 - $111,500 a year",Not Remote
6, Colorado,Colorado Springs,11,Manager,General Manager,The Picnic Basket Family of Companies,3.5,"Colorado Springs, CO","$70,000 - $90,000 a year",Not Remote
7, Colorado,Colorado Springs,11,Manager,"Area Manager - Colorado Springs, CO",Amazon.com Services LLC,3.6,"Colorado Springs, CO","$59,400 - $74,300 a year",Not Remote
8, Colorado,Colorado Springs,11,Manager,Volunteer Engagement Manager,Care and Share,4.4,"Colorado Springs, CO","$40,500 - $43,000 a year",Not Remote
9, Colorado,Colorado Springs,11,Manager,Lead Fulfillment Associate,Amazon.com Services LLC,3.6,"Colorado Springs, CO",Unknown,Not Remote
10, Colorado,Colorado Springs,11,Manager,General Manager,goPuff,2.9,"Colorado Springs, CO",Unknown,Not Remote
11, Colorado,Colorado Springs,11,Manager,IT Manager,Amazon.com Services LLC,3.6,"Colorado Springs, CO","$99,000 - $160,000 a year",Not Remote
12, Colorado,Colorado Springs,11,Manager,Webmaster and Creative Content Manager,USA Cycling,3.7,"Colorado Springs, CO","$80,000 - $100,000 a year",Remote
13, Colorado,Colorado Springs,11,Manager,Operations Manager,Superpedestrian,3.3,"Colorado Springs, CO",Unknown,Not Remote
14, Colorado,Colorado Springs,11,Manager,General Manager Car Wash/Detail,Water Works Car Wash,,"Colorado Springs, CO",$20 - $22 an hour,Not Remote
15, Colorado,Colorado Springs,11,Manager,Creative Content Manager,Switchbacks FC,,"Colorado Springs, CO",Unknown,Not Remote
16, Colorado,Colorado Springs,11,Manager,General Manager in Training,Springs Adventure Park,5.0,"Colorado Springs, CO",$20 - $26 an hour,Not Remote
17, Colorado,Colorado Springs,11,Manager,Parts Manager,Trine Aerospace,,"Colorado Springs, CO",Unknown,Not Remote
18, Colorado,Colorado Springs,11,Manager,"Office Manager - Fountain, CO",Bruckner's,,"Colorado Springs, CO",Unknown,Not Remote
19, Colorado,Colorado Springs,11,Manager,Subway Manager,Subway,3.6,"Colorado Springs, CO","$33,500 - $36,000 a year",Not Remote
20, Colorado,Colorado Springs,11,Manager,Sewing and Vacuum Retail Store Manager,Rocky Mountain Sewing and Vacuum,4.0,"Colorado Springs, CO","$60,000 - $80,000 a year",Not Remote
21, Colorado,Colorado Springs,11,Manager,Content & Social Media Manager,Colorado College,4.1,"Colorado Springs, CO",Unknown,Not Remote
