,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Colorado,Denver,11,Facilities Manager,Maintenance/Facilities Manager,EXDO Properties,,"Denver, CO","From $70,000 a year",Not Remote
1, Colorado,Denver,11,Facilities Manager,"Manager, Maintenance - FULL TIME",Brookdale Senior Living,2.9,"Englewood, CO",Unknown,Not Remote
2, Colorado,Denver,11,Facilities Manager,"Director, Facilities & Exhibition",Eleventh Hour,,"Denver, CO","$80,000 - $110,000 a year",Not Remote
3, Colorado,Denver,11,Facilities Manager,Facility Manager,Greenbox Self Storage,,"Denver, CO",$17 - $21 an hour,Not Remote
4, Colorado,Denver,11,Facilities Manager,Facilities Maintenance Manager,Aquarium Denver,3.2,"Denver, CO",Unknown,Not Remote
5, Colorado,Denver,11,Facilities Manager,Maintenance/Facilities Manager,EXDO Properties,,"Denver, CO","From $70,000 a year",Not Remote
6, Colorado,Denver,11,Facilities Manager,ASSISTANT FACILITY MANAGER III,Denver Public Schools,3.6,"Denver, CO",$19.29 an hour,Not Remote
7, Colorado,Denver,11,Facilities Manager,Facility Manager,Greenbox Self Storage,,"Denver, CO",$17 - $21 an hour,Not Remote
8, Colorado,Denver,11,Facilities Manager,"MANAGER II, FACILITY",Denver Public Schools,3.6,"Denver, CO",$23.16 an hour,Not Remote
9, Colorado,Denver,11,Facilities Manager,Engineering Manager,The Maven,,"Denver, CO","Up to $50,000 a year",Not Remote
10, Colorado,Denver,11,Facilities Manager,"MANAGER I, FACILITY",Denver Public Schools,3.6,"Denver, CO",$21.24 an hour,Not Remote
11, Colorado,Denver,11,Facilities Manager,Engineering Manager,Sage Hospitality Resources,3.3,"Denver, CO","Up to $50,000 a year",Not Remote
12, Colorado,Denver,11,Facilities Manager,Director of Maintenance,Our Lady of Lourdes Parish and School,,"Denver, CO",Unknown,Not Remote
13, Colorado,Denver,11,Facilities Manager,Engineering Manager,Sage Hospitality,3.3,"Denver, CO",Unknown,Not Remote
14, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,Wasatch Group,3.6,"Thornton, CO",Unknown,Not Remote
15, Colorado,Denver,11,Facilities Manager,Maintenance Director,Juniper Village at the Spearly Center,3.4,"Denver, CO","$40,000 - $52,000 a year",Not Remote
16, Colorado,Denver,11,Facilities Manager,Service Manager - Lease Up Opportunity!,Mill Creek Residential,3.4,"Denver, CO",Unknown,Not Remote
17, Colorado,Denver,11,Facilities Manager,Assistant Regional Maintenance Manager,Hudson Grove Property Management,3.4,"Denver, CO",Unknown,Not Remote
18, Colorado,Denver,11,Facilities Manager,"Manager, Maintenance - FULL TIME",Brookdale Senior Living,2.9,"Englewood, CO",Unknown,Not Remote
19, Colorado,Denver,11,Facilities Manager,Chief Engineer- Moxy Denver/Cherry Creek,"Vision Hospitality Group, Inc.",3.1,"Denver, CO",Unknown,Not Remote
20, Colorado,Denver,11,Facilities Manager,Chief Engineer,JLL,3.7,"Denver, CO",Unknown,Not Remote
21, Colorado,Denver,11,Facilities Manager,Maintenance Manager,"Apartment Management Consultants, LLC",3.2,"Thornton, CO",$25 an hour,Not Remote
22, Colorado,Denver,11,Facilities Manager,Service Manager,Kairoi Residential,4.1,"Denver, CO",Unknown,Not Remote
23, Colorado,Denver,11,Facilities Manager,Supervisor - Facility Maintenance Operations,United Airlines Inc.,4.0,"Denver, CO",Unknown,Not Remote
24, Colorado,Denver,11,Facilities Manager,Chief Engineer,Atrium Hospitality,2.9,"Denver, CO",Unknown,Not Remote
25, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,Conagra Brands,3.7,"Denver, CO","$75,000 - $90,000 a year",Not Remote
26, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,LEDIC Realty Company,2.9,"Aurora, CO",Unknown,Not Remote
27, Colorado,Denver,11,Facilities Manager,Maintenance Director - Full-Time,WestLake Care Community,4.7,"Lakewood, CO",$19.50 - $23.50 an hour,Not Remote
28, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,Aurora Mental Health,3.5,"Aurora, CO",$25 - $27 an hour,Not Remote
29, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor | Veranda Highpointe,"Avenue5 Residential, LLC",3.1,"Denver, CO","$64,000 - $66,000 a year",Not Remote
30, Colorado,Denver,11,Facilities Manager,"Maintenance Lead (industrial/Manufacturing)- Denver, CO",Altium Packaging,3.1,"Denver, CO",$30 - $35 an hour,Not Remote
31, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,High Level Health,,"Denver, CO",From $20 an hour,Not Remote
32, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,"Ross Management LMG, LLC",,"Aurora, CO",Unknown,Not Remote
33, Colorado,Denver,11,Facilities Manager,"Maintenance Lead- (Industrial Mechanic Lead)- Denver, CO",Altium Packaging,3.1,"Denver, CO",$30 - $35 an hour,Not Remote
34, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,Highmark Residential,3.6,"Denver, CO",Unknown,Not Remote
35, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,Cardinal Group Companies,4.0,"Denver, CO",Unknown,Not Remote
36, Colorado,Denver,11,Facilities Manager,Service Manager,Echelon Property Group,3.3,"Aurora, CO",$22.00 - $23.50 an hour,Not Remote
37, Colorado,Denver,11,Facilities Manager,Service Manager needed at Park Place Olde Town Apartments,"Griffis/Blessing, Inc.",3.9,"Denver, CO",Unknown,Not Remote
38, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,"Apartment Management Consultants, LLC",3.2,"Denver, CO",Unknown,Not Remote
39, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,"The Inland Real Estate Group of Companies, Inc",,"Lakewood, CO",Unknown,Not Remote
40, Colorado,Denver,11,Facilities Manager,Assistant Service Manager,Highmark Residential,3.6,"Westminster, CO",Unknown,Not Remote
41, Colorado,Denver,11,Facilities Manager,Experience Apartment Maintenance Supervisor,Silva-Markham Partners,,"Denver, CO",$22 - $26 an hour,Not Remote
42, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,"Inland Residential Real Estate Services, Inc.",3.6,"Lakewood, CO",$22 - $27 an hour,Not Remote
43, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,RedPeak,,"Denver, CO",Unknown,Not Remote
44, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,Lincoln Property Company,3.6,"Aurora, CO",Unknown,Not Remote
45, Colorado,Denver,11,Facilities Manager,Apartment Maintenance Supervisor,Pinnacle Property Management,3.5,"Aurora, CO",Unknown,Not Remote
46, Colorado,Denver,11,Facilities Manager,Director of Maintenance - Part 145,"Mountain Aviation, LLC.",3.5,"Denver, CO",Unknown,Not Remote
47, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,Pinnacle Property Management Services,2.7,"Aurora, CO",Unknown,Not Remote
48, Colorado,Denver,11,Facilities Manager,Maintenance Supervisor,"Apartment Management Consultants, LLC",3.2,"Federal Heights, CO",Unknown,Not Remote
