,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Connecticut,Bridgeport,11,Facilities Manager,Automation Maintenance Facilities Manager,The Executive Group,,Connecticut,"$84,000 - $109,000 a year",Not Remote
1, Connecticut,Bridgeport,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
2, Connecticut,Bridgeport,11,Facilities Manager,Automation Maintenance Planner,The Executive Group,,Connecticut,"$76,000 - $86,200 a year",Not Remote
3, Connecticut,Bridgeport,11,Facilities Manager,Facilities Director,Lakewood Trumbull YMCA,,"Trumbull, CT",Unknown,Not Remote
4, Connecticut,Bridgeport,11,Facilities Manager,Chief Engineer,Hilton Garden Inn Shelton,,"Shelton, CT","$40,000 - $50,000 a year",Not Remote
5, Connecticut,Bridgeport,11,Facilities Manager,Chief Engineer / Maintenance Manager,Homewood Suites by Hilton Stratford,,"Stratford, CT",Unknown,Not Remote
6, Connecticut,Bridgeport,11,Facilities Manager,Maintenance Supervisor,Related Companies,3.2,"Bridgeport, CT",Unknown,Not Remote
0, Connecticut,Bridgeport,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
0, Connecticut,Bridgeport,11,Manager,Manager of Maintenance,Park City Communities,3.3,"Bridgeport, CT",Unknown,Not Remote
1, Connecticut,Bridgeport,11,Manager,Spa Manager,Confidential,,"Westport, CT","$49,000 - $59,000 a year",Not Remote
2, Connecticut,Bridgeport,11,Manager,Senior Residential Project Manager,Ices Inc,,Connecticut,"$55,000 - $70,000 a year",Not Remote
3, Connecticut,Bridgeport,11,Manager,General Manager,The Little Beet,3.1,"Westport, CT","$60,000 - $65,000 a year",Not Remote
4, Connecticut,Bridgeport,11,Manager,Store Manager,The Fresh Market Inc,3.0,"Westport, CT",Unknown,Not Remote
5, Connecticut,Bridgeport,11,Manager,Warehouse Supervisor,Certified Auto Parts Inc.,3.0,"Bridgeport, CT",Unknown,Not Remote
6, Connecticut,Bridgeport,11,Manager,Case Manager,"Applied Behavioral Rehabilitation Institute, Inc.",,"Bridgeport, CT","$35,000 - $40,000 a year",Not Remote
7, Connecticut,Bridgeport,11,Manager,Office Manager,RIVERSIDE PEDIATRICS LLC,,Connecticut,$30 - $35 an hour,Not Remote
8, Connecticut,Bridgeport,11,Manager,Full-Time Assistant Manager,Prime Now LLC,3.6,"Fairfield, CT",Unknown,Not Remote
9, Connecticut,Bridgeport,11,Manager,HRIS Manager,Fairfield University,4.3,"Fairfield, CT",Unknown,Not Remote
10, Connecticut,Bridgeport,11,Manager,Assistant General Manager,First Transit,3.2,"Bridgeport, CT",Unknown,Not Remote
11, Connecticut,Bridgeport,11,Manager,General Manager,First Transit,3.2,"Bridgeport, CT",Unknown,Not Remote
12, Connecticut,Bridgeport,11,Manager,Safety Manager,First Transit,3.2,"Bridgeport, CT",Unknown,Not Remote
13, Connecticut,Bridgeport,11,Manager,"Office Manager - Fairfield, CT",Envision Pharma Group,3.3,"Fairfield, CT",Unknown,Not Remote
14, Connecticut,Bridgeport,11,Manager,Customer Experience Manager,Thermo Fisher Scientific,3.5,"Bridgeport, CT",Unknown,Not Remote
15, Connecticut,Bridgeport,11,Manager,ASSISTANT STORE MANAGER,Family Dollar,3.2,"Bridgeport, CT",Unknown,Not Remote
16, Connecticut,Bridgeport,11,Manager,Operations Manager,CVS Health Retail,3.4,"Bridgeport, CT",Unknown,Not Remote
17, Connecticut,Bridgeport,11,Manager,Warehouse Supervisor,Certified Auto Parts Inc.,3.0,"Bridgeport, CT",Unknown,Not Remote
18, Connecticut,Bridgeport,11,Manager,District Manager (Soma) Northeast,"Chico's FAS, Inc-Shared Services",3.6,"Trumbull, CT",Unknown,Not Remote
19, Connecticut,Bridgeport,11,Manager,Operations Manager,Floor & Decor,3.2,"Fairfield, CT",Unknown,Not Remote
20, Connecticut,Bridgeport,11,Manager,Manager of Maintenance,Park City Communities,3.3,"Bridgeport, CT",Unknown,Not Remote
21, Connecticut,Bridgeport,11,Manager,Enterprise Performance Manager,LOCKHEED MARTIN CORPORATION,4.0,"Stratford, CT",Unknown,Not Remote
22, Connecticut,Bridgeport,11,Manager,Store Manager,The Fresh Market Inc,3.0,"Westport, CT",Unknown,Not Remote
23, Connecticut,Bridgeport,11,Manager,Youth Outreach and Rapid Rehousing Case Manager,"Homes with Hope, Inc.",,"Bridgeport, CT",$18 - $23 an hour,Not Remote
24, Connecticut,Bridgeport,11,Manager,Case Manager,"Applied Behavioral Rehabilitation Institute, Inc.",,"Bridgeport, CT","$35,000 - $40,000 a year",Not Remote
25, Connecticut,Bridgeport,11,Manager,Customer Success Manager - Connecticut,Qmarkets USA Inc.,,"Fairfield, CT",Unknown,Remote
26, Connecticut,Bridgeport,11,Manager,Customer Experience Manager,Michaels,3.6,"Westport, CT",Unknown,Not Remote
