,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Connecticut,Bridgeport,11,Facilities Manager,Facilities Manager,"Apollo Professional Solutions, Inc",3.8,"Trumbull, CT",$40 - $45 an hour,Not Remote
1, Connecticut,Bridgeport,11,Facilities Manager,Live-In Superintendent/Maintenance,Elderly Housing Management,3.7,"Fairfield, CT",$18 - $20 an hour,Not Remote
2, Connecticut,Bridgeport,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
3, Connecticut,Bridgeport,11,Facilities Manager,Live-In Superintendent/Maintenance,Elderly Housing Management,3.7,"Fairfield, CT",$18 - $20 an hour,Not Remote
0, Connecticut,Bridgeport,11,Manager,Production Manager,Microphase Corporation,,"Stratford, CT","$50,000 - $70,000 a year",Not Remote
1, Connecticut,Bridgeport,11,Manager,Customer Service Manager,"Hartley and Parker Limited, Inc.",,"Stratford, CT",Unknown,Not Remote
2, Connecticut,Bridgeport,11,Manager,Construction Manager - Residential,"Titus Built, LLC",,"Westport, CT","$85,000 - $100,000 a year",Not Remote
3, Connecticut,Bridgeport,11,Manager,Pharmacy Manager,Garafalo Markets LLC dba ShopRite Supermarket,,Connecticut,$57 - $61 an hour,Not Remote
4, Connecticut,Bridgeport,11,Manager,Finance Manager,Concept One Communications,,"Westport, CT",From $35 an hour,Not Remote
5, Connecticut,Bridgeport,11,Manager,Project / Business Manager,Tapestry Health,3.8,"Stratford, CT","$45,000 - $55,000 a year",Not Remote
6, Connecticut,Bridgeport,11,Manager,Community Health Program Manager,"South West Community Health Center, INC",,"Bridgeport, CT",Unknown,Not Remote
7, Connecticut,Bridgeport,11,Manager,Accounting Manager-Webster Bank Arena,OVG Facilities LLC - Bridgeport,,"Bridgeport, CT",Unknown,Not Remote
8, Connecticut,Bridgeport,11,Manager,EMS Manager- Operations and Care Coordination,St. Vincent's Medical Center,3.7,"Bridgeport, CT",Unknown,Not Remote
9, Connecticut,Bridgeport,11,Manager,District Manager,Hearst Connecticut Media Group,3.5,"Bridgeport, CT",Unknown,Not Remote
10, Connecticut,Bridgeport,11,Manager,Warehouse Manager,BENDER,3.8,"Bridgeport, CT",Unknown,Not Remote
11, Connecticut,Bridgeport,11,Manager,"Sr. Operations Manager - Opportunity for Working Remotely Bridgeport, CT",VMware,4.0,"Bridgeport, CT",Unknown,Remote
12, Connecticut,Bridgeport,11,Manager,"Sr. Manager, Worldwide Professional Services Communications & Culture - Opportunity for Working Remotely Bridgeport, CT",VMware,4.0,"Bridgeport, CT",Unknown,Remote
13, Connecticut,Bridgeport,11,Manager,Overnight Merchandise Manager Job,"BJ's Wholesale Club, Inc.",3.3,"Fairfield, CT",Unknown,Not Remote
14, Connecticut,Bridgeport,11,Manager,General Manager,Stretch Zone - 1024,,"Westport, CT","$40,000 - $65,000 a year",Not Remote
15, Connecticut,Bridgeport,11,Manager,Warehouse Manager,Bender Plumbing,3.8,"Bridgeport, CT",Unknown,Not Remote
16, Connecticut,Bridgeport,11,Manager,Warehouse Operations Manager,Auto Plus Auto Parts,3.0,"Stratford, CT",Unknown,Not Remote
17, Connecticut,Bridgeport,11,Manager,District Manager,Hearst Media Services,3.5,"Bridgeport, CT",Unknown,Not Remote
18, Connecticut,Bridgeport,11,Manager,Supervisor - Food - Senior,Sodexo,3.7,"Fairfield, CT",$20 - $23 an hour,Not Remote
19, Connecticut,Bridgeport,11,Manager,Construction Manager - Residential,"Titus Built, LLC",,"Westport, CT","$85,000 - $100,000 a year",Not Remote
20, Connecticut,Bridgeport,11,Manager,"Data Quality and Governance Strategy and Operations Manager - Opportunity for Working Remotely Bridgeport, CT",VMware,4.0,"Bridgeport, CT",Unknown,Remote
