,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Delaware,Dover,11,Facilities Manager,Maintenance Manager - Mobile Home Community,Confidential,,"Smyrna, DE",From $15 an hour,Not Remote
1, Delaware,Dover,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
2, Delaware,Dover,11,Facilities Manager,Maintenance Director-New Senior Living Community (HVAC Certification Preferred),Harmony at Kent,,"Dover, DE",Unknown,Not Remote
0, Delaware,Dover,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
0, Delaware,Dover,11,Manager,Assistant Care Services Manager (RN),Enlivant,2.4,"Dover, DE",Unknown,Not Remote
1, Delaware,Dover,11,Manager,Registration Manager,Beebe Healthcare,3.3,Delaware,Unknown,Not Remote
2, Delaware,Dover,11,Manager,EXPERIENCED HVAC LEAD AND 2ND INSTALLERS WANTED,Horizon Services,3.2,"Kent County, DE",$25 - $30 an hour,Not Remote
3, Delaware,Dover,11,Manager,Pre-Arrival Services Manager,Beebe Healthcare,3.3,Delaware,Unknown,Not Remote
4, Delaware,Dover,11,Manager,Senior Nurse Manager,Bayhealth,3.6,"Dover, DE",Unknown,Not Remote
5, Delaware,Dover,11,Manager,Restaurant Manager & Restaurant General Manager,The Greene Turtle,3.6,"Dover, DE","$40,000 - $60,000 a year",Not Remote
6, Delaware,Dover,11,Manager,Property Manager - Mobile Home Community,Confidential,,"Smyrna, DE",From $15 an hour,Not Remote
7, Delaware,Dover,11,Manager,Maintenance Manager - Mobile Home Community,Confidential,,"Smyrna, DE",From $15 an hour,Not Remote
8, Delaware,Dover,11,Manager,Environmental Program Manager I,State of Delaware,3.6,"Dover, DE",Unknown,Not Remote
9, Delaware,Dover,11,Manager,Medical Case Manager,Highmark Inc,3.2,"Dover, DE",Unknown,Remote
10, Delaware,Dover,11,Manager,Manager of Contract Administration,Middlesex Water Company,3.7,"Dover, DE","$63,000 - $79,700 a year",Not Remote
11, Delaware,Dover,11,Manager,STORE MANAGER,Family Dollar,3.2,"Dover, DE",Unknown,Not Remote
12, Delaware,Dover,11,Manager,Office Manager,Amedisys,3.1,"Dover, DE",Unknown,Not Remote
13, Delaware,Dover,11,Manager,Hospital Operations Manager,Agiliti,3.1,"Dover, DE",Unknown,Not Remote
14, Delaware,Dover,11,Manager,Senior Social Worker/Case Manager,State of Delaware,3.6,"Dover, DE",Unknown,Not Remote
15, Delaware,Dover,11,Manager,Client Care Manager,"CNU Fit, LLC",,"Dover, DE",$10 - $12 an hour,Not Remote
16, Delaware,Dover,11,Manager,Office Manager,Hometown America LLC,4.0,"Camden, DE",Unknown,Not Remote
17, Delaware,Dover,11,Manager,Retail Store Manager,Bob's Discount Furniture,3.5,"Dover, DE",Unknown,Not Remote
18, Delaware,Dover,11,Manager,OPERATIONS ASSISTANT MANAGER,Dollar Tree,3.4,"Dover, DE",Unknown,Not Remote
19, Delaware,Dover,11,Manager,ASSISTANT STORE MANAGER,Family Dollar,3.2,"Dover, DE",Unknown,Not Remote
20, Delaware,Dover,11,Manager,General Manager,crab du jour,2.2,"Dover, DE",$18 - $25 an hour,Not Remote
21, Delaware,Dover,11,Manager,Marketing & Community Impact Manager,Dover Federal Credit Union,3.2,"Dover, DE",Unknown,Not Remote
22, Delaware,Dover,11,Manager,ASSISTANT STORE MANAGER,Family Dollar,3.2,"Dover, DE",Unknown,Not Remote
23, Delaware,Dover,11,Manager,Retail Store Manager,Bob's Discount Furniture,3.5,"Dover, DE",Unknown,Not Remote
24, Delaware,Dover,11,Manager,Case Manager,"Resources For Human Development, Inc.",3.4,"Dover, DE",Unknown,Not Remote
25, Delaware,Dover,11,Manager,DTI Security Operations Center Manager (This position is Exempt from the State of Delaware Merit System.),State of Delaware,3.6,"Dover, DE",Unknown,Temporarily remote
26, Delaware,Dover,11,Manager,Clinical Supply Chain Manager,Thermo Fisher Scientific,3.5,"Dover, DE",Unknown,Remote
27, Delaware,Dover,11,Manager,"Business Office Manager - NEW SENIOR LIVING COMMUNITY - Salaried (HR, Payroll, A/P, & Billing)",Harmony at Kent,,"Dover, DE",Unknown,Not Remote
28, Delaware,Dover,11,Manager,OPERATIONS ASSISTANT MANAGER,Dollar Tree,3.4,"Dover, DE",Unknown,Not Remote
29, Delaware,Dover,11,Manager,STORE MANAGER CANDIDATE,Dollar General,3.1,"Dover, DE",Unknown,Not Remote
30, Delaware,Dover,11,Manager,Regional Sales Manager (Hot Leads Provided),Go Free Pay,,"Dover, DE","Up to $30,000 a month",Not Remote
31, Delaware,Dover,11,Manager,HVAC Branch Manager,"R.E. Michel Company, LLC",3.5,"Dover, DE",Unknown,Not Remote
32, Delaware,Dover,11,Manager,MOT Manager,"Allan Myers, Inc",3.4,"Dover, DE",Unknown,Not Remote
33, Delaware,Dover,11,Manager,"Manager, Care Management Operations",Bayhealth,3.6,"Dover, DE",Unknown,Not Remote
34, Delaware,Dover,11,Manager,General Manager,"Arby's | Cato, Inc.",3.6,"Dover, DE",Unknown,Not Remote
35, Delaware,Dover,11,Manager,Store Manager,The Vitamin Shoppe,3.5,"Dover, DE",Unknown,Not Remote
36, Delaware,Dover,11,Manager,Business Banking Relationship Manager I,Citizens,3.4,"Dover, DE",Unknown,Not Remote
37, Delaware,Dover,11,Manager,Medical Office Front Desk Supervisor,Delaware Eye Care Center,3.5,"Dover, DE",Unknown,Not Remote
38, Delaware,Dover,11,Manager,"Manager, Technical Support and Services",Pearson,3.7,"Dover, DE",Unknown,Remote
39, Delaware,Dover,11,Manager,ASSISTANT MANAGER,Footaction,4.0,"Dover, DE",Unknown,Not Remote
40, Delaware,Dover,11,Manager,Engineer Program Manager I (Utility Coordination Manager),State of Delaware,3.6,"Dover, DE",Unknown,Not Remote
41, Delaware,Dover,11,Manager,AE - Sales Leader - US,American Eagle Outfitters,3.7,"Dover, DE",Unknown,Not Remote
42, Delaware,Dover,11,Manager,PT Customer Service Leader,Food Lion,3.6,"Dover, DE",Unknown,Not Remote
43, Delaware,Dover,11,Manager,Restaurant Manager & Restaurant General Manager,The Greene Turtle,3.6,"Dover, DE","$40,000 - $60,000 a year",Not Remote
44, Delaware,Dover,11,Manager,Center Manager,CSL Plasma,3.0,"Dover, DE",Unknown,Not Remote
45, Delaware,Dover,11,Manager,Case Manager/Trainer,Business Interface LLC,2.5,"Dover, DE","$31,500 a year",Not Remote
46, Delaware,Dover,11,Manager,Restaurant Manager,Applebees,3.5,"Dover, DE","$45,000 - $55,000 a year",Not Remote
47, Delaware,Dover,11,Manager,"SUPERVISOR, PATIENT ACCESS",Bayhealth,3.6,"Dover, DE",Unknown,Not Remote
48, Delaware,Dover,11,Manager,Direct Support Program Supervisor,The MENTOR Network,3.1,"Dover, DE",Unknown,Not Remote
49, Delaware,Dover,11,Manager,Project Manager,A3 Communications,4.0,"Dover, DE",Unknown,Not Remote
50, Delaware,Dover,11,Manager,Team Lead,Party City,3.7,"Dover, DE",Unknown,Not Remote
51, Delaware,Dover,11,Manager,OPERATIONS ASSISTANT MANAGER,Dollar Tree,3.4,"Camden, DE",Unknown,Not Remote
52, Delaware,Dover,11,Manager,Outreach Case Manager- Rural Health,Westside Family Healthcare,3.2,"Dover, DE",Unknown,Not Remote
53, Delaware,Dover,11,Manager,Marketing Program Manager,Pearson,3.7,"Dover, DE",Unknown,Remote
54, Delaware,Dover,11,Manager,Certified Restaurant Supervisor,Red Lobster,3.7,"Dover, DE",Unknown,Not Remote
55, Delaware,Dover,11,Manager,Texas Roadhouse Service Manager,Texas Roadhouse,3.9,"Camden, DE",Unknown,Not Remote
56, Delaware,Dover,11,Manager,Product Marketing Manager (Quan MS/MS),Thermo Fisher Scientific,3.5,"Dover, DE",Unknown,Not Remote
57, Delaware,Dover,11,Manager,ASST STORE MGR,Dollar General,3.1,"Dover, DE",Unknown,Not Remote
0, Delaware,Dover,11,Personal Service Managers,Child Care Administrator/Director,Precious Moments (Childcare/Preschool) Educational and Community Center,,"Dover, DE","$45,000 - $55,000 a year",Not Remote
1, Delaware,Dover,11,Personal Service Managers,EXPERIENCED HVAC LEAD AND 2ND INSTALLERS WANTED,Horizon Services,3.2,"Kent County, DE",$25 - $30 an hour,Not Remote
2, Delaware,Dover,11,Personal Service Managers,Registration Manager,Beebe Healthcare,3.3,Delaware,Unknown,Not Remote
3, Delaware,Dover,11,Personal Service Managers,Customer Service Associate - Temporary,WALGREENS,3.6,"Dover, DE",Unknown,Not Remote
4, Delaware,Dover,11,Personal Service Managers,Hydrologist,US Department of the Interior,4.1,"Dover, DE","$43,683 - $93,638 a year",Not Remote
5, Delaware,Dover,11,Personal Service Managers,PT Sales Associate (Cashier),Food Lion,3.6,"Dover, DE",Unknown,Not Remote
6, Delaware,Dover,11,Personal Service Managers,PT Customer Service Leader,Food Lion,3.6,"Dover, DE",Unknown,Not Remote
7, Delaware,Dover,11,Personal Service Managers,Senior Social Worker/Case Manager,State of Delaware,3.6,"Dover, DE",Unknown,Not Remote
8, Delaware,Dover,11,Personal Service Managers,Client Care Manager,"CNU Fit, LLC",,"Dover, DE",$10 - $12 an hour,Not Remote
9, Delaware,Dover,11,Personal Service Managers,HUMAN RESOURCES ASSISTANT,US Department of the Air Force,4.4,"Dover AFB, DE","$47,484 - $61,732 a year",Not Remote
10, Delaware,Dover,11,Personal Service Managers,Automotive Service Coordinator - Nissan,HERTRICH Family of Automobile Dealerships,2.9,"Dover, DE",Unknown,Not Remote
11, Delaware,Dover,11,Personal Service Managers,Retail Store Key Holder,Men's Wearhouse,3.7,"Dover, DE",$14 - $17 an hour,Not Remote
12, Delaware,Dover,11,Personal Service Managers,Associate Director,"TOBOLA HEALTH CARE SERVICES, INC",,"Dover, DE",Unknown,Not Remote
13, Delaware,Dover,11,Personal Service Managers,Retail Sales Consultant- AT&T,Prime Communications,2.5,"Dover, DE",Unknown,Not Remote
14, Delaware,Dover,11,Personal Service Managers,Office Manager,Hometown America LLC,4.0,"Camden, DE",Unknown,Not Remote
15, Delaware,Dover,11,Personal Service Managers,FREIGHT RATE ASSISTANT,US Department of the Air Force,4.4,"Dover AFB, DE","$38,334 - $49,836 a year",Not Remote
16, Delaware,Dover,11,Personal Service Managers,BUDGET ANALYST,US Department of the Air Force,4.4,"Dover AFB, DE","$70,275 - $91,363 a year",Not Remote
17, Delaware,Dover,11,Personal Service Managers,Manager of Contract Administration,Middlesex Water Company,3.7,"Dover, DE","$63,000 - $79,700 a year",Not Remote
18, Delaware,Dover,11,Personal Service Managers,PT Sales Associate (Cashier),Food Lion,3.6,"Smyrna, DE",Unknown,Not Remote
19, Delaware,Dover,11,Personal Service Managers,Volunteer Operations Coordinator (VOC),Wilmington & Western Railroad,,"Dover, DE","$35,000 - $38,000 a year",Not Remote
20, Delaware,Dover,11,Personal Service Managers,Administrative Assistant,"TOBOLA HEALTH CARE SERVICES, INC",,"Dover, DE",Unknown,Not Remote
21, Delaware,Dover,11,Personal Service Managers,Mortgage Loan Officer,Obsidian Financial Services,3.8,"Dover, DE","$76,000 - $380,000 a year",Remote
22, Delaware,Dover,11,Personal Service Managers,Mortgage Loan Officer,Obsidian Financial Services,3.8,"Camden, DE","$76,000 - $380,000 a year",Remote
