,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Delaware,Wilmington,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
1, Delaware,Wilmington,11,Facilities Manager,Maintenance Manager,Carlisle Companies,3.2,North Carolina,"$70,000 - $85,000 a year",Not Remote
2, Delaware,Wilmington,11,Facilities Manager,Maintenance Manager,ALG Senior,,"Wilmington, NC",Unknown,Not Remote
3, Delaware,Wilmington,11,Facilities Manager,Maintenance Manager,New Hanover House,2.4,"Wilmington, NC",Unknown,Not Remote
4, Delaware,Wilmington,11,Facilities Manager,Residential Maintenance Supervisor,Balfour Beatty Investments - North America,3.6,"Wilmington, NC",Unknown,Not Remote
0, Delaware,Wilmington,11,Funeral Home Managers,Funeral Director,Dogwood Services,,"Wilmington, NC","$46,001 - $64,001 a year",Not Remote
0, Delaware,Wilmington,11,Manager,IT Manager,Archer Healthcare,,"Wilmington, NC",Unknown,Temporarily remote
1, Delaware,Wilmington,11,Manager,Contents/ Cleaning Manager,Pride Cleaning & Restoration,4.0,"Wilmington, NC",Unknown,Not Remote
2, Delaware,Wilmington,11,Manager,Guest Service Manager,Holiday Inn Wilmington NC,,"Wilmington, NC","$34,000 - $48,000 a year",Not Remote
3, Delaware,Wilmington,11,Manager,Experienced Automotive Dealership Parts Manager,Coastal Kia,,"Wilmington, NC","$68,000 - $82,000 a year",Not Remote
4, Delaware,Wilmington,11,Manager,Community Engagement Manager,Unite Us,5.0,"Wilmington, NC",Unknown,Not Remote
5, Delaware,Wilmington,11,Manager,Field Relief Manager,U-Haul,3.5,"Wilmington, NC",Unknown,Not Remote
6, Delaware,Wilmington,11,Manager,IT Manager,Archer Healthcare,,"Wilmington, NC",Unknown,Temporarily remote
7, Delaware,Wilmington,11,Manager,Branch Manager,Dilmar Oil Company,2.8,"Wilmington, NC","$50,000 - $55,000 a year",Not Remote
8, Delaware,Wilmington,11,Manager,Sales Manager- First Aid & Safety Division,UniFirst,3.2,"Wilmington, NC",Unknown,Not Remote
9, Delaware,Wilmington,11,Manager,Entry Level Account Manager,Newave Group,,"Wilmington, NC","$750 - $1,000 a week",Not Remote
10, Delaware,Wilmington,11,Manager,Practice Manager 1 - 000417,Banfield Pet Hospital,3.1,"Wilmington, NC",Unknown,Not Remote
11, Delaware,Wilmington,11,Manager,Financial Center Manager - Hanover Financial Center,Bank of America,3.8,"Wilmington, NC",Unknown,Not Remote
12, Delaware,Wilmington,11,Manager,Lead Project Manager,GE Power Portfolio,,"Wilmington, NC","$84,000 - $113,000 a year",Not Remote
13, Delaware,Wilmington,11,Manager,District Manager,"Coastal Management, LLC",,"Leland, NC",Unknown,Not Remote
14, Delaware,Wilmington,11,Manager,Guest Service Manager,Holiday Inn Wilmington NC,,"Wilmington, NC","$34,000 - $48,000 a year",Not Remote
15, Delaware,Wilmington,11,Manager,RETAIL DISTRICT MANAGER,Dollar General,3.1,"Wilmington, NC",Unknown,Not Remote
16, Delaware,Wilmington,11,Manager,Full Time Manager,RuckerJohns Restaurant,,"Wilmington, NC","$40,000 - $50,000 a year",Not Remote
17, Delaware,Wilmington,11,Manager,Experienced Automotive Dealership Parts Manager,Coastal Kia,,"Wilmington, NC","$68,000 - $82,000 a year",Not Remote
18, Delaware,Wilmington,11,Manager,Manager Finance,Novant Health,3.8,"Wilmington, NC",Unknown,Not Remote
19, Delaware,Wilmington,11,Manager,District Manager,"Coastal Management, LLC",,"Wilmington, NC",Unknown,Not Remote
20, Delaware,Wilmington,11,Manager,Warehouse Manager,Seaview Crab Company,,"Wilmington, NC",$11 - $15 an hour,Not Remote
21, Delaware,Wilmington,11,Manager,Store Manager,The Southerly Biscuit Co.,,"Wilmington, NC",$18 - $20 an hour,Not Remote
22, Delaware,Wilmington,11,Manager,Account Manager- Valet Parking Operations,Unified Parking Partners,2.9,"Wilmington, NC","$50,000 - $60,000 a year",Not Remote
23, Delaware,Wilmington,11,Manager,Office Manager 1249714,Access Family Services,3.1,"Wilmington, NC",Unknown,Not Remote
24, Delaware,Wilmington,11,Manager,Marine Manager,Battleship Cycles and Marine,,"Wilmington, NC","$45,000 - $70,000 a year",Not Remote
25, Delaware,Wilmington,11,Manager,House Manager,University of North Carolina Wilmington,4.4,"Wilmington, NC",$15 an hour,Not Remote
26, Delaware,Wilmington,11,Manager,Area Sales Manager,Crown Hotel and Travel Management,,"Wilmington, NC",Unknown,Not Remote
27, Delaware,Wilmington,11,Manager,Staff Technical Product Manager,GE Power Portfolio,,"Wilmington, NC","$90,000 - $130,000 a year",Not Remote
28, Delaware,Wilmington,11,Manager,Lead Project Manager,General Electric,4.0,"Wilmington, NC",Unknown,Not Remote
29, Delaware,Wilmington,11,Manager,Laboratory Manager,"ECS Southeast, LLP",3.1,"Wilmington, NC",Unknown,Not Remote
