,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, District of Columbia,"Washington, D.C.",11,Facilities Manager,HVAC FACILITIES SUPERVISOR,Compass Group USA,3.3,"Washington, DC",Unknown,Not Remote
1, District of Columbia,"Washington, D.C.",11,Facilities Manager,"Associate Director, Facilities",Meridian International Center,4.7,"Washington, DC","$70,000 - $85,000 a year",Not Remote
2, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Coordinator,Sunrise Senior Living,3.4,"Alexandria, VA",Unknown,Not Remote
3, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Supervisor,The Banneker Hotel,,"Washington, DC",$25 an hour,Not Remote
4, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Lead,Spin Electric Scooters,3.0,"Washington, DC",$18.75 an hour,Not Remote
5, District of Columbia,"Washington, D.C.",11,Facilities Manager,Foreign Service Facility Manager,U.S. Department of State,4.2,"Washington, DC","$70,708 - $112,606 a year",Not Remote
6, District of Columbia,"Washington, D.C.",11,Facilities Manager,GWS Local Facilities Coordinator,CBRE,3.7,"Washington, DC",Unknown,Not Remote
7, District of Columbia,"Washington, D.C.",11,Facilities Manager,Facilities Manager,Tryst Trading Company,,"Washington, DC",Unknown,Not Remote
8, District of Columbia,"Washington, D.C.",11,Facilities Manager,Facilities Manager,NTT DATA Services,3.5,"McLean, VA",Unknown,Not Remote
9, District of Columbia,"Washington, D.C.",11,Facilities Manager,Facilities Operations Manager,Trust Consulting Services Inc.,,"Washington, DC",Unknown,Not Remote
10, District of Columbia,"Washington, D.C.",11,Facilities Manager,GWS Local Alliance Director Facilities Manager,CBRE,3.7,"Washington, DC",Unknown,Not Remote
11, District of Columbia,"Washington, D.C.",11,Facilities Manager,FACILITY MANAGER,"Arlington County, VA",4.0,"Arlington, VA","$61,027 - $93,267 a year",Not Remote
12, District of Columbia,"Washington, D.C.",11,Facilities Manager,Assistant Director of Logistics - Georgetown University Facilities Management,Georgetown University,4.1,"Washington, DC",Unknown,Not Remote
13, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Manager - Columbia Crossing,Equity Residential,3.8,"Washington, DC",Unknown,Not Remote
14, District of Columbia,"Washington, D.C.",11,Facilities Manager,Multifamily Regional Facilities Manager,Trinity Property Consultants,3.4,"Bethesda, MD",Unknown,Not Remote
15, District of Columbia,"Washington, D.C.",11,Facilities Manager,Building Manager,Chenega Corporation,3.6,"Washington, DC",Unknown,Not Remote
16, District of Columbia,"Washington, D.C.",11,Facilities Manager,Facilities Manager,Tryst Trading Company,,"Washington, DC",Unknown,Not Remote
17, District of Columbia,"Washington, D.C.",11,Facilities Manager,Regional Maintenance Manager,Bartaco | bartaco,3.4,"Arlington, VA",Unknown,Not Remote
18, District of Columbia,"Washington, D.C.",11,Facilities Manager,HVAC FACILITIES SUPERVISOR,Compass Group USA,3.3,"Washington, DC",Unknown,Not Remote
19, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Manager,Swingers USA,,"Washington, DC",Unknown,Not Remote
20, District of Columbia,"Washington, D.C.",11,Facilities Manager,HVAC FACILITIES SUPERVISOR,Compass Group,3.3,"Washington, DC",Unknown,Not Remote
21, District of Columbia,"Washington, D.C.",11,Facilities Manager,District Manager,Valet Living,3.1,"Silver Spring, MD",Unknown,Not Remote
22, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Supervisor,Goodwill of Greater Washington,3.3,"Washington, DC",Unknown,Not Remote
23, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Supervisor,The Banneker Hotel,,"Washington, DC",$25 an hour,Not Remote
24, District of Columbia,"Washington, D.C.",11,Facilities Manager,Chief Engineer,JLL,3.7,"Washington, DC",Unknown,Not Remote
25, District of Columbia,"Washington, D.C.",11,Facilities Manager,Contract Maintenance Manager,QUALITY SERVICES INTERNATIONAL LLC,,"Bethesda, MD",Unknown,Not Remote
26, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Supervisor - Mayfair Mansions,"Enterprise Community Partners, Inc.",3.8,"Washington, DC",Unknown,Not Remote
27, District of Columbia,"Washington, D.C.",11,Facilities Manager,Senior Chief Engineer,JLL,3.7,"McLean, VA",Unknown,Not Remote
28, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Director,FutureCare,3.6,"Landover, MD",Unknown,Not Remote
29, District of Columbia,"Washington, D.C.",11,Facilities Manager,Regional Maintenance Supervisor,The Franklin Johnston Group,3.0,"Arlington, VA",Unknown,Not Remote
30, District of Columbia,"Washington, D.C.",11,Facilities Manager,Navy Maintenance Production Scheduler,Patrona Corporation,3.8,"Washington, DC",Unknown,Not Remote
31, District of Columbia,"Washington, D.C.",11,Facilities Manager,Reliability Centered Maintenance Manager,Able Services,3.8,"Washington, DC",Unknown,Not Remote
32, District of Columbia,"Washington, D.C.",11,Facilities Manager,CHIEF ENGINEER ENTHUSIAST - Canopy DC Embassy Row,TBC Hotels,,"Washington, DC",Unknown,Not Remote
33, District of Columbia,"Washington, D.C.",11,Facilities Manager,Assistant Maintenance Manager,Village Green,3.4,"Camp Springs, MD",Unknown,Not Remote
34, District of Columbia,"Washington, D.C.",11,Facilities Manager,Operations and Maintenance Manager,"Earth Resources Technology, Inc",3.1,"Suitland, MD",Unknown,Not Remote
35, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Supervisor,Sage Ventures,3.0,"Camp Springs, MD",$25 - $32 an hour,Not Remote
36, District of Columbia,"Washington, D.C.",11,Facilities Manager,Facility Manager,Lifematters,,"Silver Spring, MD",Unknown,Not Remote
37, District of Columbia,"Washington, D.C.",11,Facilities Manager,Entry Level Maintenance Manager,Morgan Properties,3.2,"Hyattsville, MD",Unknown,Not Remote
38, District of Columbia,"Washington, D.C.",11,Facilities Manager,Vegetation Maintenance Supervisor,CITY OF TAKOMA PARK,4.4,"Takoma Park, MD",$30.38 - $35.26 an hour,Not Remote
39, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Manager,Morgan Properties,3.2,"Alexandria, VA",Unknown,Not Remote
40, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Supervisor,Dweck Properties,,"Arlington, VA",Unknown,Not Remote
41, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Supervisor,"CCBCC Operations, LLC",,"Silver Spring, MD",Unknown,Not Remote
42, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Supervisor,The Banneker Hotel,,"Washington, DC",Unknown,Not Remote
43, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Director,Peak Healthcare at Fox Chase,,"Silver Spring, MD",Unknown,Not Remote
44, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Lead,Spin Electric Scooters,3.0,"Washington, DC",$18.75 an hour,Not Remote
45, District of Columbia,"Washington, D.C.",11,Facilities Manager,BHOM Maintenance Supervisor,B HOM STUDENT LIVING LLC,,"College Park, MD",Unknown,Not Remote
46, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Manager,Morgan Properties,3.2,"Silver Spring, MD",Unknown,Not Remote
47, District of Columbia,"Washington, D.C.",11,Facilities Manager,Director of Maintenance,ProsToYou Tennis,,"Silver Spring, MD",Unknown,Not Remote
48, District of Columbia,"Washington, D.C.",11,Facilities Manager,Director of Maintenance,ProsToYou Tennis,,"Bethesda, MD",Unknown,Not Remote
49, District of Columbia,"Washington, D.C.",11,Facilities Manager,Director of Maintenance,ProsToYou Tennis,,"Alexandria, VA",Unknown,Not Remote
50, District of Columbia,"Washington, D.C.",11,Facilities Manager,Director of Maintenance,ProsToYou Tennis,,"McLean, VA",Unknown,Not Remote
51, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Lead,Spin Electric Scooters,3.0,"Washington, DC",$18.75 an hour,Not Remote
52, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Lead (Infrastructure/Asset Maintenance),Louis Berger Services,4.0,"Arlington, VA","$80,000 - $110,000 a year",Not Remote
53, District of Columbia,"Washington, D.C.",11,Facilities Manager,Chief Engineer,Bozzuto,4.0,"Alexandria, VA",Unknown,Not Remote
54, District of Columbia,"Washington, D.C.",11,Facilities Manager,Director of Maintenance,ProsToYou Tennis,,"Falls Church, VA",Unknown,Not Remote
0, District of Columbia,"Washington, D.C.",11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
1, District of Columbia,"Washington, D.C.",11,Funeral Home Managers,Family Service Counselor,"SCI Shared Resources, LLC",3.1,"Adelphi, MD",Unknown,Not Remote
2, District of Columbia,"Washington, D.C.",11,Funeral Home Managers,Social Worker - Hospice,Legacy Hospice,2.9,"Falls Church, VA",Unknown,Not Remote
0, District of Columbia,"Washington, D.C.",11,Manager,General Manager,Confidential,,"Washington, DC","From $60,000 a year",Not Remote
1, District of Columbia,"Washington, D.C.",11,Manager,Quality Control Manager,Adams Construction Group,,"Washington, DC","$90,000 - $120,000 a year",Not Remote
2, District of Columbia,"Washington, D.C.",11,Manager,Market Compliance Manager,"District of Columbia Department of Insurance, Securities and Banking",3.6,"Washington, DC","$107,843 - $150,979 a year",Temporarily remote
3, District of Columbia,"Washington, D.C.",11,Manager,Property Operations Manager,Confidential,,"Washington, DC","$85,000 - $90,000 a year",Not Remote
4, District of Columbia,"Washington, D.C.",11,Manager,HR Manager,Fracsys Inc,,"Washington, DC","$58,389 - $106,000 a year",Not Remote
5, District of Columbia,"Washington, D.C.",11,Manager,General Manager,Hotel Lombardy,,"Washington, DC",Unknown,Not Remote
6, District of Columbia,"Washington, D.C.",11,Manager,District Manager,Public Storage,2.9,"Washington, DC","$117,000 a year",Not Remote
7, District of Columbia,"Washington, D.C.",11,Manager,District Manager,Public Storage,2.9,"Alexandria, VA","$117,000 a year",Not Remote
8, District of Columbia,"Washington, D.C.",11,Manager,Service Desk Manager,Super Systems,4.7,"Washington, DC","$120,000 - $130,000 a year",Remote
9, District of Columbia,"Washington, D.C.",11,Manager,Inclusion & Diversity External Partnerships Program Manager,Apple,4.2,"Washington, DC",Unknown,Not Remote
10, District of Columbia,"Washington, D.C.",11,Manager,DISTRICT MANAGER,Family Dollar,3.2,"Washington, DC",Unknown,Not Remote
11, District of Columbia,"Washington, D.C.",11,Manager,PROGRAM MANAGER,US Department of Homeland Security,3.8,"Washington, DC","$144,128 - $172,500 a year",Not Remote
12, District of Columbia,"Washington, D.C.",11,Manager,Office Manager/Bookkeeper,Field & Tung,,"Washington, DC",$30 - $50 an hour,Not Remote
13, District of Columbia,"Washington, D.C.",11,Manager,Program Manager,Smithsonian,4.1,"Washington, DC","$60,129 - $78,167 a year",Not Remote
14, District of Columbia,"Washington, D.C.",11,Manager,Foreign Service Facility Manager,U.S. Department of State,4.2,"Washington, DC","$70,708 - $112,606 a year",Not Remote
15, District of Columbia,"Washington, D.C.",11,Manager,PROGRAM MANAGER,US Department of Defense,4.2,"Washington, DC","$122,530 - $159,286 a year",Not Remote
16, District of Columbia,"Washington, D.C.",11,Manager,Collections Manager,Office of the Chief Financial Officer (OCFO),3.6,"Washington, DC","$94,857 - $122,228 a year",Not Remote
17, District of Columbia,"Washington, D.C.",11,Manager,Customer Service Manager,US General Services Administration,4.1,"Washington, DC","$122,530 - $159,286 a year",Remote
18, District of Columbia,"Washington, D.C.",11,Manager,Customer Service Manager,US General Services Administration,4.1,"Washington, DC","$122,530 - $159,286 a year",Remote
19, District of Columbia,"Washington, D.C.",11,Manager,"Manager, Accessibility/508 Compliance",National Quality Forum,3.0,"Washington, DC","$80,000 - $100,000 a year",Not Remote
20, District of Columbia,"Washington, D.C.",11,Manager,Manager,Apple,4.2,"Washington, DC",Unknown,Not Remote
