,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, District of Columbia,"Washington, D.C.",11,Facilities Manager,HVAC FACILITIES SUPERVISOR,Compass Group USA,3.3,"Washington, DC",Unknown,Not Remote
1, District of Columbia,"Washington, D.C.",11,Facilities Manager,Facilities Director,Temple Rodef Shalom,,"Falls Church, VA",$30 - $36 an hour,Not Remote
2, District of Columbia,"Washington, D.C.",11,Facilities Manager,Maintenance Director,Confidential,,"Arlington, VA",Unknown,Not Remote
3, District of Columbia,"Washington, D.C.",11,Facilities Manager,Assistant Maintenance Manager,Bozzuto,4.0,"Arlington, VA",Unknown,Not Remote
4, District of Columbia,"Washington, D.C.",11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
5, District of Columbia,"Washington, D.C.",11,Facilities Manager,GWS Local Alliance Director Facilities Manager,CBRE,3.7,"Washington, DC",Unknown,Not Remote
6, District of Columbia,"Washington, D.C.",11,Facilities Manager,GWS Local Facilities Coordinator,CBRE,3.7,"Washington, DC",Unknown,Not Remote
7, District of Columbia,"Washington, D.C.",11,Facilities Manager,Foreign Service Facility Manager,U.S. Department of State,4.2,"Washington, DC","$70,708 - $112,606 a year",Not Remote
8, District of Columbia,"Washington, D.C.",11,Facilities Manager,Building Manager,US General Services Administration,4.1,"Washington, DC","$87,198 - $113,362 a year",Remote
9, District of Columbia,"Washington, D.C.",11,Facilities Manager,Director of Custodial and Grounds - Georgetown University Facilities Management,Georgetown University,4.1,"Washington, DC",Unknown,Not Remote
10, District of Columbia,"Washington, D.C.",11,Facilities Manager,GWS Local Facilities Manager,CBRE,3.7,"Washington, DC",Unknown,Not Remote
11, District of Columbia,"Washington, D.C.",11,Facilities Manager,Facilities Operations Manager,Trust Consulting Services Inc.,,"Washington, DC",Unknown,Not Remote
