,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Florida,Miami,11,Facilities Manager,Facility Manager,SuperBlue,,"Miami, FL","$55,000 - $60,000 a year",Not Remote
1, Florida,Miami,11,Facilities Manager,Facilities Manager,Thermo Fisher - America,3.5,"Miami, FL",Unknown,Not Remote
2, Florida,Miami,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
3, Florida,Miami,11,Facilities Manager,Facility Manager,SuperBlue,,"Miami, FL","$55,000 - $60,000 a year",Not Remote
4, Florida,Miami,11,Facilities Manager,"Mgr, Facilities",Cano Health,3.1,"Miami, FL","$45,000 - $60,000 a year",Not Remote
5, Florida,Miami,11,Facilities Manager,Traffic Maintenance Manager,Miami-Dade County,4.2,"Miami, FL","$58,920 a year",Not Remote
6, Florida,Miami,11,Facilities Manager,Project Coordinator - Facilities Operations & Planning (CSTARS),University of Miami,4.1,"Coral Gables, FL",$18 - $25 an hour,Not Remote
7, Florida,Miami,11,Facilities Manager,Chief Engineer,Grass River,,"Coconut Grove, FL","$60,000 - $76,000 a year",Not Remote
8, Florida,Miami,11,Facilities Manager,Assistant Director of Engineering,Trump International Hotels,3.7,"Miami, FL",Unknown,Not Remote
9, Florida,Miami,11,Facilities Manager,Maintenance Manager,CCU LLC,4.0,"Miami, FL","$60,000 - $70,000 a year",Not Remote
10, Florida,Miami,11,Facilities Manager,Shift Area Maintenance Manager (AMM),JLL,3.7,"Miami, FL",Unknown,Not Remote
11, Florida,Miami,11,Facilities Manager,Director of Building Services,MedConsulting,,"Miami, FL",Unknown,Not Remote
12, Florida,Miami,11,Facilities Manager,Maintenance Supervisor,FirstService Residential,3.4,"Miami, FL",Unknown,Not Remote
13, Florida,Miami,11,Facilities Manager,Sole Mia - Aquatic Operations & Maintenance Supervisor,Jeff Ellis Management LLC,3.6,"Miami, FL",Up to $16 an hour,Not Remote
14, Florida,Miami,11,Facilities Manager,Sole Mia - Aquatic Operations & Maintenance Supervisor,Jeff Ellis Management LLC,3.6,"North Miami, FL",Up to $16 an hour,Not Remote
15, Florida,Miami,11,Facilities Manager,Maintenance Supervisor - The Lyric Apartments,Gatehouse Management Inc,4.5,"Miami, FL",Unknown,Not Remote
16, Florida,Miami,11,Facilities Manager,Hotel Maintenance Supervisor,Park Royal Miami Beach,,"Miami Beach, FL",$20 an hour,Not Remote
17, Florida,Miami,11,Facilities Manager,Maintenance Supervisor,FirstService Residential Florida,3.4,"Miami Beach, FL","$45,000 - $50,000 a year",Not Remote
18, Florida,Miami,11,Facilities Manager,Senior Maintenance Manager,Confidential,,"Miami, FL",$38 - $47 an hour,Not Remote
0, Florida,Miami,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
1, Florida,Miami,11,Funeral Home Managers,Sales Representative,"SCI Shared Resources, LLC",3.1,"Miami, FL",Unknown,Not Remote
0, Florida,Miami,11,Manager,"Virtual - Customer Account Manager Sales Rep - B2B - Miramar, FL",Comcast,3.7,"Miami, FL",Unknown,Remote
1, Florida,Miami,11,Manager,Assistant Malibu Farm Manager,Eden Roc Miami Beach & Nobu Hotel Miami Beach,3.9,"Miami Beach, FL","$45,000 - $50,000 a year",Not Remote
2, Florida,Miami,11,Manager,Search Engine Marketing (SEM) Manager,One Park Financial,4.0,"Coconut Grove, FL",Unknown,Not Remote
3, Florida,Miami,11,Manager,Administrative Manager,"AGB Investigative Services, Inc.",2.7,"Miami, FL","$41,600 a year",Not Remote
4, Florida,Miami,11,Manager,Facility Manager,SuperBlue,,"Miami, FL","$55,000 - $60,000 a year",Not Remote
5, Florida,Miami,11,Manager,HVAC Service Manager,Jorda Mechanical Contractor,,"Miami, FL","$60,880 - $65,302 a year",Not Remote
6, Florida,Miami,11,Manager,Reservation Supervisor,Mr. C Coconut Grove,,"Miami, FL",$15 an hour,Not Remote
7, Florida,Miami,11,Manager,Facility Manager,SuperBlue,,"Miami, FL","$55,000 - $60,000 a year",Not Remote
8, Florida,Miami,11,Manager,Operations Manager (Military Veterans Encouraged to Apply),Amazon.com Services LLC,3.6,"Miami, FL",Unknown,Not Remote
9, Florida,Miami,11,Manager,"Regional Client Development Manager, Southeast - Miami",Louis Vuitton,3.8,"Miami, FL",Unknown,Not Remote
10, Florida,Miami,11,Manager,District Manager,Storage Rentals of America,3.2,"Miami, FL",Unknown,Not Remote
11, Florida,Miami,11,Manager,General Manager,Pubbelly Sushi,,"Miami, FL","$75,000 - $80,000 a year",Not Remote
