,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Florida,Jacksonville,11,Facilities Manager,Facilities Services Manager,City Wide Maintenance of Jacksonville,2.9,"Jacksonville, FL","From $45,000 a year",Not Remote
1, Florida,Jacksonville,11,Facilities Manager,Maintenance Supervisor (HIW),"Cambridge Management, Inc.",2.6,"Jacksonville, FL",Unknown,Not Remote
2, Florida,Jacksonville,11,Facilities Manager,Night Manager,City Wide Maintenance of Jacksonville,2.9,"Jacksonville, FL",From $14 an hour,Not Remote
3, Florida,Jacksonville,11,Facilities Manager,FACILITIES MANAGER - 72001395,The State of Florida,3.5,"Jacksonville, FL","$42,000 - $46,000 a year",Not Remote
4, Florida,Jacksonville,11,Facilities Manager,Facilities Services Manager,City Wide Maintenance of Jacksonville,2.9,"Jacksonville, FL","From $45,000 a year",Not Remote
5, Florida,Jacksonville,11,Facilities Manager,Facilities Supervisor,OneBlood,3.2,"Jacksonville, FL",Unknown,Not Remote
6, Florida,Jacksonville,11,Facilities Manager,Facility Manager,The Episcopal Diocese of Florida,,"Jacksonville, FL",Unknown,Not Remote
7, Florida,Jacksonville,11,Facilities Manager,Maintenance Manager - Jacksonville,Hilltop Residential Management LLC,,"Jacksonville, FL",Unknown,Not Remote
8, Florida,Jacksonville,11,Facilities Manager,Field Service Manager/Maintenance Supervisor,Turn Key Jax,,"Jacksonville, FL",$20 - $27 an hour,Not Remote
9, Florida,Jacksonville,11,Facilities Manager,Building Manager,Meadows and Ohly,,"Jacksonville, FL",Unknown,Not Remote
10, Florida,Jacksonville,11,Facilities Manager,Assistant Chief Engineer,Residence Inn Jacksonville Mayo Clinic,,"Jacksonville, FL",$15 an hour,Not Remote
11, Florida,Jacksonville,11,Facilities Manager,Assistant Maintenance Manager - Jacksonville,Hilltop Residential Management LLC,,"Jacksonville, FL",Unknown,Not Remote
12, Florida,Jacksonville,11,Facilities Manager,Apartment Maintenance Supervisor,MAA,3.5,"Jacksonville, FL",Unknown,Not Remote
13, Florida,Jacksonville,11,Facilities Manager,Director of Maintenance,Westminster Communities of Florida,3.9,"Jacksonville, FL",Unknown,Not Remote
14, Florida,Jacksonville,11,Facilities Manager,Night Manager,City Wide Maintenance of Jacksonville,2.9,"Jacksonville, FL",From $14 an hour,Not Remote
