,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Georgia,Augusta,11,Facilities Manager,FACILITIES DIRECTOR - PLANT OPERATIONS MAINTENANCE DIVISION,Compass Group USA,3.3,"Augusta, GA",Unknown,Not Remote
1, Georgia,Augusta,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
2, Georgia,Augusta,11,Facilities Manager,Maintenance Director (exempt),Elmcroft | Eclipse Senior Living,3.0,"Augusta, GA",Unknown,Not Remote
3, Georgia,Augusta,11,Facilities Manager,Maintenance Supervisor - 2nd Shift,"Premier Placements, Inc",5.0,Georgia,"$70,000 a year",Not Remote
4, Georgia,Augusta,11,Facilities Manager,"Deputy Director, Facilities Maintenance","City of Augusta, GA",3.0,"Augusta, GA","$75,789 a year",Not Remote
5, Georgia,Augusta,11,Facilities Manager,FACILITIES DIRECTOR - PLANT OPERATIONS MAINTENANCE DIVISION,Compass Group,3.3,"Augusta, GA",Unknown,Not Remote
6, Georgia,Augusta,11,Facilities Manager,FACILITIES DIRECTOR - PLANT OPERATIONS MAINTENANCE DIVISION,Compass Group USA,3.3,"Augusta, GA",Unknown,Not Remote
7, Georgia,Augusta,11,Facilities Manager,Facilities Coordinator,SRP Federal Credit Union,3.8,"North Augusta, SC",Unknown,Not Remote
8, Georgia,Augusta,11,Facilities Manager,Maintenance Director (exempt),Elmcroft | Eclipse Senior Living,3.0,"Augusta, GA",Unknown,Not Remote
9, Georgia,Augusta,11,Facilities Manager,Maintenance Supervisor,Cushman & Wakefield,3.8,"Augusta, GA",Unknown,Not Remote
10, Georgia,Augusta,11,Facilities Manager,Apartment Maintenance Supervisor,Pinnacle Property Management,3.5,"Augusta, GA",Unknown,Not Remote
11, Georgia,Augusta,11,Facilities Manager,Property Maintenance Lead/Technician,"Virtual Employee Services, LLC",,"Augusta, GA",$19 - $20 an hour,Not Remote
0, Georgia,Augusta,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
0, Georgia,Augusta,11,Manager,Insurance Claims Manager,"Argos Health, Inc",2.8,"Augusta, GA","$45,000 - $55,000 a year",Not Remote
1, Georgia,Augusta,11,Manager,Restaurant General Manager,RRG Inc dba Popeyes,,"Augusta, GA","From $49,000 a year",Not Remote
2, Georgia,Augusta,11,Manager,Warranty Manager - New Home Construction,Gables Search Group,5.0,"Augusta, GA","$50,000 - $60,000 a year",Not Remote
3, Georgia,Augusta,11,Manager,"Warehouse Manager - Augusta, Ga.",Fox Appliance Parts,4.3,"Augusta, GA",Unknown,Not Remote
4, Georgia,Augusta,11,Manager,Assistant Property Manager Trainee,"SD Development, LLC",,"Augusta, GA",$20.00 - $20.01 an hour,Not Remote
5, Georgia,Augusta,11,Manager,Area Manager Custom Homebuilder South Carolina,Confidential,,"Augusta, GA","$150,000 - $350,000 a year",Not Remote
6, Georgia,Augusta,11,Manager,Account Manager (100% Commission-NO CAP-B2B Sales),"Utility Management Services, Inc.",,"Augusta, GA",Unknown,Temporarily remote
7, Georgia,Augusta,11,Manager,"Manager, Resident Services",Wesley Woods Senior Living,2.4,"Augusta, GA",Unknown,Not Remote
8, Georgia,Augusta,11,Manager,Project Manager,Rural Sourcing Inc.,,"Augusta, GA",Unknown,Not Remote
9, Georgia,Augusta,11,Manager,Employee Relations Manager,Rural Sourcing Inc,,"Augusta, GA",Unknown,Temporarily remote
10, Georgia,Augusta,11,Manager,"Manager, Resident Services",Wesley Woods Senior Living Inc,2.4,"Augusta, GA",Unknown,Not Remote
11, Georgia,Augusta,11,Manager,Intensive Case Manager 1090814,"AmericanWork, LLC.",3.1,"Augusta, GA",Unknown,Not Remote
12, Georgia,Augusta,11,Manager,Supply Planning Manager,Morgan Advanced Materials,3.3,"Augusta, GA",Unknown,Not Remote
13, Georgia,Augusta,11,Manager,Employee Relations Manager,Rural Sourcing Inc.,,"Augusta, GA",Unknown,Not Remote
14, Georgia,Augusta,11,Manager,"Warehouse Manager - Augusta, Ga.",Fox Appliance Parts,4.3,"Augusta, GA",Unknown,Not Remote
15, Georgia,Augusta,11,Manager,HIM Manager,JEFFERSON HOSPITAL,3.7,"Augusta, GA",Unknown,Not Remote
16, Georgia,Augusta,11,Manager,Office Manager,Augusta University,3.9,"Augusta, GA","$36,197 a year",Not Remote
17, Georgia,Augusta,11,Manager,Operations Manager,Stars and Strikes,3.4,"Augusta, GA",Unknown,Not Remote
18, Georgia,Augusta,11,Manager,RETAIL DISTRICT MANAGER,Dollar General,3.1,"Augusta, GA",Unknown,Not Remote
19, Georgia,Augusta,11,Manager,Insurance Claims Manager,"Argos Health, Inc",2.8,"Augusta, GA","$45,000 - $55,000 a year",Not Remote
20, Georgia,Augusta,11,Manager,Front of House Manager,Frog Hollow Hospitality Group,,"Augusta, GA",Unknown,Not Remote
21, Georgia,Augusta,11,Manager,General Manager (GM),"Checkers Drive-In Restaurants, Inc.",,"Augusta, GA","$40,000 - $52,000 a year",Not Remote
22, Georgia,Augusta,11,Manager,FT Assistant Manager,G.B.Shoe Warehouse,,"Augusta, GA",Unknown,Not Remote
23, Georgia,Augusta,11,Manager,Talent Acquisition Leader,Diana Pet Food,3.7,"Augusta, GA","From $65,000 a year",Not Remote
24, Georgia,Augusta,11,Manager,Construction Project Manager,Great Southern Homes,3.6,"Augusta, GA","$40,000 - $70,000 a year",Not Remote
25, Georgia,Augusta,11,Manager,Community Manager (99 Units),New Apartment Community,,"Augusta, GA","$45,000 - $48,000 a year",Not Remote
26, Georgia,Augusta,11,Manager,Branch Manager,Regions,3.5,"Augusta, GA",Unknown,Not Remote
27, Georgia,Augusta,11,Manager,Restaurant Manager,Cheddar's Scratch Kitchen,,"Augusta, GA","From $48,000 a year",Not Remote
28, Georgia,Augusta,11,Manager,Collision Center Assistant Manager -- GEICO ARX/XD Program,"Kendrick Paint and Body Shops, Inc.",,"Augusta, GA","$60,000 - $80,000 a year",Not Remote
29, Georgia,Augusta,11,Manager,Engineering Project Manager,Textron Specialized Vehicles,3.5,"Augusta, GA",Unknown,Not Remote
