,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Georgia,Atlanta,11,Facilities Manager,Senior Maintenance Manager,Elite Line Services,2.9,"Atlanta, GA",Unknown,Not Remote
1, Georgia,Atlanta,11,Facilities Manager,Service Manager - Morningside Atlanta by Windsor,Windsor Communities,3.6,"Atlanta, GA",Unknown,Not Remote
2, Georgia,Atlanta,11,Facilities Manager,Area Plant Maintenance Manager,Thomas Concrete,3.4,"Atlanta, GA","$55,000 - $65,000 a year",Not Remote
3, Georgia,Atlanta,11,Facilities Manager,Facilities Manager,Aaron's,3.2,"Atlanta, GA",Unknown,Not Remote
4, Georgia,Atlanta,11,Facilities Manager,Facilities Manager,JLL,3.7,"Atlanta, GA",Unknown,Not Remote
5, Georgia,Atlanta,11,Facilities Manager,Facilities Manager- SE Region - Remote,JLL,3.7,"Atlanta, GA",Unknown,Remote
6, Georgia,Atlanta,11,Facilities Manager,Facilities Coordinator,CBRE,3.7,"Atlanta, GA",Unknown,Not Remote
7, Georgia,Atlanta,11,Facilities Manager,Senior Facilities Coordinator,Colliers International,3.8,"Atlanta, GA",Unknown,Not Remote
8, Georgia,Atlanta,11,Facilities Manager,Corporate Facilities Manager,Southeastrans Inc,2.3,"Atlanta, GA",Unknown,Not Remote
9, Georgia,Atlanta,11,Facilities Manager,Building Manager,Meadows and Ohly,,"Atlanta, GA",Unknown,Not Remote
10, Georgia,Atlanta,11,Facilities Manager,MAINTENANCE MANAGER - EMBASSY SUITES ATLANTIC STATION ATLANTA,Fairfield Inn & Suites,,"Atlanta, GA","$37,500 - $45,000 a year",Not Remote
11, Georgia,Atlanta,11,Facilities Manager,Community Facility Manager - Tennis Operations (Seasonal),"City of Atlanta, GA",3.7,"Atlanta, GA",Unknown,Not Remote
12, Georgia,Atlanta,11,Facilities Manager,"Maintenance Manager Atlanta, GA",Pitney Bowes,3.6,"Atlanta, GA",Unknown,Not Remote
13, Georgia,Atlanta,11,Facilities Manager,Senior Maintenance Manager,Elite Line Services,2.9,"Atlanta, GA",Unknown,Not Remote
14, Georgia,Atlanta,11,Facilities Manager,Maintenance Planner,OWENS CORNING,3.7,"Atlanta, GA",Unknown,Not Remote
15, Georgia,Atlanta,11,Facilities Manager,Maintenance Manager,"Pegasus Residential, LLC",3.2,"Atlanta, GA",Unknown,Not Remote
16, Georgia,Atlanta,11,Facilities Manager,Service Manager - Morningside Atlanta by Windsor,Windsor Communities,3.6,"Atlanta, GA",Unknown,Not Remote
17, Georgia,Atlanta,11,Facilities Manager,Car Wash Mechanic / Director of Maintenance,Dirty Dog's Car Wash,,"Atlanta, GA","$60,000 - $75,000 a year",Not Remote
18, Georgia,Atlanta,11,Facilities Manager,Mechanical Supervisor Trainee - 2021 1,Norfolk Southern Corp,2.9,"Atlanta, GA",Unknown,Not Remote
19, Georgia,Atlanta,11,Facilities Manager,Maintenance Manager,WRH Realty Services Inc.,3.9,"Atlanta, GA",Unknown,Not Remote
20, Georgia,Atlanta,11,Facilities Manager,Maintenance Manager,Middleburg Communities,3.1,"Atlanta, GA",$24 - $27 an hour,Not Remote
21, Georgia,Atlanta,11,Facilities Manager,Technical Facility Manager/Supervisor,Round1,2.9,"Atlanta, GA",$16 - $24 an hour,Not Remote
22, Georgia,Atlanta,11,Facilities Manager,Area Plant Maintenance Manager,Thomas Concrete,3.4,"Atlanta, GA","$55,000 - $65,000 a year",Not Remote
23, Georgia,Atlanta,11,Facilities Manager,Maintenance Coordinator,Roofstock,3.7,"Atlanta, GA",Unknown,Not Remote
24, Georgia,Atlanta,11,Facilities Manager,Engineering Supervisor,Omni Hotels & Resorts,3.8,"Atlanta, GA",Unknown,Not Remote
25, Georgia,Atlanta,11,Facilities Manager,Service Manager for 55+ Lease Up,"Perennial Properties, Inc.",4.5,"Atlanta, GA",Unknown,Not Remote
26, Georgia,Atlanta,11,Facilities Manager,maintenance director,Healthcare at College Park,1.3,"Atlanta, GA",$18 - $21 an hour,Not Remote
27, Georgia,Atlanta,11,Facilities Manager,Chief Engineer,Hyatt House Atlanta Downtown,3.1,"Atlanta, GA",Unknown,Not Remote
28, Georgia,Atlanta,11,Facilities Manager,Maintenance Supervisor,Elmington,,"Atlanta, GA",Unknown,Not Remote
29, Georgia,Atlanta,11,Facilities Manager,Supervisor -Overnight,Sodexo,3.7,"East Point, GA",Unknown,Not Remote
