,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Hawaii,East Honolulu ,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
1, Hawaii,East Honolulu ,11,Facilities Manager,Senior Facilities Manager,Central Pacific Bank,3.9,"Honolulu, HI",Unknown,Not Remote
2, Hawaii,East Honolulu ,11,Facilities Manager,Contract Maintenance Manager,J&J Worldwide Services,3.3,"Kailua, HI",Unknown,Not Remote
3, Hawaii,East Honolulu ,11,Facilities Manager,Laniakea Facilities Supervisor,YWCA Oahu,3.8,"Honolulu, HI",Unknown,Not Remote
4, Hawaii,East Honolulu ,11,Facilities Manager,Assistant Maintenance Director,Hale Nani Rehabilitation & Nursing Center,3.1,"Honolulu, HI",Unknown,Not Remote
5, Hawaii,East Honolulu ,11,Facilities Manager,"Maintenance Manager - Ohana Military Communities MCHB (Kailua, HI)",Hunt Military Communities,3.4,"Kailua, HI",Unknown,Not Remote
0, Hawaii,East Honolulu ,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
0, Hawaii,East Honolulu ,11,Manager,Tax Preparation Manager,E.A.Buck Financial Services,,"Honolulu, HI","$70,000 - $110,000 a year",Not Remote
1, Hawaii,East Honolulu ,11,Manager,Front Office Manager (Manager on Duty),The Imperial Hawaii Resort,,"Honolulu, HI","$42,000 - $49,000 a year",Not Remote
2, Hawaii,East Honolulu ,11,Manager,Activity Manager,Palolo Chinese Home,,"Honolulu, HI","From $53,000 a year",Not Remote
3, Hawaii,East Honolulu ,11,Manager,Resident Manager - Chinatown Gateway Plaza,"Hawaiian Properties, Ltd",2.8,"Honolulu, HI","From $45,000 a year",Not Remote
4, Hawaii,East Honolulu ,11,Manager,Law Firm Office Manager,Greg Ryan & Associates AAL LLLC,,"Honolulu, HI","$50,000 - $60,000 a year",Not Remote
5, Hawaii,East Honolulu ,11,Manager,Store Manager/Barista,Beyond Boba Tea,3.5,"Honolulu, HI","From $42,000 a year",Not Remote
6, Hawaii,East Honolulu ,11,Manager,Business Manager,Oahu Home Healthcare,3.1,"Honolulu, HI",Unknown,Not Remote
7, Hawaii,East Honolulu ,11,Manager,General Manager,Bourbon Street Restaurant & Bar,,"Honolulu, HI","$70,000 - $90,000 a year",Not Remote
8, Hawaii,East Honolulu ,11,Manager,Front Office Manager (Manager on Duty),The Imperial Hawaii Resort,,"Honolulu, HI","$42,000 - $49,000 a year",Not Remote
9, Hawaii,East Honolulu ,11,Manager,Recruiting Manager,Diamond Resorts,3.3,"Honolulu, HI",Unknown,Not Remote
10, Hawaii,East Honolulu ,11,Manager,Special Events Manager,Hawaiian Humane Society,3.9,"Honolulu, HI",Unknown,Not Remote
11, Hawaii,East Honolulu ,11,Manager,HOUSING MANAGER,US Department of the Navy,4.3,"Kaneohe, HI","$79,901 - $103,875 a year",Not Remote
12, Hawaii,East Honolulu ,11,Manager,Guest Services Manager (OEM),Highgate Hotels,2.5,"Honolulu, HI",Unknown,Not Remote
13, Hawaii,East Honolulu ,11,Manager,Banquet Manager,The Kahala Hotel & Resort,3.1,"Honolulu, HI",Unknown,Not Remote
14, Hawaii,East Honolulu ,11,Manager,Operations and Events Manager,American Heart Association,3.8,"Honolulu, HI",Unknown,Not Remote
