,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Hawaii,Honolulu,11,Facilities Manager,Site Maintenance Manager,Associa Hawaii,3.4,"Kaneohe, HI","From $45,000 a year",Not Remote
1, Hawaii,Honolulu,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
2, Hawaii,Honolulu,11,Facilities Manager,Maintenance Manager,Food Management Search,,"‘Aiea, HI",Unknown,Not Remote
3, Hawaii,Honolulu,11,Facilities Manager,FACILITIES MANAGER,Hyatt Centric Waikiki Beach,4.1,"Honolulu, HI",Unknown,Not Remote
4, Hawaii,Honolulu,11,Facilities Manager,USARPAC Secure Facility Manager (Facilities Rep 5),Huntington Ingalls Industries Inc.,3.8,"Fort Shafter, HI",Unknown,Not Remote
5, Hawaii,Honolulu,11,Facilities Manager,Facilities Manager,'ike Group,,"Honolulu, HI",Unknown,Not Remote
6, Hawaii,Honolulu,11,Facilities Manager,Maintenance Manager,PepsiCo,3.8,"‘Aiea, HI",Unknown,Not Remote
7, Hawaii,Honolulu,11,Facilities Manager,Site Maintenance Manager,Associa Hawaii,3.4,"Kaneohe, HI","From $45,000 a year",Not Remote
0, Hawaii,Honolulu,11,Funeral Home Managers,Pre-Planning Advisor,"SCI Shared Resources, LLC",3.1,"Honolulu, HI",Unknown,Not Remote
0, Hawaii,Honolulu,11,Manager,A/C Service Manager,"Standard Sheetmetal & Mechanical, Inc.",,"Honolulu, HI","$50,000 - $75,000 a year",Not Remote
1, Hawaii,Honolulu,11,Manager,Senior Account Manager - Sales,CEI Hawaii - Corporate Environments Int'l,,"Honolulu, HI",Unknown,Not Remote
2, Hawaii,Honolulu,11,Manager,FINANCE MANAGER AUTOMOTIVE DEALERSHIP,Automotive Dealership,,"Honolulu, HI","$60,000 - $180,000 a year",Not Remote
3, Hawaii,Honolulu,11,Manager,Senior Branch Administration Manager,Honolulu Federal Credit Union,,"Honolulu, HI","$50,000 - $82,000 a year",Not Remote
4, Hawaii,Honolulu,11,Manager,Community Lending Manager,HHOC Mortgage,,"Honolulu, HI",Up to $29 an hour,Not Remote
5, Hawaii,Honolulu,11,Manager,Project Manager,"Standard Sheetmetal & Mechanical, Inc.",,"Honolulu, HI","$60,000 - $90,000 a year",Not Remote
