,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Illinois,Chicago,11,Facilities Manager,Facilities Coordinator,CBRE,3.7,"Chicago, IL",Unknown,Not Remote
1, Illinois,Chicago,11,Facilities Manager,Program and Facilities Coordinator (The Well),Congregation of St. Joseph,4.1,"Chicago, IL","$45,000 - $48,000 a year",Temporarily remote
2, Illinois,Chicago,11,Facilities Manager,EHS and Facilities Coordinator,Modern Electron,,"Chicago, IL",Unknown,Not Remote
3, Illinois,Chicago,11,Facilities Manager,"Manager, Facilities Operations",Discover Financial Services,3.9,"Chicago, IL",Unknown,Not Remote
4, Illinois,Chicago,11,Facilities Manager,Entry-Level Facilities Operations Associate Manager,"Hyde Park Hospitality, LLC",3.4,"Chicago, IL","$50,000 - $58,000 a year",Not Remote
5, Illinois,Chicago,11,Facilities Manager,Facilities Coordinator,Discover Financial Services,3.9,"Chicago, IL",Unknown,Not Remote
6, Illinois,Chicago,11,Facilities Manager,Multifamily Regional Facilities Manager,Trinity Property Consultants,3.4,"Chicago, IL",Unknown,Not Remote
7, Illinois,Chicago,11,Facilities Manager,Director of Facilities and Maintenance,MCDERMOTT CENTER,2.0,"Chicago, IL",Unknown,Not Remote
8, Illinois,Chicago,11,Facilities Manager,Facilities Coordinator,CBRE,3.7,"Chicago, IL",Unknown,Not Remote
9, Illinois,Chicago,11,Facilities Manager,Floating Facilities Manager,Trinity Property Consultants,3.4,"Chicago, IL",Unknown,Not Remote
10, Illinois,Chicago,11,Facilities Manager,Facilities / Engineering Operations Manager 1,Sodexo,3.7,"Chicago, IL",Unknown,Not Remote
11, Illinois,Chicago,11,Facilities Manager,Facilities Manager,ESPERANZA HEALTH CENTERS,3.0,"Chicago, IL",Unknown,Not Remote
12, Illinois,Chicago,11,Facilities Manager,Facilities Manager,Howard Brown Health Center,3.5,"Chicago, IL",Unknown,Not Remote
13, Illinois,Chicago,11,Facilities Manager,Multifamily Area Facilities Manager,Trinity Property Consultants,3.4,"Chicago, IL",Unknown,Not Remote
14, Illinois,Chicago,11,Facilities Manager,Building Maintenance Manager,Hyatt Place Chicago - The Loop,,"Chicago, IL",Unknown,Not Remote
15, Illinois,Chicago,11,Facilities Manager,EHS and Facilities Coordinator,Modern Electron,,"Chicago, IL",Unknown,Not Remote
16, Illinois,Chicago,11,Facilities Manager,Regional Director of Facilities Management,Pathway To Living LLC,1.8,"Chicago, IL",Unknown,Not Remote
17, Illinois,Chicago,11,Facilities Manager,Program and Facilities Coordinator (The Well),Congregation of St. Joseph,4.1,"Chicago, IL","$45,000 - $48,000 a year",Temporarily remote
18, Illinois,Chicago,11,Facilities Manager,Director Of Maintenance,Symphony Bronzeville,,"Chicago, IL",Unknown,Not Remote
19, Illinois,Chicago,11,Facilities Manager,Service Manager,Marquette Management,3.9,"Chicago, IL",Unknown,Not Remote
20, Illinois,Chicago,11,Facilities Manager,Facilities Director,Soul City Church,4.5,"Chicago, IL",Unknown,Not Remote
21, Illinois,Chicago,11,Facilities Manager,Facility Manager,Resintech Inc,2.7,"Lyons, IL",Unknown,Not Remote
22, Illinois,Chicago,11,Facilities Manager,Director of Housekeeping and Maintenance,Aperion Care,3.1,"Chicago, IL",Unknown,Not Remote
23, Illinois,Chicago,11,Facilities Manager,MHE Maintenance Supervisor,LGSTX Services,3.4,"Chicago, IL","$85,000 - $91,520 a year",Not Remote
24, Illinois,Chicago,11,Facilities Manager,Facilities Maintenance Supervisor - Food & Beverage,Primo Water North America,2.0,"Chicago, IL",Unknown,Not Remote
