,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Illinois,Chicago,11,Facilities Manager,Maintenance Lead Worker - Riverside Brookfield SD 208 Facilities,Aramark,3.5,"Riverside, IL",Unknown,Not Remote
1, Illinois,Chicago,11,Facilities Manager,Direct Hire - 2nd Shift Maintenance Supervisor,Fremont Foods,,"Bedford Park, IL","$70,000 - $80,000 a year",Not Remote
2, Illinois,Chicago,11,Facilities Manager,Maintenance Coordinator,Sunrise Senior Living,3.4,"Chicago, IL",Unknown,Not Remote
3, Illinois,Chicago,11,Facilities Manager,Facilities Coordinator,Discover Financial Services,3.9,"Chicago, IL",Unknown,Not Remote
4, Illinois,Chicago,11,Facilities Manager,Facilities Manager,Saks Fifth Avenue,3.6,"Chicago, IL",Unknown,Not Remote
5, Illinois,Chicago,11,Facilities Manager,Facilities Manager,ESPERANZA HEALTH CENTERS,3.0,"Chicago, IL",Unknown,Not Remote
6, Illinois,Chicago,11,Facilities Manager,Facilities Coordinator,CBRE,3.7,"Chicago, IL",Unknown,Not Remote
7, Illinois,Chicago,11,Facilities Manager,Regional Director of Facilities Management,Pathway To Living LLC,1.8,"Chicago, IL",Unknown,Not Remote
8, Illinois,Chicago,11,Facilities Manager,Maintenance Supervisor - North Lakeview,Reside Living LLC,4.3,"Chicago, IL","Up to $85,000 a year",Not Remote
9, Illinois,Chicago,11,Facilities Manager,Facilities Coordinator,CBRE,3.7,"Chicago, IL",Unknown,Not Remote
10, Illinois,Chicago,11,Facilities Manager,Maintenance Supervisor - Beverage,DS Services,3.2,"Chicago, IL",Unknown,Not Remote
11, Illinois,Chicago,11,Facilities Manager,MHE Maintenance Supervisor,LGSTX Services,3.4,"Chicago, IL","$85,000 - $91,520 a year",Not Remote
12, Illinois,Chicago,11,Facilities Manager,Assistant Maintenance Director,BRIA of Forest Edge,3.0,"Chicago, IL",Unknown,Not Remote
13, Illinois,Chicago,11,Facilities Manager,Maintenance Manager,Autokiniton,,"Chicago, IL",Unknown,Not Remote
14, Illinois,Chicago,11,Facilities Manager,Chief Engineer,The LaSalle Chicago Loop,3.1,"Chicago, IL",Unknown,Not Remote
15, Illinois,Chicago,11,Facilities Manager,Direct Hire - 2nd Shift Maintenance Supervisor,Fremont Foods,,"Bedford Park, IL","$70,000 - $80,000 a year",Not Remote
16, Illinois,Chicago,11,Facilities Manager,Maintenance Lead Worker - Riverside Brookfield SD 208 Facilities,Aramark,3.5,"Riverside, IL",Unknown,Not Remote
17, Illinois,Chicago,11,Facilities Manager,Critical Facility Manager,BCS Data Center Operations,3.5,"Chicago, IL",Unknown,Not Remote
18, Illinois,Chicago,11,Facilities Manager,Director of Housekeeping and Maintenance,Aperion Care,3.1,"Chicago, IL",Unknown,Not Remote
19, Illinois,Chicago,11,Facilities Manager,Maintenance Supervisor,Pactiv Evergreen,1.5,"Bedford Park, IL",Unknown,Not Remote
20, Illinois,Chicago,11,Facilities Manager,Director of Facilities Management - PRN,Fire Door Solutions LLC,,"Chicago, IL",Unknown,Not Remote
21, Illinois,Chicago,11,Facilities Manager,Maintenance Supervisor 2nd/3rd shift,Old Dominion Freight Line,3.7,"Forest View, IL",Unknown,Not Remote
22, Illinois,Chicago,11,Facilities Manager,Maintenance Coordinator,Sunrise Senior Living,3.4,"Chicago, IL",Unknown,Not Remote
23, Illinois,Chicago,11,Facilities Manager,Maintenance Supervisor 2nd/3rd shift,Old Dominion Freight Line,3.7,"Forest View, IL",Unknown,Not Remote
24, Illinois,Chicago,11,Facilities Manager,Maintenance Director,The Carlton,2.7,"Chicago, IL",Unknown,Not Remote
25, Illinois,Chicago,11,Facilities Manager,Maintenance Supervisor/Manager Virtual Hiring Event,Harbor Freight Tools,3.3,"Chicago, IL",Unknown,Not Remote
26, Illinois,Chicago,11,Facilities Manager,Maintenance Supervisor - North Lakeview,Reside Living LLC,4.3,"Chicago, IL","Up to $85,000 a year",Not Remote
0, Illinois,Chicago,11,Funeral Home Managers,Campus Pastor - Willow Chicago,Willow Creek Community Church,4.4,"Chicago, IL",Unknown,Not Remote
0, Illinois,Chicago,11,Manager,Knowledge Manager,The William Everett Group,3.3,"Chicago, IL",Unknown,Temporarily remote
1, Illinois,Chicago,11,Manager,Distribution / Shipping Manager,"Novolex Holdings, LLC",3.1,"Chicago, IL",Unknown,Not Remote
2, Illinois,Chicago,11,Manager,Fiscal and Operations Manager,Chicago Survivors,,"Chicago, IL","$60,000 - $65,000 a year",Temporarily remote
3, Illinois,Chicago,11,Manager,General Manager,Confidential,,"Chicago, IL","$70,000 - $85,000 a year",Not Remote
4, Illinois,Chicago,11,Manager,Manager - Futures Compliance,Phillip Capital Inc.,3.6,"Chicago, IL",Unknown,Temporarily remote
5, Illinois,Chicago,11,Manager,Clinic Manager,Division Chiropractic & Acupuncture,,"Chicago, IL","$50,000 - $60,000 a year",Not Remote
6, Illinois,Chicago,11,Manager,Logistics Manager,"Vita Food Products, Inc.",,"Chicago, IL","$77,000 - $87,459 a year",Not Remote
7, Illinois,Chicago,11,Manager,Fitness Manager,LA Fitness,3.2,"Chicago, IL","$65,000 a year",Not Remote
8, Illinois,Chicago,11,Manager,Manager in Training,Skycloud Agency,,"Chicago, IL","$42,000 - $89,000 a year",Remote
9, Illinois,Chicago,11,Manager,Correctional Treatment Specialist (Case Manager),US Department of Justice,4.1,"Chicago, IL","$61,233 - $79,010 a year",Not Remote
10, Illinois,Chicago,11,Manager,Front Office Manager,Chicago Marriott at Medical District/UIC,,"Chicago, IL","$50,000 a year",Not Remote
11, Illinois,Chicago,11,Manager,Logistics Manager,"Vita Food Products, Inc.",,"Chicago, IL","$77,000 - $87,459 a year",Not Remote
12, Illinois,Chicago,11,Manager,MANAGER OF VEHICLE MAINTENANCE,City of Chicago,4.1,"Chicago, IL","$75,408 a year",Not Remote
13, Illinois,Chicago,11,Manager,Store Manager - Cannabis Provisioning Center,Green Koi,,"Chicago, IL","$60,000 - $70,000 a year",Not Remote
14, Illinois,Chicago,11,Manager,Operations Manager,AV Chicago,,"Chicago, IL","Up to $100,000 a year",Not Remote
15, Illinois,Chicago,11,Manager,District Manager,Qdoba | Qdoba Restaurant Group,3.5,"Chicago, IL",Unknown,Not Remote
16, Illinois,Chicago,11,Manager,Clinic Manager,Division Chiropractic & Acupuncture,,"Chicago, IL","$50,000 - $60,000 a year",Not Remote
17, Illinois,Chicago,11,Manager,Manager in Training,Rousse Agency,,"Chicago, IL","$41,000 - $90,000 a year",Temporarily remote
18, Illinois,Chicago,11,Manager,Associate Product Manager,Littelfuse,3.7,"Chicago, IL",Unknown,Not Remote
19, Illinois,Chicago,11,Manager,"Operations Manager - Chicago, IL",Amazon.com Services LLC,3.5,"Chicago, IL",Unknown,Not Remote
20, Illinois,Chicago,11,Manager,Field Sales Manager-Chicago,Lagunitas Brewing Company,3.3,"Chicago, IL",Unknown,Not Remote
21, Illinois,Chicago,11,Manager,Product Manager,Kin Insurance,4.3,"Chicago, IL",Unknown,Not Remote
22, Illinois,Chicago,11,Manager,"Manager, Conference Services",KPMG,4.0,"Chicago, IL",Unknown,Not Remote
23, Illinois,Chicago,11,Manager,Practice Manager - Plastic Surgery Practice,Elite Body Sculpture,3.0,"Chicago, IL","$70,000 - $85,000 a year",Not Remote
24, Illinois,Chicago,11,Manager,Assistant Production Manager,LeafGuard,3.0,"Pilsen, IL",From $20 an hour,Not Remote
25, Illinois,Chicago,11,Manager,Customer Service Manager,"Vita Food Products, Inc.",3.5,"Chicago, IL",Unknown,Not Remote
26, Illinois,Chicago,11,Manager,"Distribution Center Training Operations Manager - Chicago, IL",TARGET,3.6,"Chicago, IL",Unknown,Not Remote
27, Illinois,Chicago,11,Manager,Front of House Manager,Dineamic Hospitality,,"Chicago, IL","$55,000 - $65,000 a year",Not Remote
28, Illinois,Chicago,11,Manager,Production Manager,Newly Weds® Foods,3.5,"Chicago, IL",Unknown,Not Remote
29, Illinois,Chicago,11,Manager,Operations Manager- Intermodal,Intermodal Trucking,,"Chicago, IL","$75,000 - $150,000 a year",Not Remote
30, Illinois,Chicago,11,Manager,Customer Success Manager,PayPal,3.9,"Chicago, IL",Unknown,Not Remote
31, Illinois,Chicago,11,Manager,Front Desk Manager,Elite Performance Chiropractic,,"Chicago, IL",$18 - $20 an hour,Not Remote
32, Illinois,Chicago,11,Manager,"Manager, Athlete Marketing",Red Bull,4.0,"Chicago, IL",Unknown,Not Remote
33, Illinois,Chicago,11,Manager,Associate IT Manager,WALGREENS,3.6,"Chicago, IL",Unknown,Not Remote
34, Illinois,Chicago,11,Manager,Junior Operations Manager,"Mid-American Elevator Co., Inc.",4.0,"Chicago, IL","$50,000 - $70,000 a year",Not Remote
35, Illinois,Chicago,11,Manager,Regional Manager,Emporium Arcade Bar,,"Chicago, IL","$75,000 - $125,000 a year",Not Remote
36, Illinois,Chicago,11,Manager,Operations Manager,Ashland Cold Storage,2.4,"Chicago, IL","$90,000 - $100,000 a year",Not Remote
