,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor,Muesing Management Company,,"Indianapolis, IN",$24 - $28 an hour,Not Remote
1, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor (Industrial),"Quemetco, Inc.",,"Indianapolis, IN","$75,000 - $90,000 a year",Not Remote
2, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor,James Management Group,4.4,"Indianapolis, IN",From $17 an hour,Not Remote
3, Indiana,Indianapolis,11,Facilities Manager,210923 - Supervisor-Facilities,Methodist Hospital,3.8,"Indianapolis, IN",Unknown,Not Remote
4, Indiana,Indianapolis,11,Facilities Manager,Night Facilities Manager (FT),City Wide of Indianapolis,,"Indianapolis, IN",From $17 an hour,Not Remote
5, Indiana,Indianapolis,11,Facilities Manager,Facility Manager,Brixmor Property Group,,"Speedway, IN",Unknown,Not Remote
6, Indiana,Indianapolis,11,Facilities Manager,MAINTENANCE MANAGER - MANUFACTURING,NPX ONE LLC,3.0,"Indianapolis, IN",Unknown,Not Remote
7, Indiana,Indianapolis,11,Facilities Manager,"Facilities Manager - Environmental Services, 1st shift",Aramark,3.5,"Indianapolis, IN",Unknown,Not Remote
8, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor,Ressco,3.1,"Indianapolis, IN","$60,000 - $70,000 a year",Not Remote
9, Indiana,Indianapolis,11,Facilities Manager,Maintenance Director,The Waters of Indianapolis,2.7,"Indianapolis, IN",Unknown,Not Remote
10, Indiana,Indianapolis,11,Facilities Manager,Facility Management Coordinator,Richmond Property Group,4.0,"Indianapolis, IN","$34,000 - $39,000 a year",Not Remote
11, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor (Industrial),"Quemetco, Inc.",,"Indianapolis, IN","$75,000 - $90,000 a year",Not Remote
12, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor - Wylde at Eagle Creek,PMR Companies,4.0,"Indianapolis, IN",$20 - $24 an hour,Not Remote
13, Indiana,Indianapolis,11,Facilities Manager,Chief Engineer-Homewood Suites Keystone,General Hotels Corporation,2.8,"Indianapolis, IN",Unknown,Not Remote
14, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor,James Management Group,4.4,"Indianapolis, IN",From $17 an hour,Not Remote
15, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor,Harcourt Terrace Nursing & Rehabilitation,3.1,"Indianapolis, IN",Unknown,Not Remote
16, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor,Muesing Management Company,,"Indianapolis, IN",$24 - $28 an hour,Not Remote
17, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor,Harcourt Terrace Nursing,3.1,"Indianapolis, IN",Unknown,Not Remote
18, Indiana,Indianapolis,11,Facilities Manager,Senior Maintenance Supervisor,"Towne Properties Asset Management Company, Inc.",,"Indianapolis, IN",Up to $25 an hour,Not Remote
19, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor: Colonial Square Apartments,"Gene B. Glick Company, Inc.",3.3,"Indianapolis, IN",Unknown,Not Remote
20, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor,Equity Property Management,2.7,"Indianapolis, IN",$20 - $23 an hour,Not Remote
21, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor - Wylde at Eagle Creek,PMR Companies,4.0,"Indianapolis, IN",$20 - $24 an hour,Not Remote
0, Indiana,Indianapolis,11,Funeral Home Managers,"926 Funeral Home Manager, Glen Carbon, IL","StoneMor, Inc. Illinois",,"Indianapolis, IN","$65,000 a year",Not Remote
1, Indiana,Indianapolis,11,Funeral Home Managers,Sales Manager,"SCI Shared Resources, LLC",3.1,"Indianapolis, IN",Unknown,Not Remote
0, Indiana,Indianapolis,11,Manager,District Manager,Southwest Dealer Services,3.8,"Indianapolis, IN",Unknown,Remote
1, Indiana,Indianapolis,11,Manager,Community Manager - Indy Flats,Barrett & Stokely,3.3,"Indianapolis, IN",Unknown,Not Remote
2, Indiana,Indianapolis,11,Manager,Hospice Case Manager RN PRN On-Call,Intrepid USA,3.1,"Indianapolis, IN",Unknown,Not Remote
3, Indiana,Indianapolis,11,Manager,Business Development Manager,Quinton Residential Living,3.1,"Indianapolis, IN",Unknown,Not Remote
4, Indiana,Indianapolis,11,Manager,Warehouse Manager,The RoomPlace,,"Indianapolis, IN","$60,000 - $80,000 a year",Not Remote
5, Indiana,Indianapolis,11,Manager,Safety Manager,"QUEMETCO, INC / Ecobat Technologies",,"Indianapolis, IN","Up to $115,000 a year",Not Remote
6, Indiana,Indianapolis,11,Manager,Account Manager,"Backhaul Direct, LLC",3.0,"Indianapolis, IN",Unknown,Not Remote
7, Indiana,Indianapolis,11,Manager,Kitchen Manager,Chipotle Mexican Grill,3.6,"Indianapolis, IN",$14 - $16 an hour,Not Remote
8, Indiana,Indianapolis,11,Manager,Social Media Manager,Total Shape,,"Indianapolis, IN","$4,750 a month",Not Remote
