,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Indiana,Indianapolis,11,Facilities Manager,"Facilities Manager - Environmental Services, 1st shift",Aramark,3.5,"Indianapolis, IN",Unknown,Not Remote
1, Indiana,Indianapolis,11,Facilities Manager,Maintenance Supervisor - Sycamores,Barrett & Stokely,3.3,"Indianapolis, IN",Unknown,Not Remote
2, Indiana,Indianapolis,11,Facilities Manager,Maintenance Service Director,AION Management,2.8,"Indianapolis, IN",Unknown,Not Remote
3, Indiana,Indianapolis,11,Facilities Manager,Heavy Maintenance Manager- CVG,F&E Aircraft Maintenance and Engineering (FEAM),2.8,"Indianapolis, IN",Unknown,Not Remote
4, Indiana,Indianapolis,11,Facilities Manager,Facilities Management Sr Engineering Operations Manager- Life Sciences,CBRE,3.7,"Indianapolis, IN",Unknown,Not Remote
5, Indiana,Indianapolis,11,Facilities Manager,211061 - Supervisor-Facilities,University Hospital,3.8,"Indianapolis, IN",Unknown,Not Remote
6, Indiana,Indianapolis,11,Facilities Manager,Manufacturing Maintenance Manager,IT Resource Hunter,,"Indianapolis, IN","$80,000 - $85,000 a year",Not Remote
7, Indiana,Indianapolis,11,Facilities Manager,Night Facilities Manager (FT),City Wide of Indianapolis,,"Indianapolis, IN",From $17 an hour,Not Remote
8, Indiana,Indianapolis,11,Facilities Manager,Working Maintenance Director/Meridian,Chosen Healthcare,2.6,"Indianapolis, IN",Unknown,Not Remote
9, Indiana,Indianapolis,11,Facilities Manager,Mgr Facilities & Real Estate,Covance,3.2,"Indianapolis, IN",Unknown,Not Remote
10, Indiana,Indianapolis,11,Facilities Manager,Maintenance Manager,Hoosier Gasket Corp,3.6,"Indianapolis, IN",Unknown,Not Remote
11, Indiana,Indianapolis,11,Facilities Manager,Senior Director of Facilities and Construction,Indianapolis Zoo,4.3,"Indianapolis, IN",Unknown,Not Remote
12, Indiana,Indianapolis,11,Facilities Manager,"Facilities Manager - Environmental Services, 1st shift",Aramark,3.5,"Indianapolis, IN",Unknown,Not Remote
13, Indiana,Indianapolis,11,Facilities Manager,Maintenance Service Director,AION Management,2.8,"Indianapolis, IN",Unknown,Not Remote
