,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Iowa,Des Moines,11,Facilities Manager,Facility Manager,DoorDash,3.3,"Des Moines, IA",Unknown,Not Remote
1, Iowa,Des Moines,11,Facilities Manager,Maintenance Supervisor,Rehabilitation Center of Des Moines,3.2,"Des Moines, IA",Unknown,Not Remote
2, Iowa,Des Moines,11,Facilities Manager,Maintenance Supervisor,Aerotek,3.7,"Des Moines, IA","$70,000 a year",Not Remote
3, Iowa,Des Moines,11,Facilities Manager,Facilities Manager,SVN International Corp.,4.2,"Des Moines, IA",Unknown,Not Remote
4, Iowa,Des Moines,11,Facilities Manager,Facility Manager,Brenntag,3.3,"Des Moines, IA",Unknown,Not Remote
5, Iowa,Des Moines,11,Facilities Manager,Maintenance Director,Genesis Senior Living Center,1.5,"Des Moines, IA",Unknown,Not Remote
6, Iowa,Des Moines,11,Facilities Manager,Maintenance Supervisor,Rehabilitation Center of Des Moines,3.2,"Des Moines, IA",Unknown,Not Remote
7, Iowa,Des Moines,11,Facilities Manager,Maintenance Manager - Fresh Commissary,Hy-Vee,3.7,"Ankeny, IA",Unknown,Not Remote
8, Iowa,Des Moines,11,Facilities Manager,Director of Maintenance & Housekeeping,Bishop Drumm Retirement Center,,"Johnston, IA",Unknown,Not Remote
9, Iowa,Des Moines,11,Facilities Manager,Facility Operations Supervisor,Life Time,3.5,"Urbandale, IA",Unknown,Not Remote
10, Iowa,Des Moines,11,Facilities Manager,Assistant Maintenance Director (Full-Time),FBBC&TS,,"Ankeny, IA",Unknown,Not Remote
11, Iowa,Des Moines,11,Facilities Manager,Maintenance Supervisor,Calvin Community,,"Des Moines, IA",Unknown,Not Remote
12, Iowa,Des Moines,11,Facilities Manager,Maintenance Supervisor (Straight Day Shift!),Amcor,,"Des Moines, IA",Unknown,Not Remote
13, Iowa,Des Moines,11,Facilities Manager,Engineering/Maintenance Supervisor,Embassy Suites Des Moines,,"Des Moines, IA",$16 - $18 an hour,Not Remote
14, Iowa,Des Moines,11,Facilities Manager,Facility Manager,DoorDash,3.3,"Des Moines, IA",Unknown,Not Remote
15, Iowa,Des Moines,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
0, Iowa,Des Moines,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
1, Iowa,Des Moines,11,Funeral Home Managers,Floral Designer,Hy-Vee,3.7,"Ankeny, IA",Unknown,Not Remote
0, Iowa,Des Moines,33,Forest Fire Prevention Specialists,SKC TREES 2021 Wildland Fire Management Student Interns,SKC TREES,,United States,$12.50 - $19.00 an hour,Not Remote
0, Iowa,Des Moines,33,Private  Investigators,Process Server/ Assistant,Absolute Serving,,"Des Moines, IA",$20 - $30 an hour,Not Remote
0, Iowa,Des Moines,33,Miscellaneous Protective Service Workers,Project Manager,"Top Gun Staffing, Inc.",,United States,"$98,000 - $100,000 a year",Not Remote
1, Iowa,Des Moines,33,Miscellaneous Protective Service Workers,Night Auditor,Element West Des Moines,,"West Des Moines, IA",From $13 an hour,Not Remote
0, Iowa,Des Moines,35,Private Chef,Line Cook/Prep Cook,Lake Panorama National Resort,,"Adel, IA",From $12.50 an hour,Not Remote
1, Iowa,Des Moines,35,Private Chef,Line Cook/Prep Cook,Lake Panorama National Resort,,"Adel, IA",From $12.50 an hour,Not Remote
0, Iowa,Des Moines,35,Waitresses,Server,Royal Mile,,"Des Moines, IA",Unknown,Not Remote
1, Iowa,Des Moines,35,Waitresses,Old Chicago Servers,Old Chicago Pizza,3.6,"Ankeny, IA",Unknown,Not Remote
2, Iowa,Des Moines,35,Waitresses,Food Server,Lucky Horse Beer & Burgers,,"Des Moines, IA",Unknown,Not Remote
3, Iowa,Des Moines,35,Waitresses,Server,Royal Mile,,"Des Moines, IA",Unknown,Not Remote
4, Iowa,Des Moines,35,Waitresses,Server/Bartender,Americana Restaurant,,"Des Moines, IA",Unknown,Not Remote
5, Iowa,Des Moines,35,Waitresses,Fine Dining Server - AJ's Steakhouse,"Prairie Meadows Racetrack and Casino, Inc.",3.6,"Altoona, IA",$23 - $28 an hour,Not Remote
6, Iowa,Des Moines,35,Waitresses,Banquet Associate- Server,Atrium Hospitality,2.9,"Des Moines, IA",Unknown,Not Remote
7, Iowa,Des Moines,35,Waitresses,Food Server,Lucky Horse Beer & Burgers,,"Des Moines, IA",Unknown,Not Remote
8, Iowa,Des Moines,35,Waitresses,Cocktail Server,"Prairie Meadows Racetrack and Casino, Inc.",3.6,"Altoona, IA",$20 - $24 an hour,Not Remote
9, Iowa,Des Moines,35,Waitresses,Server,GAMEDAY,4.2,"Des Moines, IA",Unknown,Not Remote
10, Iowa,Des Moines,35,Waitresses,Food Server,Spaghetti Works,,"Des Moines, IA",Up to $15 an hour,Not Remote
11, Iowa,Des Moines,35,Waitresses,Restaurant Server,Eatery A,,"Des Moines, IA",$15 - $30 an hour,Not Remote
12, Iowa,Des Moines,35,Waitresses,Banquet Server - Full Time,Hilton Hotels & Resorts,4.0,"Des Moines, IA",Unknown,Not Remote
13, Iowa,Des Moines,35,Waitresses,Server/Waitstaff,Brick & Ivy Rooftop,,"Altoona, IA",Unknown,Not Remote
14, Iowa,Des Moines,35,Waitresses,Barista/Cafe Server - Part-Time,Barnes & Noble,3.8,"West Des Moines, IA",Unknown,Not Remote
15, Iowa,Des Moines,35,Waitresses,Server and Host,Jethro's BBQ,3.8,"Des Moines, IA",Unknown,Not Remote
16, Iowa,Des Moines,35,Waitresses,"Server, Host, and Bartender",Jethro's BBQ,3.8,"West Des Moines, IA",Unknown,Not Remote
17, Iowa,Des Moines,35,Waitresses,Servers,Thai Flavors Ingersoll,,"Des Moines, IA",Unknown,Not Remote
18, Iowa,Des Moines,35,Waitresses,Server,"HuHot Mongolian Grill | CCW, LLC",3.6,"Ankeny, IA",Unknown,Not Remote
19, Iowa,Des Moines,35,Waitresses,Bartender and Server,Spaghetti Works,,"Des Moines, IA",Unknown,Not Remote
20, Iowa,Des Moines,35,Waitresses,Bartender and Server,Blue Shark Ale House,,"Urbandale, IA",Unknown,Not Remote
21, Iowa,Des Moines,35,Waitresses,Server,Aura Restaurant & Lounge,,"Clive, IA",$10 - $50 an hour,Not Remote
22, Iowa,Des Moines,35,Waitresses,Server and Host,Jethro's BBQ,3.8,"Des Moines, IA",Unknown,Not Remote
23, Iowa,Des Moines,35,Waitresses,Server,"Applebees | Thrive Together, LLC",,"Des Moines, IA",Unknown,Not Remote
24, Iowa,Des Moines,35,Waitresses,Old Chicago Servers,Old Chicago Pizza,3.6,"Ankeny, IA",Unknown,Not Remote
25, Iowa,Des Moines,35,Waitresses,"Server, Host, and Bartender",Jethro's BBQ,3.8,"Des Moines, IA",Unknown,Not Remote
26, Iowa,Des Moines,35,Waitresses,Server and Host,Jethro's BBQ,3.8,"Altoona, IA",Unknown,Not Remote
27, Iowa,Des Moines,35,Waitresses,Server,Texas Roadhouse,3.9,"Johnston, IA",Unknown,Not Remote
28, Iowa,Des Moines,35,Waitresses,Server,"HuHot Mongolian Grill | CCW, LLC",3.6,"West Des Moines, IA",Unknown,Not Remote
29, Iowa,Des Moines,35,Waitresses,Host/Server Assistant/Busser,Fresko,,"Des Moines, IA",$9 an hour,Not Remote
30, Iowa,Des Moines,35,Waitresses,Server,Perkins,3.6,"Des Moines, IA",Unknown,Not Remote
31, Iowa,Des Moines,35,Waitresses,Bistro Server,Courtyard by Marriott | Kinseth Hospitality,3.8,"Ankeny, IA",Unknown,Not Remote
32, Iowa,Des Moines,35,Waitresses,Food Server,Embassy Club West,,"West Des Moines, IA",$12 - $15 an hour,Not Remote
33, Iowa,Des Moines,35,Waitresses,Server,Perkins,3.6,"Des Moines, IA",Unknown,Not Remote
34, Iowa,Des Moines,35,Waitresses,Server and Host,Jethro's BBQ,3.8,"West Des Moines, IA",Unknown,Not Remote
35, Iowa,Des Moines,35,Waitresses,Server,Perkins,3.6,"Des Moines, IA",Unknown,Not Remote
36, Iowa,Des Moines,35,Waitresses,Restaurant Server,wasabi johnston,,"Johnston, IA",$15 - $25 an hour,Not Remote
37, Iowa,Des Moines,35,Waitresses,Server,"Applebees | Thrive Together, LLC",,"Des Moines, IA",Unknown,Not Remote
38, Iowa,Des Moines,35,Waitresses,Food Server,Steamboat Boys BBQ,,"Clive, IA",Unknown,Not Remote
39, Iowa,Des Moines,35,Waitresses,Bartender and Server,Infinity Night Club DSM,,"Urbandale, IA",Unknown,Not Remote
40, Iowa,Des Moines,35,Waitresses,Server,"Applebees | Thrive Together, LLC",,"West Des Moines, IA",Unknown,Not Remote
41, Iowa,Des Moines,35,Waitresses,Spectators Sports Bar and Grill Restaurant Server,Adventureland Park,,"Altoona, IA",$7.25 - $8.00 an hour,Not Remote
42, Iowa,Des Moines,35,Waitresses,Server,Pyra Pizzeria,,"Norwalk, IA",Unknown,Not Remote
43, Iowa,Des Moines,35,Waitresses,Part-Time Server,WesleyLife,3.1,"West Des Moines, IA",Unknown,Not Remote
44, Iowa,Des Moines,35,Waitresses,Server / Dietary Aide - Full-Time DAY shift 7am-2:30pm or 10:45am-7pm!,Presbyterian Homes & Services,3.5,"Clive, IA",Unknown,Not Remote
45, Iowa,Des Moines,35,Waitresses,Restaurant Server,Holiday Inn Downtown at Mercy Campus,3.7,"Des Moines, IA",$7.25 an hour,Not Remote
46, Iowa,Des Moines,35,Waitresses,Server,Perkins,3.6,"Des Moines, IA",Unknown,Not Remote
47, Iowa,Des Moines,35,Waitresses,Host/Server,Jethro's BBQ,3.8,"Johnston, IA",Unknown,Not Remote
48, Iowa,Des Moines,35,Waitresses,Restaurant Server,Blue Shark Ale House,,"Urbandale, IA",Unknown,Not Remote
49, Iowa,Des Moines,35,Waitresses,Part time Server,MorningStar Senior Management,,"West Des Moines, IA",Unknown,Not Remote
50, Iowa,Des Moines,35,Waitresses,Server and Host,Jethro's BBQ,3.8,"Pleasant Hill, IA",Unknown,Not Remote
51, Iowa,Des Moines,35,Waitresses,Server Assistant,Red Robin,3.6,"West Des Moines, IA",Unknown,Not Remote
52, Iowa,Des Moines,35,Waitresses,Part-Time Weekend Server,Grand Living,3.2,"West Des Moines, IA",Unknown,Not Remote
53, Iowa,Des Moines,35,Waitresses,Server,Chipotle,3.6,"West Des Moines, IA",Unknown,Not Remote
54, Iowa,Des Moines,35,Waitresses,Hiring All Positions!,Trailside Tap,,"Ankeny, IA",Unknown,Not Remote
0, Iowa,Des Moines,35,Food Preparation,Food & Beverage Director - Assisted Living/ Memory Care,JEA Senior Living,,"Urbandale, IA",Unknown,Not Remote
1, Iowa,Des Moines,35,Food Preparation,Cook - Dietary Aide - PT,Rose of East Des Moines - Senior Communities,,"Des Moines, IA",$10 - $12 an hour,Not Remote
2, Iowa,Des Moines,35,Food Preparation,Dietary Aide,Sunny View Care Center,2.9,"Ankeny, IA",From $11 an hour,Not Remote
3, Iowa,Des Moines,35,Food Preparation,Food Service Associate - Patient Tray Services,MercyOne Des Moines Medical Center,3.6,"Des Moines, IA",Unknown,Not Remote
4, Iowa,Des Moines,35,Food Preparation,Food Service Associate-Methodist - 2nd Shift,UnityPoint Health,3.6,"Des Moines, IA",Unknown,Not Remote
5, Iowa,Des Moines,35,Food Preparation,Complimentary Food & Beverage Attendant,Atrium Hospitality,2.9,"Des Moines, IA",Unknown,Not Remote
6, Iowa,Des Moines,35,Food Preparation,Food Service Worker,TJ Bagels,,"Des Moines, IA",$9 - $14 an hour,Not Remote
