,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Iowa,Des Moines,11,Facilities Manager,"Maintenance Supervisor in Ankeny, Iowa",Durham School Services,,"Ankeny, IA","$58,000 - $73,000 a year",Not Remote
1, Iowa,Des Moines,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
2, Iowa,Des Moines,11,Facilities Manager,Facilities Services Manager II,CSH Clinical Engineering,,"Des Moines, IA",Unknown,Not Remote
3, Iowa,Des Moines,11,Facilities Manager,Assistant Facilities Manager,CBRE,3.7,"Des Moines, IA",Unknown,Not Remote
4, Iowa,Des Moines,11,Facilities Manager,Facilities Maintenance Coordinator,State of Iowa Talent Gateway,3.8,"Johnston, IA","$40,518 - $59,779 a year",Not Remote
5, Iowa,Des Moines,11,Facilities Manager,Contract Maintenance Manager,"King George, LLC",,"Des Moines, IA",Unknown,Not Remote
6, Iowa,Des Moines,11,Facilities Manager,Track Superintendent / Backside Area Maintenance Manager,RACING OFFICIALS ACCREDITATION PROGRAM,,"Altoona, IA",Unknown,Not Remote
7, Iowa,Des Moines,11,Facilities Manager,Maintenance Coordinator,Edencrest at Tuscany,,"Altoona, IA",Unknown,Not Remote
8, Iowa,Des Moines,11,Facilities Manager,Building and Grounds Supervisor,Urbandale Community School District,4.3,"Urbandale, IA",Unknown,Not Remote
9, Iowa,Des Moines,11,Facilities Manager,Maintenance Manager,Azria Health Park Place,5.0,"Des Moines, IA",Unknown,Not Remote
10, Iowa,Des Moines,11,Facilities Manager,Director of Maintenance/Environmental Services - FT days,Bishop Drumm Retirement Center,,"Johnston, IA",Unknown,Not Remote
11, Iowa,Des Moines,11,Facilities Manager,Maintenance Supervisor,Calvin Community,,"Des Moines, IA",Unknown,Not Remote
12, Iowa,Des Moines,11,Facilities Manager,Facilities Maintenance Manager,Calvin Community,,"Des Moines, IA",Unknown,Not Remote
13, Iowa,Des Moines,11,Facilities Manager,"Maintenance Supervisor in Ankeny, Iowa",Durham School Services,,"Ankeny, IA","$58,000 - $73,000 a year",Not Remote
14, Iowa,Des Moines,11,Facilities Manager,Facilities Maintenance Coordinator,State of Iowa,3.8,"Johnston, IA",Unknown,Not Remote
0, Iowa,Des Moines,11,Funeral Home Managers,Funeral Director,Dogwood Services,,"Ankeny, IA","$46,001 - $64,001 a year",Not Remote
1, Iowa,Des Moines,11,Funeral Home Managers,Family Service Counselor,"SCI Shared Resources, LLC",3.1,"West Des Moines, IA",Unknown,Not Remote
2, Iowa,Des Moines,11,Funeral Home Managers,PART-TIME STUDENT EMBALMER,Iowa Donor Network,3.2,"Altoona, IA",Unknown,Not Remote
0, Iowa,Des Moines,11,Manager,Office Manager,Anderson Erickson Dairy,,"Des Moines, IA","$50,000 - $60,000 a year",Not Remote
1, Iowa,Des Moines,11,Manager,Grants Manager,Institute for Community Alliances,,"Des Moines, IA","$70,000 - $75,000 a year",Not Remote
2, Iowa,Des Moines,11,Manager,RN - Case Manager - Home Health Care,Open Arms Home Health Care - Des Moines,,"Des Moines, IA","$60,000 - $64,000 a year",Not Remote
3, Iowa,Des Moines,11,Manager,Access Manager,YESS,3.3,"Des Moines, IA",Unknown,Not Remote
4, Iowa,Des Moines,11,Manager,Parts Manager,Vander Haag's Inc.,4.1,"Des Moines, IA",$25 - $30 an hour,Not Remote
5, Iowa,Des Moines,11,Manager,General Sales Manager,Bob Brown Buick GMC,3.1,"Ankeny, IA","From $175,000 a year",Not Remote
6, Iowa,Des Moines,11,Manager,Unemployment Insurance Manager,State of Iowa Talent Gateway,3.8,"Des Moines, IA","$54,704 - $84,822 a year",Not Remote
7, Iowa,Des Moines,11,Manager,Office Manager,Anderson Erickson Dairy,,"Des Moines, IA","$50,000 - $60,000 a year",Not Remote
8, Iowa,Des Moines,11,Manager,Parts Manager,Vander Haag's Inc.,4.1,"Des Moines, IA",$25 - $30 an hour,Not Remote
9, Iowa,Des Moines,11,Manager,Integration Manager,Principal Financial Group,3.9,"Des Moines, IA",Unknown,Remote
10, Iowa,Des Moines,11,Manager,IT Manager,State of Iowa Talent Gateway,3.8,"Des Moines, IA","$66,518 - $102,419 a year",Not Remote
11, Iowa,Des Moines,11,Manager,Elementary School Administrative Manager (SAM),Ankeny CSD,,"Ankeny, IA","$85,000 - $86,000 a year",Not Remote
12, Iowa,Des Moines,11,Manager,Assistant Manager - Engagement Center,Principal Financial Group,3.9,"Des Moines, IA",Unknown,Remote
13, Iowa,Des Moines,11,Manager,Assistant Manager - Famous Footwear,Famous Footwear,3.7,"Des Moines, IA",Unknown,Not Remote
14, Iowa,Des Moines,11,Manager,Administrative Manager,Hopkins & Huebner,3.8,"Des Moines, IA",Unknown,Not Remote
15, Iowa,Des Moines,11,Manager,Plant Manager,"Brenntag Great Lakes, LLC",3.3,"Des Moines, IA","From $70,000 a year",Not Remote
16, Iowa,Des Moines,11,Manager,Client Support Manager,Shazam.net,,"Des Moines, IA",Unknown,Not Remote
17, Iowa,Des Moines,11,Manager,Parks and Recreation Supervisor,"City of Des Moines, IA",,"Des Moines, IA",$34.40 - $43.58 an hour,Not Remote
18, Iowa,Des Moines,11,Manager,Operations Manager,"Lithia Motors, Inc.",3.1,"Urbandale, IA",Unknown,Not Remote
19, Iowa,Des Moines,11,Manager,Property Manager: District at 6th,TWG Development,3.0,"Des Moines, IA",Unknown,Not Remote
20, Iowa,Des Moines,11,Manager,"Practice Manager, Operations","Heartland Dental- Des Moines, Iowa",,"Des Moines, IA",Unknown,Not Remote
21, Iowa,Des Moines,11,Manager,Information Technology Manager,ChildServe,4.3,"Johnston, IA",Unknown,Not Remote
22, Iowa,Des Moines,11,Manager,Office Manager,UnityPoint Health,3.6,"West Des Moines, IA",Unknown,Not Remote
23, Iowa,Des Moines,11,Manager,District Supervisor,Casey's General Stores,3.4,"Des Moines, IA",Unknown,Not Remote
24, Iowa,Des Moines,11,Manager,Banking Center Manager I,Great Southern Bank,3.6,"Pleasant Hill, IA",Unknown,Not Remote
25, Iowa,Des Moines,11,Manager,Warehouse Manager,AFC Industries,2.3,"Des Moines, IA","$48,000 - $55,000 a year",Not Remote
26, Iowa,Des Moines,11,Manager,Information Technology Project Manager,State of Iowa Talent Gateway,3.8,"Des Moines, IA","$71,989 - $110,698 a year",Not Remote
27, Iowa,Des Moines,11,Manager,Web Content Manager,Grand View University,4.2,"Des Moines, IA",Unknown,Not Remote
28, Iowa,Des Moines,11,Manager,Branch Manager,Two Rivers Bank & Trust,3.4,"Des Moines, IA",Unknown,Not Remote
29, Iowa,Des Moines,11,Manager,District Supervisor,Casey's General Stores,3.4,"Des Moines, IA",Unknown,Not Remote
30, Iowa,Des Moines,11,Manager,"Branch Manager Trainee - West Des Moines - Des Moines, IA","JPMorgan Chase Bank, N.A.",3.9,"West Des Moines, IA",Unknown,Not Remote
31, Iowa,Des Moines,11,Manager,Co-brand Marketing Program Manager 1,Wells Fargo,3.7,"Des Moines, IA",Unknown,Not Remote
