,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Kansas,Overland Park,11,Facilities Manager,Facilities Manager,Aerotek,3.7,"Overland Park, KS",$17 an hour,Not Remote
1, Kansas,Overland Park,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
2, Kansas,Overland Park,11,Facilities Manager,Facilities Operations Manager,AdventHealth Shawnee Mission,3.8,"Shawnee Mission, KS",Unknown,Not Remote
3, Kansas,Overland Park,11,Facilities Manager,Facilities Maintenance Manager,University of Kansas Medical Center,3.9,"Kansas City, KS",Unknown,Not Remote
4, Kansas,Overland Park,11,Facilities Manager,Director of Facilities,Kansas Christian College,,"Overland Park, KS","From $30,000 a year",Not Remote
5, Kansas,Overland Park,11,Facilities Manager,Director of Facilities & Real Estate,Barkley,3.8,"Kansas City, MO",Unknown,Remote
6, Kansas,Overland Park,11,Facilities Manager,Maintenance Manager,JCPenney,3.7,"Lenexa, KS",Unknown,Not Remote
7, Kansas,Overland Park,11,Facilities Manager,Facilities Manager,Merlin Entertainments Group,3.7,"Kansas City, MO",Unknown,Not Remote
8, Kansas,Overland Park,11,Facilities Manager,Project Manager-Facility Services,Metropolitan Community College,4.1,"Kansas City, MO",Unknown,Not Remote
9, Kansas,Overland Park,11,Facilities Manager,Facility Services Site Manager,Metropolitan Community College,4.1,"Kansas City, MO",Unknown,Not Remote
10, Kansas,Overland Park,11,Facilities Manager,"Maintenance Manager - Lenexa, KS","J.C. Penney Corporation, Inc.",3.7,"Lenexa, KS",Unknown,Not Remote
11, Kansas,Overland Park,11,Facilities Manager,District Manager,Valet Living,3.1,"Kansas City, KS",Unknown,Not Remote
12, Kansas,Overland Park,11,Facilities Manager,Assistant Maintenance Director,Shawnee Post Acute Rehabilitation,,"Overland Park, KS",$15 - $17 an hour,Not Remote
13, Kansas,Overland Park,11,Facilities Manager,Supply Chain Maintenance Supervisor,JCPenney,3.7,"Lenexa, KS",Unknown,Not Remote
14, Kansas,Overland Park,11,Facilities Manager,Maintenance Supervisor,"Tyson Foods, Inc.",3.7,"Kansas City, KS",Unknown,Not Remote
15, Kansas,Overland Park,11,Facilities Manager,Chief Engineer,Courtyard/Residence Inn by Marriott Kansas City Do...,3.8,"Kansas City, MO",Unknown,Not Remote
16, Kansas,Overland Park,11,Facilities Manager,"Supply Chain Maintenance Supervisor - Lenexa, KS","J.C. Penney Corporation, Inc.",3.7,"Lenexa, KS",Unknown,Not Remote
17, Kansas,Overland Park,11,Facilities Manager,Maintenance Supervisor,JLL,3.7,"Kansas City, KS",Unknown,Not Remote
18, Kansas,Overland Park,11,Facilities Manager,Maintenance Supervisor,Blount International,3.1,"Kansas City, KS",Unknown,Not Remote
19, Kansas,Overland Park,11,Facilities Manager,Director of Facilities and Construction Services 01515,Kansas City Public Schools,4.0,"Kansas City, MO","$77,800 - $121,364 a year",Not Remote
20, Kansas,Overland Park,11,Facilities Manager,Maintenance Planner/Scheduler,VVF Kansas Services,2.5,"Kansas City, KS","$55,000 - $65,000 a year",Not Remote
21, Kansas,Overland Park,11,Facilities Manager,Business Continuity and Maintenance Coordinator,"OPEN ROAD BRANDS, LLC",,"Kansas City, MO",Unknown,Not Remote
22, Kansas,Overland Park,11,Facilities Manager,Maintenance Supervisor,Yarco Company Inc.,3.4,"Kansas City, MO",Unknown,Not Remote
23, Kansas,Overland Park,11,Facilities Manager,Maintenance Supervisor,Cushman & Wakefield,3.8,"Kansas City, MO",Unknown,Not Remote
24, Kansas,Overland Park,11,Facilities Manager,Property Maintenance Manager,Union Hill,2.3,"Kansas City, MO","From $50,000 a year",Not Remote
