,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Kansas,Wichita,11,Facilities Manager,Maintenance Supervisor,Minneapolis Healthcare & Rehabilitation,,Kansas,Unknown,Not Remote
1, Kansas,Wichita,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
2, Kansas,Wichita,11,Facilities Manager,Facilities Manager,Health Ministries Clinic,3.7,"Wichita, KS",Unknown,Not Remote
3, Kansas,Wichita,11,Facilities Manager,Facilities Manager,Wichita Children's Home,2.9,"Wichita, KS",Unknown,Not Remote
4, Kansas,Wichita,11,Facilities Manager,Operations Manager (Facilities Maintenance),JLL,3.7,"Wichita, KS",Unknown,Not Remote
5, Kansas,Wichita,11,Facilities Manager,Supv Maintenance,Occidental Petroleum Corporation,4.0,"Wichita, KS",Unknown,Not Remote
6, Kansas,Wichita,11,Facilities Manager,Director of Maintenance,Healthcare Resort of Wichita,,"Wichita, KS",Unknown,Not Remote
7, Kansas,Wichita,11,Facilities Manager,ELS - AMZ - Area Maintenance Manager,Daifuku,2.7,"Park City, KS",Unknown,Not Remote
8, Kansas,Wichita,11,Facilities Manager,ELS - AMZ - Maintenance Manager,Daifuku,2.7,"Park City, KS",Unknown,Not Remote
9, Kansas,Wichita,11,Facilities Manager,Maintenance Director,Regent Park Assisted Living and Memory Care,2.3,"Wichita, KS",Unknown,Not Remote
10, Kansas,Wichita,11,Facilities Manager,Maintenance Supervisor,Vineyards Management Group,4.1,"Wichita, KS",From $16 an hour,Not Remote
11, Kansas,Wichita,11,Facilities Manager,ELS - AMZ - Maintenance Manager,Daifuku,2.7,"Park City, KS",Unknown,Not Remote
12, Kansas,Wichita,11,Facilities Manager,ELS - AMZ - Area Maintenance Manager,Daifuku,2.7,"Park City, KS",Unknown,Not Remote
0, Kansas,Wichita,11,Funeral Home Managers,Veterans Employment Rep (DVOP),The State of Kansas,3.6,"Sedgwick County, KS",$17.39 an hour,Not Remote
1, Kansas,Wichita,11,Funeral Home Managers,Hospice Case Manager,Amedisys,3.1,"Wichita, KS",Unknown,Not Remote
0, Kansas,Wichita,11,Manager,Estimator/Project Manager,McCormick Excavation And Paving LLC,,"Wichita, KS","$65,000 - $95,000 a year",Not Remote
1, Kansas,Wichita,11,Manager,"Restaurant Manager - Wichita, KS",McAlister's Deli (The Saxton Group),3.6,"Wichita, KS",Unknown,Not Remote
2, Kansas,Wichita,11,Manager,Automotive Store Manager,Kansasland Tire and Auto Service,2.9,"Wichita, KS","$56,000 - $80,000 a year",Not Remote
3, Kansas,Wichita,11,Manager,Electrical Project Manager,FSG,,"Wichita, KS","Up to $125,000 a year",Not Remote
