,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Kentucky,Lexington,11,Manager,Teller Supervisor,Guardian Savings Bank FSB,2.9,"Lexington, KY",Unknown,Not Remote
1, Kentucky,Lexington,11,Manager,Store Manager,The Fresh Market Inc,3.0,"Lexington, KY",Unknown,Not Remote
2, Kentucky,Lexington,11,Manager,Accounts Receivable Manager,Aramark,3.5,"Lexington, KY",Unknown,Not Remote
3, Kentucky,Lexington,11,Manager,Project Manager,Vescio's SportsFields,,"Lexington, KY","$55,000 - $70,000 a year",Not Remote
4, Kentucky,Lexington,11,Manager,Bookkeeper/Accounts Manager,The Wyatt,,"Lexington, KY",$15 - $18 an hour,Not Remote
5, Kentucky,Lexington,11,Manager,Proprietor (General Manager),Ted's Montana Grill,3.7,"Lexington, KY","$65,000 - $77,000 a year",Not Remote
6, Kentucky,Lexington,11,Manager,Warehouse Distribution Manager,"FISTER DISTRIBUTION, INC.",,"Lexington, KY","$40,000 - $60,000 a year",Not Remote
7, Kentucky,Lexington,11,Manager,Maintenance Manager,Premier Staffing Solution,,"Lexington, KY","$80,000 - $95,000 a year",Not Remote
8, Kentucky,Lexington,11,Manager,Business Dealer Development Manager (Forklift OEM),CLARK Material Handling Company,3.6,"Lexington, KY",Unknown,Not Remote
9, Kentucky,Lexington,11,Manager,Patient Access Manager/UKHC,University of Kentucky,4.1,"Lexington, KY","$53,477 - $89,315 a year",Not Remote
10, Kentucky,Lexington,11,Manager,Practice Manager III/UKHC,University of Kentucky,4.1,"Lexington, KY","$61,630 - $100,485 a year",Not Remote
11, Kentucky,Lexington,11,Manager,HR Manager,Amazon.com Services LLC,3.6,"Lexington, KY",Unknown,Not Remote
12, Kentucky,Lexington,11,Manager,Program Manager Associate/BREATHE,University of Kentucky,4.1,"Lexington, KY","$49,254 - $81,266 a year",Not Remote
13, Kentucky,Lexington,11,Manager,Research Project Manager,University of Kentucky,4.1,"Lexington, KY","$49,254 - $81,266 a year",Not Remote
14, Kentucky,Lexington,11,Manager,Operations Manager (AM),Blk Out Transport LLC,,"Lexington, KY","$50,000 - $60,000 a year",Not Remote
15, Kentucky,Lexington,11,Manager,Store Manager,Mattress Firm,3.3,"Lexington, KY","$50,000 - $110,000 a year",Not Remote
16, Kentucky,Lexington,11,Manager,Subway Manager,Subway,3.6,"Lexington, KY",Unknown,Not Remote
17, Kentucky,Lexington,11,Manager,Entry Level Manager,Cook Out Restaurants,3.3,"Lexington, KY","$45,000 - $75,000 a year",Not Remote
18, Kentucky,Lexington,11,Manager,Associate Resource Manager,Kroger Stores,3.4,"Lexington, KY",Unknown,Not Remote
19, Kentucky,Lexington,11,Manager,Community Center Manager,Recovery Cafe Lexington,,"Lexington, KY","$44,000 - $46,000 a year",Not Remote
20, Kentucky,Lexington,11,Manager,Store Manager,The Fresh Market Inc,3.0,"Lexington, KY",Unknown,Not Remote
21, Kentucky,Lexington,11,Manager,Maintenance Manager,Premier Staffing Solution,,"Lexington, KY","$80,000 - $95,000 a year",Not Remote
22, Kentucky,Lexington,11,Manager,Proprietor (General Manager),Ted's Montana Grill,3.7,"Lexington, KY","$65,000 - $77,000 a year",Not Remote
