,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Kentucky,Louisville,11,Facilities Manager,"Maintenance Manager - Louisville, KY",CGB Enterprises Inc,3.4,"Louisville, KY",Unknown,Not Remote
1, Kentucky,Louisville,11,Facilities Manager,Maintenance Supervisor,Brothers Management LLC,,"Louisville, KY","From $45,000 a year",Not Remote
2, Kentucky,Louisville,11,Facilities Manager,Mine Maintenance Planning Superintendent - Texas,North American Construction Group Inc.,,United States,Unknown,Not Remote
3, Kentucky,Louisville,11,Facilities Manager,"Maintenance Manager - Louisville, KY",CGB Enterprises Inc,3.4,"Louisville, KY",Unknown,Not Remote
4, Kentucky,Louisville,11,Facilities Manager,"Chief Engineer- The Grady Louisville, KY","Vision Hospitality Group, Inc.",3.1,"Louisville, KY",Unknown,Not Remote
5, Kentucky,Louisville,11,Facilities Manager,Maintenance Director,Bluegrass Consulting Group,,"Louisville, KY","$40,000 - $44,000 a year",Not Remote
6, Kentucky,Louisville,11,Facilities Manager,Home2 Suites NuLu - Maintenance Manager,Home2 Suites by Hilton Louisville Downtown NuLu,,"Louisville, KY",Up to $17 an hour,Not Remote
7, Kentucky,Louisville,11,Facilities Manager,Mechanical Supervisor Trainee - 2021 1 1,Norfolk Southern Corp,2.9,"Louisville, KY",Unknown,Not Remote
8, Kentucky,Louisville,11,Facilities Manager,Lead Maintenance Supervisor-Boxing,Reynolds Consumer Products,2.9,"Louisville, KY",Unknown,Not Remote
9, Kentucky,Louisville,11,Facilities Manager,Maintenance Lead,Wolverine Worldwide,3.8,"Louisville, KY",Unknown,Not Remote
10, Kentucky,Louisville,11,Facilities Manager,Maintenance Director,Landmark of River City,3.2,"Louisville, KY",Unknown,Not Remote
11, Kentucky,Louisville,11,Facilities Manager,Maintenance Coordinator - Downtown & Chestnut YMCA,YMCA of Greater Louisville,4.0,"Louisville, KY",Unknown,Not Remote
12, Kentucky,Louisville,11,Facilities Manager,Chief Engineer -Cambria Hotel Louisville Downtown Whiskey Row,O'Reilly Hospitality Management LLC,,"Louisville, KY",Unknown,Not Remote
13, Kentucky,Louisville,11,Facilities Manager,Supplemental Body Maintenance Supervisor - (Process Coach Maintenance),Ford Motor Company,4.1,"Louisville, KY",Unknown,Not Remote
14, Kentucky,Louisville,11,Facilities Manager,Chief Engineer -Cambria Hotel Louisville Downtown Whiskey Row,O’Reilly Hospitality Management,,"Louisville, KY",Unknown,Not Remote
15, Kentucky,Louisville,11,Facilities Manager,Maintenance Manager,OL Frontal Solutions LLC,2.7,"Jeffersonville, IN",Unknown,Not Remote
16, Kentucky,Louisville,11,Facilities Manager,Maintenance Supervisor,Elmington,,"Louisville, KY",Unknown,Not Remote
17, Kentucky,Louisville,11,Facilities Manager,Maintenance Supervisor,Brothers Management LLC,,"Louisville, KY","From $45,000 a year",Not Remote
