,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Louisiana,New Orleans,11,Facilities Manager,Maintenance Coordinator,Help Air Conditioning,,"New Orleans, LA",$14.50 - $16.00 an hour,Not Remote
1, Louisiana,New Orleans,11,Facilities Manager,Director of Facilities,Chapel Hill Solutions,4.6,"New Orleans, LA","From $100,000 a year",Not Remote
2, Louisiana,New Orleans,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
3, Louisiana,New Orleans,11,Facilities Manager,Facilities Manager,K.L.L.G. L.L.C.,,"Marrero, LA",Unknown,Not Remote
4, Louisiana,New Orleans,11,Facilities Manager,Maintenance Manager,Dyno Nobel,3.7,"Waggaman, LA",Unknown,Not Remote
5, Louisiana,New Orleans,11,Facilities Manager,Maintenance Coordinator,Help Air Conditioning,,"New Orleans, LA",$14.50 - $16.00 an hour,Not Remote
6, Louisiana,New Orleans,11,Facilities Manager,Chief Engineer,ACE HOTEL NEW ORLEANS L,,"New Orleans, LA",Unknown,Not Remote
7, Louisiana,New Orleans,11,Facilities Manager,Maintenance Supervisor,Rain CII Carbon LLC,3.9,"Chalmette, LA",Unknown,Not Remote
8, Louisiana,New Orleans,11,Facilities Manager,Maintenance Supervisor,Rain Carbon Inc,3.6,"Chalmette, LA",Unknown,Not Remote
9, Louisiana,New Orleans,11,Facilities Manager,Parkways Maintenance Supervisor IV,City of New Orleans,3.9,"New Orleans, LA","From $41,925 a year",Not Remote
10, Louisiana,New Orleans,11,Facilities Manager,Maintenance Supervisor - FREE HOUSING!!!,"The Medve Group, Inc.",3.2,"Metairie, LA","From $50,000 a year",Not Remote
11, Louisiana,New Orleans,11,Facilities Manager,Maintenance Supervisor,"McCormack Baron Management, Inc.",,"New Orleans, LA",Unknown,Not Remote
12, Louisiana,New Orleans,11,Facilities Manager,Grounds Maintenance Supervisor,Goodwill Industries of SELA,3.5,"Belle Chasse, LA",Unknown,Not Remote
13, Louisiana,New Orleans,11,Facilities Manager,"Maintenance Supervisor, Machine Shop-Alliance Refinery",Phillips 66,3.7,"Belle Chasse, LA",Unknown,Not Remote
