,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Louisiana,Baton Rouge,11,Facilities Manager,Field Maintenance Supervisor,Redflex Traffic Systems,3.1,"Baker, LA",Unknown,Not Remote
1, Louisiana,Baton Rouge,11,Facilities Manager,IC&E Maintenance Supervisor,EthosEnergy Group,3.3,"Baton Rouge, LA",Unknown,Not Remote
2, Louisiana,Baton Rouge,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
3, Louisiana,Baton Rouge,11,Facilities Manager,Maintenance Supervisor,Park7 Management LLC,,"Baton Rouge, LA",Unknown,Not Remote
4, Louisiana,Baton Rouge,11,Facilities Manager,FACILITIES MANAGER,Hollywood Casino Baton Rouge,3.0,"Baton Rouge, LA",Unknown,Not Remote
5, Louisiana,Baton Rouge,11,Facilities Manager,Contract Maintenance Manager,QUALITY SERVICES INTERNATIONAL LLC,,"Baton Rouge, LA",Unknown,Not Remote
6, Louisiana,Baton Rouge,11,Facilities Manager,Operations and Maintenance Supervisor,GHD,3.7,"Baton Rouge, LA",Unknown,Not Remote
7, Louisiana,Baton Rouge,11,Facilities Manager,Maintenance Supervisor,Park7 Management LLC,,"Baton Rouge, LA",Unknown,Not Remote
8, Louisiana,Baton Rouge,11,Facilities Manager,Maintenance Supervisor,Kleinpeter Farms Dairy,2.6,"Baton Rouge, LA","$60,000 - $65,000 a year",Not Remote
9, Louisiana,Baton Rouge,11,Facilities Manager,Maintenance Supervisor,Cypress Communities,,"Baton Rouge, LA","$50,000 - $70,000 a year",Not Remote
10, Louisiana,Baton Rouge,11,Facilities Manager,IC&E Maintenance Supervisor,EthosEnergy Group,3.3,"Baton Rouge, LA",Unknown,Not Remote
11, Louisiana,Baton Rouge,11,Facilities Manager,Maintenance Lead Worker - East Baton Rouge Parish - POM,Aramark,3.5,"Baton Rouge, LA",Unknown,Not Remote
12, Louisiana,Baton Rouge,11,Facilities Manager,Field Maintenance Supervisor,Redflex Traffic Systems,3.1,"Baker, LA",Unknown,Not Remote
0, Louisiana,Baton Rouge,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
1, Louisiana,Baton Rouge,11,Funeral Home Managers,Funeral Services Assistant,"SCI Shared Resources, LLC",3.1,"Baton Rouge, LA",Unknown,Not Remote
2, Louisiana,Baton Rouge,11,Funeral Home Managers,Hospice Case Manager | Registered Nurse,Amedisys,3.1,"Baton Rouge, LA",Unknown,Not Remote
0, Louisiana,Baton Rouge,11,Manager,Restaurant Service Manager,Mike Anderson's Seafood - Gonzales,,"Baton Rouge, LA","$40,000 - $60,000 a year",Not Remote
1, Louisiana,Baton Rouge,11,Manager,General Manager,Rocca Pizzeria,,"Baton Rouge, LA","$45,000 - $57,000 a year",Not Remote
2, Louisiana,Baton Rouge,11,Manager,Production Supervisor(Pizza Dough)2nd shift; Benefits Day 1,Domino's Supply Chain,3.6,"Baton Rouge, LA","Up to $70,000 a year",Not Remote
3, Louisiana,Baton Rouge,11,Manager,Marketing Manager,RCI for Confidential Companies (hosted jobs),,"Baton Rouge, LA","$75,000 - $85,000 a year",Not Remote
4, Louisiana,Baton Rouge,11,Manager,General Manager,Mike Anderson's Seafood,,"Baton Rouge, LA","$65,000 - $85,000 a year",Not Remote
5, Louisiana,Baton Rouge,11,Manager,Manager in Training,RoofClaim.com,2.4,"Baton Rouge, LA","$45,000 - $250,000 a year",Not Remote
6, Louisiana,Baton Rouge,11,Manager,RN Clinical Manager,Audubon Home Health,2.6,"Baton Rouge, LA",$26 - $35 an hour,Not Remote
7, Louisiana,Baton Rouge,11,Manager,Department Manager,Dillard’s,3.3,"Baton Rouge, LA","$47,000 - $60,000 a year",Not Remote
8, Louisiana,Baton Rouge,11,Manager,MEDICAID PROGRAM MANAGER 1-B (PROJECT MANAGER),State of Louisiana,3.5,"Baton Rouge, LA","$4,954 - $9,748 a month",Not Remote
9, Louisiana,Baton Rouge,11,Manager,Office Manager,Lamar Advertising Company,3.8,"Baton Rouge, LA",$18 - $21 an hour,Not Remote
10, Louisiana,Baton Rouge,11,Manager,UO Assistant Manager,Urban Outfitters,3.6,"Baton Rouge, LA",Unknown,Not Remote
11, Louisiana,Baton Rouge,11,Manager,Events Manager,State of Louisiana,3.5,"Baton Rouge, LA",Unknown,Not Remote
12, Louisiana,Baton Rouge,11,Manager,Operations Manager,ASM Global,3.5,"Baton Rouge, LA",Unknown,Not Remote
13, Louisiana,Baton Rouge,11,Manager,Event Manager,ASM Global,3.5,"Baton Rouge, LA",Unknown,Not Remote
14, Louisiana,Baton Rouge,11,Manager,PROGRAM MANAGER 2-DHH,State of Louisiana,3.5,"Baton Rouge, LA","$5,301 - $10,431 a month",Not Remote
15, Louisiana,Baton Rouge,11,Manager,District Manager,"HAZA Foods ""Wendy's""",,"Baton Rouge, LA","$67,000 - $77,000 a year",Not Remote
16, Louisiana,Baton Rouge,11,Manager,Manager in Training,RoofClaim.com,2.4,"Baton Rouge, LA","$45,000 - $250,000 a year",Not Remote
