,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Louisiana,New Orleans,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
1, Louisiana,New Orleans,11,Facilities Manager,Maintenance Supervisor,"Industrial Roofing & Construction, LLC",,Louisiana,$15 - $21 an hour,Not Remote
2, Louisiana,New Orleans,11,Facilities Manager,Facilities Manager,NOLA Motorsports Park,2.5,"Avondale, LA",Unknown,Not Remote
3, Louisiana,New Orleans,11,Facilities Manager,2021-22 Director of Facilities,Collegiate Academies,4.0,"New Orleans, LA",Unknown,Not Remote
4, Louisiana,New Orleans,11,Facilities Manager,Facilities Manager,K.L.L.G. L.L.C.,,"Marrero, LA",Unknown,Not Remote
5, Louisiana,New Orleans,11,Facilities Manager,Maintenance Manager,Dyno Nobel,3.7,"Waggaman, LA",Unknown,Not Remote
6, Louisiana,New Orleans,11,Facilities Manager,Director of School Maintenance,St. Andrew's Episcopal School,4.2,"New Orleans, LA",$35 - $45 an hour,Not Remote
7, Louisiana,New Orleans,11,Facilities Manager,Maintenance Manager,Sonesta,3.9,"New Orleans, LA",Unknown,Not Remote
8, Louisiana,New Orleans,11,Facilities Manager,Working Facilities Supervisor,Quality Support Services,2.7,"New Orleans, LA","$52,000 a year",Not Remote
9, Louisiana,New Orleans,11,Facilities Manager,Tulane Uptown ES Academics Supervisor Facilities 8:00 am to 4:30 pm,Sodexo,3.7,"New Orleans, LA",Unknown,Not Remote
10, Louisiana,New Orleans,11,Facilities Manager,"Facilities Maintenance Lead, Nights",Southern Glazer’s Wine and Spirits,3.6,"New Orleans, LA",Unknown,Not Remote
11, Louisiana,New Orleans,11,Facilities Manager,Building and Maintenance Superintendent,CNO Juvenile Justice Intervention Center (JJIC),,"New Orleans, LA","$60,859 a year",Not Remote
12, Louisiana,New Orleans,11,Facilities Manager,Parkways Maintenance Supervisor IV,City of New Orleans,3.9,"New Orleans, LA","From $41,925 a year",Not Remote
13, Louisiana,New Orleans,11,Facilities Manager,Chief Engineer Maintenance,NOLA Hotel Group,,"New Orleans, LA","$36,000 - $45,000 a year",Not Remote
14, Louisiana,New Orleans,11,Facilities Manager,Maintenance Supervisor,Latter & Blum Property Management,3.2,"New Orleans, LA",Unknown,Not Remote
15, Louisiana,New Orleans,11,Facilities Manager,Maintenance Supervisor,Latter & Blum Property Management,3.2,"Marrero, LA",Unknown,Not Remote
16, Louisiana,New Orleans,11,Facilities Manager,Parkways Maintenance Supervisor IV,City of New Orleans,3.9,"New Orleans, LA","From $41,925 a year",Not Remote
0, Louisiana,New Orleans,11,Funeral Home Managers,Preneed Funeral- Team Sales Leader,Security National Life Insurance Company,3.5,"New Orleans, LA","$50,000 - $85,000 a year",Not Remote
1, Louisiana,New Orleans,11,Funeral Home Managers,Preneed Funeral- Team Sales Leader,Security National Life Insurance Company,3.5,"New Orleans, LA","$50,000 - $85,000 a year",Not Remote
0, Louisiana,New Orleans,11,Manager,Case Manager,Hair Shunnarah Trial Attorneys LLC,,"Metairie, LA","$28,525 - $32,125 a year",Not Remote
1, Louisiana,New Orleans,11,Manager,Flooring Installation Services Manager,Service Pros Installation Group,2.6,"New Orleans, LA",Unknown,Not Remote
2, Louisiana,New Orleans,11,Manager,"Lead Elementary SPED Teacher, '21-'22",Success @ Thurgood Marshall,,"New Orleans, LA","$48,000 - $65,000 a year",Not Remote
