,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Maine,Portland+ME,19,Wildlife Biologists,Protected Species Observer & Passive Acoustic Monitor Positions,Fathom Resources,,Maine,Unknown,Not Remote
0, Maine,Portland+ME,21,Counselor,Licensed Clinician,Atlantic Academy,,Maine,"$60,000 - $75,000 a year",Not Remote
1, Maine,Portland+ME,21,Counselor,Full Time Substance Abuse Counselor,BayMark Health Services,2.5,"Portland, ME",Unknown,Not Remote
2, Maine,Portland+ME,21,Counselor,Authorization and Clinical Review Supervisor,New England Life Care,2.7,"South Portland, ME",$21 - $26 an hour,Not Remote
3, Maine,Portland+ME,21,Counselor,School Counselor,Waynflete,,"Portland, ME",Unknown,Not Remote
4, Maine,Portland+ME,21,Counselor,EAP Counselor/LCSW,Northern Light Health,3.5,"Portland, ME",Unknown,Not Remote
5, Maine,Portland+ME,21,Counselor,Long Term Substitute - School Counselor - SPHS,South Portland School Department,,"South Portland, ME",Unknown,Not Remote
6, Maine,Portland+ME,21,Counselor,Financial Counselor - Patient Assistance,MaineHealth - Corporate,3.6,"Scarborough, ME",Unknown,Not Remote
7, Maine,Portland+ME,21,Counselor,Canine Adoption Counselor/Care Technician PT,Animal Refuge League of Greater Portland,,"Westbrook, ME",$14 an hour,Not Remote
8, Maine,Portland+ME,21,Counselor,Financial Counselor - Patient Assistance,MaineHealth - Corporate,3.6,"Scarborough, ME",Unknown,Not Remote
9, Maine,Portland+ME,21,Counselor,Public School Clinician - Lakes Region Elementary School,Spurwink Services,3.3,"Portland, ME",Unknown,Not Remote
10, Maine,Portland+ME,21,Counselor,Full Time Substance Abuse Counselor,Health Care Resource Centers,2.9,"Portland, ME",Unknown,Not Remote
11, Maine,Portland+ME,21,Counselor,Licensed Professional Counselor,Christian Therapist On Demand,,"Portland, ME","$1,200 - $5,500 a month",Remote
12, Maine,Portland+ME,21,Counselor,Therapist Counselor,Calmerry,5.0,"Portland, ME",$40 - $60 an hour,Remote
13, Maine,Portland+ME,21,Counselor,Clinician - School-Based Day Treatment,Spurwink Services,3.3,"Portland, ME",Unknown,Not Remote
14, Maine,Portland+ME,21,Counselor,Authorization and Clinical Review Supervisor,New England Life Care,2.7,"South Portland, ME",$21 - $26 an hour,Not Remote
15, Maine,Portland+ME,21,Counselor,LADC Position- Portland Area,Volunteers of America Northern New England,3.8,"Portland, ME",Unknown,Not Remote
16, Maine,Portland+ME,21,Counselor,LADC Position- Portland Area,Volunteers of America Northern New England,3.8,"Portland, ME",Unknown,Not Remote
17, Maine,Portland+ME,21,Counselor,"Residential Crisis Worker - Full Time, 2nd Shift",The Opportunity Alliance,3.5,"South Portland, ME",$17 an hour,Not Remote
18, Maine,Portland+ME,21,Counselor,Home and Community Based Clinician,Northeast Family Services,,"Portland, ME",Unknown,Temporarily remote
19, Maine,Portland+ME,21,Counselor,Clinician 1266701,Pathways of Maine,3.1,"Scarborough, ME",Unknown,Not Remote
20, Maine,Portland+ME,21,Counselor,HCT Clinician: Full-Time and Per-Diem available!,Connections For Kids,3.0,"South Portland, ME",Unknown,Not Remote
21, Maine,Portland+ME,21,Counselor,Remote Part Time Licensed Therapist,Thriveworks,3.9,"Portland, ME","Up to $45,000 a year",Remote
22, Maine,Portland+ME,21,Counselor,Clinician- Functional Family Therapy,Spurwink Services,3.3,"Portland, ME",Unknown,Not Remote
23, Maine,Portland+ME,21,Counselor,Licensed Professional Counselor (LPC),Christian Therapist On Demand,,"Portland, ME","$1,200 - $5,500 a month",Remote
24, Maine,Portland+ME,21,Counselor,"Licensed Mental Health Therapist (LCSW, LMFT, LPC) - Remote",NOCD,,United States,Unknown,Remote
0, Maine,Portland+ME,21,Community Social Service,Maintenance Technician for Apartment Community,KONOVER RESIDENTIAL CORPORATION,3.4,"South Portland, ME",Unknown,Not Remote
1, Maine,Portland+ME,21,Community Social Service,RN - Sign On Bonus,"Bay Square at Yarmouth, A Benchmark Senior Living Community",,"Portland, ME",$32 - $35 an hour,Not Remote
2, Maine,Portland+ME,21,Community Social Service,"House Manager: DSP, South Portland",Creative Works,3.4,"South Portland, ME",$16.50 - $17.00 an hour,Not Remote
