,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Maine,Portland+ME,11,Personal Service Managers,Sales Consultant,"Curtainshop of Maine, Inc.",,"South Portland, ME",Unknown,Not Remote
1, Maine,Portland+ME,11,Personal Service Managers,Radio Frequency Engineer,mWAVE Industries,,"Windham, ME",Unknown,Not Remote
2, Maine,Portland+ME,11,Personal Service Managers,Direct to Site Coordinator,CME Corp,3.8,"Gorham, ME",Unknown,Not Remote
3, Maine,Portland+ME,11,Personal Service Managers,Paratransit Transportation Manager / Transit Manager,Regional Transportation Program,,"Portland, ME","$65,000 a year",Not Remote
4, Maine,Portland+ME,11,Personal Service Managers,Drive Thru Cashier,Westbrook Dairy Queen,,"Westbrook, ME",From $13 an hour,Not Remote
5, Maine,Portland+ME,11,Personal Service Managers,"House Manager: DSP, South Portland",Creative Works,3.4,"South Portland, ME",$16.50 - $17.00 an hour,Not Remote
6, Maine,Portland+ME,11,Personal Service Managers,Financial Planning Associate,"Client of J. Gaudet Associates, Inc.",,"Portland, ME",Unknown,Not Remote
7, Maine,Portland+ME,11,Personal Service Managers,Service Department Manager,Daigle & Houghton Inc.,,"Scarborough, ME","$70,000 - $100,000 a year",Not Remote
8, Maine,Portland+ME,11,Personal Service Managers,"Senior Manager, Traffic & Production",TideSmart Global,,"Falmouth, ME",Unknown,Not Remote
9, Maine,Portland+ME,11,Personal Service Managers,Customer Service Associate,WALGREENS,3.6,"Portland, ME",Unknown,Not Remote
10, Maine,Portland+ME,11,Personal Service Managers,Retail Sales Associate,Lamey Wellehan Shoes,,"Scarborough, ME",$15 - $20 an hour,Not Remote
11, Maine,Portland+ME,11,Personal Service Managers,PSE MAIL PROCESSING CLERK,United States Postal Service,3.4,"Scarborough, ME",$18.49 an hour,Not Remote
12, Maine,Portland+ME,11,Personal Service Managers,Full and Part-Time Crew Member,Chipotle Mexican Grill,3.6,"Westbrook, ME",Up to $14 an hour,Not Remote
13, Maine,Portland+ME,11,Personal Service Managers,Route Service Representative,General Linen Service,2.8,"Westbrook, ME",$774 - $800 a week,Not Remote
14, Maine,Portland+ME,11,Personal Service Managers,Drive Thru Cashier,Westbrook Dairy Queen,,"Portland, ME",From $13 an hour,Not Remote
15, Maine,Portland+ME,11,Personal Service Managers,Service Department Manager,Daigle & Houghton Inc.,,"Scarborough, ME","$70,000 - $100,000 a year",Not Remote
16, Maine,Portland+ME,11,Personal Service Managers,Personal Care Coordinator (DSP),"Crossroads for Women, I",,"Portland, ME",Unknown,Not Remote
17, Maine,Portland+ME,11,Personal Service Managers,"KFC Team Members - Westbrook, ME.",KBP Foods,3.1,"Westbrook, ME",Unknown,Not Remote
18, Maine,Portland+ME,11,Personal Service Managers,Human Resources Specialist,US Department of Justice,4.1,"Portland, ME","$59,498 - $93,588 a year",Not Remote
19, Maine,Portland+ME,11,Personal Service Managers,Human Resources Specialist,US Department of Justice,4.1,"Portland, ME","$59,498 - $93,588 a year",Not Remote
20, Maine,Portland+ME,11,Personal Service Managers,Food Service Leader,Cumberland Farms,3.6,"Portland, ME",Up to $16.25 an hour,Not Remote
21, Maine,Portland+ME,11,Personal Service Managers,Security Officer I - Security,Maine Medical Center,3.6,"Portland, ME",Unknown,Not Remote
22, Maine,Portland+ME,11,Personal Service Managers,Part-time Cashier Customer Service Associate,Hannaford,3.7,"Scarborough, ME",Unknown,Not Remote
