,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Maryland,Baltimore,11,Facilities Manager,"Maintenance Supervisor, Oriole Park at Camden Yards",Delaware North,3.7,"Baltimore, MD",Unknown,Not Remote
1, Maryland,Baltimore,11,Facilities Manager,Property Maintenance Manager,Teacher Props,,"Baltimore, MD","$1,900 - $2,900 a month",Not Remote
2, Maryland,Baltimore,11,Facilities Manager,Maintenance Manager,Holcim (US) Inc.,4.0,"Sparrows Point, MD",Unknown,Not Remote
3, Maryland,Baltimore,11,Facilities Manager,Facilities Manager,Abiomed,3.7,"Baltimore, MD",Unknown,Not Remote
4, Maryland,Baltimore,11,Facilities Manager,Manager Facilities Maintenance 2,Northrop Grumman,4.0,"Linthicum, MD",Unknown,Not Remote
5, Maryland,Baltimore,11,Facilities Manager,Resource Manager - Plant Operations/ Facilities Management - East Coast,Compass Group,3.3,"Baltimore, MD",Unknown,Not Remote
6, Maryland,Baltimore,11,Facilities Manager,Facilities Supervisor,Caesars Entertainment,3.8,"Baltimore, MD",Unknown,Not Remote
7, Maryland,Baltimore,11,Facilities Manager,Facility Maintenance Manager,AMC Theatres,3.5,"Baltimore, MD",Unknown,Not Remote
8, Maryland,Baltimore,11,Facilities Manager,Facility Maintenance Coordinator,Pharmatech Associates,4.5,"Baltimore, MD",Unknown,Not Remote
9, Maryland,Baltimore,11,Facilities Manager,Maintenance Supervisor,Holly Poultry,,"Baltimore, MD","$60,000 - $70,000 a year",Not Remote
10, Maryland,Baltimore,11,Facilities Manager,Manufacturing Maintenance Manager,Parsons & Associates,,"Baltimore, MD","$110,000 - $135,000 a year",Not Remote
11, Maryland,Baltimore,11,Facilities Manager,Maintenance Supervisor,Master- Holly Poultry,,"Baltimore, MD",Unknown,Not Remote
12, Maryland,Baltimore,11,Facilities Manager,Director of Maintenance,Stadium Place Nursing & Rehab Center,,"Baltimore, MD",Unknown,Not Remote
13, Maryland,Baltimore,11,Facilities Manager,General Superintendent of Transportation Maintenance - Department of Transportation,"City of Baltimore, MD",3.9,"Baltimore, MD","$67,771 - $108,433 a year",Not Remote
14, Maryland,Baltimore,11,Facilities Manager,Property Maintenance Manager,Teacher Props,,"Baltimore, MD","$1,900 - $2,900 a month",Not Remote
15, Maryland,Baltimore,11,Facilities Manager,Facility Maintenance Manager,AMC Theatres,3.5,"Windsor Mill, MD",Unknown,Not Remote
16, Maryland,Baltimore,11,Facilities Manager,Mechanical Maintenance Supervisor,"American Sugar Refining, Inc.",3.1,"Baltimore, MD",Unknown,Not Remote
17, Maryland,Baltimore,11,Facilities Manager,Maintenance Supervisor,Red Stone Properties,,"Baltimore, MD",Unknown,Not Remote
18, Maryland,Baltimore,11,Facilities Manager,Maintenance Manager,LafargeHolcim in the US,4.0,"Sparrows Point, MD",Unknown,Not Remote
