,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Massachusetts,Boston,15,Data Scientists,Principal Data Scientist,Fidelity Investments,4.1,"Boston, MA",Unknown,Not Remote
1, Massachusetts,Boston,15,Data Scientists,Senior Healthcare Data Analyst,Atrium Staffing,3.8,"Boston, MA","$120,000 - $125,000 a year",Not Remote
2, Massachusetts,Boston,15,Data Scientists,"AI/ML - Annotation Analyst, Hebrew Language",Apple,4.2,United States,Unknown,Temporarily remote
3, Massachusetts,Boston,15,Data Scientists,Statistical Data Analyst,Massachusetts General Hospital(MGH),4.3,"Boston, MA",Unknown,Not Remote
4, Massachusetts,Boston,15,Data Scientists,Junior Data Analyst,Man Group,,"Boston, MA",Unknown,Not Remote
5, Massachusetts,Boston,15,Data Scientists,Data Science Intern,Exact Sciences Corporation,3.1,"Cambridge, MA",Unknown,Not Remote
6, Massachusetts,Boston,15,Data Scientists,Data Scientist,Emulate,,"Boston, MA",Unknown,Not Remote
7, Massachusetts,Boston,15,Data Scientists,Data Science Intern,Paradigm Diagnostics,,"Cambridge, MA",Unknown,Not Remote
8, Massachusetts,Boston,15,Data Scientists,Data Analyst,Corvus Insurance,,"Boston, MA",Unknown,Not Remote
9, Massachusetts,Boston,15,Data Scientists,"Data Scientist, 40Hrs, Cardiovascular Medicine-One Brave Idea",Brigham & Women's Hospital(BWH),4.1,"Brookline, MA",Unknown,Not Remote
10, Massachusetts,Boston,15,Data Scientists,Data Scientist,Linus Health,,"Boston, MA",Unknown,Not Remote
11, Massachusetts,Boston,15,Data Scientists,Computational Biologist / Data Scientist,Novartis,4.1,"Cambridge, MA",Unknown,Not Remote
12, Massachusetts,Boston,15,Data Scientists,Machine Learning Intern,Paradigm Diagnostics,,"Cambridge, MA",Unknown,Remote
13, Massachusetts,Boston,15,Data Scientists,Machine Learning Intern,Exact Sciences Corporation,3.1,"Cambridge, MA",Unknown,Remote
14, Massachusetts,Boston,15,Data Scientists,Data Scientist II,Homesite Insurance,3.2,"Boston, MA","Up to $124,000 a year",Not Remote
15, Massachusetts,Boston,15,Data Scientists,Data Scientist I,"Amazon Web Services, Inc.",3.5,"Boston, MA",Unknown,Not Remote
16, Massachusetts,Boston,15,Data Scientists,Data Science Intern,TrueMotion,,"Boston, MA",Unknown,Not Remote
17, Massachusetts,Boston,15,Data Scientists,"Data Scientist, Visualization and Analytics","Flagship Pioneering, Inc.",,"Cambridge, MA",Unknown,Not Remote
18, Massachusetts,Boston,15,Data Scientists,"Lifecycle Data Analyst, Senior Associate",State Street,3.5,"Boston, MA",Unknown,Not Remote
19, Massachusetts,Boston,15,Data Scientists,Health Data Scientist,"Flagship Pioneering, Inc.",,"Cambridge, MA",Unknown,Not Remote
20, Massachusetts,Boston,15,Data Scientists,Intern: Data Science,Biogen,4.0,"Cambridge, MA",Unknown,Not Remote
21, Massachusetts,Boston,15,Data Scientists,Data Scientist,"Amazon Dev Center U.S., Inc.",3.5,"Boston, MA",Unknown,Not Remote
22, Massachusetts,Boston,15,Data Scientists,Data Scientist,REsurety,,"Boston, MA","$80,000 - $100,000 a year",Temporarily remote
23, Massachusetts,Boston,15,Data Scientists,"Data Scientist, RWD",Alldus,,"Boston, MA",Unknown,Not Remote
24, Massachusetts,Boston,15,Data Scientists,Data Scientist - Machine Learning/Cortex Data Science,Twitter,4.1,"Boston, MA",Unknown,Not Remote
25, Massachusetts,Boston,15,Data Scientists,"Data Engineer (EDW, Data Analytics Office)",Mass General Brigham(PHS),3.9,"Somerville, MA",Unknown,Temporarily remote
26, Massachusetts,Boston,15,Data Scientists,SIEM Data Analyst,State Street,3.5,"Quincy, MA",Unknown,Remote
27, Massachusetts,Boston,15,Data Scientists,Data Science Co-op,Danfoss,3.9,"Cambridge, MA",Unknown,Not Remote
28, Massachusetts,Boston,15,Data Scientists,"Analyst II, Data Science",Liberty Mutual Insurance,3.6,"Boston, MA","$108,300 a year",Not Remote
29, Massachusetts,Boston,15,Data Scientists,Data Scientist - Corporate Data & Analytics,The Hanover Insurance Group,3.7,"Boston, MA",Unknown,Not Remote
30, Massachusetts,Boston,15,Data Scientists,"Scrum Master, Data Analytics Organization",Mass General Brigham(PHS),3.9,"Somerville, MA",Unknown,Remote
31, Massachusetts,Boston,15,Data Scientists,"Senior Data Analyst, Sales and Marketing (Can be Remote)",Dun & Bradstreet,3.7,"Waltham, MA",Unknown,Remote
32, Massachusetts,Boston,15,Data Scientists,Climate Data Scientist - Senior Manager,Deloitte,4.0,"Boston, MA",Unknown,Not Remote
33, Massachusetts,Boston,15,Data Scientists,Senior Data Analyst,"Chewy, Inc.",2.7,"Boston, MA",Unknown,Not Remote
34, Massachusetts,Boston,15,Data Scientists,Data Scientist,Harvard University,4.3,"Boston, MA",$40 per class,Not Remote
35, Massachusetts,Boston,15,Data Scientists,Data Scientist Co-op,HFI-Healthcare Financial,,"Quincy, MA",Unknown,Not Remote
36, Massachusetts,Boston,15,Data Scientists,Principal Data Scientist,Takeda Pharmaceuticals,3.8,"Boston, MA",Unknown,Not Remote
37, Massachusetts,Boston,15,Data Scientists,"Python/SQL Data Engineer, Consultant - Applied Artificial Intelligence",Deloitte,4.0,"Boston, MA",Unknown,Not Remote
