,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Michigan,Detroit,35,Food Preparation,"Delivery Driver, Food Truck Driver",Reef Kitchen,3.3,"Detroit, MI",Unknown,Not Remote
1, Michigan,Detroit,35,Food Preparation,Director of Accounting,Apparatus Solutions Inc,,"Detroit, MI",Unknown,Not Remote
2, Michigan,Detroit,35,Food Preparation,Lead Barista - 360 Cafe C1 - MI - Detroit,Aramark,3.5,"Detroit, MI",Unknown,Not Remote
3, Michigan,Detroit,35,Food Preparation,Restaurant Team Member,Calexico Detroit,,"Detroit, MI",Unknown,Not Remote
4, Michigan,Detroit,35,Food Preparation,Afternoon Production Line Associate - Food,18th Street Deli / NuVue Foods,,"Hamtramck, MI",$11 an hour,Not Remote
5, Michigan,Detroit,35,Food Preparation,Food Runner,Apparatus Room,,"Detroit, MI",$9 an hour,Not Remote
6, Michigan,Detroit,35,Food Preparation,Kitchen Supervisor,Reef Kitchen,3.3,"Detroit, MI",Unknown,Not Remote
7, Michigan,Detroit,35,Food Preparation,Restaurant Associate,Potbelly Sandwich Shop,3.5,"Allen Park, MI",Unknown,Not Remote
8, Michigan,Detroit,35,Food Preparation,Cook - $400 Bonus,Chili's Grill & Bar,3.7,"Allen Park, MI",$13 - $17 an hour,Not Remote
9, Michigan,Detroit,35,Food Preparation,Restaurant Associate,Potbelly Sandwich Shop,3.5,"Detroit, MI",Unknown,Not Remote
10, Michigan,Detroit,35,Food Preparation,Subway Sandwich Artist®,Subway,3.6,"Detroit, MI",Unknown,Not Remote
11, Michigan,Detroit,35,Food Preparation,Research Assistant,Wayne State University,4.2,"Detroit, MI",Unknown,Not Remote
12, Michigan,Detroit,35,Food Preparation,Stock Associate,Busch's,2.9,"Detroit, MI",Up to $13.25 an hour,Not Remote
13, Michigan,Detroit,35,Food Preparation,Restaurant Food Prep,Potbelly Sandwich Shop,3.5,"Detroit, MI",Unknown,Not Remote
14, Michigan,Detroit,35,Food Preparation,2021 - CAN: Addressing Food Insecurity,AmeriCorps,4.3,"Detroit, MI",Unknown,Not Remote
15, Michigan,Detroit,35,Food Preparation,Greeter FT,Monarch Club,,"Detroit, MI",Unknown,Not Remote
16, Michigan,Detroit,35,Food Preparation,Barista,Beaumont Health,3.7,"Grosse Pointe, MI",$15 an hour,Not Remote
17, Michigan,Detroit,35,Food Preparation,Michigan Education Corps Summer Corps,AmeriCorps,4.3,"Detroit, MI",Unknown,Not Remote
18, Michigan,Detroit,35,Food Preparation,Director of Accounting,Apparatus Solutions Inc,,"Detroit, MI",Unknown,Not Remote
19, Michigan,Detroit,35,Food Preparation,Server FT,Monarch Club,,"Detroit, MI",Unknown,Not Remote
20, Michigan,Detroit,35,Food Preparation,"Delivery Driver, Food Truck Driver",Reef Kitchen,3.3,"Detroit, MI",Unknown,Not Remote
21, Michigan,Detroit,35,Food Preparation,Flight Coordinator,Gate Gourmet,3.4,"Detroit, MI",Unknown,Not Remote
22, Michigan,Detroit,35,Food Preparation,Bartender FT,Aloft Detroit at The David Whitney,,"Detroit, MI",Unknown,Not Remote
23, Michigan,Detroit,35,Food Preparation,Subway Sandwich Artist®,Subway,3.6,"Detroit, MI",Unknown,Not Remote
24, Michigan,Detroit,35,Food Preparation,Cook FT,Monarch Club,,"Detroit, MI",Unknown,Not Remote
25, Michigan,Detroit,35,Food Preparation,"Manager, Class B",DPSCD,3.5,"Detroit, MI",$18.85 an hour,Not Remote
26, Michigan,Detroit,35,Food Preparation,Cook Days PT Sinai-Grace Hospital,DMC Sinai-Grace Hospital,3.6,"Detroit, MI",Unknown,Not Remote
27, Michigan,Detroit,35,Food Preparation,"Manager, Class B",Detroit Public Schools Community District,3.5,"Detroit, MI",$18.85 an hour,Not Remote
28, Michigan,Detroit,35,Food Preparation,Team Member/Manager,Taco Bell,3.5,"Dearborn, MI",Up to $14 an hour,Not Remote
29, Michigan,Detroit,35,Food Preparation,Restaurant Associate,Potbelly Sandwich Shop,3.5,"Allen Park, MI",Unknown,Not Remote
30, Michigan,Detroit,35,Food Preparation,Team Member,Popeye's Louisiana Chicken | Zubha Pop Foods LLC,,"Detroit, MI",Unknown,Not Remote
31, Michigan,Detroit,35,Food Preparation,Sandwich Artist,AB Holdings Inc,,"Detroit, MI",Unknown,Not Remote
32, Michigan,Detroit,35,Food Preparation,Meat/Seafood Manager,Busch's,2.9,"Detroit, MI",Up to $22.50 an hour,Not Remote
33, Michigan,Detroit,35,Food Preparation,Cashier/Customer Service,Wingstop,3.5,"Detroit, MI",$10 - $11 an hour,Not Remote
34, Michigan,Detroit,35,Food Preparation,Workplace Experience Manager,CBRE,3.7,"Detroit, MI",Unknown,Not Remote
35, Michigan,Detroit,35,Food Preparation,DIRECTOR OF SALES AND MARKETING,"The Henry, Autograph Collection (Greenwood Hospita",,"Dearborn, MI",Unknown,Not Remote
36, Michigan,Detroit,35,Food Preparation,Carryout,Buddy's Pizza,3.4,"Detroit, MI",Unknown,Not Remote
37, Michigan,Detroit,35,Food Preparation,Subway Sandwich Artist®,Subway,3.6,"Ferndale, MI",$10 - $12 an hour,Not Remote
38, Michigan,Detroit,35,Food Preparation,Skilled Resort Line Cook,Mobilize,,"Detroit, MI",$19 an hour,Not Remote
39, Michigan,Detroit,35,Food Preparation,Subway Sandwhich Artist / Opener,ETA Developments LLC,,"Warren, MI",Up to $15 an hour,Not Remote
40, Michigan,Detroit,35,Food Preparation,Barista,The Henry Ford,3.9,"Dearborn, MI",Unknown,Not Remote
41, Michigan,Detroit,35,Food Preparation,Dietary Aide Evenings PT Sinai-Grace Hospital,DMC Sinai-Grace Hospital,3.6,"Detroit, MI",Unknown,Not Remote
42, Michigan,Detroit,35,Food Preparation,Team Member,Popeye's Louisiana Chicken | Zubha Pop Foods LLC,,"Detroit, MI",Unknown,Not Remote
43, Michigan,Detroit,35,Food Preparation,Dishwasher,TWC-Team Wellness Center,,"Detroit, MI",$9 - $13 an hour,Not Remote
44, Michigan,Detroit,35,Food Preparation,Team Member,Popeye's Louisiana Chicken | Zubha Pop Foods LLC,,"Highland Park, MI",Unknown,Not Remote
45, Michigan,Detroit,35,Food Preparation,Team Member,Popeye's Louisiana Chicken | Zubha Pop Foods LLC,,"Detroit, MI",Unknown,Not Remote
46, Michigan,Detroit,35,Food Preparation,Part Time Prepared Foods TM,Whole Foods Market,3.8,"Detroit, MI",Unknown,Not Remote
47, Michigan,Detroit,35,Food Preparation,Short Order Cook,The Congregation Detroit,,"Detroit, MI",Unknown,Not Remote
48, Michigan,Detroit,35,Food Preparation,Kitchen Supervisor,Reef Kitchen,3.3,"Detroit, MI",Unknown,Not Remote
49, Michigan,Detroit,35,Food Preparation,Prep Cook/Dishwasher,Bucharest Grill,4.1,"Detroit, MI",$10 - $12 an hour,Not Remote
50, Michigan,Detroit,35,Food Preparation,Cook,Beaumont Health,3.7,"Grosse Pointe, MI",$15 an hour,Not Remote
51, Michigan,Detroit,35,Food Preparation,Food Runner,Apparatus Room,,"Detroit, MI",$9 an hour,Not Remote
52, Michigan,Detroit,35,Food Preparation,General Manager,Anchor Bar,,"Detroit, MI","$45,000 - $60,000 a year",Not Remote
53, Michigan,Detroit,35,Food Preparation,Morning Production Line Associate - Foods,18th Street Deli / NuVue Foods,,"Hamtramck, MI",$11 an hour,Not Remote
54, Michigan,Detroit,35,Food Preparation,Dietary Aide,St. Josephs a Villa Center,2.9,"Hamtramck, MI",Unknown,Not Remote
