,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Michigan,Detroit,17,Nuclear Engineers,Navy Nuclear Engineer,Navy Recruiting District Richmond,4.3,"Detroit, MI","$36,000 - $57,000 a year ++",Not Remote
0, Michigan,Detroit,17,Mechanical Engineering Technicians,Rotating Equipment / Mechanical Reliability Specialist,Praxair,3.7,"River Rouge, MI",Unknown,Not Remote
1, Michigan,Detroit,17,Mechanical Engineering Technicians,Rotating Equipment / Mechanical Reliability Specialist,Praxair,3.7,"River Rouge, MI",Unknown,Not Remote
0, Michigan,Detroit,19,Medical Scientists,Lab - Medical Laboratory Scientist/ MLS,Cross Country Allied,4.2,"Detroit, MI",Unknown,Not Remote
1, Michigan,Detroit,19,Medical Scientists,Senior Scientist (ADME-PK),Glaukos Corporation,4.2,United States,Unknown,Temporarily remote
2, Michigan,Detroit,19,Medical Scientists,Clinical Laboratory Scientist,Kelly,3.8,"Ferndale, MI",Unknown,Not Remote
3, Michigan,Detroit,19,Medical Scientists,Research Assistant/Research Associate,Wayne State University,4.2,"Detroit, MI",Unknown,Not Remote
4, Michigan,Detroit,19,Medical Scientists,Medical Technologist (Microbiology),Henry Ford Health System,3.9,"Detroit, MI",Unknown,Not Remote
5, Michigan,Detroit,19,Medical Scientists,Medical Technologist (Blood Bank),Henry Ford Health System,3.9,"Detroit, MI",Unknown,Not Remote
6, Michigan,Detroit,19,Medical Scientists,Research Associate,Wayne State University,4.2,"Detroit, MI",Unknown,Not Remote
7, Michigan,Detroit,19,Medical Scientists,Research Assistant/Research Associate,Wayne State University,4.2,"Detroit, MI",Unknown,Not Remote
8, Michigan,Detroit,19,Medical Scientists,Research Assistant,Wayne State University,4.2,"Detroit, MI",Unknown,Not Remote
9, Michigan,Detroit,19,Medical Scientists,Laboratory Assistant II,Beaumont Health,3.7,"Grosse Pointe, MI",Unknown,Not Remote
10, Michigan,Detroit,19,Medical Scientists,Laboratory Assistant I,Beaumont Health,3.7,"Dearborn, MI",Unknown,Not Remote
11, Michigan,Detroit,19,Medical Scientists,Medical Technologist,Henry Ford Health System,3.9,"Grosse Pointe Farms, MI",Unknown,Not Remote
12, Michigan,Detroit,19,Medical Scientists,Medical Lab Scientist (MLS),Ascension,3.7,"Detroit, MI",Unknown,Not Remote
13, Michigan,Detroit,19,Medical Scientists,Epidemiologist,Perinatology Research Branch,2.7,"Detroit, MI",Unknown,Not Remote
14, Michigan,Detroit,19,Medical Scientists,Clinical Research Assistant- Full time- Nephrology and Hypertension Research,Henry Ford Health System,3.9,"Detroit, MI",Unknown,Not Remote
15, Michigan,Detroit,19,Medical Scientists,Laboratory Assistant II,Beaumont Health,3.7,"Dearborn, MI",Unknown,Not Remote
16, Michigan,Detroit,19,Medical Scientists,Medical Technologist,Henry Ford Health System,3.9,"Wyandotte, MI",Unknown,Not Remote
17, Michigan,Detroit,19,Medical Scientists,Medical Lab Scientist (MLS),Ascension,3.7,"Detroit, MI",Unknown,Not Remote
18, Michigan,Detroit,19,Medical Scientists,Clinical Research Associate,Ascension,3.7,"Detroit, MI",Unknown,Not Remote
19, Michigan,Detroit,19,Medical Scientists,Supervisor-Research Compliance Full time- Research Administration,Henry Ford Health System,3.9,"Detroit, MI",Unknown,Not Remote
20, Michigan,Detroit,19,Medical Scientists,Clinical Research Associate - Field Management - Detroit Michigan,Novo Nordisk,4.1,"Detroit, MI",Unknown,Not Remote
21, Michigan,Detroit,19,Medical Scientists,Manager-Research Coor- Full time -Translational and Clinical Research,Henry Ford Health System,3.9,"Detroit, MI",Unknown,Not Remote
22, Michigan,Detroit,19,Medical Scientists,Clinical Research Associate - Field Management - Detroit Michigan,Novo Nordisk,4.1,"Detroit, MI",Unknown,Not Remote
23, Michigan,Detroit,19,Medical Scientists,Coordinator-Research Compliance Full time- Research Administration,Henry Ford Health System,3.9,"Detroit, MI",Unknown,Not Remote
24, Michigan,Detroit,19,Medical Scientists,Medical Lab Scientist (MLS),Ascension,3.7,"Detroit, MI",Unknown,Not Remote
25, Michigan,Detroit,19,Medical Scientists,Coordinator-Research Compliance Full time- Research Administration,Henry Ford Health System,3.9,"Detroit, MI",Unknown,Not Remote
26, Michigan,Detroit,19,Medical Scientists,Travel Medical Lab Scientist for Contract Assignment in Detroit area,Soliant,4.0,"Detroit, MI",Unknown,Not Remote
0, Michigan,Detroit,19,Food Scientist,EHS Compliance Specialist,Stantec,3.7,"Farmington Hills, MI",Unknown,Not Remote
0, Michigan,Detroit,21,Counselor,"Therapist, LMSW",Corktown Health Center,,"Detroit, MI","From $50,000 a year",Temporarily remote
1, Michigan,Detroit,21,Counselor,THERAPIST / COUNSELOR,Quality Behavioral Health,2.8,"Detroit, MI",Unknown,Not Remote
2, Michigan,Detroit,21,Counselor,Child and Adolescent Therapist,Child and Family Solutions Center,5.0,"Detroit, MI","Up to $105,000 a year",Temporarily remote
3, Michigan,Detroit,21,Counselor,"Therapist, Psychologist or Counselor - Telehealth (Remote)",Happier Living,4.0,United States,Unknown,Remote
4, Michigan,Detroit,21,Counselor,Alternative Education Counselor,ECORSE PUBLIC SCHOOLS,3.3,"Harper Woods, MI",Unknown,Not Remote
5, Michigan,Detroit,21,Counselor,Community Outreach PrEP Counselor,"Detroit Community Health Connection, Inc.",,"Detroit, MI",Unknown,Not Remote
6, Michigan,Detroit,21,Counselor,Administrative Assistant - College Counseling,Archdiocese of Detroit,3.8,"Detroit, MI",Unknown,Not Remote
7, Michigan,Detroit,21,Counselor,Clinician-GBH,Children s Center Of Wayne County,,"Detroit, MI",Unknown,Not Remote
8, Michigan,Detroit,21,Counselor,Behavioral Health Licensed Counselor - King High School / Full-time / Days,Ascension,3.7,"Detroit, MI",Unknown,Not Remote
9, Michigan,Detroit,21,Counselor,"Manager, Clinical Operations",Wayne Health,3.0,"Detroit, MI",Unknown,Not Remote
10, Michigan,Detroit,21,Counselor,School Guidance Counselor,Michigan International Prep School,4.0,"Detroit, MI","$49,000 - $55,000 a year",Not Remote
11, Michigan,Detroit,21,Counselor,Call Center Clinical Specialist,Detroit Wayne Mental Health Authority,3.8,"Detroit, MI",Unknown,Not Remote
12, Michigan,Detroit,21,Counselor,Licensed Therapist or Counselor,Gotham Enterprises LTD,4.2,"Detroit, MI","Up to $120,000 a year",Remote
13, Michigan,Detroit,21,Counselor,Adult Outpatient Clinical Therapist,CNS Healthcare,2.6,"Detroit, MI",Unknown,Not Remote
14, Michigan,Detroit,21,Counselor,Children's Outpatient Clinical Therapist,CNS Healthcare,2.6,"Harper Woods, MI",Unknown,Not Remote
15, Michigan,Detroit,21,Counselor,Recreational Therapy Assistant/Activities Aide - Rochester Skilled,Pomeroy Living Northville,3.2,"Detroit, MI",$10 - $15 an hour,Not Remote
16, Michigan,Detroit,21,Counselor,Clinical Therapist,First Family Counseling,,"Detroit, MI",$35 - $37 an hour,Temporarily remote
17, Michigan,Detroit,21,Counselor,Bilingual Group Facilitator,Wider Circle,4.4,"Dearborn, MI",Unknown,Not Remote
18, Michigan,Detroit,21,Counselor,Intake Assessment Therapist,The Salvation Army USA Central Territory,3.9,"Detroit, MI",Unknown,Not Remote
19, Michigan,Detroit,21,Counselor,Therapist,CNS Healthcare,2.6,"Detroit, MI",Unknown,Not Remote
