,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Minnesota,Saint Paul,21,Religious Worker,Full-time City Driver,United Parcel Service,3.8,"Minneapolis, MN",Unknown,Not Remote
1, Minnesota,Saint Paul,21,Religious Worker,feeder driver,United Parcel Service,3.8,"Minneapolis, MN",Unknown,Not Remote
2, Minnesota,Saint Paul,21,Religious Worker,CDL Driver,United Parcel Service,3.8,"Minneapolis, MN",Unknown,Not Remote
3, Minnesota,Saint Paul,21,Religious Worker,Social Worker,Nexus Kindred Family Healing,,"Shoreview, MN",Unknown,Not Remote
4, Minnesota,Saint Paul,21,Religious Worker,Administrative Manager 1,University of Minnesota,4.2,"Minneapolis, MN","$68,000 - $90,000 a year",Temporarily remote
5, Minnesota,Saint Paul,21,Religious Worker,Administrative Assistant – Learning Department,The Basilica of Saint Mary,3.6,"Minneapolis, MN",Unknown,Not Remote
6, Minnesota,Saint Paul,21,Religious Worker,Health Science Specialist,US Department of Veterans Affairs,3.8,"Minneapolis, MN","$46,964 - $74,680 a year",Not Remote
7, Minnesota,Saint Paul,21,Religious Worker,"City Connects Coordinator at Two Catholic Schools in Minneapolis,",City Connects,,"Minneapolis, MN",Unknown,Not Remote
8, Minnesota,Saint Paul,21,Religious Worker,City Connects Coordinator at Two Catholic Schools in Minneapolis,City Connects,,"Minneapolis-Saint Paul, MN",Unknown,Not Remote
0, Minnesota,Saint Paul,23,Legal Support Worker,Benefit Management Analyst,"The Travelers Companies, Inc.",3.7,"Saint Paul, MN",Unknown,Not Remote
1, Minnesota,Saint Paul,23,Legal Support Worker,Community Manager - Odin Apartments,"LMC, A Lennar Company",3.3,"Minneapolis, MN","$70,000 - $75,000 a year",Not Remote
2, Minnesota,Saint Paul,23,Legal Support Worker,Assistant Trust Officer,Computershare,3.4,United States,Unknown,Not Remote
3, Minnesota,Saint Paul,23,Legal Support Worker,Legal Secretary - Legal Administrative Assistant,State of Minnesota,3.6,"Saint Paul, MN",$20.51 - $27.68 an hour,Not Remote
4, Minnesota,Saint Paul,23,Legal Support Worker,Social Worker - Middle School (SY2122),Hiawatha Academies,3.0,"Minneapolis, MN",Unknown,Not Remote
5, Minnesota,Saint Paul,23,Legal Support Worker,Benefit Management Analyst,Travelers,3.7,"Saint Paul, MN",Unknown,Not Remote
6, Minnesota,Saint Paul,23,Legal Support Worker,Litigation Paralegal*,3M,4.0,"Maplewood, MN",Unknown,Not Remote
7, Minnesota,Saint Paul,23,Legal Support Worker,Office Manager,The Salvation Army USA Central Territory,3.9,"Saint Paul, MN",Unknown,Not Remote
8, Minnesota,Saint Paul,23,Legal Support Worker,FOOD SERVICE WORKER (FULL-TIME),Compass Group,3.3,"Eagan, MN",Unknown,Not Remote
9, Minnesota,Saint Paul,23,Legal Support Worker,Occupational Health Supervisor,Abbott Laboratories,4.0,"Saint Paul, MN",Unknown,Not Remote
