,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor,Lakeland Cemetery Services,2.3,"Minneapolis, MN",$15 - $17 an hour,Not Remote
1, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor - Minnetonka,Allegro Management Company Llc,,"Minnetonka, MN",Unknown,Not Remote
2, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor,"Dominium Management Services, LLC",3.2,"Saint Paul, MN",$27 - $28 an hour,Not Remote
3, Minnesota,Minneapolis,11,Facilities Manager,Industrial Plant Maintenance Manager,Aramark Uniform Services,3.5,"Minneapolis, MN",Unknown,Not Remote
4, Minnesota,Minneapolis,11,Facilities Manager,Facilities/Safety Manager,St. Louis Park Public Schools,,"Saint Louis Park, MN","$85,116 - $123,417 a year",Not Remote
5, Minnesota,Minneapolis,11,Facilities Manager,Facilities Coordinator - Virtual,JLL,3.7,"Minneapolis, MN",Unknown,Remote
6, Minnesota,Minneapolis,11,Facilities Manager,Facilities Manager,BridgesMN,2.8,"Saint Paul, MN",$20 - $25 an hour,Not Remote
7, Minnesota,Minneapolis,11,Facilities Manager,Facilities Supervisor,University of Minnesota,4.2,"Minneapolis, MN",Unknown,Not Remote
8, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Manager,Sprung Services,4.3,"Fridley, MN","$80,000 - $90,000 a year",Not Remote
9, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Manager,Village Green,3.4,"Saint Paul, MN",Unknown,Not Remote
10, Minnesota,Minneapolis,11,Facilities Manager,Plant Maintenance Manager,Aramark Uniform & Career Apparel LLC,3.5,"Fridley, MN",Unknown,Not Remote
11, Minnesota,Minneapolis,11,Facilities Manager,Shift Area Maintenance Manager (AMM) - MSP7,JLL,3.7,"Minneapolis, MN",Unknown,Not Remote
12, Minnesota,Minneapolis,11,Facilities Manager,Facility Operations Manager,Life Time,3.5,"Saint Paul, MN",Unknown,Not Remote
13, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Manager,FirstService Residential,3.4,"Bloomington, MN",Unknown,Not Remote
14, Minnesota,Minneapolis,11,Facilities Manager,Chief Maintenance Eng,Hampton Inn & Suites,3.8,"Saint Paul, MN",Unknown,Not Remote
15, Minnesota,Minneapolis,11,Facilities Manager,Chief Engineer,JLL,3.7,"Minneapolis, MN",Unknown,Not Remote
16, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Controller,Sun Country Airlines,3.5,"Minneapolis, MN",Unknown,Not Remote
17, Minnesota,Minneapolis,11,Facilities Manager,Chief Engineer,Morrissey Hospitality Companies Inc.,3.8,"Saint Paul, MN",Unknown,Not Remote
18, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Director,Twin City Gardens,,"Minneapolis, MN",Unknown,Not Remote
19, Minnesota,Minneapolis,11,Facilities Manager,Chief Engineer Residence Inn Edina,Shaner Hotel Group,3.7,"Edina, MN",Unknown,Not Remote
20, Minnesota,Minneapolis,11,Facilities Manager,Residential Single Family Maintenance Manager,Edlich Realty & Associates,,"Minneapolis, MN","$50,000 - $80,000 a year",Not Remote
21, Minnesota,Minneapolis,11,Facilities Manager,Janitorial & Property Maintenance Manager,Better Futures Minnesota,,"Minneapolis, MN","$50,000 - $55,000 a year",Not Remote
22, Minnesota,Minneapolis,11,Facilities Manager,Facility Operations Assistant Manager,Life Time,3.5,"Bloomington, MN",Unknown,Not Remote
23, Minnesota,Minneapolis,11,Facilities Manager,Chief Engineer,The Saint Paul Hotel,4.2,"Saint Paul, MN","$70,000 - $80,000 a year",Not Remote
24, Minnesota,Minneapolis,11,Facilities Manager,Regional Chief Engineer - Minneapolis Hilton,Remington Hotels,3.2,"Bloomington, MN",Unknown,Not Remote
25, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Manager,FirstService Residential Minnesota,3.4,"Saint Paul, MN",From $25 an hour,Not Remote
26, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor,Island Hospitality,2.8,"Bloomington, MN",Unknown,Not Remote
27, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor,Wyndham Hotels & Resorts,3.5,"Bloomington, MN",Unknown,Not Remote
28, Minnesota,Minneapolis,11,Facilities Manager,Chief Engineer,The Saint Paul Hotel,4.2,"Saint Paul, MN",Unknown,Not Remote
29, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Director,Monarch Healthcare Management,3.4,"Bloomington, MN",Unknown,Not Remote
30, Minnesota,Minneapolis,11,Facilities Manager,Service Manager,Marquette Management,3.9,"Saint Paul, MN",Unknown,Not Remote
31, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor,Bimbo Bakeries USA,3.3,"Roseville, MN",Unknown,Not Remote
32, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor - Kellogg Square,"Bigos Management, Inc.",3.8,"Saint Paul, MN",Unknown,Not Remote
33, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor,Saturday Properties LLC,,"Golden Valley, MN",Unknown,Not Remote
34, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor - Minnetonka,Allegro Management Company Llc,,"Minnetonka, MN",Unknown,Not Remote
35, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor,Lakeland Cemetery Services,2.3,"Minneapolis, MN",$15 - $17 an hour,Not Remote
36, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor - 4Marq,Lincoln Property Company,3.6,"Minneapolis, MN",Unknown,Not Remote
37, Minnesota,Minneapolis,11,Facilities Manager,Building Maintenance Lead,Suntide Commercial Realty,,"Saint Paul, MN",Unknown,Not Remote
38, Minnesota,Minneapolis,11,Facilities Manager,"Property Maintenance Supervisor, Part Time",Better Futures Minnesota,,"Minneapolis, MN",$18 - $20 an hour,Not Remote
39, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Director,Volunteers of America,3.4,"Hopkins, MN","$43,680 - $50,000 a year",Not Remote
40, Minnesota,Minneapolis,11,Facilities Manager,Electrical Supervisor- Capitol Complex Trade Shp Supv,State of Minnesota,3.6,"Saint Paul, MN",$29.01 - $42.00 an hour,Not Remote
41, Minnesota,Minneapolis,11,Facilities Manager,Garden Maintenance Lead Gardener,Bachman's Inc.,3.4,"Minneapolis, MN",Unknown,Not Remote
42, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor,Dungarvin,2.9,"Mendota Heights, MN",Unknown,Not Remote
43, Minnesota,Minneapolis,11,Facilities Manager,Apartment Maintenance Supervisor - Marbella on Dean Apartments,Weidner Apartment Homes,3.5,"Minneapolis, MN",$25 - $26 an hour,Not Remote
44, Minnesota,Minneapolis,11,Facilities Manager,Director of Maintenance,Twin City Gardens,,"Minneapolis, MN",Unknown,Not Remote
45, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor,"Dominium Management Services, LLC",3.2,"Saint Paul, MN",$27 - $28 an hour,Not Remote
46, Minnesota,Minneapolis,11,Facilities Manager,Director of Maintenance,Twin City Gardens,,"Minneapolis, MN",Unknown,Not Remote
47, Minnesota,Minneapolis,11,Facilities Manager,Chief Engineer,Island Hospitality,2.8,"Bloomington, MN",Unknown,Not Remote
48, Minnesota,Minneapolis,11,Facilities Manager,Maintenance Supervisor,"Dominium Management Services, LLC",3.2,"Saint Paul, MN",Unknown,Not Remote
49, Minnesota,Minneapolis,11,Facilities Manager,Building Maintenance Lead,Suntide Commercial Realty,,"Saint Paul, MN",Unknown,Not Remote
50, Minnesota,Minneapolis,11,Facilities Manager,Apartment Maintenance Supervisor - Marbella on Dean Apartments,Weidner Apartment Homes,3.5,"Minneapolis, MN",$25 - $26 an hour,Not Remote
0, Minnesota,Minneapolis,11,Funeral Home Managers,Floral Designer,Hy-Vee,3.7,"Spring Lake Park, MN",Unknown,Not Remote
1, Minnesota,Minneapolis,11,Funeral Home Managers,F00226 - Funeral Services Assistant,"SCI Shared Resources, LLC",3.1,"Saint Paul, MN",Unknown,Not Remote
2, Minnesota,Minneapolis,11,Funeral Home Managers,Bookkeeper,The Catholic Cemeteries,3.6,"Mendota Heights, MN",Unknown,Not Remote
3, Minnesota,Minneapolis,11,Funeral Home Managers,Floral Designer,Hy-Vee,3.7,"Spring Lake Park, MN",Unknown,Not Remote
0, Minnesota,Minneapolis,11,Manager,Fast Casual Restaurant Manager,Herbie Butcher's Fried Chicken,,"Minneapolis, MN","$42,000 - $45,000 a year",Not Remote
1, Minnesota,Minneapolis,11,Manager,Asset Manager,Red Lake Nation,,"Minneapolis, MN",$30 - $40 an hour,Not Remote
2, Minnesota,Minneapolis,11,Manager,Assistant Manager,"Cornerstone Parking Group, Inc.",3.7,"Minneapolis, MN","$40,000 - $45,000 a year",Not Remote
3, Minnesota,Minneapolis,11,Manager,HR Manager,Frontline Asset Strategies,3.4,"Roseville, MN",Unknown,Not Remote
4, Minnesota,Minneapolis,11,Manager,Kitchen Manager,Salted,,"Minneapolis, MN","$55,000 a year",Not Remote
5, Minnesota,Minneapolis,11,Manager,Retread Production Manager,Heartland Tire,4.0,"Minneapolis-Saint Paul, MN",$22 - $27 an hour,Not Remote
6, Minnesota,Minneapolis,11,Manager,Operations Manager,Window Concepts Of Minnesota Inc.,,"Saint Paul, MN","$70,000 - $85,000 a year",Not Remote
7, Minnesota,Minneapolis,11,Manager,Roofing Project Supervisor,Lindus Construction / Midwest LeafGuard,4.3,"Saint Paul, MN",$18 - $25 an hour,Not Remote
8, Minnesota,Minneapolis,11,Manager,Production Manager,Window Concepts Of Minnesota Inc.,,"Saint Paul, MN","$65,000 - $78,000 a year",Not Remote
9, Minnesota,Minneapolis,11,Manager,District Manager,Public Storage,2.9,"Minneapolis, MN","$117,000 a year",Not Remote
10, Minnesota,Minneapolis,11,Manager,Area Manager- Minneapolis,Noodles & Company,3.5,"Minneapolis, MN","$70,000 - $90,000 a year",Not Remote
11, Minnesota,Minneapolis,11,Manager,"Team Manager - Edina, MN",Louis Vuitton,3.8,"Minneapolis, MN",Unknown,Not Remote
12, Minnesota,Minneapolis,11,Manager,Plant Manager,St Paul Stamp Works,,"Saint Paul, MN","$70,000 - $90,000 a year",Not Remote
13, Minnesota,Minneapolis,11,Manager,Engineering Manager,Ambassador Labs,,"Minneapolis-Saint Paul, MN","From $170,000 a year",Remote
14, Minnesota,Minneapolis,11,Manager,Store Manager,Pet Supplies Plus,3.4,"Fridley, MN","$75,000 - $100,000 a year",Not Remote
15, Minnesota,Minneapolis,11,Manager,District Manager,Public Storage,2.9,"Saint Paul, MN","$117,000 a year",Not Remote
16, Minnesota,Minneapolis,11,Manager,Automotive Manager,Midas,3.3,"New Hope, MN","$75,000 - $100,000 a year",Not Remote
17, Minnesota,Minneapolis,11,Manager,Manager,AMC Theatres,3.5,"Roseville, MN",Unknown,Not Remote
18, Minnesota,Minneapolis,11,Manager,Manager or General Manager,Furball Fitness Dog Camp & Daycare (MN),,"Minneapolis, MN",$15 - $25 an hour,Not Remote
19, Minnesota,Minneapolis,11,Manager,Senior Product Manager - SBA Lending,U.S. Bank,3.6,"Minneapolis, MN","$105,400 - $124,000 a year",Not Remote
20, Minnesota,Minneapolis,11,Manager,Manager,Cowboy Jack's Plymouth,,"Minneapolis, MN",$20 an hour,Not Remote
21, Minnesota,Minneapolis,11,Manager,"Director of Diversity, Equity and Inclusion - State Prog Admin Manager",State of Minnesota,3.6,"Saint Paul, MN",$34.76 - $50.24 an hour,Remote
22, Minnesota,Minneapolis,11,Manager,Supermarket / Grocery General Store Manager,Premier Associates Inc,,"Minneapolis, MN","$72,000 - $85,000 a year",Not Remote
