,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Mississippi,Jackson,37,Pest Control,"Entry Level Sales Representative Jackson, MS",TruGreen,3.2,"Pearl, MS",Unknown,Not Remote
1, Mississippi,Jackson,37,Pest Control,Sales Representative,Moxie Pest Control,3.5,United States,"$32,499 - $129,959 a year",Remote
2, Mississippi,Jackson,37,Pest Control,Pest Control Technician,Terminix,3.0,"Richland, MS","$30,000 - $50,000 a year",Not Remote
3, Mississippi,Jackson,37,Pest Control,Home Sales Inspector,Orkin LLC,3.2,"Jackson, MS",Unknown,Not Remote
4, Mississippi,Jackson,37,Pest Control,Sales Representative,Moxie Pest Control,3.5,"Jackson, MS","$32,499 - $129,959 a year",Remote
5, Mississippi,Jackson,37,Pest Control,Home Sales Inspector,Orkin LLC,3.2,"Flowood, MS",Unknown,Not Remote
6, Mississippi,Jackson,37,Pest Control,Home Sales Inspector,Orkin LLC,3.2,"Flowood, MS",Unknown,Not Remote
7, Mississippi,Jackson,37,Pest Control,Termite Technician,Terminix,3.0,"Richland, MS","$30,000 - $50,000 a year",Not Remote
8, Mississippi,Jackson,37,Pest Control,Outside Sales Representative,Terminix,3.0,"Richland, MS","$40,000 - $80,000 a year",Not Remote
0, Mississippi,Jackson,39,Hairdressers,Barber/ Stylist,Official Cutz Studio,,"Jackson, MS","Up to $1,200 a week",Not Remote
1, Mississippi,Jackson,39,Hairdressers,ASSISTANT MANAGER-0101,Sally Beauty Supply LLC,3.3,"Flowood, MS",Unknown,Not Remote
2, Mississippi,Jackson,39,Hairdressers,Stylist,Supercuts | Salon - 573,,"Jackson, MS",Unknown,Not Remote
3, Mississippi,Jackson,39,Hairdressers,Stylist-in-Training,"SmartStyle Hair Salon | Yellowhammer Salon Group,...",,"Jackson, MS",Unknown,Not Remote
4, Mississippi,Jackson,39,Hairdressers,Stylist - SmartStyle,"SmartStyle Hair Salon | Yellowhammer Salon Group,...",,"Clinton, MS",Unknown,Not Remote
5, Mississippi,Jackson,39,Hairdressers,Stylist - SmartStyle,"SmartStyle Hair Salon | Yellowhammer Salon Group,...",,"Jackson, MS",Unknown,Not Remote
6, Mississippi,Jackson,39,Hairdressers,Stylist-in-Training,"SmartStyle Hair Salon | Yellowhammer Salon Group,...",,"Clinton, MS",Unknown,Not Remote
7, Mississippi,Jackson,39,Hairdressers,Stylist - SmartStyle,"SmartStyle Hair Salon | Yellowhammer Salon Group,...",,"Pearl, MS",Unknown,Not Remote
8, Mississippi,Jackson,39,Hairdressers,Stylist,Supercuts | Salon - 573,,"Flowood, MS",Unknown,Not Remote
9, Mississippi,Jackson,39,Hairdressers,Stylist-in-Training,"SmartStyle Hair Salon | Yellowhammer Salon Group,...",,"Pearl, MS",Unknown,Not Remote
0, Mississippi,Jackson,39,Group Fitness Instructor,Fitness Trainer,Planet Fitness,3.5,"Pearl, MS",Unknown,Not Remote
1, Mississippi,Jackson,39,Group Fitness Instructor,Fitness Trainer,Planet Fitness,3.5,"Ridgeland, MS",Unknown,Not Remote
2, Mississippi,Jackson,39,Group Fitness Instructor,Fitness Trainer,Planet Fitness,3.5,"Clinton, MS",Unknown,Not Remote
0, Mississippi,Jackson,41,Financial Services Sales Agents,Sales Account Manager - Work From Home,SelectQuote,2.9,"Jackson, MS","From $150,000 a year",Remote
1, Mississippi,Jackson,41,Financial Services Sales Agents,Benefits Advisor,Aflac,3.5,United States,"$32,269 - $89,934 a year",Not Remote
2, Mississippi,Jackson,41,Financial Services Sales Agents,"Licensed Medicare Insurance Agent - Salaried, Remote Insurance Sales",ASSURANCE Independent Agents,3.2,Mississippi,Unknown,Remote
3, Mississippi,Jackson,41,Financial Services Sales Agents,Fast Track To Leadership-sales Management,New York Life,3.7,"Jackson, MS","$91,000 - $127,000 a year",Not Remote
4, Mississippi,Jackson,41,Financial Services Sales Agents,Insurance and Financial Services Agent,White Glove Wealth Agency,,"Jackson, MS","$2,500 - $4,000 a month",Remote
5, Mississippi,Jackson,41,Financial Services Sales Agents,Financial Concierge Sr. Manager,AIS Healthcare,3.1,"Ridgeland, MS",Unknown,Not Remote
6, Mississippi,Jackson,41,Financial Services Sales Agents,Life Insurance Professional Sales Agent,New York Life,3.7,"Jackson, MS","$67,000 - $94,000 a year",Not Remote
7, Mississippi,Jackson,41,Financial Services Sales Agents,Business Insurance Position - State Farm Agent Team Member,Jeff Zachary - State Farm Agent,3.7,"Jackson, MS","$40,000 - $65,000 a year",Not Remote
8, Mississippi,Jackson,41,Financial Services Sales Agents,Account Manager - State Farm Agent Team Member,Jeff Zachary - State Farm Agent,3.7,"Jackson, MS","$40,000 - $65,000 a year",Not Remote
9, Mississippi,Jackson,41,Financial Services Sales Agents,Insurance and Financial Services Position - State Farm Agent Team Member,Jeff Zachary - State Farm Agent,3.7,"Jackson, MS","$45,000 - $65,000 a year",Not Remote
10, Mississippi,Jackson,41,Financial Services Sales Agents,Marketing Representative - State Farm Agent Team Member,Jeff Zachary - State Farm Agent,3.7,"Flowood, MS",Unknown,Not Remote
11, Mississippi,Jackson,41,Financial Services Sales Agents,Customer Service Representative - State Farm Agent Team Member,Jeff Zachary - State Farm Agent,3.7,"Jackson, MS","$30,000 - $40,000 a year",Not Remote
0, Mississippi,Jackson,41,Wholesale Sales Representative,Regional Sales Representative - East Coast,MICHAEL M,,United States,Unknown,Not Remote
1, Mississippi,Jackson,41,Wholesale Sales Representative,Outside Sales Representative-Mississippi south of hwy 82,Nelson Wholesale Service,3.3,"Jackson, MS","$40,000 - $80,000 a year",Not Remote
2, Mississippi,Jackson,41,Wholesale Sales Representative,HVAC Branch Manager,"R.E. Michel Company, LLC",3.4,"Jackson, MS",Unknown,Not Remote
0, Mississippi,Jackson,41,Real Estate Brokers,Director of Corporate Development,"Northpoint Recovery Holdings, LLC",3.8,United States,Unknown,Not Remote
1, Mississippi,Jackson,41,Real Estate Brokers,Real Estate Sales Agent,REMAX Connection,4.2,"Flowood, MS","From $70,000 a year",Not Remote
0, Mississippi,Jackson,41,Real Estate Sales Agents,Real Estate Sales Agent,REMAX Connection,4.2,"Flowood, MS","From $70,000 a year",Not Remote
0, Mississippi,Jackson,43,Office and Administrative Support Occupations,Human Resources Spec,US Department of Veterans Affairs,3.8,"Jackson, MS","$64,649 - $84,490 a year",Not Remote
1, Mississippi,Jackson,43,Office and Administrative Support Occupations,HR ASST,US Department of the Army,4.3,"Jackson, MS","$43,251 - $56,222 a year",Not Remote
0, Mississippi,Jackson,43,Telephone Operators,Network Support Engineer,DE-CIX Management GmbH,,United States,Unknown,Not Remote
1, Mississippi,Jackson,43,Telephone Operators,Material Handler,Continental AG,4.0,"Clinton, MS",Unknown,Not Remote
