,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Missouri,Saint Louis,11,Facilities Manager,Facilities Maintenance Director,Hillside Manor Healthcare & Rehab Center,,"St. Louis, MO",$17 - $23 an hour,Not Remote
1, Missouri,Saint Louis,11,Facilities Manager,Maintenance Shift Supervisor,Aramark,3.5,"St. Louis, MO",Unknown,Not Remote
2, Missouri,Saint Louis,11,Facilities Manager,Director of Facilities,Confidential,,Missouri,"$50,000 - $80,000 a year",Not Remote
3, Missouri,Saint Louis,11,Facilities Manager,Maintenance Manager,Residence Inn by Marriott St. Louis Downtown,3.6,"St. Louis, MO","$55,000 - $60,000 a year",Not Remote
4, Missouri,Saint Louis,11,Facilities Manager,Facilities Supervisor,The Women's Safe House,3.6,"St. Louis, MO",Unknown,Not Remote
5, Missouri,Saint Louis,11,Facilities Manager,Facilities Maintenance Director,Hillside Manor Healthcare & Rehab Center,,"St. Louis, MO",$17 - $23 an hour,Not Remote
6, Missouri,Saint Louis,11,Facilities Manager,Regional Maintenance Manager,CBRE,3.7,"St. Louis, MO",Unknown,Not Remote
7, Missouri,Saint Louis,11,Facilities Manager,"Superintendent of Maintenance Facilities, Building and Grounds",Bi-State Development,3.5,"St. Louis, MO",Unknown,Not Remote
8, Missouri,Saint Louis,11,Facilities Manager,Maintenance Planner,ABB,4.0,"St. Louis, MO",Unknown,Not Remote
9, Missouri,Saint Louis,11,Facilities Manager,Chief Engineer - Residence Inn St. Louis Downtown,Schulte Companies,2.1,"St. Louis, MO",Unknown,Not Remote
10, Missouri,Saint Louis,11,Facilities Manager,Plant Maintenance Superintendent - Manufacturing,Hermann Oak Leather Company,,"St. Louis, MO","$60,000 - $70,000 a year",Not Remote
11, Missouri,Saint Louis,11,Facilities Manager,Property Maintenance Supervisor,Baumann Property Company,2.3,"St. Louis, MO",$20 - $28 an hour,Not Remote
12, Missouri,Saint Louis,11,Facilities Manager,Maintenance Supervisor,2B Residential,3.5,"St. Louis, MO","Up to $53,000 a year",Not Remote
13, Missouri,Saint Louis,11,Facilities Manager,Maintenance Superintendent,Beyond Housing,3.6,"St. Louis, MO",Unknown,Not Remote
14, Missouri,Saint Louis,11,Facilities Manager,Maintenance Supervisor/Local Driver,Branch Metal,,"St. Louis, MO","$42,000 - $60,000 a year",Not Remote
15, Missouri,Saint Louis,11,Facilities Manager,Maintenance Supervisor,Mills Properties,3.1,"St. Louis, MO",Unknown,Not Remote
16, Missouri,Saint Louis,11,Facilities Manager,Maintenance Shift Supervisor,Aramark,3.5,"St. Louis, MO",Unknown,Not Remote
17, Missouri,Saint Louis,11,Facilities Manager,Chief Engineer,Residence Inn St. Louis Downtown,3.6,"St. Louis, MO",Unknown,Not Remote
18, Missouri,Saint Louis,11,Facilities Manager,Plant Maintenance Superintendent - Manufacturing,Hermann Oak Leather Company,,"St. Louis, MO","$60,000 - $70,000 a year",Not Remote
19, Missouri,Saint Louis,11,Facilities Manager,Property Maintenance Supervisor,Baumann Property Company,2.3,"St. Louis, MO",$20 - $28 an hour,Not Remote
0, Missouri,Saint Louis,11,Funeral Home Managers,Customer Service Representative,Assurant,3.5,"St. Louis, MO",Unknown,Temporarily remote
1, Missouri,Saint Louis,11,Funeral Home Managers,"926 Funeral Home Manager, Glen Carbon, IL","StoneMor, Inc. Illinois",,"St. Louis, MO","$65,000 a year",Not Remote
2, Missouri,Saint Louis,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
3, Missouri,Saint Louis,11,Funeral Home Managers,"926 Funeral Home Manager, Glen Carbon, IL","StoneMor, Inc. Illinois",,"St. Louis, MO","$65,000 a year",Not Remote
4, Missouri,Saint Louis,11,Funeral Home Managers,"SUPV, OFFICE OF DECEDENT AFFAIRS - M-F Evenings",BJC HealthCare,3.9,"St. Louis, MO",Unknown,Not Remote
0, Missouri,Saint Louis,11,Manager,Patient Care Manager (RN),Gateway Regional Home Care - LHC Group,,"Granite City, IL",Unknown,Not Remote
1, Missouri,Saint Louis,11,Manager,Administrative Manager,"AGB Investigative Services, Inc.",2.7,"St. Louis, MO","$41,600 a year",Not Remote
2, Missouri,Saint Louis,11,Manager,Leasing Manager,GMH University Housing,3.8,"St. Louis, MO",Unknown,Not Remote
3, Missouri,Saint Louis,11,Manager,District Manager,Burger King,3.4,"St. Louis, MO",Unknown,Not Remote
4, Missouri,Saint Louis,11,Manager,Epicor ERP Manager,Confidential,,"St. Louis, MO","$45,000 - $65,000 a year",Temporarily remote
5, Missouri,Saint Louis,11,Manager,Manager of Corporate & Foundation Gifts,Unleashing Potential,3.8,"St. Louis, MO",$15 - $30 an hour,Temporarily remote
6, Missouri,Saint Louis,11,Manager,Regional Training Manager,ModivCare,,"St. Louis, MO","$63,765 - $98,100 a year",Not Remote
7, Missouri,Saint Louis,11,Manager,Area Sales Manager,Capital One - US,3.9,"St. Louis, MO",Unknown,Remote
8, Missouri,Saint Louis,11,Manager,Safety Manager,DB Schenker Logistics,3.4,"St. Louis, MO","$80,000 - $90,000 a year",Not Remote
9, Missouri,Saint Louis,11,Manager,Assistant Medical Equipment Inventory Manager,Hillrom,3.6,"St. Louis, MO","$57,000 - $70,000 a year",Not Remote
10, Missouri,Saint Louis,11,Manager,District Manager,Bandanas Bar-b-q,3.7,"St. Louis, MO","$75,000 - $90,000 a year",Not Remote
11, Missouri,Saint Louis,11,Manager,district manager,Starbucks,4.0,"St. Louis, MO",Unknown,Not Remote
12, Missouri,Saint Louis,11,Manager,district manager,Starbucks,4.0,"St. Louis, MO",Unknown,Not Remote
13, Missouri,Saint Louis,11,Manager,Pool Snack Bar Manager,Norwood Hills Country Club,3.5,"St. Louis, MO","$2,800 - $3,000 a month",Not Remote
14, Missouri,Saint Louis,11,Manager,Center Operational Manager,Dedicated Senior Medical Center,2.4,"St. Louis, MO","$100,000 - $150,000 a year",Not Remote
15, Missouri,Saint Louis,11,Manager,Account Manager,Max Agency,,"St. Louis, MO","$41,000 - $88,000 a year",Temporarily remote
16, Missouri,Saint Louis,11,Manager,Manager in Training,WSG Agency,,"St. Louis, MO","$42,000 - $72,000 a year",Temporarily remote
17, Missouri,Saint Louis,11,Manager,Event Manager,Butler's Pantry,4.4,"St. Louis, MO","From $40,000 a year",Not Remote
18, Missouri,Saint Louis,11,Manager,"Manager, Digital Communication",Saint Louis Zoo,4.2,"St. Louis, MO",Unknown,Not Remote
19, Missouri,Saint Louis,11,Manager,General Manager,goPuff,2.9,"St. Louis, MO",Unknown,Not Remote
20, Missouri,Saint Louis,11,Manager,The North Face Stockroom Supervisor,VF Corporation,3.8,"St. Louis, MO",Unknown,Not Remote
21, Missouri,Saint Louis,11,Manager,Delivery Route Manager,Clear Home,3.5,"St. Louis, MO","$4,000 - $11,000 a month",Not Remote
22, Missouri,Saint Louis,11,Manager,Creative Trafficking Manager,Wunderman Thompson,4.0,"St. Louis, MO",Unknown,Not Remote
23, Missouri,Saint Louis,11,Manager,Sourcing Manager,Anheuser-Busch,3.7,"St. Louis, MO",Unknown,Not Remote
24, Missouri,Saint Louis,11,Manager,Office Manager,Gardner Capital,,"St. Louis, MO","$29,387 - $65,828 a year",Not Remote
25, Missouri,Saint Louis,11,Manager,Contact Center Project Manager,Marlabs,,"St. Louis, MO","$52,000 - $82,000 a year",Temporarily remote
26, Missouri,Saint Louis,11,Manager,Property Manager Intern/Admin All-Star for Booming Real Estate Firm,STL CityWide,2.0,"St. Louis, MO","$2,500 a month",Not Remote
27, Missouri,Saint Louis,11,Manager,Service Account Manager,"Linen King, LLC",,"St. Louis, MO",Unknown,Not Remote
