,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Missouri,Kansas City,11,Facilities Manager,Maintenance Manager,Long Shoal Marina,,"Kansas City, MO","$35,000 - $40,000 a year",Not Remote
1, Missouri,Kansas City,11,Facilities Manager,Chief Engineer - Maintenance Manager,City Club Apartments,2.8,"Kansas City, MO",Unknown,Not Remote
2, Missouri,Kansas City,11,Facilities Manager,District Manager,Valet Living,3.1,"Kansas City, KS","$45,000 - $50,000 a year",Remote
3, Missouri,Kansas City,11,Facilities Manager,Regional Facilities Manager- Life Sciences,CBRE,3.7,"Kansas City, KS",Unknown,Not Remote
4, Missouri,Kansas City,11,Facilities Manager,Maintenance Manager,Long Shoal Marina,,"Kansas City, MO","$35,000 - $40,000 a year",Not Remote
5, Missouri,Kansas City,11,Facilities Manager,Assistant Director of Facilities - Health Science District (8:00am - 4:30pm),Truman Medical Centers,3.8,"Kansas City, MO",Unknown,Not Remote
6, Missouri,Kansas City,11,Facilities Manager,Maintenance Manager,Kwik Shop,3.4,"Kansas City, MO",Unknown,Not Remote
7, Missouri,Kansas City,11,Facilities Manager,Chief Engineer (M),"ISS Facility Services, Inc.",3.6,"Kansas City, MO",Unknown,Not Remote
8, Missouri,Kansas City,11,Facilities Manager,Maintenance Director,SRZ Reach,,"Kansas City, MO",Unknown,Not Remote
9, Missouri,Kansas City,11,Facilities Manager,Area Maintenance Manager,Darwin Homes,,"Kansas City, MO",Unknown,Not Remote
10, Missouri,Kansas City,11,Facilities Manager,Glassware Facility Manager,University of Kansas Medical Center,3.9,"Kansas City, KS",Unknown,Not Remote
11, Missouri,Kansas City,11,Facilities Manager,Maintenance Manager,PPC FLEXIBLE PACKAGING LLC,2.9,"Mission, KS",Unknown,Not Remote
12, Missouri,Kansas City,11,Facilities Manager,Chief Engineer - Maintenance Manager,City Club Apartments,2.8,"Kansas City, MO",Unknown,Not Remote
13, Missouri,Kansas City,11,Facilities Manager,Maintenance Lead,Minit Mart,3.1,"Kansas City, MO",Unknown,Remote
14, Missouri,Kansas City,11,Facilities Manager,District Manager,Valet Living,3.1,"Kansas City, KS","$45,000 - $50,000 a year",Remote
15, Missouri,Kansas City,11,Facilities Manager,Facility Manager,"Advantage Metals Recycling, LLC",3.7,"Kansas City, KS",Unknown,Not Remote
16, Missouri,Kansas City,11,Facilities Manager,Chief Engineer,Hampton Inn & Suites Country Club Plaza,3.8,"Kansas City, MO","$40,000 - $80,000 a year",Not Remote
17, Missouri,Kansas City,11,Facilities Manager,General Assembly Maintenance Supervisor,General Motors,4.1,"Kansas City, KS",Unknown,Not Remote
18, Missouri,Kansas City,11,Facilities Manager,Maintenance Lead,Minit Mart,3.1,"Kansas City, MO",Unknown,Not Remote
19, Missouri,Kansas City,11,Facilities Manager,Maintenance Supervisor,Red Stone Properties,,"Kansas City, MO",Unknown,Not Remote
20, Missouri,Kansas City,11,Facilities Manager,ELS - AMZ - Sr. Maintenance Manager,Daifuku,2.7,"Kansas City, KS",Unknown,Not Remote
21, Missouri,Kansas City,11,Facilities Manager,ELS - AMZ - Sr. Maintenance Manager,Daifuku,2.7,"Kansas City, KS",Unknown,Not Remote
22, Missouri,Kansas City,11,Facilities Manager,Maintenance Director,OPCO Skilled Management,,"Kansas City, MO",Unknown,Not Remote
23, Missouri,Kansas City,11,Facilities Manager,District Manager,Valet Living,3.1,"Kansas City, KS",Unknown,Not Remote
24, Missouri,Kansas City,11,Facilities Manager,MRO Inventory Administrator/Maintenance Planner,Martinrea International Inc.,3.4,"Riverside, MO",Unknown,Not Remote
25, Missouri,Kansas City,11,Facilities Manager,Maintenance Supervisor- Electrical,Saint-Gobain,3.9,"Kansas City, KS",Unknown,Not Remote
26, Missouri,Kansas City,11,Facilities Manager,Facility Manager,The David J. Joseph Company,2.9,"Kansas City, KS",Unknown,Not Remote
27, Missouri,Kansas City,11,Facilities Manager,Maintenance Supervisor,The Lund Company,2.8,"Kansas City, MO",Unknown,Not Remote
