,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Nebraska,Omaha,11,Facilities Manager,"Manager Real Estate Facilities Operations - Omaha, NE.",Lumen,3.5,"Omaha, NE","From $71,460 a year",Not Remote
1, Nebraska,Omaha,11,Facilities Manager,Facility Manager,DoorDash,3.3,"Omaha, NE",Unknown,Not Remote
2, Nebraska,Omaha,11,Facilities Manager,Assistant Maintenance Supervisor/Maintenance worker,City of Carter Lake,,"Carter Lake, IA",Unknown,Not Remote
3, Nebraska,Omaha,11,Facilities Manager,Facilities Manager,Joslyn Castle,,"Omaha, NE",$16 - $20 an hour,Not Remote
4, Nebraska,Omaha,11,Facilities Manager,Facilities Manager,Godfathers Pizza Inc,,"Omaha, NE",Unknown,Not Remote
5, Nebraska,Omaha,11,Facilities Manager,"Manager Real Estate Facilities Operations - Omaha, NE.",Lumen,3.5,"Omaha, NE","From $71,460 a year",Not Remote
6, Nebraska,Omaha,11,Facilities Manager,Facility Manager,Affordable Family Storage,4.4,"Omaha, NE",$14 - $18 an hour,Not Remote
7, Nebraska,Omaha,11,Facilities Manager,District Manager,Valet Living,3.1,"Omaha, NE",Unknown,Not Remote
8, Nebraska,Omaha,11,Facilities Manager,Assistant Director - Housing Facilities Operations,Omaha Housing Authority,3.4,"Omaha, NE",Unknown,Not Remote
9, Nebraska,Omaha,11,Facilities Manager,File Maintenance Coordinator,Baker's,3.6,"Omaha, NE",Unknown,Not Remote
10, Nebraska,Omaha,11,Facilities Manager,Fleet & Facility Manager,Groundscapes,3.8,"Omaha, NE",Unknown,Not Remote
11, Nebraska,Omaha,11,Facilities Manager,Maintenance Manager,J Skinner Baking Company,3.1,"Omaha, NE",Unknown,Not Remote
12, Nebraska,Omaha,11,Facilities Manager,Director of Engineering,DoubleTree by Hilton Hotel Omaha Downtown,,"Omaha, NE",Unknown,Not Remote
13, Nebraska,Omaha,11,Facilities Manager,Chief Engineer,Fairfield Inn & Suites,3.5,"Omaha, NE",Unknown,Not Remote
14, Nebraska,Omaha,11,Facilities Manager,Facilities & Operations Coordinator,West Central Community Action,,"Council Bluffs, IA",$14 - $21 an hour,Not Remote
15, Nebraska,Omaha,11,Facilities Manager,Assistant Director of Engineering,DoubleTree by Hilton Hotel Omaha Downtown,,"Omaha, NE",Unknown,Not Remote
16, Nebraska,Omaha,11,Facilities Manager,Maintenance Director - AL,Weigand Omega,,"Omaha, NE",Unknown,Not Remote
17, Nebraska,Omaha,11,Facilities Manager,"Maintenance Supervisor - Omaha, NE",The Lund Company,2.8,"Omaha, NE",Unknown,Not Remote
18, Nebraska,Omaha,11,Facilities Manager,Maintenance Supervisor,The Lund Company,2.8,"Omaha, NE",Unknown,Not Remote
19, Nebraska,Omaha,11,Facilities Manager,Maintenance Supervisor,Waste Connections,3.0,"Omaha, NE",Unknown,Not Remote
20, Nebraska,Omaha,11,Facilities Manager,Assistant Maintenance Supervisor,Avantic Residential,2.6,"Omaha, NE",Unknown,Not Remote
21, Nebraska,Omaha,11,Facilities Manager,Maintenance Supervisor,Burlington Capital Properties,3.5,"Omaha, NE",$19 - $22 an hour,Not Remote
22, Nebraska,Omaha,11,Facilities Manager,MAINTENANCE DIRECTOR,Swift Prepared Foods,3.5,"Council Bluffs, IA",Unknown,Not Remote
23, Nebraska,Omaha,11,Facilities Manager,Assistant Maintenance Supervisor/Maintenance worker,City of Carter Lake,,"Carter Lake, IA",Unknown,Not Remote
24, Nebraska,Omaha,11,Facilities Manager,"Maintenance Supervisor - Bellevue, NE",The Lund Company,2.8,"Bellevue, NE",Unknown,Not Remote
25, Nebraska,Omaha,11,Facilities Manager,Maintenance Supervisor,The Lund Company,2.8,"Bellevue, NE",Unknown,Not Remote
26, Nebraska,Omaha,11,Facilities Manager,Maintenance Director - AL,Omega Senior Living,2.6,"Omaha, NE",Unknown,Not Remote
27, Nebraska,Omaha,11,Facilities Manager,Maintenance Supervisor,The Lund Company,2.8,"Omaha, NE",Unknown,Not Remote
28, Nebraska,Omaha,11,Facilities Manager,"Maintenance Supervisor - Council Bluffs, IA",The Lund Company,2.8,"Council Bluffs, IA",Unknown,Not Remote
29, Nebraska,Omaha,11,Facilities Manager,Facility Manager,DoorDash,3.3,"Omaha, NE",Unknown,Not Remote
30, Nebraska,Omaha,11,Facilities Manager,Maintenance Manager,Marsh Creek Concrete Inc,,Nebraska,$19 - $21 an hour,Not Remote
31, Nebraska,Omaha,11,Facilities Manager,Facility Manager,Affordable Family Storage,4.4,"Omaha, NE",$14 - $18 an hour,Not Remote
0, Nebraska,Omaha,21,Counselor,Crisis Counselor (night hours),Boys Town,3.9,"Omaha, NE",Unknown,Not Remote
1, Nebraska,Omaha,21,Counselor,Clinical Manager,HRS Home Health,2.7,"Omaha, NE",Unknown,Not Remote
2, Nebraska,Omaha,21,Counselor,"Therapist or Clinical Social Worker - Sheridan, Buffalo, Newcastle, WY",Northern Wyoming Mental Health Center,,Nebraska,Unknown,Not Remote
3, Nebraska,Omaha,21,Counselor,Early Childhood Behavioral Health Consultant I (part-time),"Center for Holistic Development, Inc.",,"Omaha, NE","$19,000 - $21,000 a year",Not Remote
4, Nebraska,Omaha,21,Counselor,Chemical Use Program Therapist (LIMHP or LMHP),Boys Town,3.9,"Omaha, NE",Unknown,Not Remote
5, Nebraska,Omaha,21,Counselor,Outpatient Therapist (Part-time),"Center for Holistic Development, Inc.",,"Omaha, NE","$20,000 - $25,000 a year",Not Remote
6, Nebraska,Omaha,21,Counselor,PTAC Counselor,University of Nebraska at Omaha,4.0,"Omaha, NE","$50,000 - $60,000 a year",Not Remote
7, Nebraska,Omaha,21,Counselor,Disability Support Services Counselor,Metropolitan Community College,4.4,"Omaha, NE","From $68,325 a year",Not Remote
8, Nebraska,Omaha,21,Counselor,Disability Support Services Counselor,Metropolitan Community College,4.1,"Omaha, NE","$68,325 a year",Not Remote
9, Nebraska,Omaha,21,Counselor,Counselor,Dismas Charities,3.3,"Omaha, NE",Unknown,Not Remote
10, Nebraska,Omaha,21,Counselor,Crisis Counselor (night hours),Boys Town,3.9,"Omaha, NE",Unknown,Not Remote
11, Nebraska,Omaha,21,Counselor,EAP Counselor,Nebraska Methodist Health System,4.0,"Omaha, NE",Unknown,Not Remote
12, Nebraska,Omaha,21,Counselor,Youth Counselor,Rite of Passage Uta Halee Academy,2.8,"Omaha, NE",Unknown,Not Remote
13, Nebraska,Omaha,21,Counselor,Chemical Dependency Counselor - Omaha,State of Nebraska,3.5,"Omaha, NE",$18.32 an hour,Not Remote
14, Nebraska,Omaha,21,Counselor,Mental Health Counselor,Radical Minds Omaha,,"Omaha, NE","$45,000 - $50,000 a year",Not Remote
15, Nebraska,Omaha,21,Counselor,Full Time Substance Abuse Counselor,BAART Programs,3.1,"Omaha, NE",Unknown,Not Remote
16, Nebraska,Omaha,21,Counselor,Creative Arts Therapist (Music),US Department of Veterans Affairs,3.8,"Omaha, NE","$64,861 - $84,324 a year",Not Remote
17, Nebraska,Omaha,21,Counselor,Behavior Technician / Behavior Therapist - Full Time/ Part Time - Omaha,Autism Learning Collaborative,,"Omaha, NE",Unknown,Not Remote
18, Nebraska,Omaha,21,Counselor,"Executive Director, Counseling and Psychological Services",University of Nebraska at Omaha,4.0,"Omaha, NE","$140,000 a year",Not Remote
19, Nebraska,Omaha,21,Counselor,Therapist Counselor,Calmerry,5.0,"Omaha, NE",$40 - $60 an hour,Remote
20, Nebraska,Omaha,21,Counselor,Part-time Therapist,Jewish Federation of Omaha,3.8,"Omaha, NE",Unknown,Temporarily remote
21, Nebraska,Omaha,21,Counselor,Behavioral Health Therapist,"Charles Drew Health Center, Inc.",3.7,"Omaha, NE",Unknown,Not Remote
22, Nebraska,Omaha,21,Counselor,LIMHP - Licensed Independent Mental Health Practitioner,Family Access Center,,"Omaha, NE",Unknown,Not Remote
23, Nebraska,Omaha,21,Counselor,"Therapist-PLMHP, LMHP or LIMHP",Child Saving Institute Inc,3.8,"Omaha, NE",Unknown,Not Remote
24, Nebraska,Omaha,21,Counselor,Internship-Therapist (Iowa Behavioral Health),Heartland Family Service,3.6,"Council Bluffs, IA",Unknown,Not Remote
25, Nebraska,Omaha,21,Counselor,Belvedere Elementary After School Counselor/Facilitator,Ymca of Greater Omaha,4.0,"Omaha, NE",Unknown,Not Remote
26, Nebraska,Omaha,21,Counselor,Chemical Use Program Therapist (LIMHP or LMHP),Boys Town,3.9,"Omaha, NE",Unknown,Not Remote
27, Nebraska,Omaha,21,Counselor,Lead Therapist - Adolescent Services (DCYC),Heartland Family Service,3.6,"Omaha, NE",Unknown,Not Remote
28, Nebraska,Omaha,21,Counselor,Clinical Mental Health Therapist,Horizon Therapy Group,,"Omaha, NE",$42 - $51 an hour,Not Remote
29, Nebraska,Omaha,21,Counselor,Mental Health Practitioner - Omaha,State of Nebraska,3.5,"Omaha, NE",$22.02 an hour,Not Remote
30, Nebraska,Omaha,21,Counselor,Substance Use Disorder/Addictions Counselor,Family Access Center,,"Council Bluffs, IA",Unknown,Not Remote
31, Nebraska,Omaha,21,Counselor,Therapist (LMHP/LIMHP),"Behaven Kids, LLC",,"Omaha, NE","$37,000 - $45,000 a year",Temporarily remote
32, Nebraska,Omaha,21,Counselor,Night Coach Counselor,Rite of Passage-Uta Halee Academy,2.8,"Omaha, NE",Unknown,Not Remote
33, Nebraska,Omaha,21,Counselor,Clinical Manager,HRS Home Health,2.7,"Omaha, NE",Unknown,Not Remote
34, Nebraska,Omaha,21,Counselor,Program Therapist,Lasting Hope Recovery Center,3.5,"Omaha, NE",Unknown,Not Remote
35, Nebraska,Omaha,21,Counselor,Outpatient Therapist (Part-time),"Center for Holistic Development, Inc.",,"Omaha, NE","$20,000 - $25,000 a year",Not Remote
36, Nebraska,Omaha,21,Counselor,Mental Health Therapist - Fremont NE,Capstone Behavioral Health,3.2,"Omaha, NE",Unknown,Not Remote
37, Nebraska,Omaha,21,Counselor,PRTF Therapist,Boys Town National Research Hospital,3.5,"Omaha, NE",Unknown,Not Remote
38, Nebraska,Omaha,21,Counselor,HERO Therapist,Stephen Center Inc,,"Omaha, NE","$35,568 - $38,000 a year",Not Remote
39, Nebraska,Omaha,21,Counselor,Early Childhood Behavioral Health Consultant I (part-time),"Center for Holistic Development, Inc.",,"Omaha, NE","$19,000 - $21,000 a year",Not Remote
40, Nebraska,Omaha,21,Counselor,Clinical Manager,"AccentCare, Inc.®",3.3,"Omaha, NE",Unknown,Not Remote
41, Nebraska,Omaha,21,Counselor,Hospice Bereavement Coordinator,Amedisys,3.1,"Council Bluffs, IA",Unknown,Not Remote
42, Nebraska,Omaha,21,Counselor,Lead Support Specialist - Certified Community Behavioral Health Clinic,Heartland Family Service,3.6,"Council Bluffs, IA",Unknown,Not Remote
43, Nebraska,Omaha,21,Counselor,Mental Health Therapist,Family Access Center,,"Council Bluffs, IA",Unknown,Not Remote
44, Nebraska,Omaha,21,Counselor,Mental Health Therapist,All Care Health Center,3.2,"Council Bluffs, IA",Unknown,Not Remote
45, Nebraska,Omaha,21,Counselor,Chemical Dependency Counselor - Omaha,Nebraska State Government,3.5,"Omaha, NE",$18.32 an hour,Not Remote
46, Nebraska,Omaha,21,Counselor,Mental Health Practitioner - Omaha,Nebraska State Government,3.5,"Omaha, NE",$22.02 an hour,Not Remote
47, Nebraska,Omaha,21,Counselor,PRTF Therapist,Boys Town National Research Hospital,3.5,"Omaha, NE",Unknown,Not Remote
48, Nebraska,Omaha,21,Counselor,Therapist (LMHP/LIMHP),"Behaven Kids, LLC",,"Omaha, NE","$37,000 - $45,000 a year",Temporarily remote
0, Nebraska,Omaha,21,Probation Officers ,Specialized Probation Officer - Juvenile,State of Nebraska,3.5,"Omaha, NE","$4,427 a month",Not Remote
1, Nebraska,Omaha,21,Probation Officers ,Assistant Parole Officer - Male Only,State of Nebraska,3.5,"Omaha, NE",$14.90 an hour,Not Remote
