,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Nebraska,Lincoln,11,Facilities Manager,Maintenance Manager,Marsh Creek Concrete Inc,,Nebraska,$19 - $21 an hour,Not Remote
1, Nebraska,Lincoln,11,Facilities Manager,Director of Facilities,Confidential,,Nebraska,"$50,000 - $80,000 a year",Not Remote
2, Nebraska,Lincoln,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
3, Nebraska,Lincoln,11,Facilities Manager,Facility Maintenance Manager II,State of Nebraska,3.5,"Lincoln, NE",$24.84 an hour,Not Remote
4, Nebraska,Lincoln,11,Facilities Manager,Technical Facility Manager,Round1,2.9,"Lincoln, NE",$18 - $24 an hour,Not Remote
5, Nebraska,Lincoln,11,Facilities Manager,Maintenance Supervisor - Second Shift,Schneider Electric,3.9,"Lincoln, NE",Unknown,Not Remote
6, Nebraska,Lincoln,11,Facilities Manager,Facility Maintenance Manager I - Lincoln Correctional Center,State of Nebraska,3.5,"Lincoln, NE",$22.57 an hour,Not Remote
7, Nebraska,Lincoln,11,Facilities Manager,Facility Maintenance Manager II,Nebraska State Government,3.5,"Lincoln, NE",Unknown,Not Remote
0, Nebraska,Lincoln,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
1, Nebraska,Lincoln,11,Funeral Home Managers,Hospice RN Case Manager,"AseraCare Hospice, an Amedisys company",,"Lincoln, NE",Unknown,Not Remote
0, Nebraska,Lincoln,11,Manager,Restaurant Manager,Valentino's,3.8,"Lincoln, NE","$32,759 - $43,000 a year",Not Remote
1, Nebraska,Lincoln,11,Manager,Title Production Operations Manager,HomeServices of Nebraska/HomeServices Title,,"Lincoln, NE",Unknown,Not Remote
2, Nebraska,Lincoln,11,Manager,Food Service Leader,Casey's General Stores,3.4,"Lincoln, NE",Unknown,Not Remote
3, Nebraska,Lincoln,11,Manager,Software Project Manager,"Nanonation, Inc.",,"Lincoln, NE",Unknown,Not Remote
4, Nebraska,Lincoln,11,Manager,Practice Manager,"Pediatrics, P.C.",,"Lincoln, NE",Unknown,Not Remote
5, Nebraska,Lincoln,11,Manager,Bilingual Assistant Manager and CSRs,AAA Ultimate Pawn,2.8,"Lincoln, NE",Unknown,Not Remote
6, Nebraska,Lincoln,11,Manager,COMMERCIAL DRYWALL PROJECT MANAGER,Dallman Drywall,,"Lincoln, NE","$61,000 - $76,000 a year",Not Remote
7, Nebraska,Lincoln,11,Manager,General Manager,Company Confidential,,"Lincoln, NE","$55,000 - $65,000 a year",Not Remote
8, Nebraska,Lincoln,11,Manager,Business Manager (Administrative Aide),City of Lincoln & Lancaster County,,"Lincoln, NE",$22.35 - $28.63 an hour,Not Remote
9, Nebraska,Lincoln,11,Manager,Office Manager,Resort Lifestyle Communities,2.7,"Lincoln, NE",Unknown,Not Remote
10, Nebraska,Lincoln,11,Manager,RN Case Manager-Work from Home,Sync Virtual Health,,"Lincoln, NE","$60,000 - $85,000 a year",Remote
11, Nebraska,Lincoln,11,Manager,General Manager,WoodSpring Suites Lincoln,,"Lincoln, NE","$45,000 - $55,000 a year",Not Remote
12, Nebraska,Lincoln,11,Manager,Unassigned Store Manager,Tractor Supply Company,3.5,"Lincoln, NE",Unknown,Not Remote
13, Nebraska,Lincoln,11,Manager,Office Manager,Resort Lifestyle Communities,2.7,"Lincoln, NE",Unknown,Remote
