,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Nebraska,Omaha,11,Facilities Manager,Facilities Coordinator,CBRE,3.7,"Omaha, NE",Unknown,Not Remote
1, Nebraska,Omaha,11,Facilities Manager,Maintenance Supervisor,OPG,,"Omaha, NE",$20 - $30 an hour,Not Remote
2, Nebraska,Omaha,11,Facilities Manager,"Manager Real Estate Facilities Operations - Omaha, NE.",Lumen,3.5,"Omaha, NE","From $71,460 a year",Not Remote
3, Nebraska,Omaha,11,Facilities Manager,Facilities Coordinator,CBRE,3.7,"Omaha, NE",Unknown,Not Remote
4, Nebraska,Omaha,11,Facilities Manager,Facilities Coordinator,Great Western Bank,3.4,"Omaha, NE",Unknown,Not Remote
5, Nebraska,Omaha,11,Facilities Manager,Plant Maintenance Manager,"Greater Omaha Packing Company, Inc.",3.3,"Omaha, NE",Unknown,Not Remote
6, Nebraska,Omaha,11,Facilities Manager,Facilities and EVS Manager,Prairie Flower Casino,2.8,"Carter Lake, IA",Unknown,Not Remote
7, Nebraska,Omaha,11,Facilities Manager,Chief Engineer,Hotel Indigo Omaha Downtown,,"Omaha, NE","$35,600 - $40,000 a year",Not Remote
8, Nebraska,Omaha,11,Facilities Manager,Maintenance Supervisor,Waste Connections,3.0,"Omaha, NE",Unknown,Not Remote
9, Nebraska,Omaha,11,Facilities Manager,Maintenance Supervisor,OPG,,"Omaha, NE",$20 - $30 an hour,Not Remote
10, Nebraska,Omaha,11,Facilities Manager,MAINTENANCE DIRECTOR,Swift Prepared Foods,3.5,"Council Bluffs, IA",Unknown,Not Remote
11, Nebraska,Omaha,11,Facilities Manager,Plant Maintenance Supervisor,"Progressive Protein, LLC.",,"Omaha, NE","$60,000 - $65,000 a year",Not Remote
12, Nebraska,Omaha,11,Facilities Manager,Maintenance Supervisor,The Lund Company,2.8,"Omaha, NE",Unknown,Not Remote
13, Nebraska,Omaha,11,Facilities Manager,"Maintenance Supervisor - Omaha, NE",The Lund Company,2.8,"Omaha, NE",Unknown,Not Remote
14, Nebraska,Omaha,11,Facilities Manager,Maintenance Supervisor,The Lund Company,2.8,"Council Bluffs, IA",Unknown,Not Remote
15, Nebraska,Omaha,11,Facilities Manager,Maintenance Supervisor,The Lund Company,2.8,"Council Bluffs, IA",Unknown,Not Remote
16, Nebraska,Omaha,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
0, Nebraska,Omaha,11,Manager,Procurement Manager,Wald Family Foods,,"Omaha, NE","$42,185 - $71,050 a year",Not Remote
1, Nebraska,Omaha,11,Manager,Operations/Logistics Manager,TopHAT Logistical Solutions,3.4,"Omaha, NE","$45,000 - $65,000 a year",Not Remote
2, Nebraska,Omaha,11,Manager,Bar Manager/Bartender,Pageturners Lounge,,"Omaha, NE","$30,000 - $40,000 a year",Not Remote
3, Nebraska,Omaha,11,Manager,Event Manager,Omaha Performing Arts,3.9,"Omaha, NE",Unknown,Not Remote
4, Nebraska,Omaha,11,Manager,Regional Manager,Scooter's Coffee,3.3,"Omaha, NE","From $50,000 a year",Not Remote
5, Nebraska,Omaha,11,Manager,Receiving Manager,Mission Foods,3.4,"Omaha, NE","$63,700 - $82,700 a year",Not Remote
6, Nebraska,Omaha,11,Manager,Territory Manager - Region 57-2,J2 Medical Supply,,"Omaha, NE","$10,000 a month",Remote
7, Nebraska,Omaha,11,Manager,Human Resources Manager 2,Sodexo,3.7,"Omaha, NE",Unknown,Not Remote
8, Nebraska,Omaha,11,Manager,Concierge Manager,"Counterparts, LLC",,"Omaha, NE","From $35,000 a year",Not Remote
9, Nebraska,Omaha,11,Manager,Patron Services Team Lead,Omaha Performing Arts,3.9,"Omaha, NE","$38,000 a year",Not Remote
10, Nebraska,Omaha,11,Manager,"Branch Manager Trainee (Market Expansion) - 132nd and Center - Omaha, NE","JPMorgan Chase Bank, N.A.",3.9,"Omaha, NE",Unknown,Not Remote
11, Nebraska,Omaha,11,Manager,Procurement Manager,Wald Family Foods,,"Omaha, NE","$42,185 - $71,050 a year",Not Remote
12, Nebraska,Omaha,11,Manager,INFORMATION TECHNOLOGY PROJECT MANAGER,US Department of Defense,4.2,"Offutt AFB, NE","$64,861 - $101,069 a year",Not Remote
13, Nebraska,Omaha,11,Manager,Care Manager Home Care,CARING FOR PEOPLE SERVICES,2.9,"Omaha, NE",$16 - $18 an hour,Not Remote
14, Nebraska,Omaha,11,Manager,Human Resources Manager,Powder River Industries (PRI),3.0,"Omaha, NE","$98,563 - $118,750 a year",Not Remote
15, Nebraska,Omaha,11,Manager,Nonferrous Manager,"Scrap Central, Inc.",,"Omaha, NE","From $69,000 a year",Not Remote
16, Nebraska,Omaha,11,Manager,Senior Manager - CEC Communications (This role is eligible to sit remote),"Marriott International, Inc",4.1,"Omaha, NE",Unknown,Remote
17, Nebraska,Omaha,11,Manager,Senior Manager Logistics,Airlite Plastics Co.,,"Omaha, NE",Unknown,Not Remote
18, Nebraska,Omaha,11,Manager,Operations/Logistics Manager,TopHAT Logistical Solutions,3.4,"Omaha, NE","$45,000 - $65,000 a year",Not Remote
19, Nebraska,Omaha,11,Manager,Team Manager,Alorica,3.0,"Omaha, NE",Unknown,Remote
20, Nebraska,Omaha,11,Manager,Catering Sales and Event Manager,Omaha Marriott CapitolDistrict,3.5,"Omaha, NE",Unknown,Not Remote
21, Nebraska,Omaha,11,Manager,Customer Service Manager,"Window Wares, Inc.",,"Omaha, NE",$16 - $18 an hour,Not Remote
22, Nebraska,Omaha,11,Manager,RETAIL DISTRICT MANAGER,Dollar General,3.1,"Omaha, NE",Unknown,Not Remote
23, Nebraska,Omaha,11,Manager,Case Manager,Saint Francis Ministries,2.9,"Omaha, NE",$19.23 - $26.01 an hour,Temporarily remote
24, Nebraska,Omaha,11,Manager,Assistant General Manager,Sonesta,3.9,"Omaha, NE",Unknown,Not Remote
25, Nebraska,Omaha,11,Manager,Veterinary Practice Manager,Prairie Lane Veterinary Hospital,,"Omaha, NE",Unknown,Not Remote
26, Nebraska,Omaha,11,Manager,Distribution Manager,Helget Gas Products,2.7,"Omaha, NE",Unknown,Not Remote
27, Nebraska,Omaha,11,Manager,"Manager, Testing",Physicians Mutual,3.5,"Omaha, NE","$100,000 - $110,000 a year",Not Remote
28, Nebraska,Omaha,11,Manager,Research Manager,Numerator,3.6,"Omaha, NE",Unknown,Not Remote
29, Nebraska,Omaha,11,Manager,Retail Co-Manager,Hobby Lobby,3.7,"Papillion, NE",Unknown,Not Remote
30, Nebraska,Omaha,11,Manager,Office Manager,Becker Trenching & Water Inc.,,"Omaha, NE",$17 - $19 an hour,Not Remote
31, Nebraska,Omaha,11,Manager,"Manager Real Estate Facilities Operations - Omaha, NE.",Lumen,3.5,"Omaha, NE","From $71,460 a year",Not Remote
32, Nebraska,Omaha,11,Manager,Bar Manager/Bartender,Pageturners Lounge,,"Omaha, NE","$30,000 - $40,000 a year",Not Remote
33, Nebraska,Omaha,11,Manager,Recruitment and Training Manager,College Possible Leadership Team,,"Omaha, NE",Unknown,Temporarily remote
34, Nebraska,Omaha,11,Manager,Production Manager,American Laboratories,2.9,"Omaha, NE","$70,000 - $90,000 a year",Not Remote
35, Nebraska,Omaha,11,Manager,Product Manager II,Lozier,3.2,"Omaha, NE",Unknown,Not Remote
36, Nebraska,Omaha,11,Manager,Office Manager (part-time),eX² Technology,,"Omaha, NE",$20 - $25 an hour,Not Remote
37, Nebraska,Omaha,11,Manager,District Manager,Mobilelink,2.2,"Omaha, NE","From $55,000 a year",Not Remote
38, Nebraska,Omaha,11,Manager,Project Manager,"Applied Underwriters, Inc.",3.2,"Omaha, NE",Unknown,Not Remote
39, Nebraska,Omaha,11,Manager,Case Manager,International Council for Refugees and Immigrants,,"Omaha, NE",$15.50 - $16.50 an hour,Not Remote
40, Nebraska,Omaha,11,Manager,Theatre Operations Manager,Marcus Theatres Corporation - Twin Creek Cinema,,"Bellevue, NE",Unknown,Not Remote
41, Nebraska,Omaha,11,Manager,Relationship Manager,"Thrasher, Inc.",3.8,"Omaha, NE",Unknown,Not Remote
42, Nebraska,Omaha,11,Manager,District Manager,"Dhanani Group, Inc.",,"Omaha, NE",Unknown,Not Remote
43, Nebraska,Omaha,11,Manager,District Manager,Bling Inc.,,"Omaha, NE","$40,000 - $55,000 a year",Not Remote
44, Nebraska,Omaha,11,Manager,Payroll Manager,Spreetail,2.5,"Omaha, NE",Unknown,Not Remote
45, Nebraska,Omaha,11,Manager,District Manager,"Dhanani Group, Inc.",,"Omaha, NE",Unknown,Not Remote
46, Nebraska,Omaha,11,Manager,Operation Manager Non Medical Homecare Services,CARING FOR PEOPLE SERVICES,2.9,"Omaha, NE","$55,000 - $60,000 a year",Not Remote
47, Nebraska,Omaha,11,Manager,Service Manager,Assa Abloy,3.5,"La Vista, NE","Up to $50,500 a year",Not Remote
48, Nebraska,Omaha,11,Manager,Provider Network Manager Sr,Anthem,3.7,"Omaha, NE",Unknown,Not Remote
49, Nebraska,Omaha,11,Manager,Mgr Patient Transport,Nebraska Methodist Health System,4.0,"Omaha, NE",Unknown,Not Remote
50, Nebraska,Omaha,11,Manager,District Manager,"Dhanani Group, Inc.",,"Bellevue, NE",Unknown,Not Remote
51, Nebraska,Omaha,11,Manager,Manager Specialty Clinics - Ophthalmology / Dermatology,Children's Hospital & Medical Center,3.6,"Omaha, NE",Unknown,Not Remote
52, Nebraska,Omaha,11,Manager,Floral Shop Assistant General Manager,Piccolo's Florist,,"Omaha, NE","Up to $45,000 a year",Not Remote
53, Nebraska,Omaha,11,Manager,Project Manager,"Applied Underwriters, Inc.",3.2,"Omaha, NE",Unknown,Not Remote
54, Nebraska,Omaha,11,Manager,Territory Manager - Region 57-2,J2 Medical Supply,,"Omaha, NE","$10,000 a month",Remote
55, Nebraska,Omaha,11,Manager,Concierge Manager,"Counterparts, LLC",,"Omaha, NE","From $35,000 a year",Not Remote
0, Nebraska,Omaha,11,Personal Service Managers,CSR - Customer Service Representative,"Allied Oil & Supply, Inc",3.2,"Omaha, NE",$14 - $16 an hour,Temporarily remote
1, Nebraska,Omaha,11,Personal Service Managers,Online Personal Shopper,Hy-Vee,3.7,"Omaha, NE",Unknown,Not Remote
2, Nebraska,Omaha,11,Personal Service Managers,High Volume Recruiter (Omaha),I2C Inc,,"Omaha, NE","$60,000 - $85,000 a year",Not Remote
3, Nebraska,Omaha,11,Personal Service Managers,Product Support Technician,Munters Corporation,3.1,"Omaha, NE","$47,000 - $52,137 a year",Not Remote
4, Nebraska,Omaha,11,Personal Service Managers,$15.10 PER HOUR SALES ASSOCIATE-FULL TIME-PART TIME POSITION,Mega Saver,3.6,"Omaha, NE",From $15.10 an hour,Not Remote
5, Nebraska,Omaha,11,Personal Service Managers,COCOMANL - Compliance Analyst,Signature Performance,3.2,"Omaha, NE",Unknown,Not Remote
6, Nebraska,Omaha,11,Personal Service Managers,Customer Service/Sales Representative,Pioneer Critical Power,3.3,"Omaha, NE","$50,000 - $60,000 a year",Remote
7, Nebraska,Omaha,11,Personal Service Managers,Bar Manager/Bartender,Pageturners Lounge,,"Omaha, NE","$30,000 - $40,000 a year",Not Remote
8, Nebraska,Omaha,11,Personal Service Managers,Customer Service Associate,WALGREENS,3.6,"Omaha, NE",Unknown,Not Remote
9, Nebraska,Omaha,11,Personal Service Managers,$15.10 PER HOUR SALES ASSOCIATE-FULL TIME-PART TIME POSITION,Mega Saver,3.6,"Omaha, NE",From $15.10 an hour,Not Remote
10, Nebraska,Omaha,11,Personal Service Managers,Online Personal Shopper,Hy-Vee,3.7,"Omaha, NE",Unknown,Not Remote
11, Nebraska,Omaha,11,Personal Service Managers,"Claims, Customer Service",Lincoln Financial,3.7,"Omaha, NE",Unknown,Not Remote
12, Nebraska,Omaha,11,Personal Service Managers,Customer Service Associate,WALGREENS,3.6,"Omaha, NE",Unknown,Not Remote
13, Nebraska,Omaha,11,Personal Service Managers,CITY CARRIER ASSISTANT,United States Postal Service,3.4,"Omaha, NE",$17.29 an hour,Not Remote
14, Nebraska,Omaha,11,Personal Service Managers,Merchandiser (Full-time/Days),PepsiCo,3.8,"Omaha, NE",$17 an hour,Not Remote
15, Nebraska,Omaha,11,Personal Service Managers,ASSISTANT RURAL CARRIER (ARC),United States Postal Service,3.4,"Omaha, NE",$19.06 an hour,Not Remote
16, Nebraska,Omaha,11,Personal Service Managers,CSR - Customer Service Representative,"Allied Oil & Supply, Inc",3.2,"Omaha, NE",$14 - $16 an hour,Temporarily remote
17, Nebraska,Omaha,11,Personal Service Managers,Mgr Patient Transport,Nebraska Methodist Health System,4.0,"Omaha, NE",Unknown,Not Remote
18, Nebraska,Omaha,11,Personal Service Managers,CERTIFIED PERSONAL COACH - Omaha,GOLFTEC,3.7,"Omaha, NE","$45,000 - $60,000 a year",Not Remote
19, Nebraska,Omaha,11,Personal Service Managers,Business Performance Coach,Home Instead Senior Care,3.6,"Omaha, NE",Unknown,Not Remote
20, Nebraska,Omaha,11,Personal Service Managers,Customer Service Manager,"Window Wares, Inc.",,"Omaha, NE",$16 - $18 an hour,Not Remote
21, Nebraska,Omaha,11,Personal Service Managers,Customer Service/Sales Representative,Pioneer Critical Power,3.3,"Omaha, NE","$50,000 - $60,000 a year",Remote
22, Nebraska,Omaha,11,Personal Service Managers,Underwriting Summer Internship (June 2021),Lincoln Financial,3.7,"Omaha, NE",Unknown,Not Remote
23, Nebraska,Omaha,11,Personal Service Managers,"Business Development Specialist – AGV, Special Projects",Enova Group,,"Omaha, NE",Unknown,Not Remote
