,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Nevada,Las Vegas,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
1, Nevada,Las Vegas,11,Funeral Home Managers,Outside Sales Representative,Bunkers Eden Vale Memorial Park,,"Las Vegas, NV","$15,000 - $40,000 a year",Not Remote
0, Nevada,Las Vegas,11,Manager,Laboratory Manager,Geotechnical & Environmental Services,,"Las Vegas, NV","Up to $80,000 a year",Not Remote
1, Nevada,Las Vegas,11,Manager,RN Case Manager,American Hospice Provider Corporation,,"Las Vegas, NV","$48,000 - $78,000 a year",Not Remote
2, Nevada,Las Vegas,11,Manager,General Manager Warehouse Operations,Warehouse Las Vegas,2.0,"Las Vegas, NV","$74,000 - $94,000 a year",Not Remote
3, Nevada,Las Vegas,11,Manager,Hospice RN Case Manager,Carepro Home Healthcare & Hospice,,"Las Vegas, NV","$75,000 - $80,000 a year",Not Remote
4, Nevada,Las Vegas,11,Manager,Dental Office Manager in Training,Absolute Dental,3.4,"Las Vegas, NV","$53,000 - $65,000 a year",Not Remote
5, Nevada,Las Vegas,11,Manager,Office Manager,Absolute Dental,3.4,"Las Vegas, NV","$53,000 - $65,000 a year",Not Remote
6, Nevada,Las Vegas,11,Manager,Visual Merchandising Manager,Marshall Retail Group/InMotion,2.8,"Las Vegas, NV","$60,000 - $70,000 a year",Not Remote
7, Nevada,Las Vegas,11,Manager,Office Manager,Absolute Dental,3.4,"Las Vegas, NV","$53,000 - $65,000 a year",Not Remote
8, Nevada,Las Vegas,11,Manager,General Manager Warehouse Operations,Warehouse Las Vegas,2.0,"Las Vegas, NV","$74,000 - $94,000 a year",Not Remote
9, Nevada,Las Vegas,11,Manager,General Manager,Artisan Hotel,3.3,"Las Vegas, NV","$65,000 - $85,000 a year",Not Remote
10, Nevada,Las Vegas,11,Manager,General Manager,Artisan Hotel,3.3,"Las Vegas, NV","$65,000 - $80,000 a year",Not Remote
11, Nevada,Las Vegas,11,Manager,Retail District Manager,Marshall Retail Group/InMotion,2.8,"Las Vegas, NV",Unknown,Not Remote
12, Nevada,Las Vegas,11,Manager,McDonalds Crew & Manager & Maintenance,WBF Management,,"Las Vegas, NV",Up to $14.50 an hour,Not Remote
13, Nevada,Las Vegas,11,Manager,Dental Office Manager in Training,Absolute Dental,3.4,"Las Vegas, NV","$53,000 - $65,000 a year",Not Remote
14, Nevada,Las Vegas,11,Manager,DISTRICT MANAGER,Family Dollar,3.2,"Las Vegas, NV",Unknown,Not Remote
15, Nevada,Las Vegas,11,Manager,Multi-Location Manager,Fruits & Roots Organic Juice Bar + Wellness Kitche...,,"Las Vegas, NV","$50,000 - $65,000 a year",Not Remote
16, Nevada,Las Vegas,11,Manager,Beverage Assistant Manager,Station Casinos,3.5,"Las Vegas, NV",Unknown,Not Remote
17, Nevada,Las Vegas,11,Manager,Visual Merchandising Manager,Marshall Retail Group/InMotion,2.8,"Las Vegas, NV","$60,000 - $70,000 a year",Not Remote
18, Nevada,Las Vegas,11,Manager,Municipal Court Criminal Division Manager,City of Las Vegas,4.1,"City of Las Vegas, NV","$84,578 - $135,325 a year",Not Remote
19, Nevada,Las Vegas,11,Manager,Benefits Manager,MGM Resorts International,3.9,"Las Vegas, NV",Unknown,Not Remote
