,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, Nevada,Las Vegas,11,Facilities Manager,Facilities Manager,Capability Health and Human Services,,"Las Vegas, NV",Unknown,Not Remote
1, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor/Manager,Signature Management,3.3,"Las Vegas, NV","$39,000 - $41,000 a year",Not Remote
2, Nevada,Las Vegas,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
3, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor,RK Properties,3.2,"Las Vegas, NV",$17 - $23 an hour,Not Remote
4, Nevada,Las Vegas,11,Facilities Manager,Facilities Manager,Madame Tussauds Las Vegas,3.5,"Las Vegas, NV","$55,000 - $60,000 a year",Not Remote
5, Nevada,Las Vegas,11,Facilities Manager,Facilities Manager,SEA LIFE Deutschland GmbH,3.9,"Las Vegas, NV","$55,000 - $60,000 a year",Not Remote
6, Nevada,Las Vegas,11,Facilities Manager,Facilities Manager - call center,CBRE,3.7,"Las Vegas, NV",Unknown,Not Remote
7, Nevada,Las Vegas,11,Facilities Manager,Facilities Manager,Capability Health and Human Services,,"Las Vegas, NV",Unknown,Not Remote
8, Nevada,Las Vegas,11,Facilities Manager,Director of Facilities,Downtown Grand Las Vegas,2.0,"Las Vegas, NV",Unknown,Not Remote
9, Nevada,Las Vegas,11,Facilities Manager,Internal Maintenance Manager,Station Casinos,3.5,"Las Vegas, NV",Unknown,Not Remote
10, Nevada,Las Vegas,11,Facilities Manager,Director of Facility Operations,ASM Global,3.6,"Las Vegas, NV",Unknown,Not Remote
11, Nevada,Las Vegas,11,Facilities Manager,Maintenance Manager,Tahiti Village,3.5,"Las Vegas, NV",Unknown,Not Remote
12, Nevada,Las Vegas,11,Facilities Manager,CHIEF ENGINEER,"Plaza Hotel & Casino, LLC",,"Las Vegas, NV",Unknown,Not Remote
13, Nevada,Las Vegas,11,Facilities Manager,Call Center Maintenance Coordinator,"AWG, Inc.",2.5,"Las Vegas, NV",$15.25 an hour,Not Remote
14, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor,"The TJX Companies, Inc.",3.7,"North Las Vegas, NV",Unknown,Not Remote
15, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor,Michael Foods,3.3,"North Las Vegas, NV",Unknown,Not Remote
16, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor,Pinnacle Property Management Services,2.7,"Las Vegas, NV",Unknown,Not Remote
17, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor,PepsiCo,3.8,"Las Vegas, NV",Unknown,Not Remote
18, Nevada,Las Vegas,11,Facilities Manager,Activations Maintenance Supervisor,"AREA15 Las Vegas, LLC.",,"Las Vegas, NV",Unknown,Not Remote
19, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor,Picerne,3.3,"Las Vegas, NV",Unknown,Not Remote
20, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor,Priderock Capital Management LLC,,"Henderson, NV",Unknown,Not Remote
21, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor,RK Properties,3.2,"Las Vegas, NV",$17 - $23 an hour,Not Remote
22, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor II (RSL),"Mission Support and Test Services, LLC",3.0,"Las Vegas, NV",Unknown,Not Remote
23, Nevada,Las Vegas,11,Facilities Manager,"Executive Director, Software Engineering, Identity",MGM Resorts International,3.9,"Las Vegas, NV",Unknown,Not Remote
24, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor - Vegas,SAN DIEGO SUNRISE,,"Las Vegas, NV",$22 - $24 an hour,Not Remote
25, Nevada,Las Vegas,11,Facilities Manager,Assistant Maintenance Supervisor - Avery Villas,ConAm Management Corporation,3.3,"Las Vegas, NV",Unknown,Not Remote
26, Nevada,Las Vegas,11,Facilities Manager,Maintenance Coordinator,"AWG, Inc.",2.5,"Las Vegas, NV",$15.25 an hour,Not Remote
27, Nevada,Las Vegas,11,Facilities Manager,Maintenance Supervisor - Certified HVAC - Vegas Region,Sunrise Management,3.7,"Las Vegas, NV",$22 - $24 an hour,Not Remote
