,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, New Hampshire,Manchester,11,Facilities Manager,Maintenance Planner,Weston Foods,3.3,"Manchester, NH",Unknown,Not Remote
1, New Hampshire,Manchester,11,Facilities Manager,Director of Maintenance,The Courville at Manchester,3.4,"Manchester, NH",Unknown,Not Remote
2, New Hampshire,Manchester,11,Facilities Manager,Maintenance Planner,Weston Foods,3.3,"Manchester, NH",Unknown,Not Remote
0, New Hampshire,Manchester,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
0, New Hampshire,Manchester,11,Manager,Assistant Manager,Domino's,3.6,"Manchester, NH","$40,040 - $100,000 a year",Not Remote
1, New Hampshire,Manchester,11,Manager,Property Manager,Briarcliff Management,,"Manchester, NH","$40,000 - $50,000 a year",Not Remote
2, New Hampshire,Manchester,11,Manager,Demolition Estimator/Project Manager,New Hampshire Demolition,,"Auburn, NH","$75,000 - $90,000 a year",Not Remote
3, New Hampshire,Manchester,11,Manager,Project Manager,Universal Windows Direct of Manchester,2.9,"Manchester, NH","$54,000 - $74,000 a year",Not Remote
4, New Hampshire,Manchester,11,Manager,Kitchen Manager,The Fleury Group LLC,,"Manchester, NH","From $45,000 a year",Not Remote
5, New Hampshire,Manchester,11,Manager,Business Improvement Manager,CCA Global Partners,4.2,"Manchester, NH",Unknown,Not Remote
6, New Hampshire,Manchester,11,Manager,CRE Brokerage Manager,Confidential - Real Estate,,"Manchester, NH","$50,000 - $75,000 a year",Not Remote
7, New Hampshire,Manchester,11,Manager,F&I Manager/Sales Manager,Team Nissan,3.5,"Manchester, NH","$75,129 - $148,615 a year",Not Remote
8, New Hampshire,Manchester,11,Manager,Human Resources Manager,NH NeuroSpine Institute,,"Bedford, NH",Unknown,Not Remote
9, New Hampshire,Manchester,11,Manager,Office Manager,"Sweeney Financial Management (SFM, LLC)",,"Manchester, NH",$18 - $25 an hour,Not Remote
10, New Hampshire,Manchester,11,Manager,Administrative Services Manager - City Clerk,"City of Manchester, NH",,"Manchester, NH",From $20.17 an hour,Not Remote
11, New Hampshire,Manchester,11,Manager,Office Manager - New Hampshire,"Groups Recover Together, Inc.",,"Manchester, NH",Unknown,Not Remote
12, New Hampshire,Manchester,11,Manager,Property Manager,Briarcliff Management,,"Manchester, NH","$40,000 - $50,000 a year",Not Remote
13, New Hampshire,Manchester,11,Manager,Branch Manager,Fox Pest Control,4.0,"Manchester, NH","$75,000 - $100,000 a year",Not Remote
14, New Hampshire,Manchester,11,Manager,"Collections and Recovery: Regional Portfolio Manager (Remote: MA,VT, CT, ME, RI)",DLL Group,4.2,"Manchester, NH",Unknown,Remote
15, New Hampshire,Manchester,11,Manager,Portfolio Manager,North Point Property Management LLC,2.4,"Manchester, NH","$45,000 - $55,000 a year",Not Remote
16, New Hampshire,Manchester,11,Manager,Human Resources Manager,NH NeuroSpine Institute,,"Bedford, NH",Unknown,Not Remote
17, New Hampshire,Manchester,11,Manager,Assistant Manager of Customer Service,Hannaford,3.7,"Manchester, NH",Unknown,Not Remote
18, New Hampshire,Manchester,11,Manager,GP Manager,PepsiCo,3.8,"Manchester, NH",Unknown,Not Remote
19, New Hampshire,Manchester,11,Manager,Business Process Manager,Southern New Hampshire University,4.0,"Manchester, NH",Unknown,Not Remote
20, New Hampshire,Manchester,11,Manager,Front Desk Manager,Comfort Inn,3.5,"Manchester, NH",Unknown,Not Remote
21, New Hampshire,Manchester,11,Manager,District Manager,WIS International,2.9,"Manchester, NH",Unknown,Not Remote
22, New Hampshire,Manchester,11,Manager,Shipping Manager,Harvey Industries LLC,3.0,"Londonderry, NH",Unknown,Not Remote
23, New Hampshire,Manchester,11,Manager,General Sales Manager,Team Nissan,3.5,"Manchester, NH","$75,129 - $148,615 a year",Not Remote
24, New Hampshire,Manchester,11,Manager,CRE Brokerage Manager,Confidential - Real Estate,,"Manchester, NH","$50,000 - $75,000 a year",Not Remote
25, New Hampshire,Manchester,11,Manager,Assistant Property Manager,Devonshire Village Apartments,,"Manchester, NH",$18 - $20 an hour,Not Remote
26, New Hampshire,Manchester,11,Manager,MANUFACTURING SUPERVISOR,Tecomet,2.6,"Manchester, NH",Unknown,Not Remote
27, New Hampshire,Manchester,11,Manager,Foundry Supervisor,Uni-Cast,,"Londonderry, NH","$80,000 - $100,000 a year",Not Remote
28, New Hampshire,Manchester,11,Manager,"Manager - Engineering, Textiles",Velcro USA Inc.,3.4,"Manchester, NH",Unknown,Not Remote
29, New Hampshire,Manchester,11,Manager,Academic Program Manager,Southern New Hampshire University,4.0,"Manchester, NH",Unknown,Not Remote
30, New Hampshire,Manchester,11,Manager,Sal's Pizza Store Manager ($500 sign-on bonus),Lupoli Companies,2.4,"Manchester, NH",Unknown,Not Remote
31, New Hampshire,Manchester,11,Manager,Mortgage Servicing Finance Manager,HarborOne Bank,3.7,"Manchester, NH",Unknown,Not Remote
32, New Hampshire,Manchester,11,Manager,Help Desk Manager - Telecommunications,"Quality Innovation, Inc.",,"Manchester, NH",Unknown,Remote
33, New Hampshire,Manchester,11,Manager,"Social Work/Case Manager - Case Management, Full Time",Catholic Medical Center,3.6,"Manchester, NH",Unknown,Not Remote
34, New Hampshire,Manchester,11,Manager,Front Office Manager,Roedel Companies,2.8,"Manchester, NH",Unknown,Not Remote
35, New Hampshire,Manchester,11,Manager,Subway® Manager,Subway,3.6,"Manchester, NH","$30,000 - $40,000 a year",Not Remote
36, New Hampshire,Manchester,11,Manager,"Manager - Engineering, Textiles",Velcro USA Inc.,3.4,"Manchester, NH",Unknown,Not Remote
37, New Hampshire,Manchester,11,Manager,"Supervisor, Customer Resolutions",EVERSOURCE,3.6,"Manchester, NH",Unknown,Not Remote
38, New Hampshire,Manchester,11,Manager,Complex Assistant General Manager,Highgate Hotels,2.5,"Manchester, NH",Unknown,Not Remote
39, New Hampshire,Manchester,11,Manager,Used Car Manager,Team Nissan,3.5,"Manchester, NH","$75,129 - $148,615 a year",Not Remote
40, New Hampshire,Manchester,11,Manager,Development Manager,JDRF International,3.3,"Manchester, NH",Unknown,Not Remote
41, New Hampshire,Manchester,11,Manager,Project Manager,Universal Windows Direct of Manchester,2.9,"Manchester, NH","$54,000 - $74,000 a year",Not Remote
42, New Hampshire,Manchester,11,Manager,General Manager,Global Partners,2.4,"Manchester, NH",Unknown,Not Remote
43, New Hampshire,Manchester,11,Manager,Purchasing Manager,Wiggins Airways,4.4,"Manchester, NH",Unknown,Not Remote
44, New Hampshire,Manchester,11,Manager,Development Manager,JDRF,4.0,"Manchester, NH",Unknown,Not Remote
45, New Hampshire,Manchester,11,Manager,Payroll & Accounts Payable Manager,Catholic Medical Center,3.6,"Manchester, NH",Unknown,Not Remote
46, New Hampshire,Manchester,11,Manager,STORE MANAGER,Family Dollar,3.2,"Manchester, NH",Unknown,Not Remote
47, New Hampshire,Manchester,11,Manager,Law Office Manager,"Hage Hodes, P.A.",,"Manchester, NH",Unknown,Temporarily remote
48, New Hampshire,Manchester,11,Manager,Assistant Manager,Domino's,3.6,"Manchester, NH","$40,040 - $100,000 a year",Not Remote
49, New Hampshire,Manchester,11,Manager,Patient Access Supervisor,Conifer Health Solutions,3.1,"Manchester, NH",Unknown,Not Remote
50, New Hampshire,Manchester,11,Manager,Lowe's Area Sales Manager,MasterBrand Cabinets Inc.,3.4,"Manchester, NH",Unknown,Not Remote
51, New Hampshire,Manchester,11,Manager,Assistant Office Manager,Ashley Furniture HomeStore,,"Manchester, NH",Unknown,Not Remote
52, New Hampshire,Manchester,11,Manager,Case Manager,Northeast Family Services,,"Manchester, NH",Unknown,Temporarily remote
53, New Hampshire,Manchester,11,Manager,Web Manager,Easterseals NH,3.7,"Manchester, NH","$70,000 a year",Not Remote
54, New Hampshire,Manchester,11,Manager,Lot Manager,Country Camper,,"Manchester, NH",$15 - $20 an hour,Not Remote
55, New Hampshire,Manchester,11,Manager,Regional Membership Lead Job,"BJ's Wholesale Club, Inc.",3.3,"Manchester, NH",Unknown,Not Remote
56, New Hampshire,Manchester,11,Manager,Concessions Manager,Levy,3.9,"Manchester, NH",Unknown,Not Remote
57, New Hampshire,Manchester,11,Manager,Adult Case Manager,Center for Life Management,3.7,"Derry, NH",Unknown,Not Remote
58, New Hampshire,Manchester,11,Manager,Social Worker/Case Manager,Waypoint,4.3,"Manchester, NH",Up to $21 an hour,Not Remote
0, New Hampshire,Manchester,11,Personal Service Managers,Chief Safety Officer,Manchester Transit Authority,,"Manchester, NH",From $25 an hour,Not Remote
1, New Hampshire,Manchester,11,Personal Service Managers,Valet Parking Attendant - Elliot Hospital,Towne Park,3.4,"Manchester, NH",Unknown,Not Remote
2, New Hampshire,Manchester,11,Personal Service Managers,Director of Finance,CALLOGIX INC,2.6,"Manchester, NH","From $75,000 a year",Not Remote
3, New Hampshire,Manchester,11,Personal Service Managers,Assistant Manager,Domino's,3.6,"Manchester, NH","$40,040 - $100,000 a year",Not Remote
4, New Hampshire,Manchester,11,Personal Service Managers,Earthwork Construction Foreman,NAX,,"Manchester, NH","$60,000 - $80,000 a year",Not Remote
5, New Hampshire,Manchester,11,Personal Service Managers,Restaurant Managers,The Fleury Group LLC,,"Manchester, NH",Unknown,Not Remote
6, New Hampshire,Manchester,11,Personal Service Managers,Dispatch/Customer Service Representative,Manchester Motor Freight,3.9,"Manchester, NH","From $40,000 a year",Not Remote
7, New Hampshire,Manchester,11,Personal Service Managers,F&I Manager/Sales Manager,Team Nissan,3.5,"Manchester, NH","$75,129 - $148,615 a year",Not Remote
8, New Hampshire,Manchester,11,Personal Service Managers,Office Manager,"Sweeney Financial Management (SFM, LLC)",,"Manchester, NH",$18 - $25 an hour,Not Remote
9, New Hampshire,Manchester,11,Personal Service Managers,Dispatch/Customer Service Representative,Manchester Motor Freight,3.9,"Manchester, NH","From $40,000 a year",Not Remote
10, New Hampshire,Manchester,11,Personal Service Managers,Patient Service Representative,Aspen Dental,2.6,"Bedford, NH",Unknown,Not Remote
11, New Hampshire,Manchester,11,Personal Service Managers,Chief Safety Officer,Manchester Transit Authority,,"Manchester, NH",From $25 an hour,Not Remote
12, New Hampshire,Manchester,11,Personal Service Managers,Assistant Manager of Customer Service,Hannaford,3.7,"Manchester, NH",Unknown,Not Remote
13, New Hampshire,Manchester,11,Personal Service Managers,Customer Service Associates/Cashiers,Lowes,,"Bedford, NH",From $14 an hour,Not Remote
14, New Hampshire,Manchester,11,Personal Service Managers,Merchandise Associate,"Homesense Bedford, NH",,"Bedford, NH",$10 - $12 an hour,Not Remote
15, New Hampshire,Manchester,11,Personal Service Managers,Office Manager - New Hampshire,"Groups Recover Together, Inc.",,"Manchester, NH",Unknown,Not Remote
16, New Hampshire,Manchester,11,Personal Service Managers,Retail Associate,Laundromax,3.3,"Manchester, NH",$10 - $15 an hour,Not Remote
17, New Hampshire,Manchester,11,Personal Service Managers,servers,IHOP,3.5,"Bedford, NH",$120 - $200 a day,Not Remote
18, New Hampshire,Manchester,11,Personal Service Managers,Customer Service Supervisor,VCA Animal Hospitals,3.3,"Bedford, NH",Unknown,Not Remote
19, New Hampshire,Manchester,11,Personal Service Managers,"Supervisor, Customer Resolutions",EVERSOURCE,3.6,"Manchester, NH",Unknown,Not Remote
20, New Hampshire,Manchester,11,Personal Service Managers,Foundry Supervisor,Uni-Cast,,"Londonderry, NH","$80,000 - $100,000 a year",Not Remote
21, New Hampshire,Manchester,11,Personal Service Managers,Part-Time Service Dispatcher,Dead River Company,3.0,"Manchester, NH",Unknown,Not Remote
22, New Hampshire,Manchester,11,Personal Service Managers,Customer Service Associate,WALGREENS,3.6,"Manchester, NH",Unknown,Not Remote
23, New Hampshire,Manchester,11,Personal Service Managers,Customer Service Associate / Cashier,WICKED GOOD BUTCHAH,,"Bedford, NH",$10 - $12 an hour,Not Remote
