,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, New Hampshire,Manchester,11,Manager,Electrical Project Manager,"Zajac, LLC",,"Londonderry, NH","$70,000 - $80,000 a year",Not Remote
1, New Hampshire,Manchester,11,Manager,Landscape Supervisor,Turner Outdoor Services,,"Hooksett, NH",From $18 an hour,Not Remote
2, New Hampshire,Manchester,11,Manager,Senior District Manager,Confidential,,"Manchester, NH",Unknown,Not Remote
3, New Hampshire,Manchester,11,Manager,Landscape Maintenance Crew Leader,"Randall Landscaping, Inc.",,"Manchester, NH",From $20 an hour,Not Remote
4, New Hampshire,Manchester,11,Manager,Supply Chain Manager,Corflex Global,,"Manchester, NH",Unknown,Not Remote
5, New Hampshire,Manchester,11,Manager,Service Manager,Quirk Auto Dealers,,"Manchester, NH","$50,000 - $80,000 a year",Not Remote
6, New Hampshire,Manchester,11,Manager,Sal's Pizza Store Manager ($500 sign-on bonus),Lupoli Companies,2.4,"Manchester, NH",Unknown,Not Remote
7, New Hampshire,Manchester,11,Manager,District Manager - ME & NH (Remote),ACE Hardware,3.8,"Manchester, NH",Unknown,Remote
8, New Hampshire,Manchester,11,Manager,Complex Assistant General Manager,Highgate Hotels,2.5,"Manchester, NH",Unknown,Not Remote
9, New Hampshire,Manchester,11,Manager,Branch Manager,Fox Pest Control,4.0,"Manchester, NH","$75,000 - $100,000 a year",Not Remote
10, New Hampshire,Manchester,11,Manager,Senior Project Manager,"Cylogy, Inc.",,"Manchester, NH","$115,000 - $150,000 a year",Remote
11, New Hampshire,Manchester,11,Manager,Complex Front Office Manager,Highgate Hotels,2.5,"Manchester, NH",Unknown,Not Remote
12, New Hampshire,Manchester,11,Manager,Purchasing Manager,LGC Limited,3.6,"Manchester, NH",Unknown,Not Remote
13, New Hampshire,Manchester,11,Manager,Benefits Manager,Fidelity Investments,4.1,"Merrimack, NH",Unknown,Not Remote
14, New Hampshire,Manchester,11,Manager,Supply Chain Manager,Corflex Global,,"Manchester, NH",Unknown,Not Remote
15, New Hampshire,Manchester,11,Manager,"Business Operations Manager - Opportunity for Working Remotely Manchester, NH",VMware Sales,4.0,"Manchester, NH",Unknown,Remote
16, New Hampshire,Manchester,11,Manager,Branch Operations and Systems Manager,The Granite Group,3.9,"Hooksett, NH",Unknown,Not Remote
17, New Hampshire,Manchester,11,Manager,Business Improvement Manager,CCA Global Partners,4.2,"Manchester, NH",Unknown,Not Remote
18, New Hampshire,Manchester,11,Manager,Production Manager,"Intelligent Manufacturing Solutions, LLC (IMS)",,"Manchester, NH",Unknown,Not Remote
19, New Hampshire,Manchester,11,Manager,Office Manager Trainee,Aspen Dental,2.6,"Manchester, NH",Unknown,Not Remote
20, New Hampshire,Manchester,11,Manager,Retail Manager,Savers,3.2,"Manchester, NH","$40,000 - $56,000 a year",Not Remote
21, New Hampshire,Manchester,11,Manager,Help Desk Manager - Telecommunications,"Quality Innovation, Inc.",,"Manchester, NH",Unknown,Remote
22, New Hampshire,Manchester,11,Manager,Ceded Reinsurance Collections Manager,The RiverStone Group,4.5,"Manchester, NH",Unknown,Not Remote
23, New Hampshire,Manchester,11,Manager,Quality Assurance Manager,LGC Limited,3.6,"Manchester, NH",Unknown,Not Remote
24, New Hampshire,Manchester,11,Manager,Automotive Finance Manager,Planet Honda,3.6,"Manchester, NH","Up to $150,000 a year",Not Remote
25, New Hampshire,Manchester,11,Manager,Project Production Manager,Power Home Remodeling,4.3,"Manchester, NH","$60,000 a year",Not Remote
26, New Hampshire,Manchester,11,Manager,Web Manager,Easterseals NH,3.7,"Manchester, NH","$55,000 a year",Not Remote
27, New Hampshire,Manchester,11,Manager,Hotel Food & Beverage Manager,North Conway Grand Hotel,3.2,"Manchester, NH",$18 - $22 an hour,Not Remote
28, New Hampshire,Manchester,11,Manager,Marketing Manager,Spectrum Marketing Companies,4.2,"Manchester, NH",Unknown,Not Remote
29, New Hampshire,Manchester,11,Manager,General Manager,Pressed Cafe,2.2,"Bedford, NH","$70,000 - $90,000 a year",Not Remote
30, New Hampshire,Manchester,11,Manager,Office Manager,Pro Technologies,,"Hooksett, NH",$17 - $19 an hour,Not Remote
31, New Hampshire,Manchester,11,Manager,Account Manager,Crown Bioscience,3.6,"Manchester, NH",Unknown,Not Remote
32, New Hampshire,Manchester,11,Manager,Account Manager,"Church Mutual Insurance, S.I.",,"Bedford, NH",Unknown,Not Remote
33, New Hampshire,Manchester,11,Manager,"Manager, Respiratory",Option Care Health,2.9,"Bedford, NH",Unknown,Not Remote
34, New Hampshire,Manchester,11,Manager,PROJECT MANAGER,Elliot Health System,3.5,"Bedford, NH",Unknown,Not Remote
35, New Hampshire,Manchester,11,Manager,Daycare Lead,NeighborSchools,,"Manchester, NH","$50,000 - $90,000 a year",Not Remote
36, New Hampshire,Manchester,11,Manager,Audit Manager,"Berry, Dunn, McNeil & Parker LLC",,"Manchester, NH",Unknown,Not Remote
37, New Hampshire,Manchester,11,Manager,Office Manager,Aspen Dental,2.6,"Bedford, NH",Unknown,Not Remote
38, New Hampshire,Manchester,11,Manager,Store Manager,Colbea EastSide Enterprise | East Side Enterprises,,"Manchester, NH",Unknown,Not Remote
39, New Hampshire,Manchester,11,Manager,HRIS Systems Manager,Velcro USA Inc.,3.4,"Manchester, NH",Unknown,Not Remote
40, New Hampshire,Manchester,11,Manager,Assistant Store Manager,Extra Space Storage,3.8,"Manchester, NH",$14 - $17 an hour,Not Remote
41, New Hampshire,Manchester,11,Manager,Scheduling Manager,Pro Technologies,,"Hooksett, NH",$15 - $17 an hour,Not Remote
42, New Hampshire,Manchester,11,Manager,"Manager, Inside Sales",Velcro USA Inc.,3.4,"Manchester, NH",Unknown,Not Remote
43, New Hampshire,Manchester,11,Manager,Sales Manager,Allied Wire & Cable,3.2,"Bedford, NH",Unknown,Not Remote
44, New Hampshire,Manchester,11,Manager,"Mgr, Onsite Services, New England",Grainger,3.7,"Manchester, NH",Unknown,Not Remote
45, New Hampshire,Manchester,11,Manager,Assistant Center Store Manager,Hannaford,3.7,"Bedford, NH",Unknown,Not Remote
46, New Hampshire,Manchester,11,Manager,"District Manager in Training (Manchester, NH & Greater New England Area)",Advance Auto Parts,3.4,"Manchester, NH",Unknown,Not Remote
47, New Hampshire,Manchester,11,Manager,Case Manager,"Merrimack Valley Assistance Program, Inc",,"Manchester, NH","$33,000 - $40,000 a year",Remote
48, New Hampshire,Manchester,11,Manager,Manager - Substation Document Control,EVERSOURCE,3.6,"Manchester, NH",Unknown,Not Remote
49, New Hampshire,Manchester,11,Manager,"Manager, Inside Sales",Velcro USA Inc.,3.4,"Manchester, NH",Unknown,Not Remote
50, New Hampshire,Manchester,11,Manager,Lead Sales,Tillys,3.6,"Manchester, NH",Unknown,Not Remote
51, New Hampshire,Manchester,11,Manager,Full Time Manager,Icing and Claire's,,"Manchester, NH",Unknown,Not Remote
52, New Hampshire,Manchester,11,Manager,"Sr. Manager, FP&A","Allegro MicroSystems, LLC",4.1,"Manchester, NH",Unknown,Not Remote
53, New Hampshire,Manchester,11,Manager,"UNIT MARKETING MANAGER, NEW HAMPSHIRE, POTENTIAL NEW BUSINESS",Compass Group,3.3,"Manchester, NH",Unknown,Not Remote
54, New Hampshire,Manchester,11,Manager,"Collections and Recovery: Regional Portfolio Manager (Remote: MA,VT, CT, ME, RI)",DLL Group,4.2,"Manchester, NH",Unknown,Remote
55, New Hampshire,Manchester,11,Manager,Sales Manager,St. Mary's Bank,3.6,"Manchester, NH",Unknown,Not Remote
56, New Hampshire,Manchester,11,Manager,Manager Retail Store & Customer Service,Van Otis Chocolates,,"Manchester, NH",$15 - $18 an hour,Not Remote
0, New Hampshire,Manchester,11,Personal Service Managers,BDC Representative,Motorcycles of Manchester,,"Manchester, NH",Unknown,Not Remote
1, New Hampshire,Manchester,11,Personal Service Managers,Resource Nurse: Senior Health Primary Care,Elliot Health System,,"Manchester, NH",Unknown,Not Remote
2, New Hampshire,Manchester,11,Personal Service Managers,Team Leader - Driver - Moving & Junk Removal,Grunts Move Junk,4.3,"Manchester, NH",$15 - $20 an hour,Not Remote
3, New Hampshire,Manchester,11,Personal Service Managers,Route Service Representative,General Linen Service,2.8,"Manchester, NH",$774 - $800 a week,Not Remote
4, New Hampshire,Manchester,11,Personal Service Managers,Supply Chain Manager,Corflex Global,,"Manchester, NH",Unknown,Not Remote
5, New Hampshire,Manchester,11,Personal Service Managers,Consumer Collector,LAMONT HANLEY & ASSOCIATES,3.1,"Manchester, NH",From $15 an hour,Temporarily remote
6, New Hampshire,Manchester,11,Personal Service Managers,Sales Associate- Early Morning Stocking Crew,Five Below,3.6,"Manchester, NH",$12.75 - $13.00 an hour,Not Remote
7, New Hampshire,Manchester,11,Personal Service Managers,Customer Service Representative - R15472,TruGreen Limited Partnership,3.2,"Londonderry, NH",Unknown,Temporarily remote
8, New Hampshire,Manchester,11,Personal Service Managers,Customer Service Associate,WALGREENS,3.6,"Manchester, NH",Unknown,Not Remote
9, New Hampshire,Manchester,11,Personal Service Managers,Route Service Representative,General Linen Service,2.8,"Manchester, NH",$774 - $800 a week,Not Remote
10, New Hampshire,Manchester,11,Personal Service Managers,Pet Host (Customer Service Desk),The Barking Dog | NVA,1.7,"Hooksett, NH",Unknown,Not Remote
11, New Hampshire,Manchester,11,Personal Service Managers,"Radiology Aide - MRI, Full Time, Variable Shifts",Catholic Medical Center,3.5,"Manchester, NH",Unknown,Not Remote
12, New Hampshire,Manchester,11,Personal Service Managers,Sales Associate- Early Morning Crew- 5am,Five Below,3.6,"Manchester, NH",$12.75 - $13.00 an hour,Not Remote
13, New Hampshire,Manchester,11,Personal Service Managers,Cashier and Customer Service,Sweet Boutique - Fine Chocolates,,"Bedford, NH",$8 - $10 an hour,Not Remote
14, New Hampshire,Manchester,11,Personal Service Managers,Wealth Management Advisor Training Program,Northwestern Mutual,3.8,"Manchester, NH","$52,000 - $106,000 a year",Not Remote
15, New Hampshire,Manchester,11,Personal Service Managers,Media Relations Specialist,EVERSOURCE,3.6,"Manchester, NH",Unknown,Not Remote
16, New Hampshire,Manchester,11,Personal Service Managers,Workplace Success Program Specialist,"Southern New Hampshire Services, Inc.",,"Manchester, NH",$18.58 an hour,Not Remote
17, New Hampshire,Manchester,11,Personal Service Managers,Cashier/Customer Service,Seasons Tickets Restaurant,,"Manchester, NH",$11 - $12 an hour,Not Remote
