,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, New Jersey,Newark,21,Counselor,Licensed Mental Health Clinician/Leave Replacement-K-12,Effective School Solutions,3.7,"Glen Ridge, NJ",Unknown,Not Remote
1, New Jersey,Newark,21,Counselor,Social Service Counselor,CBH Care,3.0,"Rutherford, NJ",Unknown,Not Remote
2, New Jersey,Newark,21,Counselor,Applied Behavior Analysis (ABA) Therapist,Brainbuilders,,"Short Hills, NJ",Unknown,Not Remote
3, New Jersey,Newark,21,Counselor,Behavioral Health Counselor / Licensed Clinical Social Worker,Metropolitan Family Health Network,,"Jersey City, NJ",Unknown,Not Remote
4, New Jersey,Newark,21,Counselor,Utilization Management Specialist - Behavioral Health,Fidelis Care,3.2,"Newark, NJ",Unknown,Not Remote
5, New Jersey,Newark,21,Counselor,Licensed Therapist (LPC/LCSW/LMFT) for Asian/South Asian & Minority Women,"We Rise Therapy & Wellness, LLC",,"Jersey City, NJ",$70 - $100 an hour,Remote
6, New Jersey,Newark,21,Counselor,ABA Therapist,One Step Forward,,"Essex County, NJ",$17 - $29 an hour,Not Remote
7, New Jersey,Newark,21,Counselor,Motivational Enhancement Counselor,The Educational Alliance,3.8,"New York, NY",Unknown,Not Remote
8, New Jersey,Newark,21,Counselor,Drug / Addictions Counselor,CFG Health Network,2.8,"Newark, NJ",Unknown,Not Remote
9, New Jersey,Newark,21,Counselor,Clinician/Crisis Counselor,New Community Corporation,3.6,"Newark, NJ",Unknown,Not Remote
10, New Jersey,Newark,21,Counselor,"CADC/CADC Intern for Outreach Counselor Integrity House – Newark, NJ",Integrity House Inc,3.4,"Newark, NJ",$16 - $18 an hour,Not Remote
11, New Jersey,Newark,21,Counselor,Residential Counselor,WRIGHT INDEPENDENT LIFE OPTION,,"Maplewood, NJ",Unknown,Not Remote
12, New Jersey,Newark,21,Counselor,Unit Leaders/ Specialists/ Lifeguards/ Counselors/Shadow Counselors,JCC MetroWest,4.1,"West Orange, NJ",Unknown,Not Remote
13, New Jersey,Newark,21,Counselor,Therapist Counselor,Calmerry,5.0,"Newark, NJ",$40 - $60 an hour,Remote
14, New Jersey,Newark,21,Counselor,Behaviorist,Nutley Board of Education,4.3,"Nutley, NJ",Unknown,Not Remote
15, New Jersey,Newark,21,Counselor,Mental Health Clinician III,Rutgers University,4.2,"Newark, NJ",Unknown,Not Remote
16, New Jersey,Newark,21,Counselor,Residential Counselor Essex County PT Overnights,Easterseals New Jersey,,"Irvington, NJ",Unknown,Not Remote
17, New Jersey,Newark,21,Counselor,Mental Health Clinician III,Rutgers University,4.2,"Newark, NJ",Unknown,Not Remote
18, New Jersey,Newark,21,Counselor,Overnight Residential Counselor,WRIGHT INDEPENDENT LIFE OPTION,,"Maplewood, NJ",Unknown,Not Remote
19, New Jersey,Newark,21,Counselor,BA CLINICIAN,Trinitas Regional Medical Center,3.5,"Elizabeth, NJ",Unknown,Not Remote
20, New Jersey,Newark,21,Counselor,Counselor - Substance Abuse/Mental Health,"American Habitare and Counseling, Inc.",,"Newark, NJ","$32,000 - $45,000 a year",Not Remote
21, New Jersey,Newark,21,Counselor,Mental Health Clinician II,Rutgers University,4.2,"Newark, NJ",Unknown,Not Remote
22, New Jersey,Newark,21,Counselor,"Licensed Clinical Therapist / Counselor (LCSW, LMFT, LPC)",Monument,3.7,"Newark, NJ",Unknown,Remote
23, New Jersey,Newark,21,Counselor,Territory Manager - Mental Health,Amen Clinics,3.3,"Newark, NJ","$75,000 - $80,000 a year",Not Remote
24, New Jersey,Newark,21,Counselor,Medication Assisted Therapy Addictions Counselor - CADC,CFG Health Network,2.8,"Newark, NJ",Unknown,Not Remote
25, New Jersey,Newark,21,Counselor,Housing Counselor,"The Waterfront Project, Inc.",,"Jersey City, NJ",From $22 an hour,Temporarily remote
26, New Jersey,Newark,21,Counselor,Certified Alcohol and Drug Counselor (CADC),"Spectrum Health Care, Inc.",,"Jersey City, NJ",$30 - $35 an hour,Not Remote
27, New Jersey,Newark,21,Counselor,Substance Abuse Counselor,PREVENTION LINKS,4.0,"Elizabeth, NJ","$40,000 - $45,000 a year",Temporarily remote
28, New Jersey,Newark,21,Counselor,Senior Recovery Counselor Community Support Services – Essex County,"Mental Health Association of Essex and Morris, Inc...",,"West Orange, NJ",Unknown,Not Remote
29, New Jersey,Newark,21,Counselor,Registered Behavior Technician (RBT)/ABA Therapist,(ABA Therapy Agency),,"Short Hills, NJ",$22 an hour,Not Remote
30, New Jersey,Newark,21,Counselor,Residence Counselor (Grant) - SMHP Residency FAC#5 Crisis,Prime Healthcare,3.4,"Passaic, NJ",Unknown,Not Remote
31, New Jersey,Newark,21,Counselor,Part-Time Methadone Clinic Clinician/Counselor Intern/Counselor,"Inter-County Council on Drug and Alcohol Abuse, In...",,"Kearny, NJ",$19 an hour,Not Remote
32, New Jersey,Newark,21,Counselor,Intensive In-Community Counselor (IIC),Savia Community Counseling Services,,"Bloomfield, NJ","$45,000 - $75,000 a year",Not Remote
33, New Jersey,Newark,21,Counselor,AmeriCorps - Out of School Time Counselors - Westside,The Salvation Army Eastern Territory,3.9,"Newark, NJ",Unknown,Not Remote
34, New Jersey,Newark,21,Counselor,"Mental Health Counselor (Tele) (LSW, LAC)",Mental Health Outpatient Clinic,,"Union, NJ",$35 - $40 an hour,Temporarily remote
35, New Jersey,Newark,21,Counselor,"Clinician (Trauma, Attachment, and Substance Use)",The Center for Great Expectations,4.1,"Newark, NJ",Unknown,Not Remote
36, New Jersey,Newark,21,Counselor,Behavioral Health Care Coordinator- WAH New Jersey only,Humana,3.7,"Jersey City, NJ",Unknown,Remote
37, New Jersey,Newark,21,Counselor,Primary Therapist,"Inner Clarity, LLC",,"Newark, NJ",$52 an hour,Temporarily remote
38, New Jersey,Newark,21,Counselor,Substance Abuse Counselor - I/11/6/20/115/SAC,"Catholic Charities, Diocese of Metuchen",3.8,"Union, NJ",Unknown,Not Remote
39, New Jersey,Newark,21,Counselor,Licensed Mental Health Clinician K-12,Effective School Solutions,3.7,"Bayonne, NJ",Unknown,Not Remote
40, New Jersey,Newark,21,Counselor,LSW LTSS Service Coordinator-Clinician,Anthem,3.7,"Newark, NJ",Unknown,Not Remote
41, New Jersey,Newark,21,Counselor,Social Service Counselor,CBH Care,3.0,"Rutherford, NJ",Unknown,Not Remote
42, New Jersey,Newark,21,Counselor,Licensed Professional Mental Health Counselor (Vet Center Director),US Department of Veterans Affairs,3.8,"Secaucus, NJ","$89,537 - $116,403 a year",Not Remote
43, New Jersey,Newark,21,Counselor,"ABA Therapist - East Orange, New Jersey",Applied Behavioral Mental Health Counseling,4.1,"East Orange, NJ",Unknown,Not Remote
44, New Jersey,Newark,21,Counselor,Applied Behavior Analysis (ABA) Therapist,The Uncommon Thread,4.3,"Hillside, NJ",Unknown,Not Remote
45, New Jersey,Newark,21,Counselor,Applied Behavior Analysis (ABA) Therapist,Brainbuilders,,"Short Hills, NJ",Unknown,Not Remote
46, New Jersey,Newark,21,Counselor,Online Counselor,Thriveworks,3.9,"Elizabeth, NJ","Up to $120,000 a year",Remote
47, New Jersey,Newark,21,Counselor,ABA Therapist/RBT-After school and Weekend Hours,"Fundamental Development ABA, LLC",,"Roselle Park, NJ",$28 - $30 an hour,Not Remote
48, New Jersey,Newark,21,Counselor,Telephone Counselor (Remote - US),Morneau Shepell,3.1,"Jersey City, NJ",Unknown,Not Remote
49, New Jersey,Newark,21,Counselor,Investment Counselor,Citi,3.9,"New York, NY",Unknown,Not Remote
50, New Jersey,Newark,21,Counselor,Weekend Mental Health Counselor,Thriveworks,3.9,"Newark, NJ","Up to $25,000 a year",Remote
51, New Jersey,Newark,21,Counselor,Intensive In-Community Counselor (IIC),Savia Community Counseling Services,,"Newark, NJ","$48,000 - $80,000 a year",Not Remote
52, New Jersey,Newark,21,Counselor,Remote Mental Health Counselor,Thriveworks,3.9,"East Orange, NJ","Up to $120,000 a year",Remote
53, New Jersey,Newark,21,Counselor,"ABA Therapist - Bloomfield, New Jersey",Applied Behavioral Mental Health Counseling,4.1,"Bloomfield, NJ",Unknown,Not Remote
54, New Jersey,Newark,21,Counselor,Behavior Therapist,Graham Behavior Services,5.0,"Jersey City, NJ",$25 - $45 an hour,Not Remote
55, New Jersey,Newark,21,Counselor,Yoga Counselor,Deerkill Day Camp,,"Hoboken, NJ",$450 - $500 a week,Not Remote
56, New Jersey,Newark,21,Counselor,Clinical Manager RDA,Allied Dental,3.1,"Newark, NJ",Unknown,Not Remote
57, New Jersey,Newark,21,Counselor,Applied Behavior Analysis (ABA) Therapist,The Uncommon Thread,4.3,"West Orange, NJ",Unknown,Not Remote
0, New Jersey,Newark,21,Probation Officers ,Adolescent Interventionist / Probation Officer (On-Call),Right Direction Crisis Intervention,4.2,"New York, NY",$19 - $25 an hour,Not Remote
1, New Jersey,Newark,21,Probation Officers ,Adolescent Interventionist / Probation Officer (On-Call),Right Direction Crisis Intervention,4.2,"New York, NY",$19 - $25 an hour,Not Remote
