,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, New Jersey,Newark,17,Electrical Engineering Technicians,"Control Systems Lead - Relocate to Colorado Springs, CO!",Elite Line Services,2.9,United States,$37.82 an hour,Not Remote
0, New Jersey,Newark,17,Nuclear Engineers,"Manager, Imaging Services",Northwell health,4.0,"Staten Island, NY",Unknown,Not Remote
1, New Jersey,Newark,17,Nuclear Engineers,Associate Technical Estimator,Astro Pak Corporation,4.0,United States,Unknown,Remote
2, New Jersey,Newark,17,Nuclear Engineers,Quality Engineer,Belcan,3.6,"Springfield, NJ",Unknown,Not Remote
3, New Jersey,Newark,17,Nuclear Engineers,Biomedical Equipment Support Specialist (Imaging),US Department of Veterans Affairs,3.8,"East Orange, NJ","$89,537 - $116,403 a year",Not Remote
4, New Jersey,Newark,17,Nuclear Engineers,Government Official,U.S. Army,4.3,"New York, NY","$36,000 - $79,000 a year",Not Remote
5, New Jersey,Newark,17,Nuclear Engineers,"Manager, Imaging Services",Northwell Health,4.0,"Staten Island, NY",Unknown,Not Remote
6, New Jersey,Newark,17,Nuclear Engineers,"Manager, Imaging Services",Northwell health,4.0,"Staten Island, NY",Unknown,Not Remote
7, New Jersey,Newark,17,Nuclear Engineers,Quality Engineer,Belcan,3.6,"Springfield, NJ",Unknown,Not Remote
0, New Jersey,Newark,23,Legal Occupations,Legal Assistant - Trusts and Estates,Connell Foley LLP,,"Newark, NJ","$60,000 a year",Not Remote
1, New Jersey,Newark,23,Legal Occupations,Data Analyst/Legal Support Supporting the US Attorney's Office,FSA Federal,3.7,"New York, NY",Unknown,Not Remote
2, New Jersey,Newark,23,Legal Occupations,Corporate Paralegal,Mandelbaum Salsburg P.C.,,"Roseland, NJ",Unknown,Not Remote
3, New Jersey,Newark,23,Legal Occupations,Immigration Attorney Licensed in NJ,The Romero Firm,3.4,"Newark, NJ","$90,000 a year",Not Remote
4, New Jersey,Newark,23,Legal Occupations,Legal Assistant/Paralegal,Law Firm,4.3,"Newark, NJ",Unknown,Not Remote
5, New Jersey,Newark,23,Legal Occupations,Legal Assistant,"Milber Makris Plousadis & Seiden, LLP",3.6,"Jersey City, NJ",Unknown,Not Remote
6, New Jersey,Newark,23,Legal Occupations,Litigation Associate,Mandelbaum Salsburg P.C.,,"Roseland, NJ",$36 - $44 an hour,Not Remote
7, New Jersey,Newark,23,Legal Occupations,Community Justice Legal Assistant,American Friends Service Committee,4.2,"Newark, NJ",Unknown,Not Remote
8, New Jersey,Newark,23,Legal Occupations,Summer 2021 Law Clerk Intern,PSEG,3.8,"Newark, NJ",Unknown,Not Remote
9, New Jersey,Newark,23,Legal Occupations,Data Analyst/Legal Support Supporting the US Attorney's Office,FSA Federal,3.7,"New York, NY",Unknown,Not Remote
10, New Jersey,Newark,23,Legal Occupations,Paralegal,ARK Solutions,3.8,"Newark, NJ",Unknown,Not Remote
11, New Jersey,Newark,23,Legal Occupations,Paralegal Specialist,US Department of Justice,4.1,"Newark, NJ","$61,742 - $80,263 a year",Not Remote
12, New Jersey,Newark,23,Legal Occupations,Paralegal/Legal Document Management Analyst,Trustpoint.One,4.1,"Newark, NJ",Unknown,Not Remote
13, New Jersey,Newark,23,Legal Occupations,Legal Assistant - Trusts and Estates,Connell Foley LLP,,"Newark, NJ","$60,000 a year",Not Remote
14, New Jersey,Newark,23,Legal Occupations,General Counsel,Essex County College,4.0,"Newark, NJ",Unknown,Not Remote
15, New Jersey,Newark,23,Legal Occupations,Paralegal/Legal Document Management Analyst,"TrustPoint International, LLC",,"Newark, NJ",$20 - $22 an hour,Not Remote
16, New Jersey,Newark,23,Legal Occupations,Legal Secretary,"Garces, Grabler & LeBrocq, P.C.",4.7,"Elizabeth, NJ",$20 - $25 an hour,Not Remote
17, New Jersey,Newark,23,Legal Occupations,Paralegal,Seton Hall Law School Center for Social Justice,,"Newark, NJ",$20 an hour,Remote
18, New Jersey,Newark,23,Legal Occupations,Legal Support Analyst - Law Enforcement Misconduct Investigative Office (NYC),"Attorney General, Office of the",4.5,"New York, NY",Unknown,Not Remote
