,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Supervisor,MEB Management Services,3.5,"Albuquerque, NM",From $14 an hour,Not Remote
1, New Mexico,Albuquerque,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
2, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Supervisor,Mission Foods USA,3.6,"Albuquerque, NM","$60,000 - $75,000 a year",Not Remote
3, New Mexico,Albuquerque,11,Facilities Manager,Facility Coordinator,JLL,3.7,"Albuquerque, NM",Unknown,Not Remote
4, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Manager,Sonesta,3.9,"Albuquerque, NM",Unknown,Not Remote
5, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Director,Avista Senior Living,3.7,"Albuquerque, NM",Unknown,Not Remote
6, New Mexico,Albuquerque,11,Facilities Manager,"Sr. Director, Engineering/Maintenance",Employers Pro Advantage,4.0,"Albuquerque, NM",Unknown,Not Remote
7, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Supervisor,Mission Foods USA,3.6,"Albuquerque, NM","$60,000 - $75,000 a year",Not Remote
8, New Mexico,Albuquerque,11,Facilities Manager,Preventive Maintenance Coordinator,"Tempur Sealy International, Inc.",2.3,"Albuquerque, NM",Unknown,Not Remote
9, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Supervisor,Atrium Hospitality,2.9,"Albuquerque, NM",Unknown,Not Remote
10, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Supervisor,MEB Management Services,3.5,"Albuquerque, NM",From $14 an hour,Not Remote
11, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Supervisor - The Gradley - Albuquerque,Morrison Ekre & Bart Management Services Inc,,"Albuquerque, NM",Unknown,Not Remote
12, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Supervisor - Arioso,Greystar,3.6,"Albuquerque, NM",Unknown,Not Remote
0, New Mexico,Albuquerque,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
0, New Mexico,Albuquerque,11,Manager,CVL Manager,Presbyterian Healthcare Services,3.4,"Albuquerque, NM","$91,520 - $108,160 a year",Not Remote
1, New Mexico,Albuquerque,11,Manager,Project Manager - Fire Protection,American Fire Protection Group,4.0,"Albuquerque, NM",Unknown,Not Remote
2, New Mexico,Albuquerque,11,Manager,Property Manager,GDR Property Solutions,,"Albuquerque, NM","$26,000 - $35,000 a year",Temporarily remote
3, New Mexico,Albuquerque,11,Manager,Human Resources Manager,"Third Bench Holdings, LLC",,"Albuquerque, NM","$50,000 - $65,000 a year",Not Remote
4, New Mexico,Albuquerque,11,Manager,Resident Care Manager,Ravenna Assisted Living,,"Albuquerque, NM",$16 - $20 an hour,Not Remote
