,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, New Mexico,Albuquerque,11,Facilities Manager,"Director of Facilities - Relocation assistance to Yuma, AZ",Yuma Regional Medical Center,3.8,United States,"$110,000 - $150,000 a year",Not Remote
1, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Director,Spanish Trails Rehabilitation Suites,2.3,"Albuquerque, NM",Unknown,Not Remote
2, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Lead Technician,White Peak Management,,"Albuquerque, NM",$17 an hour,Not Remote
3, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Supervisor,MEB Management Services,3.5,"Albuquerque, NM",Unknown,Not Remote
4, New Mexico,Albuquerque,11,Facilities Manager,"Supv,Maint/Construction",University of New Mexico,4.1,"Albuquerque, NM",$18.46 - $26.46 an hour,Not Remote
5, New Mexico,Albuquerque,11,Facilities Manager,Maintenance Supervisor - Villas de la Terraza - Albuquerque,Morrison Ekre & Bart Management Services Inc,,"Albuquerque, NM",Unknown,Not Remote
0, New Mexico,Albuquerque,19,Food Scientist,SUPERVISOR FOOD PRODUCTION,Presbyterian Healthcare Services,3.4,"Albuquerque, NM",Unknown,Not Remote
1, New Mexico,Albuquerque,19,Food Scientist,FOOD SERVICE AIDE,Presbyterian Healthcare Services,3.4,"Albuquerque, NM",Unknown,Not Remote
2, New Mexico,Albuquerque,19,Food Scientist,SUPERVISOR FOOD PRODUCTION,Presbyterian Healthcare Services,3.4,"Albuquerque, NM",Unknown,Not Remote
3, New Mexico,Albuquerque,19,Food Scientist,FOOD SERVICE AIDE,Presbyterian Healthcare Services,3.4,"Rio Rancho, NM",Unknown,Not Remote
4, New Mexico,Albuquerque,19,Food Scientist,DISHWASHER,Presbyterian Healthcare Services,3.4,"Albuquerque, NM",Unknown,Not Remote
5, New Mexico,Albuquerque,19,Food Scientist,Field Application Scientist – LC and LCMS,PerkinElmer,3.7,"Albuquerque, NM",Unknown,Not Remote
6, New Mexico,Albuquerque,19,Food Scientist,DIET AIDE I,Presbyterian Healthcare Services,3.4,"Albuquerque, NM",Unknown,Not Remote
7, New Mexico,Albuquerque,19,Food Scientist,Field Service Technician - Retail Equipment,Mettler Toledo,3.6,"Albuquerque, NM",Unknown,Not Remote
8, New Mexico,Albuquerque,19,Food Scientist,FOOD SERVICE AIDE,Presbyterian Healthcare Services,3.4,"Albuquerque, NM",Unknown,Not Remote
0, New Mexico,Albuquerque,19,Wildlife Biologists,Water Resources Scientist,Tetra Tech,3.8,"Albuquerque, NM",Unknown,Not Remote
0, New Mexico,Albuquerque,21,Counselor,Youth Counselor,Bernalillo Academy,2.9,"Albuquerque, NM",$11.00 - $13.25 an hour,Not Remote
1, New Mexico,Albuquerque,21,Counselor,Mental Health/Substance Abuse NM Licensed Counselor,"A New Awakening Counseling Agency, Inc.",,"Albuquerque, NM","$29,079 - $40,000 a year",Remote
