,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, New York,New York City,11,Facilities Manager,Assistant Facilities Manager,CBRE,3.7,"New York, NY",Unknown,Not Remote
1, New York,New York City,11,Facilities Manager,Facilities Coordinator,CBRE,3.7,"New York, NY",Unknown,Not Remote
2, New York,New York City,11,Facilities Manager,"Manager, Operations and Maintenance",Prospect Park Zoo,4.2,"Brooklyn, NY","$68,000 - $78,000 a year",Not Remote
3, New York,New York City,11,Facilities Manager,Office/Facilities Operations Manager,Access Staffing LLC,3.8,"New York, NY","$80,000 - $90,000 a year",Not Remote
4, New York,New York City,11,Facilities Manager,Facilities Coordinator,"Independent living Association, Inc",3.5,"Brooklyn, NY",Unknown,Not Remote
5, New York,New York City,11,Facilities Manager,Bi-Lingual Superintendent,ELH Mgmt. LLC,3.0,"New York, NY",Unknown,Not Remote
6, New York,New York City,11,Facilities Manager,"Manager, Facilities, Critical Operations",ViacomCBS,4.0,"New York, NY",Unknown,Not Remote
7, New York,New York City,11,Facilities Manager,Regional Facilities Manager,BuroHappold Engineering,3.8,"New York, NY",Unknown,Not Remote
8, New York,New York City,11,Facilities Manager,Facilities Manager - New York,Mandarin Oriental Hotel Group,4.1,"New York, NY",Unknown,Not Remote
9, New York,New York City,11,Facilities Manager,Facilities Manager,American Museum of Natural History,4.2,"New York, NY",Unknown,Not Remote
10, New York,New York City,11,Facilities Manager,Assistant Facilities Manager,CBRE,3.7,"New York, NY",Unknown,Not Remote
11, New York,New York City,11,Facilities Manager,Facilities Coordinator,CBRE,3.7,"New York, NY",Unknown,Not Remote
12, New York,New York City,11,Facilities Manager,Facilities Manager - Maintenance,Aramark,3.5,"New York, NY",Unknown,Not Remote
13, New York,New York City,11,Facilities Manager,Facilities Coordinator,Gunderson Dettmer,3.6,"New York, NY",Unknown,Remote
14, New York,New York City,11,Facilities Manager,Facilities Coordinator,Shaker & Spoon,,"Brooklyn, NY","$42,000 - $45,000 a year",Not Remote
15, New York,New York City,11,Facilities Manager,Facilities Coordinator,"Independent living Association, Inc",3.5,"Brooklyn, NY",Unknown,Not Remote
16, New York,New York City,11,Facilities Manager,Building Supervisor – Facilities Maintenance (3:00PM – 11:00PM),NewYork-Presbyterian Hospital,4.2,"Manhattan, NY",Unknown,Not Remote
17, New York,New York City,11,Facilities Manager,Facilities Maintenance Manager,The Bowery Mission,4.2,"New York, NY",Unknown,Not Remote
18, New York,New York City,11,Facilities Manager,"Manager, Operations & Facilities",Center for Court Innovation,4.1,"Bronx, NY",Unknown,Not Remote
19, New York,New York City,11,Facilities Manager,"Manager, Operations and Maintenance",Prospect Park Zoo,4.2,"Brooklyn, NY","$68,000 - $78,000 a year",Not Remote
20, New York,New York City,11,Facilities Manager,Corporate Director of Facilities/Engineering,Highgate Hotels,2.5,"New York, NY",Unknown,Not Remote
21, New York,New York City,11,Facilities Manager,Engineering Manager,TWA Hotel,4.3,"New York, NY",Unknown,Not Remote
22, New York,New York City,11,Facilities Manager,Facilities Manager (Manhattan & Brooklyn Locations),"Women In Need, Inc.",3.2,"New York, NY",Unknown,Not Remote
23, New York,New York City,11,Facilities Manager,Facilities Coordinator,The Bowery Mission,4.2,"New York, NY",Unknown,Not Remote
24, New York,New York City,11,Facilities Manager,Director of Facility Operations,American Museum of Natural History,4.2,"New York, NY",Unknown,Not Remote
25, New York,New York City,11,Facilities Manager,Facilities Manager (Manhattan & Brooklyn Locations),"Women In Need, Inc.",3.2,"New York, NY",Unknown,Not Remote
26, New York,New York City,11,Facilities Manager,Director of Bus Maintenance,TopView Sightseeing,,"Manhattan, NY","$110,000 - $130,000 a year",Not Remote
27, New York,New York City,11,Facilities Manager,Facility Operations Supervisor,Life Time,3.5,"New York, NY",Unknown,Not Remote
28, New York,New York City,11,Facilities Manager,Global 7500 Maintenance Manager,Jet Aviation,3.5,"New York, NY",Unknown,Not Remote
29, New York,New York City,11,Facilities Manager,Live-in Superintendent,J & M Realty Services Corp.,,"New York, NY",Unknown,Not Remote
30, New York,New York City,11,Facilities Manager,Controller Maintenance,JetBlue Airways Corporation,4.1,"Long Island City, NY",Unknown,Not Remote
31, New York,New York City,11,Facilities Manager,Global 7500 Maintenance Manager,Hawker Pacific,,"New York, NY",Unknown,Not Remote
32, New York,New York City,11,Facilities Manager,"Superintendent - Queens, NY",Douglas Elliman Property Management,3.7,"Queens, NY",Unknown,Not Remote
33, New York,New York City,11,Facilities Manager,Building Superintendent,BNS Real Estate,,"New York, NY","Up to $45,000 a year",Not Remote
34, New York,New York City,11,Facilities Manager,Director of Bus Maintenance,TopView Sightseeing,,"Brooklyn, NY","$110,000 - $130,000 a year",Not Remote
35, New York,New York City,11,Facilities Manager,Custodial/ Facilities Coordinator,Hoboken Charter School,4.4,"Hoboken, NJ","$42,000 - $45,000 a year",Not Remote
36, New York,New York City,11,Facilities Manager,Superintendent,Capital Home Realty,,"Elmhurst, NY",$24 - $25 an hour,Not Remote
37, New York,New York City,11,Facilities Manager,Maintenance Manager - Jersey City,Equity Residential,3.8,"Jersey City, NJ",Unknown,Not Remote
38, New York,New York City,11,Facilities Manager,Supervisor/Watch Engineer,Hilton Hotels & Resorts,4.0,"New York, NY",Unknown,Not Remote
39, New York,New York City,11,Facilities Manager,Maintenance Supervisor- H.J Carter,NYC Health + Hospitals,3.8,"New York, NY","$55,023 a year",Not Remote
40, New York,New York City,11,Facilities Manager,Director of Engineering,Westgate Resorts,3.5,"New York, NY",Unknown,Not Remote
41, New York,New York City,11,Facilities Manager,Facility Supervisor,"MAHLE Industries, Incorporated",3.6,"New York, NY",Unknown,Not Remote
42, New York,New York City,11,Facilities Manager,Director of Maintenance/Engineering,Northern Manhattan Rehab and Nursing Center,4.5,"New York, NY",Unknown,Not Remote
43, New York,New York City,11,Facilities Manager,Director of Bus Maintenance,TopView Sightseeing,,"Ridgewood, NY","$110,000 - $130,000 a year",Not Remote
44, New York,New York City,11,Facilities Manager,Superintendent - Provisional,JR Properties Ltd,,"New York, NY",From $15 an hour,Not Remote
45, New York,New York City,11,Facilities Manager,Chief Maintenance Engineer,Residence Inn | Stonebridge Companies,3.6,"New York, NY",Unknown,Not Remote
46, New York,New York City,11,Facilities Manager,Chief Engineer - Marriott LaGuardia,Remington Hotels,3.2,"East Elmhurst, NY",Unknown,Not Remote
47, New York,New York City,11,Facilities Manager,Bi-Lingual Superintendent,ELH Mgmt. LLC,3.0,"New York, NY",Unknown,Not Remote
48, New York,New York City,11,Facilities Manager,Director of Bus Maintenance,TopView Sightseeing,,"Queens, NY","$110,000 - $130,000 a year",Not Remote
49, New York,New York City,11,Facilities Manager,Area Chief Engineer,Gatsby Hotel,,"New York, NY",Unknown,Not Remote
50, New York,New York City,11,Facilities Manager,Maintenance Coordinator,Shinda Management Corporation,3.2,"Brooklyn, NY",Unknown,Not Remote
51, New York,New York City,11,Facilities Manager,Director of Maintenance,Long-Term healthcare,,"Bronx, NY",Unknown,Not Remote
52, New York,New York City,11,Facilities Manager,Maintenance Supervisor,Multifamily Management,2.3,"New York, NY",Unknown,Not Remote
53, New York,New York City,11,Facilities Manager,Chief Maintenance Engineer,Hilton Garden Inn | Stonebridge Companies,,"Long Island City, NY",Unknown,Not Remote
54, New York,New York City,11,Facilities Manager,Maintenance Supervisor 1,"Parks, Recreation & Historic Preservation, Office...",,"Brooklyn, NY",$23.34 an hour,Not Remote
55, New York,New York City,11,Facilities Manager,Maintenance Coordinator,Bronx Parent Housing Network,3.0,"Bronx, NY",Unknown,Not Remote
0, New York,New York City,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
1, New York,New York City,11,Funeral Home Managers,Office Manager,"SCI Shared Resources, LLC",3.1,"New York, NY",Unknown,Not Remote
2, New York,New York City,11,Funeral Home Managers,Funeral Director,Dogwood Services,,"New York, NY","$46,001 - $64,001 a year",Not Remote
0, New York,New York City,11,Manager,Rx Department Manager - HQ,Medly Pharmacy,3.9,"Brooklyn, NY","$85,000 a year",Not Remote
1, New York,New York City,11,Manager,Utility Sales Manager (Financial Background),Trina Solar (US) Inc,,"New York, NY",Unknown,Remote
2, New York,New York City,11,Manager,Channels Manager of Business Recruiting,Indeed,4.3,"New York, NY","$110,000 - $165,000 a year",Not Remote
3, New York,New York City,11,Manager,Administrative Manager-MSH/Pediatrics,Mount Sinai,3.8,"New York, NY",Unknown,Not Remote
4, New York,New York City,11,Manager,Office Manager,Imprint,4.0,"New York, NY",Unknown,Remote
5, New York,New York City,11,Manager,"Manager, Information Technology",Museum of the City of New York,4.2,"New York, NY",Unknown,Not Remote
6, New York,New York City,11,Manager,Creative Administrative Manager,Sony Music Entertainment US,4.3,"New York, NY",Unknown,Not Remote
7, New York,New York City,11,Manager,Guest Relations Manager B NE,Marriott Vacations Worldwide,4.2,"New York, NY",Unknown,Not Remote
8, New York,New York City,11,Manager,Live-in Resident Manager - UES Co-ops,Douglas Elliman Property Management,3.7,"New York, NY",Unknown,Not Remote
9, New York,New York City,11,Manager,Dermatology Office Manager,Upper East Side Dermatology,,"New York, NY","$48,000 - $68,000 a year",Not Remote
10, New York,New York City,11,Manager,Channels Manager of Business Recruiting,Indeed,4.3,"New York, NY","$110,000 - $165,000 a year",Not Remote
11, New York,New York City,11,Manager,Ice Cream Store Manager,MAXWELL RESTAURANT GROUP INC.,,"New York, NY","$67,000 - $77,000 a year",Not Remote
12, New York,New York City,11,Manager,Store Manager,lululemon,,"New York, NY",$45 - $50 an hour,Not Remote
13, New York,New York City,11,Manager,Senior District Manager,Fresh & Co.,,"New York, NY","$75,000 - $100,000 a year",Not Remote
14, New York,New York City,11,Manager,Social Media Manager,PRJON athleisure,,"New York, NY",$19 - $28 an hour,Remote
15, New York,New York City,11,Manager,"New Products, Program Manager",Facebook,4.2,"New York, NY",Unknown,Not Remote
16, New York,New York City,11,Manager,Practice Manager- Full Time Days- Stuyvesant Town,Mount Sinai,3.8,"New York, NY",Unknown,Not Remote
17, New York,New York City,11,Manager,"Strategic Partnerships Manager, Corporate Development",Indeed,4.3,"New York, NY","$132,000 - $190,000 a year",Not Remote
18, New York,New York City,11,Manager,"General Manager, Airport Customer Service Above Wing - JFK",Delta,4.2,"New York, NY",Unknown,Not Remote
