,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, New York,New York City,11,Facilities Manager,Facilities Manager,Addicts Rehabilitation Center Fund Inc.,,"New York, NY","$80,000 - $100,000 a year",Not Remote
1, New York,New York City,11,Facilities Manager,Director of Facilities Services,CORE Facility Services,3.7,"New York, NY","$104,000 - $119,000 a year",Not Remote
2, New York,New York City,11,Facilities Manager,Assistant Director for Maintenance and Grounds Services,CORE Facility Services,3.7,"New York, NY","$93,000 - $103,766 a year",Not Remote
3, New York,New York City,11,Facilities Manager,Live-In Building Manager/Superintendent,TF Cornerstone,,"Brooklyn, NY","$100,000 - $120,000 a year",Not Remote
4, New York,New York City,11,Facilities Manager,Facilities / Engineering Operations Manager 1,Sodexo,3.7,"New York, NY",Unknown,Not Remote
5, New York,New York City,11,Facilities Manager,Facilities Manager (Hines@Amazon),Hines,4.1,"New York, NY",Unknown,Not Remote
6, New York,New York City,11,Facilities Manager,Temporary Facilities Coordinator,Simons Foundation,3.9,"New York, NY",Unknown,Not Remote
7, New York,New York City,11,Facilities Manager,Facilities Manager,Addicts Rehabilitation Center Fund Inc.,,"New York, NY","$80,000 - $100,000 a year",Not Remote
8, New York,New York City,11,Facilities Manager,Facilities Manager,CBRE,3.7,"New York, NY",Unknown,Not Remote
9, New York,New York City,11,Facilities Manager,Area Facilities Manager,"7-Eleven, Inc.",3.6,"New York, NY",Unknown,Not Remote
10, New York,New York City,11,Facilities Manager,Regional Facilities Manager,CBRE,3.7,"New York, NY",Unknown,Not Remote
11, New York,New York City,11,Facilities Manager,Facilities Manager,CBRE,3.7,"New York, NY",Unknown,Not Remote
12, New York,New York City,11,Facilities Manager,Facilities Manager,Avison Young,3.7,"New York, NY",Unknown,Not Remote
13, New York,New York City,11,Facilities Manager,Facilities / Engineering Operations Manager 1,Sodexo,3.7,"New York, NY",Unknown,Not Remote
14, New York,New York City,11,Facilities Manager,Senior Facilities Manager,CBRE,3.7,"New York, NY",Unknown,Not Remote
15, New York,New York City,11,Facilities Manager,Director of Facilities Services,CORE Facility Services,3.7,"New York, NY","$104,000 - $119,000 a year",Not Remote
16, New York,New York City,11,Facilities Manager,"Commercial Operations Manager, NA-East, Facilities",Rivian Automotive,3.5,"New York, NY",Unknown,Not Remote
17, New York,New York City,11,Facilities Manager,Facilities Manager (Hines@Amazon),Hines,4.1,"New York, NY",Unknown,Not Remote
18, New York,New York City,11,Facilities Manager,Americas Director of Facilities & Office Services,White & Case,4.4,"New York, NY",Unknown,Not Remote
19, New York,New York City,11,Facilities Manager,Facilities Manager,Square Roots,4.4,"Brooklyn, NY",Unknown,Remote
20, New York,New York City,11,Facilities Manager,Assistant Facilities Manager,Avison Young,3.7,"New York, NY",Unknown,Not Remote
21, New York,New York City,11,Facilities Manager,FACILITIES COORDINATOR - VENDOR MANAGEMENT,Compass Group,3.3,"New York, NY",Unknown,Not Remote
22, New York,New York City,11,Facilities Manager,Facilities Coordinator,Shaker & Spoon,,"Brooklyn, NY","$42,000 - $45,000 a year",Not Remote
23, New York,New York City,11,Facilities Manager,Senior Facilities Manager,JLL,3.7,"New York, NY",Unknown,Not Remote
24, New York,New York City,11,Facilities Manager,Asst Chief Engineer,JLL,3.7,"New York, NY",Unknown,Not Remote
25, New York,New York City,11,Facilities Manager,Facilities Coordinator,FERRAGAMO USA INC,4.0,"New York, NY",$23 - $26 an hour,Not Remote
26, New York,New York City,11,Facilities Manager,8802A | Regional Facilities Manager,JBFCS,3.5,"Brooklyn, NY",Unknown,Not Remote
27, New York,New York City,11,Facilities Manager,FACILITIES MANAGEMENT EVENING SUPERVISOR,Compass Group,3.3,"New York, NY",Unknown,Not Remote
28, New York,New York City,11,Facilities Manager,"Manager, Operations & Facilities",Center for Court Innovation,4.1,"Bronx, NY",Unknown,Not Remote
29, New York,New York City,11,Facilities Manager,Facilities Manager,Bowery Farming,3.7,"Kearny, NJ",Unknown,Not Remote
30, New York,New York City,11,Facilities Manager,Facilities Management Supervisor,Crothall Healthcare,3.2,"New York, NY","$70,000 - $75,000 a year",Not Remote
31, New York,New York City,11,Facilities Manager,Live-In Building Manager/Superintendent,TF Cornerstone,,"Brooklyn, NY","$100,000 - $120,000 a year",Not Remote
32, New York,New York City,11,Facilities Manager,Facility Manager,BGIS,3.1,"New York, NY",Unknown,Not Remote
33, New York,New York City,11,Facilities Manager,Facilities Coordinator,BASIS Independent Schools,,"Manhattan, NY",Unknown,Not Remote
34, New York,New York City,11,Facilities Manager,Complex Engineering Manager,Highgate Hotels,2.5,"New York, NY",Unknown,Not Remote
35, New York,New York City,11,Facilities Manager,Temporary Facilities Coordinator,Simons Foundation,3.9,"New York, NY",Unknown,Not Remote
36, New York,New York City,11,Facilities Manager,Facilities Manager,Snow Joe,2.8,"Hoboken, NJ",Unknown,Not Remote
37, New York,New York City,11,Facilities Manager,Engineering Manager - Hotel,Nantasket Beach Resort,2.4,"New York, NY",Unknown,Not Remote
38, New York,New York City,11,Facilities Manager,Building Superintendent,BNS Real Estate,,"New York, NY","Up to $45,000 a year",Not Remote
39, New York,New York City,11,Facilities Manager,Chief Engineer,Gansevoort Hotel Group,3.3,"New York, NY",Unknown,Not Remote
40, New York,New York City,11,Facilities Manager,Director of Engineering,Highgate Hotels,2.5,"New York, NY",Unknown,Not Remote
41, New York,New York City,11,Facilities Manager,Assistant Director for Maintenance and Grounds Services,CORE Facility Services,3.7,"New York, NY","$93,000 - $103,766 a year",Not Remote
42, New York,New York City,11,Facilities Manager,Maintenance Coordinator,Harlem United,3.8,"New York, NY",Unknown,Not Remote
43, New York,New York City,11,Facilities Manager,Assistant Superintendent Building Maintenance,Metropolitan Transportation Authority,3.9,"Manhattan, NY",Unknown,Not Remote
44, New York,New York City,11,Facilities Manager,Facility Maintenance Supervisor,Breaking Ground,3.3,"New York, NY",Unknown,Not Remote
45, New York,New York City,11,Facilities Manager,Maintenance Supervisor,Breaking Ground,3.3,"New York, NY",Unknown,Not Remote
46, New York,New York City,11,Facilities Manager,Facility Maintenance Manager (NY),Emcor,3.2,"New York, NY",Unknown,Not Remote
47, New York,New York City,11,Facilities Manager,Hotel Chief Engineer,Gansevoort Meatpacking NYC,,"New York, NY",From $35 an hour,Not Remote
48, New York,New York City,11,Facilities Manager,Facility Maintenance Manager (NY),"EMCOR Government Services, Inc.",,"New York, NY",Unknown,Not Remote
49, New York,New York City,11,Facilities Manager,Chief Engineer,Holiday Inn Express Woodside,,"Flushing, NY",Unknown,Not Remote
50, New York,New York City,11,Facilities Manager,Live-in Superintendent,DVORA,,"Jersey City, NJ","$50,000 - $55,000 a year",Not Remote
51, New York,New York City,11,Facilities Manager,Live-In Maintenance Superintendent,Multifamily Management,2.3,"Bronx, NY",Unknown,Not Remote
52, New York,New York City,11,Facilities Manager,Facilities Coordinator,Shaker & Spoon,,"Brooklyn, NY","$42,000 - $45,000 a year",Not Remote
53, New York,New York City,11,Facilities Manager,Building Superintendent,Oak Tree Maintenance,,"Brooklyn, NY",$19 an hour,Not Remote
54, New York,New York City,11,Facilities Manager,Director of Maintenance,Long-Term healthcare,,"Bronx, NY",Unknown,Not Remote
55, New York,New York City,11,Facilities Manager,Facility Supervisor,Seeds Of The Future,,"Manhattan, NY","$25,000 - $35,000 a year",Temporarily remote
56, New York,New York City,11,Facilities Manager,Maintenance Coordinator,Cornell Pace Inc.,,"New York, NY",$20 - $25 an hour,Not Remote
0, New York,New York City,13,Business Operations Specialist,Sales Support Specialist,LG H&H USA,,"New York, NY",From $25 an hour,Not Remote
1, New York,New York City,13,Business Operations Specialist,Location Manager,New York Dog Spa & Hotel (Dog Daycare & Boarding),,"New York, NY","Up to $50,000 a year",Not Remote
2, New York,New York City,13,Business Operations Specialist,Luxury Brand Professional,Grand Seiko Corporation of America,,"New York, NY",Unknown,Not Remote
3, New York,New York City,13,Business Operations Specialist,Business & Data Operations Specialist,Aon Corporation,3.7,"New York, NY",Unknown,Not Remote
4, New York,New York City,13,Business Operations Specialist,Index Committee Operations Specialist,S&P Global,3.9,"New York, NY","$46,200 - $129,200 a year",Not Remote
5, New York,New York City,13,Business Operations Specialist,Technical Operations Specialist (Remote Eligible - US),Spotify,4.3,"New York, NY",Unknown,Remote
6, New York,New York City,13,Business Operations Specialist,Business & Data Operations Specialist,Aon,3.7,"New York, NY",Unknown,Not Remote
7, New York,New York City,13,Business Operations Specialist,Media Operations Specialist,MediaCom,3.4,"New York, NY",Unknown,Not Remote
8, New York,New York City,13,Business Operations Specialist,Operations Specialist,Fedcap Rehabilitation Services Inc,3.2,"New York, NY",Unknown,Not Remote
9, New York,New York City,13,Business Operations Specialist,Business Continuity Specialist,"Two Sigma Investments, LLC.",3.8,"New York, NY",Unknown,Not Remote
10, New York,New York City,13,Business Operations Specialist,Supply Chain Operations Specialist,Caleres,3.3,"New York, NY",Unknown,Not Remote
11, New York,New York City,13,Business Operations Specialist,Business Development Operations Specialist,Pagaya Investments,,"New York, NY",Unknown,Not Remote
12, New York,New York City,13,Business Operations Specialist,"Specialist, Business Analyst (Risk & Compliance)",BNY Mellon,3.5,"New York, NY",Unknown,Not Remote
13, New York,New York City,13,Business Operations Specialist,Digital Asset Management Specialist,Saks Fifth Avenue,3.6,"New York, NY",Unknown,Not Remote
14, New York,New York City,13,Business Operations Specialist,Engagement Specialist,ADMIN FOR CHILDREN'S SVCS,3.4,"Manhattan, NY","$38,333 - $47,942 a year",Not Remote
15, New York,New York City,13,Business Operations Specialist,Operations Specialist - eCommerce,Passfeed Inc,,"New York, NY","$30,618 - $50,000 a year",Not Remote
16, New York,New York City,13,Business Operations Specialist,Senior Office Operations Specialist,West Monroe,3.9,"New York, NY",Unknown,Not Remote
17, New York,New York City,13,Business Operations Specialist,Lead People Operations Specialist,CVS Health,3.3,"New York, NY",Unknown,Not Remote
18, New York,New York City,13,Business Operations Specialist,Human Resources (HR) Operations Specialist,New York Public Radio,2.3,"New York, NY",Unknown,Temporarily remote
19, New York,New York City,13,Business Operations Specialist,Treasury Markets Specialist,Federal Reserve Bank of New York,4.1,"New York, NY",Unknown,Not Remote
20, New York,New York City,13,Business Operations Specialist,Sales Operations Specialist,NBCUniversal,4.0,"New York, NY",Unknown,Not Remote
21, New York,New York City,13,Business Operations Specialist,Operational Risk Specialist,BNY Mellon,3.5,"New York, NY",Unknown,Not Remote
22, New York,New York City,13,Business Operations Specialist,Data & Operations Associate,Purpose,3.9,"New York, NY","$58,500 - $68,000 a year",Not Remote
23, New York,New York City,13,Business Operations Specialist,Revenue Operations Specialist,Flipboard,4.0,"New York, NY",Unknown,Not Remote
24, New York,New York City,13,Business Operations Specialist,GANNI US Logistics Specialist,Ganni,,"New York, NY",Unknown,Not Remote
25, New York,New York City,13,Business Operations Specialist,Sales Operations Specialist,Gannett,3.1,"New York, NY",Unknown,Not Remote
26, New York,New York City,13,Business Operations Specialist,Digital Sales Operations Specialist,NBCUniversal,4.0,"New York, NY",Unknown,Not Remote
27, New York,New York City,13,Business Operations Specialist,Air Import Agent / Specialist,DHL Global Forwarding Freight,3.7,"New York, NY",Unknown,Not Remote
28, New York,New York City,13,Business Operations Specialist,Sales Operations Specialist,"PX, Inc",,"New York, NY",Unknown,Remote
29, New York,New York City,13,Business Operations Specialist,Process Specialist (Contract),Pinterest,4.2,"New York, NY",Unknown,Not Remote
30, New York,New York City,13,Business Operations Specialist,Nonprofit Industry Specialist,Salesforce,4.3,"New York, NY","$96,500 a year",Not Remote
