,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, North Carolina,Charlotte,11,Manager,Service Manager,Star Leasing,,"Charlotte, NC","$55,000 - $75,000 a year",Not Remote
1, North Carolina,Charlotte,11,Manager,Operating Room Manager,SouthPark Surgery Center,,"Charlotte, NC",$25 - $55 an hour,Not Remote
2, North Carolina,Charlotte,11,Manager,finish Carpenter/Lead Man,CCI EVENTS INC,,"Charlotte, NC",$17 - $22 an hour,Not Remote
3, North Carolina,Charlotte,11,Manager,Medical Logistics Manager,Hospital Couriers,3.5,"Charlotte, NC","$75,000 - $125,000 a year",Not Remote
4, North Carolina,Charlotte,11,Manager,DISTRICT MANAGER,Family Dollar,3.2,"Charlotte, NC",Unknown,Not Remote
5, North Carolina,Charlotte,11,Manager,Service Manager,Star Leasing,,"Charlotte, NC","$55,000 - $75,000 a year",Not Remote
6, North Carolina,Charlotte,11,Manager,Manager,Apple,4.2,"Charlotte, NC",Unknown,Not Remote
7, North Carolina,Charlotte,11,Manager,Customer Resolution Manager,IKEA,3.9,"Charlotte, NC",Unknown,Not Remote
8, North Carolina,Charlotte,11,Manager,Community Impact Manager,Blumenthal Performing Arts,4.3,"Charlotte, NC","$51,000 - $64,000 a year",Temporarily remote
9, North Carolina,Charlotte,11,Manager,"Customer Service Manager, Airport Workforce Management",American Airlines,4.0,"Charlotte, NC",Unknown,Not Remote
10, North Carolina,Charlotte,11,Manager,Operations Manager (Military Veterans Encouraged to Apply),Amazon.com Services LLC,3.6,"Charlotte, NC",Unknown,Not Remote
11, North Carolina,Charlotte,11,Manager,Loss Prevention Manager,Amazon.com Services LLC,3.6,"Charlotte, NC",Unknown,Not Remote
12, North Carolina,Charlotte,11,Manager,Business Management Manager,TIAA,3.7,"Charlotte, NC","$93,960 a year",Not Remote
13, North Carolina,Charlotte,11,Manager,Operations Manager,"Berger Transfer & Storage, Inc.",3.6,"Charlotte, NC","$50,000 - $75,000 a year",Not Remote
14, North Carolina,Charlotte,11,Manager,Customer Service Manager,SI Fulfillment Solutions,,"Charlotte, NC","$60,000 - $80,000 a year",Not Remote
15, North Carolina,Charlotte,11,Manager,Entry Level Account Manager,Kaley kallman LLC,,"Charlotte, NC","$80,000 - $150,000 a year",Not Remote
16, North Carolina,Charlotte,11,Manager,Academic Case Manager,UNC Charlotte,4.3,"Charlotte, NC",Unknown,Not Remote
17, North Carolina,Charlotte,11,Manager,"Distribution Center Manager (Charlotte, NC)",Scholastic,3.7,"Charlotte, NC",Unknown,Not Remote
18, North Carolina,Charlotte,11,Manager,Branch Manager,Professional Sports Publications,2.9,"Charlotte, NC","From $60,000 a year",Not Remote
19, North Carolina,Charlotte,11,Manager,Plant Manager,MAUSER,3.2,"Charlotte, NC",Unknown,Not Remote
20, North Carolina,Charlotte,11,Manager,Regional Manager,Ginkgo Residential,3.3,"Charlotte, NC",Unknown,Not Remote
21, North Carolina,Charlotte,11,Manager,"Branch Manager Trainee (Market Expansion - Ballantyne - Charlotte, NC","JPMorgan Chase Bank, N.A.",3.9,"Charlotte, NC",Unknown,Not Remote
22, North Carolina,Charlotte,11,Manager,Fran Dev Manager,PepsiCo,3.8,"Charlotte, NC",Unknown,Not Remote
23, North Carolina,Charlotte,11,Manager,Warehouse Distribution Manager,Scholastic Book Fairs,,"Charlotte, NC",Unknown,Not Remote
24, North Carolina,Charlotte,11,Manager,"Operations Manager, Warehouse (Charlotte)",Veho,4.4,"Charlotte, NC",Unknown,Not Remote
