,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, North Carolina,Charlotte,13,Business Operations Specialist,Operations Enablement Specialist,Randall-Reilly,4.2,"Charlotte, NC",Unknown,Not Remote
1, North Carolina,Charlotte,13,Business Operations Specialist,Field Marketing Specialist,Realogy,3.4,"Charlotte, NC",Unknown,Not Remote
2, North Carolina,Charlotte,13,Business Operations Specialist,Merchandise Specialist & Office Assistant,City x City,,"Charlotte, NC","$34,000 - $41,000 a year",Not Remote
3, North Carolina,Charlotte,13,Business Operations Specialist,Digital Operations Lead,Mobile Veterinary Specialists (MOVES),,"Charlotte, NC","$70,000 - $85,000 a year",Remote
4, North Carolina,Charlotte,13,Business Operations Specialist,Recruiting Operations Specialist,Spectrum,3.4,"Charlotte, NC",Unknown,Not Remote
5, North Carolina,Charlotte,13,Business Operations Specialist,Operations Enablement Specialist,Randall-Reilly,4.2,"Charlotte, NC",Unknown,Not Remote
6, North Carolina,Charlotte,13,Business Operations Specialist,Provider Relations Specialist - North Carolina,Bright Health,1.9,"Charlotte, NC",Unknown,Not Remote
7, North Carolina,Charlotte,13,Business Operations Specialist,Program Eligibility Specialist,Conduent,2.7,"Charlotte, NC",Unknown,Not Remote
8, North Carolina,Charlotte,13,Business Operations Specialist,Business Technical Service Specialist 1,Wells Fargo,3.7,"Charlotte, NC",Unknown,Not Remote
9, North Carolina,Charlotte,13,Business Operations Specialist,Payments Specialist,Keplr Vision Group,3.1,"Charlotte, NC",Unknown,Remote
10, North Carolina,Charlotte,13,Business Operations Specialist,"ESS Operations Specialist, Senior Associate (Charlotte)",EY,4.0,"Charlotte, NC",Unknown,Not Remote
11, North Carolina,Charlotte,13,Business Operations Specialist,"Business Banking Specialist NMLS 2 - Charlotte, NC",U.S. Bank,3.6,"Charlotte, NC",Unknown,Not Remote
12, North Carolina,Charlotte,13,Business Operations Specialist,Processing Specialist II - Operator-1st Shift,DELUXE CORPORATION,3.3,"Charlotte, NC",Unknown,Not Remote
13, North Carolina,Charlotte,13,Business Operations Specialist,Market Operations Specialist (Options),Robinhood,3.7,"Charlotte, NC",Unknown,Not Remote
14, North Carolina,Charlotte,13,Business Operations Specialist,Data Entry - 2nd. Shift - Processing Specialist I,DELUXE CORPORATION,3.3,"Charlotte, NC",Unknown,Not Remote
15, North Carolina,Charlotte,13,Business Operations Specialist,Specialist Trading,Ally Financial Inc.,3.6,"Charlotte, NC",Unknown,Not Remote
