,SearchState,SearchCity,Category,SearchTitle,Title,Company,Stars,Location,Wage,Remote
0, North Dakota,Fargo,11,Facilities Manager,"Senior Maintenance Manager - Relocate to Kansas City, KS",Elite Line Services,2.9,United States,"$138,000 - $145,000 a year",Not Remote
1, North Dakota,Fargo,11,Facilities Manager,Maintenance Manager - FAR1,JLL,3.7,"Fargo, ND",Unknown,Not Remote
2, North Dakota,Fargo,11,Facilities Manager,Facilities Manager,Churches United for the Homeless,,"Moorhead, MN","From $37,440 a year",Not Remote
0, North Dakota,Fargo,11,Funeral Home Managers,Multi-Location Manager/Licensed Funeral Director,Brandon G. Thompson Funeral Home,,United States,"$75,000 - $110,000 a year",Not Remote
0, North Dakota,Fargo,11,Manager,Human Resources Manager- Bismarck Office *,Dakota Eye Institute,3.6,"Fargo, ND",$26 - $48 an hour,Not Remote
1, North Dakota,Fargo,11,Manager,Project Manager,"Kochmann Brothers Homes, Inc.",,"Fargo, ND","From $50,000 a year",Not Remote
2, North Dakota,Fargo,11,Manager,Licensed Social Worker/Case Manager,"ShareHouse, Inc.",,"Fargo, ND",$18 - $24 an hour,Not Remote
3, North Dakota,Fargo,11,Manager,Sales & Use Tax Manager,RDO Equipment Co.,3.4,"Fargo, ND",Unknown,Not Remote
4, North Dakota,Fargo,11,Manager,Community Engagement Manager,City of Fargo,4.4,"Fargo, ND","$59,883 - $63,461 a year",Not Remote
5, North Dakota,Fargo,11,Manager,Community Engagement Manager,Fargo City Hall,,"Fargo, ND","$59,883 - $63,461 a year",Not Remote
6, North Dakota,Fargo,11,Manager,Human Resources Manager- Bismarck Office *,Dakota Eye Institute,3.6,"Fargo, ND",$26 - $48 an hour,Not Remote
7, North Dakota,Fargo,11,Manager,Store Manager,Third Drop Coffee,,"Fargo, ND",$15 - $25 an hour,Not Remote
8, North Dakota,Fargo,11,Manager,Developmental Disabilities Program Manager,North Dakota State Government,4.1,"Fargo, ND",Unknown,Not Remote
9, North Dakota,Fargo,11,Manager,IT Manager,Amazon.com Services LLC,3.6,"Fargo, ND",Unknown,Not Remote
10, North Dakota,Fargo,11,Manager,Store Manager,Simonson Station Stores,3.5,"Fargo, ND","$70,000 - $90,000 a year",Not Remote
11, North Dakota,Fargo,11,Manager,Distribution Manager,Dakota Specialty Milling,,"Fargo, ND",$12 - $38 an hour,Not Remote
12, North Dakota,Fargo,11,Manager,Warehouse Manager,Ferguson,3.4,"Fargo, ND",Unknown,Not Remote
13, North Dakota,Fargo,11,Manager,Terminal Manager,CrossCountry Freight Solutions,3.3,"Fargo, ND",Unknown,Not Remote
14, North Dakota,Fargo,11,Manager,Manager Trainee,E. W. Wylie Corporation,3.2,"Fargo, ND",$18.00 - $22.22 an hour,Not Remote
15, North Dakota,Fargo,11,Manager,Care Team Manager - Scheduler,New Perspective Senior Living,2.9,"West Fargo, ND",Unknown,Not Remote
16, North Dakota,Fargo,11,Manager,Resident Relations Manager - Full Time,Prolific Property Management,,"Fargo, ND",$15 - $17 an hour,Not Remote
17, North Dakota,Fargo,11,Manager,Overnight Manager,"Hornbacher's - Coborn's, Inc.",,"Fargo, ND",Unknown,Not Remote
18, North Dakota,Fargo,11,Manager,Commodity Manager,Doosan Bobcat,3.4,"West Fargo, ND",Unknown,Not Remote
19, North Dakota,Fargo,11,Manager,Terminal Manager,Holcim (US) Inc.,4.0,"Fargo, ND",Unknown,Not Remote
20, North Dakota,Fargo,11,Manager,Risk & Safety Manager,Forum Communications Company,3.5,"Fargo, ND",Unknown,Not Remote
21, North Dakota,Fargo,11,Manager,Care Manager Position,Rosewood on Broadway,3.4,"Fargo, ND",Unknown,Not Remote
22, North Dakota,Fargo,11,Manager,HR Manager,Amazon.com Services LLC,3.6,"Fargo, ND",Unknown,Not Remote
23, North Dakota,Fargo,11,Manager,Site Manager,TRIGO Global Quality Solutions,2.7,"Fargo, ND",Unknown,Not Remote
24, North Dakota,Fargo,11,Manager,Lounge Manager,Ramada Hotel and Conference Center,,"Fargo, ND",Unknown,Not Remote
25, North Dakota,Fargo,11,Manager,Waterworks Store Manager,Ferguson,3.4,"Fargo, ND",Unknown,Not Remote
26, North Dakota,Fargo,11,Manager,Terminal Manager,LafargeHolcim in the US,4.0,"Fargo, ND",Unknown,Not Remote
27, North Dakota,Fargo,11,Manager,Parts Manager,Fargo Freightliner,,"Fargo, ND",Unknown,Not Remote
28, North Dakota,Fargo,11,Manager,Manager Application Development,Noridian Healthcare Solutions,3.4,"Fargo, ND",Unknown,Not Remote
29, North Dakota,Fargo,11,Manager,"HuHot - Manager - Fargo, ND",Pentex Restaurant Group,,"Fargo, ND",From $16.25 an hour,Not Remote
30, North Dakota,Fargo,11,Manager,REGIONAL MANAGER,Little Rookies LLC,,"Fargo, ND",$30 - $50 an hour,Not Remote
31, North Dakota,Fargo,11,Manager,Maintenance Manager - FAR1,JLL,3.7,"Fargo, ND",Unknown,Not Remote
32, North Dakota,Fargo,11,Manager,Credit and Collections Manager,Western Products,2.9,"Fargo, ND",Unknown,Not Remote
33, North Dakota,Fargo,11,Manager,Operations Manager,Camping World,2.8,"West Fargo, ND","$50,000 - $70,000 a year",Not Remote
